Date,Ticker,signal_name,signal_value_observed,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2016-12-02,XLF,bm_sector_above_200d_ma,0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.6666666666666666
2016-12-09,XLF,bm_sector_above_200d_ma,0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.6666666666666666
2016-12-16,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.6666666666666666
2016-12-23,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2016-12-30,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2017-01-06,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2017-01-13,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-01-20,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-01-27,XLF,bm_sector_above_200d_ma,0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-02-03,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.6666666666666666
2017-02-10,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2017-02-17,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2017-02-24,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2017-03-03,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2017-03-10,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2017-03-17,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-03-24,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-03-31,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-04-07,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-04-14,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2017-04-21,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-04-28,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-05-05,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-05-12,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-05-19,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-05-26,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2017-06-02,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
