signal_name,category,gate,intended_use,verdict,b6_recommendation,avg_full_ic,2016_plus_avg_ic,2020_plus_avg_ic,2022_bear_rate_shock_avg_ic,2023_plus_avg_ic,calm_trend_avg_ic,stressed_panic_avg_ic,max_abs_redundancy_existing,most_redundant_existing_signal,subperiod_positive_share,portfolio_usefulness_score,stress_safety_flags,verdict_reason
bm_sector_positive_13w_mom,sector_breadth,none,offense_gate,promising-if-gated,gate-filter-candidate,0.1168873274775242,0.1347661546680538,0.1113421558211537,-0.0586002066060823,0.1327404066841056,0.1233225431165702,0.0523358071687569,0.2731862950179833,multi_mom_invvol,1.0,5.976778129187878,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_risk_on_participation,breadth,none,offense_gate,promising-if-gated,gate-filter-candidate,0.1209027543542018,0.1399787082317901,0.1201397746851613,-0.0978746132116087,0.1204002346627826,0.1260088718020265,0.0437609633450829,0.2766587586947476,multi_mom_invvol,1.0,5.90039587582238,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
r2_credit_spread__calm_trend_only,gated_macro,calm_trend_only,macro_gate,promising-if-gated,gate-filter-candidate,0.0769428282160448,0.1230196858302184,0.09162297911334,,0.1123170160637083,0.0581340031627178,,0.1614745648324236,xsmom_global,1.0,4.703073209829399,,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
r2_vix_term_structure__no_stressed_panic,gated_macro,no_stressed_panic,stress_filter,promising-if-gated,gate-filter-candidate,0.0536174045115893,0.0513398066586429,0.05463352621255,-0.0862478404758942,0.020732905290404,0.0857275968462327,0.0880136954471608,0.1308275119011432,multi_mom_equal,1.0,4.605672692751545,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
r2_vix_term_structure__calm_trend_only,gated_macro,calm_trend_only,macro_gate,promising-if-gated,gate-filter-candidate,0.0721457495339961,0.1158432093115365,0.0705357978276694,,0.0677173648626327,0.0738079924293053,,0.17289537459573,multi_mom_invvol,0.8,4.363998138770746,,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_dollar_strength_blended,dollar_strength,none,risk_filter,promising-if-gated,gate-filter-candidate,0.0186657062415989,0.0239029124642355,0.0196886882709444,0.0452267061407995,-0.0247376506456586,0.0132130232110104,0.0271705670979266,0.0775225621827545,breadth_confirmed_momentum,0.8,4.081205542809492,,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_quality_risk_on_confirmation__no_stressed_panic,signal_quality,no_stressed_panic,offense_gate,promising-if-gated,gate-filter-candidate,0.0250614989107245,0.0458391506510419,0.067767036126554,-0.1098688025344869,0.0276699178402382,0.0505741610152965,0.0512755490527327,0.1670692327585256,multi_mom_invvol,0.8,4.01763102400821,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_quality_signal_dispersion,signal_quality,none,chop_filter,promising-if-gated,gate-filter-candidate,0.0179607647013115,0.0331160522181605,0.0271686441275768,0.0351366775663455,0.0314252272198782,0.0190785771696459,-0.0051861823502004,0.01452789630672,xsmom_global,0.8,3.9787402490957486,,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_dollar_strength_4w,dollar_strength,none,risk_filter,promising-if-gated,gate-filter-candidate,0.014346328758956,0.0250664289686047,0.0221063471161241,0.0390294578241138,-0.0149542622324431,0.0147316235657228,0.0158634358276033,0.0165476596234842,xsmom_global,0.6,3.902016504730259,,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_quality_signal_agreement,signal_quality,none,meta_gate,candidate-pass-but-redundant,candidate-pass-but-redundant,0.0589640716669052,0.041862966712497,0.0455775614181879,0.0355544201936166,0.0466416029319632,0.0736805564548496,-0.0189660272472492,0.8855179734581968,moving_average_distance,1.0,3.898244759737075,redundancy_gt_0.60_existing,Passed core B6 checks but is redundant with existing strong signals.
r2_credit_spread__vix_below_past_median,gated_macro,vix_below_past_median,macro_gate,promising-if-gated,gate-filter-candidate,0.077307660525631,0.0904062568398715,0.0662492774066421,-0.1382288218775804,0.1020840050013193,0.0642146425607441,0.0251991702934007,0.2235548851234376,multi_mom_equal,0.8,3.7582341481989023,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_dollar_strength_13w,dollar_strength,none,risk_filter,promising-if-gated,gate-filter-candidate,0.0064742140609711,0.0126222150694412,0.0081335511440256,0.0374607015136859,-0.0173340157963536,0.0160338550660491,0.0214597411331601,0.0613098873727525,breadth_confirmed_momentum,0.6,3.7217050786044914,,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
