variant_name,base_signal,horizon_weeks,market_state,event_count,avg_final_return,positive_barrier_hit_rate,negative_barrier_hit_rate,same_state_avg_return,same_state_positive_rate,same_state_negative_rate,return_lift_vs_same_state,positive_barrier_lift_vs_same_state,negative_barrier_lift_vs_same_state
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,calm_trend,28,0.02268147377556275,0.5357142857142857,0.10714285714285714,0.018581030456828657,0.44947735191637633,0.14982578397212543,0.004100443318734093,0.08623693379790937,-0.04268292682926829
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,neutral_mixed,54,0.016134567873672106,0.2777777777777778,0.07407407407407407,0.020336073177191324,0.3855421686746988,0.1108433734939759,-0.004201505303519218,-0.10776439089692103,-0.03676929941990183
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,recovery_confirmed,1,0.022519130919262942,1.0,0.0,0.045828379362982896,0.8372093023255814,0.046511627906976744,-0.023309248443719954,0.16279069767441856,-0.046511627906976744
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,recovery_fragile,18,0.027477502658298642,0.5,0.2222222222222222,0.026087799669437667,0.42857142857142855,0.22448979591836735,0.0013897029888609753,0.07142857142857145,-0.0022675736961451365
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,stressed_panic,25,0.021169242650568885,0.4,0.12,0.011559829293412968,0.25333333333333335,0.08888888888888889,0.009609413357155917,0.14666666666666667,0.031111111111111103
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,calm_trend,25,0.00696103042536143,0.32,0.04,0.005264166686956422,0.3170731707317073,0.20209059233449478,0.001696863738405008,0.0029268292682926855,-0.16209059233449477
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,neutral_mixed,28,0.0057205881015766225,0.39285714285714285,0.17857142857142858,0.006913860664367966,0.36879432624113473,0.12293144208037825,-0.0011932725627913435,0.02406281661600812,0.05563998649105033
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,recovery_fragile,13,0.004887597869001461,0.38461538461538464,0.38461538461538464,0.00374519511293821,0.22448979591836735,0.24489795918367346,0.0011424027560632505,0.1601255886970173,0.13971742543171117
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,stressed_panic,23,0.006854415560735386,0.17391304347826086,0.13043478260869565,0.00292564687544051,0.11061946902654868,0.11504424778761062,0.0039287686852948756,0.06329357445171219,0.01539053482108503
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,calm_trend,25,0.014528958659777444,0.44,0.08,0.01108697225977656,0.3902439024390244,0.17770034843205576,0.003441986400000884,0.0497560975609756,-0.09770034843205576
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,neutral_mixed,26,0.016448848268402042,0.4230769230769231,0.11538461538461539,0.012411932737063182,0.3761904761904762,0.1357142857142857,0.00403691553133886,0.046886446886446886,-0.020329670329670313
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,recovery_fragile,13,0.024135553473648905,0.6153846153846154,0.3076923076923077,0.01359468821678871,0.40816326530612246,0.22448979591836735,0.010540865256860195,0.20722135007849296,0.08320251177394036
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,stressed_panic,23,0.014538763360433108,0.2608695652173913,0.08695652173913043,0.006761656506353526,0.21333333333333335,0.1111111111111111,0.007777106854079582,0.04753623188405795,-0.024154589371980673
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,calm_trend,25,0.026639861144715685,0.6,0.04,0.018581030456828657,0.44947735191637633,0.14982578397212543,0.008058830687887028,0.15052264808362364,-0.10982578397212542
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,neutral_mixed,26,0.022622703002917337,0.4230769230769231,0.15384615384615385,0.020336073177191324,0.3855421686746988,0.1108433734939759,0.0022866298257260137,0.03753475440222426,0.04300278035217796
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,recovery_fragile,13,0.045718688024449713,0.6153846153846154,0.23076923076923078,0.026087799669437667,0.42857142857142855,0.22448979591836735,0.019630888355012047,0.18681318681318687,0.006279434850863436
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,stressed_panic,23,0.022275046609834002,0.43478260869565216,0.13043478260869565,0.011559829293412968,0.25333333333333335,0.08888888888888889,0.010715217316421034,0.1814492753623188,0.041545893719806756
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,calm_trend,28,0.004937790973321413,0.2857142857142857,0.07142857142857142,0.005264166686956422,0.3170731707317073,0.20209059233449478,-0.000326375713635009,-0.03135888501742162,-0.13066202090592335
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,neutral_mixed,49,0.0029283006430594802,0.30612244897959184,0.10204081632653061,0.006913860664367966,0.36879432624113473,0.12293144208037825,-0.003985560021308485,-0.06267187726154289,-0.020890625753847633
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,recovery_confirmed,1,0.020155758010510727,0.0,0.0,0.016731987480889613,0.3953488372093023,0.11627906976744186,0.003423770529621114,-0.3953488372093023,-0.11627906976744186
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,recovery_fragile,15,0.003940249232951939,0.4,0.2,0.00374519511293821,0.22448979591836735,0.24489795918367346,0.00019505412001372862,0.17551020408163268,-0.04489795918367345
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,stressed_panic,5,0.016321216916553017,0.4,0.0,0.00292564687544051,0.11061946902654868,0.11504424778761062,0.013395570041112507,0.28938053097345134,-0.11504424778761062
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,calm_trend,28,0.011021850034994498,0.39285714285714285,0.14285714285714285,0.01108697225977656,0.3902439024390244,0.17770034843205576,-6.512222478206181e-05,0.0026132404181184454,-0.03484320557491291
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,neutral_mixed,46,0.00795263733185884,0.2826086956521739,0.10869565217391304,0.012411932737063182,0.3761904761904762,0.1357142857142857,-0.004459295405204343,-0.0935817805383023,-0.027018633540372664
