portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_turnover,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,active_return_vs_ggg1,active_return_vs_spy
ggg1,bear_2022,ggg1,52,-0.012933,0.061225,-0.211239,-0.068418,-0.18903,-0.015626,-0.025113,-0.049791,,,,0.0362,0.0425,0.012,0.0452,0.0,0.149
ggg1,recovery_2023,ggg1,171,0.143643,0.079954,1.796574,-0.072541,1.980178,-0.021295,-0.074317,-0.026489,,,,0.136,-0.2322,-0.0703,-0.1257,0.0,-0.0714
prod_pin,full,prod_pin,1110,0.068923,0.077931,0.884416,-0.139754,0.493176,-0.026181,-0.144929,-0.104984,,,,0.0433,-0.1227,-0.0249,-0.0561,-0.0022,-0.0505
prod_pin,holdout_2016,prod_pin,537,0.073745,0.078468,0.939803,-0.139754,0.527673,-0.025768,-0.144929,-0.104984,,,,0.0621,-0.1187,-0.0419,-0.0908,-0.0071,-0.0807
prod_pin,holdout_2020,prod_pin,328,0.080675,0.086175,0.936171,-0.139754,0.577261,-0.027298,-0.144929,-0.073693,,,,0.0617,-0.1086,-0.0464,-0.104,-0.0137,-0.0782
prod_pin,holdout_2021,prod_pin,276,0.094659,0.076181,1.242558,-0.062642,1.511116,-0.021866,-0.05775,-0.060119,,,,0.0854,-0.1303,-0.0304,-0.0639,-0.0069,-0.0539
prod_pin,bear_2022,prod_pin,52,0.005106,0.05855,0.087207,-0.045659,0.111827,-0.015643,-0.020259,-0.036893,,,,0.067,0.043,0.0179,0.0705,0.0181,0.1669
prod_pin,recovery_2023,prod_pin,171,0.123625,0.075773,1.631516,-0.062642,1.973518,-0.020601,-0.05775,-0.060119,,,,0.1197,-0.1992,-0.0653,-0.1233,-0.0179,-0.0919
shadow,full,shadow,1110,0.068584,0.077616,0.883625,-0.136741,0.501559,-0.026085,-0.141647,-0.101701,,,,0.0427,-0.1225,-0.0249,-0.0563,-0.0025,-0.0509
shadow,holdout_2016,shadow,537,0.07375,0.078135,0.94387,-0.136741,0.539337,-0.025723,-0.141647,-0.101701,,,,0.062,-0.1187,-0.0416,-0.0903,-0.0071,-0.0807
shadow,holdout_2020,shadow,328,0.080401,0.085398,0.941486,-0.136741,0.587977,-0.02715,-0.141647,-0.072301,,,,0.0614,-0.1082,-0.0459,-0.1039,-0.014,-0.0786
shadow,holdout_2021,shadow,276,0.09379,0.07579,1.237495,-0.062395,1.503155,-0.021881,-0.056361,-0.059878,,,,0.0843,-0.1297,-0.0302,-0.0639,-0.0077,-0.0548
shadow,bear_2022,shadow,52,0.002971,0.057218,0.051919,-0.045576,0.065183,-0.015568,-0.020259,-0.036888,,,,0.0632,0.0429,0.0167,0.0674,0.0159,0.1647
shadow,recovery_2023,shadow,171,0.122928,0.075216,1.634326,-0.062395,1.970144,-0.020498,-0.056361,-0.059878,,,,0.1191,-0.198,-0.0642,-0.1221,-0.0185,-0.0926
equal_weight,full,equal_weight,1110,0.05071,0.066576,0.761677,-0.143288,0.3539,-0.022942,-0.148422,-0.111505,,,,0.0266,-0.0979,-0.0211,-0.0556,-0.02,-0.0697
equal_weight,holdout_2016,equal_weight,537,0.059601,0.068509,0.869979,-0.143288,0.415954,-0.023158,-0.148422,-0.111505,,,,0.0516,-0.0947,-0.03,-0.0744,-0.0209,-0.0957
equal_weight,holdout_2020,equal_weight,328,0.0708,0.0767,0.923081,-0.143288,0.494112,-0.02479,-0.148422,-0.083317,,,,0.0555,-0.0936,-0.0339,-0.0853,-0.0235,-0.089
equal_weight,holdout_2021,equal_weight,276,0.089071,0.066058,1.348378,-0.057633,1.545485,-0.018681,-0.045782,-0.055265,,,,0.0805,-0.1216,-0.0204,-0.0496,-0.0126,-0.0603
equal_weight,bear_2022,equal_weight,52,0.008614,0.051685,0.166662,-0.038985,0.220957,-0.011996,-0.018181,-0.032438,,,,0.0638,0.0365,0.022,0.0981,0.0213,0.1701
equal_weight,recovery_2023,equal_weight,171,0.111339,0.064106,1.73681,-0.057633,1.931865,-0.017509,-0.045782,-0.055265,,,,0.1106,-0.1749,-0.05,-0.1115,-0.0294,-0.1051
spy,full,spy,1109,0.105431,0.175737,0.599935,-0.54613,0.193051,-0.058004,-0.347619,-0.438587,,,,1.0,1.0,1.0,1.0,0.0449,0.0
spy,holdout_2016,spy,537,0.141105,0.169869,0.830668,-0.31829,0.443322,-0.05569,-0.347619,-0.307377,,,,1.0,1.0,1.0,1.0,0.0674,0.0
spy,holdout_2020,spy,328,0.141386,0.193058,0.732351,-0.31829,0.444205,-0.060628,-0.347619,-0.225657,,,,1.0,1.0,1.0,1.0,0.0575,0.0
spy,holdout_2021,spy,276,0.137128,0.160234,0.855797,-0.239272,0.573105,-0.045772,-0.123089,-0.183121,,,,1.0,1.0,1.0,1.0,0.042,0.0
spy,bear_2022,spy,52,-0.181754,0.23075,-0.787666,-0.224795,-0.808532,-0.05514,-0.107089,-0.183121,,,,1.0,1.0,1.0,1.0,-0.1507,0.0
spy,recovery_2023,spy,171,0.206376,0.142987,1.443324,-0.168772,1.222815,-0.038331,-0.123089,-0.148958,,,,1.0,1.0,1.0,1.0,0.0624,0.0
bench_60_40,full,bench_60_40,1109,0.080947,0.103123,0.784955,-0.313836,0.257929,-0.032731,-0.199869,-0.24065,,,,0.5835,0.5435,0.569,0.9697,0.0113,-0.0361
bench_60_40,holdout_2016,bench_60_40,537,0.092093,0.103937,0.886047,-0.207573,0.443667,-0.033312,-0.190862,-0.151939,,,,0.6029,0.5887,0.5933,0.9696,0.0123,-0.0598
bench_60_40,holdout_2020,bench_60_40,328,0.088059,0.120133,0.733014,-0.207573,0.424233,-0.037053,-0.190862,-0.141819,,,,0.6185,0.6228,0.6048,0.9719,-0.0035,-0.067
bench_60_40,holdout_2021,bench_60_40,276,0.076474,0.103849,0.736396,-0.207573,0.36842,-0.029295,-0.081708,-0.141819,,,,0.6253,0.6501,0.6234,0.9618,-0.021,-0.0695
bench_60_40,bear_2022,bench_60_40,52,-0.16478,0.152193,-1.082708,-0.192171,-0.857468,-0.036305,-0.081708,-0.141819,,,,0.6029,0.6854,0.6401,0.9705,-0.1457,0.0049
bench_60_40,recovery_2023,bench_60_40,171,0.137113,0.092218,1.48683,-0.090244,1.519355,-0.02282,-0.063409,-0.081278,,,,0.6478,0.6328,0.6145,0.9527,-0.0047,-0.0768
