portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_QQQ,avg_sector_sleeve,avg_defense,avg_cash_bil,avg_turnover,upside_capture,downside_capture,beta_spy,corr_spy,beta_qqq,active_return_vs_ggg1,active_return_vs_phase4b_best
improved_phase6_calm_bull_quality_offense,bear_2022,improved_phase6_calm_bull_quality_offense,52,-0.015243,0.06432,-0.236985,-0.06784,-0.224691,-0.01766,-0.02582,-0.048862,0.526,0.0242,0.0022,0.0178,0.176,0.4818,0.0495,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,-0.0
improved_phase6_calm_bull_quality_offense,recovery_2023,improved_phase6_calm_bull_quality_offense,171,0.140331,0.085769,1.63616,-0.074226,1.890602,-0.022128,-0.071591,-0.036612,0.083,0.0584,0.017,0.1419,0.2464,0.0601,0.0847,0.136,-0.224,-0.0745,-0.1243,-0.0566,-0.0028,-0.0006
improved_phase6_recovery_quality_rerisk,full,improved_phase6_recovery_quality_rerisk,1110,0.077525,0.081068,0.956306,-0.137677,0.563095,-0.026739,-0.14275,-0.09767,0.236,0.0548,0.024,0.1027,0.1971,0.2016,0.0738,0.0484,-0.1374,-0.0328,-0.071,-0.0264,0.0066,-0.0001
improved_phase6_recovery_quality_rerisk,holdout_2016,improved_phase6_recovery_quality_rerisk,537,0.086483,0.084948,1.018076,-0.137677,0.62816,-0.026898,-0.14275,-0.09767,0.1893,0.0541,0.0224,0.1184,0.2052,0.153,0.0759,0.0644,-0.1497,-0.0607,-0.1213,-0.0442,0.0057,-0.0003
improved_phase6_recovery_quality_rerisk,holdout_2020,improved_phase6_recovery_quality_rerisk,328,0.09569,0.094888,1.008443,-0.137677,0.695027,-0.0292,-0.14275,-0.053186,0.1978,0.0522,0.0265,0.1196,0.2272,0.1531,0.0788,0.0652,-0.1385,-0.0689,-0.1401,-0.0502,0.0009,0.0001
improved_phase6_recovery_quality_rerisk,holdout_2021,improved_phase6_recovery_quality_rerisk,276,0.107199,0.082567,1.298323,-0.074268,1.443401,-0.022777,-0.071598,-0.048861,0.1815,0.0555,0.0177,0.1285,0.2299,0.1322,0.0785,0.0946,-0.1493,-0.0404,-0.0784,-0.0307,0.0056,0.0001
improved_phase6_recovery_quality_rerisk,bear_2022,improved_phase6_recovery_quality_rerisk,52,-0.015241,0.064315,-0.236982,-0.067846,-0.224647,-0.017655,-0.02582,-0.048861,0.526,0.0242,0.0022,0.0177,0.176,0.4818,0.0495,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,-0.0
improved_phase6_recovery_quality_rerisk,recovery_2023,improved_phase6_recovery_quality_rerisk,171,0.140303,0.085999,1.631453,-0.074268,1.889127,-0.0224,-0.071598,-0.036584,0.0828,0.0583,0.0169,0.1431,0.2463,0.0602,0.085,0.1358,-0.2244,-0.0744,-0.1237,-0.0563,-0.0028,-0.0006
improved_phase6_continuous_aggression_score,full,improved_phase6_continuous_aggression_score,1110,0.078049,0.081898,0.953006,-0.141802,0.550408,-0.027024,-0.147297,-0.102868,0.2341,0.0543,0.0239,0.1139,0.189,0.2016,0.0744,0.0491,-0.138,-0.0326,-0.07,-0.0264,0.0072,0.0005
improved_phase6_continuous_aggression_score,holdout_2016,improved_phase6_continuous_aggression_score,537,0.087123,0.085702,1.016585,-0.141802,0.614398,-0.027158,-0.147297,-0.102868,0.1866,0.0535,0.0224,0.1312,0.1964,0.1529,0.0766,0.0653,-0.1503,-0.0607,-0.1203,-0.0444,0.0064,0.0005
improved_phase6_continuous_aggression_score,holdout_2020,improved_phase6_continuous_aggression_score,328,0.095345,0.095898,0.994232,-0.141802,0.672382,-0.029603,-0.147297,-0.058907,0.1944,0.0517,0.0264,0.1339,0.2162,0.153,0.0795,0.0655,-0.1375,-0.0688,-0.1385,-0.0501,0.0006,-0.0002
improved_phase6_continuous_aggression_score,holdout_2021,improved_phase6_continuous_aggression_score,276,0.107496,0.083343,1.289809,-0.074882,1.435546,-0.022889,-0.071381,-0.048895,0.1775,0.0549,0.0178,0.1443,0.2177,0.1323,0.0792,0.0953,-0.1493,-0.0406,-0.0781,-0.031,0.0059,0.0005
improved_phase6_continuous_aggression_score,bear_2022,improved_phase6_continuous_aggression_score,52,-0.015333,0.064602,-0.237343,-0.067514,-0.227107,-0.01793,-0.025808,-0.048895,0.5253,0.0242,0.0022,0.0204,0.1741,0.4818,0.0502,0.0442,0.0516,0.0133,0.0476,0.0124,-0.0022,-0.0001
improved_phase6_continuous_aggression_score,recovery_2023,improved_phase6_continuous_aggression_score,171,0.139357,0.086585,1.609485,-0.074882,1.861028,-0.022378,-0.071381,-0.038778,0.0808,0.0577,0.017,0.1607,0.2325,0.0601,0.0859,0.1365,-0.2205,-0.0739,-0.1221,-0.056,-0.0037,-0.0015
improved_phase6_balanced_classifier_rebuild,full,improved_phase6_balanced_classifier_rebuild,1110,0.077134,0.081164,0.950354,-0.142481,0.541366,-0.026824,-0.148046,-0.103712,0.2355,0.0549,0.0239,0.1024,0.1969,0.2015,0.0736,0.0484,-0.1366,-0.0325,-0.0704,-0.0262,0.0062,-0.0005
improved_phase6_balanced_classifier_rebuild,holdout_2016,improved_phase6_balanced_classifier_rebuild,537,0.085809,0.085155,1.00767,-0.142481,0.602247,-0.027064,-0.148046,-0.103712,0.1884,0.0542,0.0224,0.1192,0.2042,0.1528,0.0759,0.0641,-0.1485,-0.0603,-0.1203,-0.044,0.005,-0.0009
improved_phase6_balanced_classifier_rebuild,holdout_2020,improved_phase6_balanced_classifier_rebuild,328,0.09408,0.095251,0.987707,-0.142481,0.660303,-0.029507,-0.148046,-0.059849,0.1968,0.0522,0.0264,0.1212,0.2254,0.1528,0.079,0.0642,-0.1364,-0.0684,-0.1386,-0.0497,-0.0007,-0.0015
improved_phase6_balanced_classifier_rebuild,holdout_2021,improved_phase6_balanced_classifier_rebuild,276,0.106786,0.082512,1.294189,-0.074243,1.438335,-0.022753,-0.071586,-0.048862,0.1804,0.0555,0.0178,0.1299,0.2282,0.1321,0.0786,0.0942,-0.149,-0.0401,-0.0778,-0.0305,0.0052,-0.0003
improved_phase6_balanced_classifier_rebuild,bear_2022,improved_phase6_balanced_classifier_rebuild,52,-0.015243,0.064319,-0.236984,-0.06784,-0.224684,-0.017659,-0.02582,-0.048862,0.526,0.0242,0.0022,0.0178,0.176,0.4818,0.0495,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,-0.0
improved_phase6_balanced_classifier_rebuild,recovery_2023,improved_phase6_balanced_classifier_rebuild,171,0.140144,0.085761,1.634134,-0.074243,1.887653,-0.022244,-0.071586,-0.036612,0.0832,0.0585,0.017,0.142,0.2461,0.0601,0.085,0.1361,-0.2234,-0.0741,-0.1236,-0.0563,-0.003,-0.0008
ggg1,full,ggg1,1110,0.071381,0.076248,0.936168,-0.117739,0.606267,-0.025377,-0.12083,-0.079145,,,,,,,,0.0451,-0.1262,-0.0308,-0.071,-0.0244,0.0,-0.0066
ggg1,holdout_2016,ggg1,537,0.081287,0.079775,1.018956,-0.117739,0.690402,-0.025366,-0.12083,-0.077378,,,,,,,,0.0605,-0.1406,-0.0575,-0.1224,-0.0403,0.0,-0.0059
ggg1,holdout_2020,ggg1,328,0.095497,0.088243,1.082205,-0.117739,0.811093,-0.026575,-0.12083,-0.049791,,,,,,,,0.0655,-0.1362,-0.0653,-0.1429,-0.0468,0.0,-0.0008
ggg1,holdout_2021,ggg1,276,0.102228,0.075817,1.348356,-0.072541,1.409258,-0.020791,-0.074317,-0.049791,,,,,,,,0.0914,-0.1404,-0.0343,-0.0726,-0.0256,0.0,-0.0054
ggg1,bear_2022,ggg1,52,-0.012933,0.061225,-0.211239,-0.068418,-0.18903,-0.015626,-0.025113,-0.049791,,,,,,,,0.0362,0.0425,0.012,0.0452,0.0124,0.0,0.0021
ggg1,recovery_2023,ggg1,171,0.143643,0.079954,1.796574,-0.072541,1.980178,-0.021295,-0.074317,-0.026489,,,,,,,,0.136,-0.2322,-0.0703,-0.1257,-0.0552,0.0,0.0022
phase2_best,full,phase2_best,1110,0.073892,0.078627,0.93978,-0.125043,0.590929,-0.026048,-0.12861,-0.082666,,,,,,,,0.0464,-0.1308,-0.0321,-0.0716,-0.0255,0.0027,-0.0039
phase2_best,holdout_2016,phase2_best,537,0.083163,0.08253,1.007678,-0.125043,0.665074,-0.026232,-0.12861,-0.082251,,,,,,,,0.0612,-0.1451,-0.0595,-0.1225,-0.042,0.0021,-0.0038
phase2_best,holdout_2020,phase2_best,328,0.097023,0.091467,1.060738,-0.125043,0.775912,-0.027628,-0.12861,-0.049786,,,,,,,,0.0658,-0.1397,-0.0674,-0.1422,-0.0485,0.0019,0.0011
phase2_best,holdout_2021,phase2_best,276,0.105012,0.078323,1.340756,-0.076287,1.376535,-0.021518,-0.078258,-0.049786,,,,,,,,0.0932,-0.1452,-0.0363,-0.0743,-0.027,0.003,-0.0024
phase2_best,bear_2022,phase2_best,52,-0.01141,0.064408,-0.177155,-0.069271,-0.16472,-0.01643,-0.025111,-0.049786,,,,,,,,0.0421,0.0449,0.0135,0.0482,0.014,0.0017,0.0038
phase2_best,recovery_2023,phase2_best,171,0.147858,0.083019,1.781016,-0.076287,1.938185,-0.022202,-0.078258,-0.027227,,,,,,,,0.1369,-0.2437,-0.0755,-0.13,-0.0591,0.0045,0.0067
phase3_best,full,phase3_best,1110,0.072679,0.075242,0.965945,-0.119015,0.610673,-0.02483,-0.119773,-0.07933,,,,,,,,0.0479,-0.1255,-0.0304,-0.071,-0.0242,0.0012,-0.0054
phase3_best,holdout_2016,phase3_best,537,0.08492,0.0793,1.070876,-0.119015,0.713524,-0.024758,-0.119773,-0.072968,,,,,,,,0.0665,-0.1415,-0.0568,-0.1216,-0.04,0.0036,-0.0023
phase3_best,holdout_2020,phase3_best,328,0.099358,0.088368,1.12436,-0.119015,0.834833,-0.026399,-0.119773,-0.049243,,,,,,,,0.0701,-0.1382,-0.0649,-0.1419,-0.0465,0.0039,0.0031
phase3_best,holdout_2021,phase3_best,276,0.105679,0.075301,1.403428,-0.074152,1.425167,-0.020525,-0.076003,-0.049243,,,,,,,,0.0974,-0.1403,-0.0326,-0.0693,-0.0244,0.0034,-0.002
phase3_best,bear_2022,phase3_best,52,-0.014259,0.060402,-0.236065,-0.066584,-0.214148,-0.015733,-0.024883,-0.049243,,,,,,,,0.0376,0.0455,0.0117,0.0445,0.0121,-0.0014,0.0007
phase3_best,recovery_2023,phase3_best,171,0.149912,0.07921,1.892587,-0.074152,2.021673,-0.02076,-0.076003,-0.024952,,,,,,,,0.1477,-0.2307,-0.0653,-0.1179,-0.0527,0.0062,0.0084
phase4_best,full,phase4_best,1110,0.076448,0.08219,0.930141,-0.143286,0.533536,-0.026837,-0.148508,-0.101728,,,,,,,,0.0452,-0.1392,-0.0351,-0.0751,-0.0277,0.0056,-0.001
phase4_best,holdout_2016,phase4_best,537,0.083409,0.085956,0.970363,-0.143286,0.582115,-0.02672,-0.148508,-0.101728,,,,,,,,0.0591,-0.1495,-0.0632,-0.1248,-0.0457,0.0027,-0.0033
phase4_best,holdout_2020,phase4_best,328,0.093131,0.096562,0.964462,-0.143286,0.649965,-0.029071,-0.148508,-0.04805,,,,,,,,0.0593,-0.1413,-0.0714,-0.1428,-0.0516,-0.0015,-0.0023
phase4_best,holdout_2021,phase4_best,276,0.101835,0.081823,1.244575,-0.073421,1.387014,-0.021738,-0.07068,-0.047675,,,,,,,,0.0839,-0.1511,-0.0432,-0.0846,-0.0326,0.0001,-0.0053
phase4_best,bear_2022,phase4_best,52,-0.008233,0.062671,-0.131363,-0.066061,-0.124622,-0.017685,-0.024932,-0.047675,,,,,,,,0.0518,0.0483,0.0194,0.0713,0.0174,0.0048,0.0069
phase4_best,recovery_2023,phase4_best,171,0.13706,0.086911,1.57701,-0.073421,1.866779,-0.022192,-0.07068,-0.039431,,,,,,,,0.1285,-0.2272,-0.0773,-0.1272,-0.0586,-0.0059,-0.0038
phase4b_best,full,phase4b_best,1110,0.077603,0.080954,0.958606,-0.137725,0.563466,-0.026683,-0.142802,-0.097749,,,,,,,,0.0485,-0.1374,-0.0327,-0.071,-0.0265,0.0066,0.0
phase4b_best,holdout_2016,phase4b_best,537,0.086767,0.084691,1.024513,-0.137725,0.629999,-0.026747,-0.142802,-0.097749,,,,,,,,0.0646,-0.15,-0.0608,-0.1219,-0.0444,0.0059,0.0
phase4b_best,holdout_2020,phase4b_best,328,0.095643,0.094537,1.011697,-0.137725,0.694447,-0.029002,-0.142802,-0.053252,,,,,,,,0.0651,-0.1383,-0.0689,-0.1407,-0.0502,0.0008,0.0
phase4b_best,holdout_2021,phase4b_best,276,0.107099,0.082221,1.302573,-0.074226,1.44288,-0.022526,-0.071591,-0.048861,,,,,,,,0.0947,-0.1489,-0.0403,-0.0786,-0.0307,0.0054,0.0
phase4b_best,bear_2022,phase4b_best,52,-0.015241,0.064314,-0.236977,-0.067847,-0.224637,-0.017654,-0.02582,-0.048861,,,,,,,,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,0.0
phase4b_best,recovery_2023,phase4b_best,171,0.140942,0.085756,1.643526,-0.074226,1.898827,-0.022128,-0.071591,-0.036612,,,,,,,,0.1369,-0.2243,-0.0745,-0.1243,-0.0566,-0.0022,0.0
prod_pin,full,prod_pin,1110,0.068923,0.077931,0.884416,-0.139754,0.493176,-0.026181,-0.144929,-0.104984,,,,,,,,0.0433,-0.1227,-0.0249,-0.0561,-0.0206,-0.0023,-0.009
prod_pin,holdout_2016,prod_pin,537,0.073745,0.078468,0.939803,-0.139754,0.527673,-0.025768,-0.144929,-0.104984,,,,,,,,0.0621,-0.1187,-0.0419,-0.0908,-0.0289,-0.0077,-0.0136
prod_pin,holdout_2020,prod_pin,328,0.080675,0.086175,0.936171,-0.139754,0.577261,-0.027298,-0.144929,-0.073693,,,,,,,,0.0617,-0.1086,-0.0464,-0.104,-0.033,-0.0151,-0.0159
prod_pin,holdout_2021,prod_pin,276,0.094659,0.076181,1.242558,-0.062642,1.511116,-0.021866,-0.05775,-0.060119,,,,,,,,0.0854,-0.1303,-0.0304,-0.0639,-0.0221,-0.0076,-0.013
prod_pin,bear_2022,prod_pin,52,0.005106,0.05855,0.087207,-0.045659,0.111827,-0.015643,-0.020259,-0.036893,,,,,,,,0.067,0.043,0.0179,0.0705,0.0153,0.0179,0.02
prod_pin,recovery_2023,prod_pin,171,0.123625,0.075773,1.631516,-0.062642,1.973518,-0.020601,-0.05775,-0.060119,,,,,,,,0.1197,-0.1992,-0.0653,-0.1233,-0.0502,-0.0204,-0.0183
shadow,full,shadow,1110,0.068584,0.077616,0.883625,-0.136741,0.501559,-0.026085,-0.141647,-0.101701,,,,,,,,0.0427,-0.1225,-0.0249,-0.0563,-0.0207,-0.0027,-0.0093
shadow,holdout_2016,shadow,537,0.07375,0.078135,0.94387,-0.136741,0.539337,-0.025723,-0.141647,-0.101701,,,,,,,,0.062,-0.1187,-0.0416,-0.0903,-0.0287,-0.0077,-0.0136
shadow,holdout_2020,shadow,328,0.080401,0.085398,0.941486,-0.136741,0.587977,-0.02715,-0.141647,-0.072301,,,,,,,,0.0614,-0.1082,-0.0459,-0.1039,-0.0327,-0.0154,-0.0162
shadow,holdout_2021,shadow,276,0.09379,0.07579,1.237495,-0.062395,1.503155,-0.021881,-0.056361,-0.059878,,,,,,,,0.0843,-0.1297,-0.0302,-0.0639,-0.022,-0.0085,-0.0139
shadow,bear_2022,shadow,52,0.002971,0.057218,0.051919,-0.045576,0.065183,-0.015568,-0.020259,-0.036888,,,,,,,,0.0632,0.0429,0.0167,0.0674,0.014,0.0157,0.0178
shadow,recovery_2023,shadow,171,0.122928,0.075216,1.634326,-0.062395,1.970144,-0.020498,-0.056361,-0.059878,,,,,,,,0.1191,-0.198,-0.0642,-0.1221,-0.0493,-0.0212,-0.019
equal_weight,full,equal_weight,1110,0.05071,0.066576,0.761677,-0.143288,0.3539,-0.022942,-0.148422,-0.111505,,,,,,,,0.0266,-0.0979,-0.0211,-0.0556,-0.0157,-0.0215,-0.0281
equal_weight,holdout_2016,equal_weight,537,0.059601,0.068509,0.869979,-0.143288,0.415954,-0.023158,-0.148422,-0.111505,,,,,,,,0.0516,-0.0947,-0.03,-0.0744,-0.0174,-0.0226,-0.0286
equal_weight,holdout_2020,equal_weight,328,0.0708,0.0767,0.923081,-0.143288,0.494112,-0.02479,-0.148422,-0.083317,,,,,,,,0.0555,-0.0936,-0.0339,-0.0853,-0.0224,-0.0258,-0.0266
equal_weight,holdout_2021,equal_weight,276,0.089071,0.066058,1.348378,-0.057633,1.545485,-0.018681,-0.045782,-0.055265,,,,,,,,0.0805,-0.1216,-0.0204,-0.0496,-0.0125,-0.0139,-0.0194
equal_weight,bear_2022,equal_weight,52,0.008614,0.051685,0.166662,-0.038985,0.220957,-0.011996,-0.018181,-0.032438,,,,,,,,0.0638,0.0365,0.022,0.0981,0.0193,0.021,0.0232
equal_weight,recovery_2023,equal_weight,171,0.111339,0.064106,1.73681,-0.057633,1.931865,-0.017509,-0.045782,-0.055265,,,,,,,,0.1106,-0.1749,-0.05,-0.1115,-0.0345,-0.0337,-0.0315
spy,full,spy,1109,0.105431,0.175737,0.599935,-0.54613,0.193051,-0.058004,-0.347619,-0.438587,,,,,,,,1.0,1.0,1.0,1.0,0.8077,0.0482,0.0416
spy,holdout_2016,spy,537,0.141105,0.169869,0.830668,-0.31829,0.443322,-0.05569,-0.347619,-0.307377,,,,,,,,1.0,1.0,1.0,1.0,0.7799,0.073,0.0671
spy,holdout_2020,spy,328,0.141386,0.193058,0.732351,-0.31829,0.444205,-0.060628,-0.347619,-0.225657,,,,,,,,1.0,1.0,1.0,1.0,0.7943,0.0632,0.0624
spy,holdout_2021,spy,276,0.137128,0.160234,0.855797,-0.239272,0.573105,-0.045772,-0.123089,-0.183121,,,,,,,,1.0,1.0,1.0,1.0,0.7261,0.0463,0.0409
spy,bear_2022,spy,52,-0.181754,0.23075,-0.787666,-0.224795,-0.808532,-0.05514,-0.107089,-0.183121,,,,,,,,1.0,1.0,1.0,1.0,0.7821,-0.149,-0.1469
spy,recovery_2023,spy,171,0.206376,0.142987,1.443324,-0.168772,1.222815,-0.038331,-0.123089,-0.148958,,,,,,,,1.0,1.0,1.0,1.0,0.7119,0.0714,0.0736
qqq,full,qqq,1109,0.124089,0.199191,0.622966,-0.550272,0.225505,-0.064134,-0.330793,-0.576306,,,,,,,,1.1222,1.1015,1.0377,0.9155,1.0,0.0721,0.0655
qqq,holdout_2016,qqq,537,0.162149,0.201818,0.803444,-0.373036,0.434675,-0.06329,-0.299345,-0.246941,,,,,,,,1.1957,1.2081,1.1008,0.9266,1.0,0.1013,0.0954
qqq,holdout_2020,qqq,328,0.158137,0.225621,0.700897,-0.373036,0.42392,-0.066635,-0.299345,-0.246941,,,,,,,,1.1985,1.219,1.0849,0.9283,1.0,0.0882,0.0874
qqq,holdout_2021,qqq,276,0.118887,0.208064,0.571396,-0.373036,0.318701,-0.057719,-0.14997,-0.246941,,,,,,,,1.2303,1.3365,1.2242,0.9428,1.0,0.0378,0.0324
qqq,bear_2022,qqq,52,-0.353031,0.284626,-1.240334,-0.331896,-1.063681,-0.06589,-0.144228,-0.246941,,,,,,,,1.1515,1.4034,1.1899,0.9647,1.0,-0.3157,-0.3135
qqq,recovery_2023,qqq,171,0.271431,0.188775,1.437857,-0.219549,1.236314,-0.048145,-0.14997,-0.203012,,,,,,,,1.288,1.2773,1.2408,0.9398,1.0,0.1468,0.1489
bench_60_40,full,bench_60_40,1109,0.080947,0.103123,0.784955,-0.313836,0.257929,-0.032731,-0.199869,-0.24065,,,,,,,,0.5835,0.5435,0.569,0.9697,0.4605,0.0122,0.0055
bench_60_40,holdout_2016,bench_60_40,537,0.092093,0.103937,0.886047,-0.207573,0.443667,-0.033312,-0.190862,-0.151939,,,,,,,,0.6029,0.5887,0.5933,0.9696,0.4679,0.0133,0.0073
bench_60_40,holdout_2020,bench_60_40,328,0.088059,0.120133,0.733014,-0.207573,0.424233,-0.037053,-0.190862,-0.141819,,,,,,,,0.6185,0.6228,0.6048,0.9719,0.4851,-0.0038,-0.0046
bench_60_40,holdout_2021,bench_60_40,276,0.076474,0.103849,0.736396,-0.207573,0.36842,-0.029295,-0.081708,-0.141819,,,,,,,,0.6253,0.6501,0.6234,0.9618,0.4535,-0.0231,-0.0286
bench_60_40,bear_2022,bench_60_40,52,-0.16478,0.152193,-1.082708,-0.192171,-0.857468,-0.036305,-0.081708,-0.141819,,,,,,,,0.6029,0.6854,0.6401,0.9705,0.5004,-0.1441,-0.142
bench_60_40,recovery_2023,bench_60_40,171,0.137113,0.092218,1.48683,-0.090244,1.519355,-0.02282,-0.063409,-0.081278,,,,,,,,0.6478,0.6328,0.6145,0.9527,0.4342,-0.0054,-0.0032
