state,portfolio,signal,signal_on_weeks,signal_off_weeks,mean_fwd_4w_on,mean_fwd_4w_off,lift_4w,diagnostic_label
recovery_confirmed,phase4b_best,broad_stock_bull_diagnostic,10,10,0.01966,0.01414,0.00552,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,phase4b_best,neutral_stock_risk_on_diagnostic,0,20,,0.0169,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,phase4b_best,diagnostic_aggression_score_high,9,11,0.01695,0.01686,9e-05,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,bench_60_40,broad_stock_bull_diagnostic,10,10,0.01255,0.00573,0.00682,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,bench_60_40,neutral_stock_risk_on_diagnostic,0,20,,0.00914,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,bench_60_40,diagnostic_aggression_score_high,9,11,0.01226,0.00658,0.00568,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,spy,broad_stock_bull_diagnostic,0,70,,0.01183,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,spy,neutral_stock_risk_on_diagnostic,0,70,,0.01183,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,spy,diagnostic_aggression_score_high,2,68,,0.01326,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,qqq,broad_stock_bull_diagnostic,0,70,,0.0161,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,qqq,neutral_stock_risk_on_diagnostic,0,70,,0.0161,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,qqq,diagnostic_aggression_score_high,2,68,,0.01813,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,ggg1,broad_stock_bull_diagnostic,0,70,,0.00524,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,ggg1,neutral_stock_risk_on_diagnostic,0,70,,0.00524,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,ggg1,diagnostic_aggression_score_high,2,68,,0.00531,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,phase4b_best,broad_stock_bull_diagnostic,0,70,,0.00527,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,phase4b_best,neutral_stock_risk_on_diagnostic,0,70,,0.00527,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,phase4b_best,diagnostic_aggression_score_high,2,68,,0.00535,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,bench_60_40,broad_stock_bull_diagnostic,0,70,,0.0069,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,bench_60_40,neutral_stock_risk_on_diagnostic,0,70,,0.0069,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,bench_60_40,diagnostic_aggression_score_high,2,68,,0.00758,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
