catalog_position_one_based,version_name
59,improved_phase2b_regime_confidence_boost
60,improved_phase2b_transition_quality_gate
61,improved_phase2b_tail_risk_suppression
62,improved_phase2b_combo_ac
63,improved_phase2b_combo_abc
64,improved_phaseb_trend_quality_module
65,improved_phaseb_confirmation_module
66,improved_phaseb_trend_quality_refined
67,improved_phaseb_combo_trend_quality_confirmation
68,improved_phasec_sleeve_universe_base
69,improved_phasec_learned_sleeve_quality
70,improved_phasec_dynamic_risk_budget
71,improved_phasec_state_conditioned_map
72,improved_phasec_combo_learned_state
73,improved_phase3_richer_sleeve_sector_rotation
74,improved_phase3_sleeve_quality_confirmed
75,improved_phase3_state_conditioned_sleeve_lead
76,improved_phase3_combo_a1b1
77,improved_phase3_combo_a1b1c1
78,improved_phase3_1_c1_widened
79,improved_phase3_1_c1_conviction_gated
80,improved_phase3_1_a1_state_gated
81,improved_phase3_1_combo_c1a_a1g
82,improved_phase3_2_combo_tight_gate
83,improved_phase3_2_combo_dd_guard
84,improved_phase3_2_combo_tight_gate_dd_guard
85,improved_phase3_4_combo_fragile_guard
86,improved_phase3_4_combo_tilt_dampened
87,improved_phase3_4_combo_fragile_guard_tilt_dampened
88,improved_phaseff_hint_inallocator_light
89,improved_phaseff_hint_inallocator_state_gated
90,improved_phasegg_hint_inallocator_10
91,improved_phasegg_hint_inallocator_15
92,improved_phasehh_refined_confidence_additive
93,improved_phasehh_refined_confidence_smoothing
94,improved_phaseii_good_state_participation_light
95,improved_phaseii_recovery_confirmed_participation_light
96,improved_phasejj_ml_riskdial_25
97,improved_phasejj_ml_riskdial_50
98,improved_phasekk_targeta_confidence_replacement
99,improved_phasekk_targeta_confidence_blend25
100,improved_phasemm_recovery_cash_relief
101,improved_phasemm_good_state_overlay_relief
102,improved_phasemm_recovery_confirmed_sleeve_fix
103,improved_phasenn_recovery_lookthrough_relief
104,improved_phasenn_neutral_lookthrough_relief
105,improved_phasenn_mm_plus_lookthrough_relief
106,improved_phaseoo_composite_recovery_cash_relief
107,improved_phaseoo_composite_neutral_cash_relief
108,improved_phaseoo_composite_combined_cash_relief
109,improved_phasepp_composite_bond_gold_fallback
110,improved_phasepp_composite_balanced_defensive_fallback
111,improved_phasepp_composite_combined_fallback_redesign
112,improved_phaseqq_cash_defense_score_fallback
113,improved_phaseqq_reason_specific_fallback
114,improved_phaseqq_pp_combined_score_filtered
115,improved_phaserr_good_state_bucket_participation
116,improved_phaserr_recovery_bucket_repair
117,improved_phaserr_combined_bucket_allocator
118,improved_phasess_recovery_explicit_bucket
119,improved_phasess_good_state_explicit_bucket
120,improved_phasess_combined_explicit_bucket
121,improved_phasett_recovery_two_stage_bucket
122,improved_phasett_recovery_neutral_two_stage_bucket
123,improved_phasett_ss1_overlay_coordinated
124,improved_phaseuu_tt1_overlay_preserved_recovery
125,improved_phaseuu_recovery_overlay_cash_cap
126,improved_phaseuu_tt1_budget_aware_lighter_both
127,improved_phasevv_recovery_budget_aware_overlay
128,improved_phasevv_recovery_overlay_tolerance_band
129,improved_phasevv_recovery_neutral_budget_aware_overlay
130,improved_phaseww_recovery_budget_native_lighter_both
131,improved_phaseww_split_recovery_lighter_both
132,improved_phaseww_vv_direct_lighter_both_rewrite
133,improved_phaseww_confirmed_only_lighter_both
134,improved_phaseww_fragile_defense_lighter_both
135,improved_phaseww_vv_shadow_polish
136,improved_phasexx_guardrail_only_overlay
137,improved_phasexx_guardrail_overlay_fragile_floor
138,improved_phasexx_recovery_neutral_overlay_simplified
139,improved_phasexx_conservative_hybrid_overlay
140,improved_phaseyy_composite_cash_explicit
141,improved_phaseyy_composite_offense_defense_split
142,improved_phaseyy_decomposition_vv_reference
143,improved_phaseyy_conservative_decomposition
144,improved_phasezz_recovery_offense_rebudget
145,improved_phasezz_recovery_neutral_offense_rebudget
146,improved_phasezz_confirmed_freer_fragile_conservative
147,improved_phasezz_conservative_decomposition_repair
148,improved_phaseaaa_confirmed_offense_escalation
149,improved_phaseaaa_confirmed_offense_mix_tilt
150,improved_phaseaaa_confirmed_defense_composition_repair
151,improved_phaseaaa_confirmed_only_combined_repair
152,improved_phasebbb_stronger_confirmed_offense_mix
153,improved_phasebbb_composite_offense_component_tilt
154,improved_phasebbb_offense_defense_composition_combo
155,improved_phasebbb_conservative_confirmed_composition
156,improved_phaseccc_confirmed_cap_css
157,improved_phaseccc_confirmed_cap_dual
158,improved_phaseccc_confirmed_cap_dual_css
159,improved_phaseccc_conservative_confirmed_pruning
160,improved_phaseddd_confirmed_harder_dual_cap
161,improved_phaseddd_confirmed_near_exclude_dual
162,improved_phaseddd_confirmed_dual_hard_css_soft
163,improved_phaseddd_confirmed_defensive_balanced_substitution
164,improved_phaseddd_minimal_dual_polish
165,improved_phaseddd_confirmed_comp_off_receiver
166,improved_phaseeee_smoothed_near_exclude_dual
167,improved_phaseeee_turnover_aware_dual_cap
168,improved_phaseeee_selective_dual_escalation
169,improved_phasefff_recovery_quality_filtered_offense
170,improved_phasefff_recovery_confirmed_tilted_offense
171,improved_phasefff_robust_composite_offense
172,improved_phasefff_conservative_offense_polish
173,improved_phaseggg_confirmed_only_robust_offense
174,improved_phasennn_ml_risk_dial_overlay
175,improved_phasennn_ml_opportunity_dial_overlay
176,improved_phasejjj3_targeted_lookthrough_repair
177,improved_phasejjj4_state_risk_contribution_caps
178,improved_phasejjj4_adaptive_mom_vol_corr_budget
179,improved_phasejjj4_conservative_adaptive_risk_budget
180,improved_phaselll_recovery_defense_filter
181,improved_phaselll_recovery_defense_blend
182,improved_phaselll_conservative_defense_polish
183,improved_phasemmm_recovery_confirmed_css_cap
184,improved_phasemmm_recovery_confirmed_css_filter
185,improved_phasemmm_conservative_css_polish
186,improved_phaseooo6_efa_spy_selective_tilt
187,improved_phaseooo6_efa_spy_vol_filtered_tilt
188,improved_phaseooo6_efa_spy_trend_confirmed_tilt
189,improved_phasesss3_calm_old_low_stress_derisk
190,improved_phasesss3_stress_new_state_defense
191,improved_phasesss3_recovery_sequence_rerisk
192,improved_phasesss3_combined_sequence_overlay
193,improved_phaseggg_confirmed_only_quality_filtered_offense
194,improved_phaseggg_blended_confirmed_robust_offense
195,improved_phasehhh_confirmed_stressed_robust_offense
196,improved_phasehhh_confirmed_robust_stressed_blended_offense
197,improved_phasehhh_confirmed_quality_stressed_robust_offense
198,improved_phase2_aggressive_neutral_cash_unlock
199,improved_phase2_aggressive_calm_offense_unlock
200,improved_phase2_aggressive_recovery_confirmed_boost
201,improved_phase2_aggressive_nonstressed_offense_mandate
202,improved_phase2_aggressive_balanced_mandate
203,improved_phase2_aggressive_stretch_mandate
204,improved_phase3_breadth_neutral_cash_unlock
205,improved_phase3_high_breadth_calm_us_offense
206,improved_phase3_qqq_us_growth_leadership
207,improved_phase3_breadth_credit_risk_on_offense
208,improved_phase3_balanced_breadth_aggressive
209,improved_phase3_stretch_breadth_aggressive
210,improved_phase4_sector_small_overlay
211,improved_phase4_sector_20pct_offense
212,improved_phase4_sector_25pct_offense
213,improved_phase4_balanced_sector_breadth
214,improved_phase4_stretch_sector_momentum
215,improved_phase4_sector_us_hybrid
216,improved_phase4b_refined_sector_small_overlay
217,improved_phase4b_refined_sector_20pct
218,improved_phase4b_refined_sector_25pct_selective
219,improved_phase4b_sector_phase3_hybrid
220,improved_phase4b_return_unlock_stretch
221,improved_phase6_neutral_classifier_unlock
222,improved_phase6_calm_bull_quality_offense
223,improved_phase6_recovery_quality_rerisk
224,improved_phase6_continuous_aggression_score
225,improved_phase6_balanced_classifier_rebuild
226,improved_phase7_larger_sector_calm
227,improved_phase7_expression_boost
228,improved_phase7_max_sector_rerisk
229,improved_phase7_combined_offensive
230,improved_phase7_stretch_target
