trial_id,batch,track,repository_entry_id,configuration_id,status,decision,reason,evidence_path
batch09-guard_s0.04_c0.50_b0.05-10,9,fragility_guard,,guard_s0.04_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.50_b0.05-25,9,fragility_guard,,guard_s0.04_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.50_b0.05-50,9,fragility_guard,,guard_s0.04_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.50_b0.05-100,9,fragility_guard,,guard_s0.04_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.00-10,9,fragility_guard,,guard_s0.04_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.00-25,9,fragility_guard,,guard_s0.04_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.00-50,9,fragility_guard,,guard_s0.04_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.00-100,9,fragility_guard,,guard_s0.04_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.05-10,9,fragility_guard,,guard_s0.04_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.05-25,9,fragility_guard,,guard_s0.04_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.05-50,9,fragility_guard,,guard_s0.04_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.75_b0.05-100,9,fragility_guard,,guard_s0.04_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.00-10,9,fragility_guard,,guard_s0.08_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.00-25,9,fragility_guard,,guard_s0.08_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.00-50,9,fragility_guard,,guard_s0.08_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.00-100,9,fragility_guard,,guard_s0.08_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.05-10,9,fragility_guard,,guard_s0.08_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.05-25,9,fragility_guard,,guard_s0.08_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.05-50,9,fragility_guard,,guard_s0.08_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.50_b0.05-100,9,fragility_guard,,guard_s0.08_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.00-10,9,fragility_guard,,guard_s0.08_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.00-25,9,fragility_guard,,guard_s0.08_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.00-50,9,fragility_guard,,guard_s0.08_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.00-100,9,fragility_guard,,guard_s0.08_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.05-10,9,fragility_guard,,guard_s0.08_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.05-25,9,fragility_guard,,guard_s0.08_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.05-50,9,fragility_guard,,guard_s0.08_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.08_c0.75_b0.05-100,9,fragility_guard,,guard_s0.08_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.00-10,9,fragility_guard,,guard_s0.12_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.00-25,9,fragility_guard,,guard_s0.12_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.00-50,9,fragility_guard,,guard_s0.12_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.00-100,9,fragility_guard,,guard_s0.12_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.05-10,9,fragility_guard,,guard_s0.12_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.05-25,9,fragility_guard,,guard_s0.12_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.05-50,9,fragility_guard,,guard_s0.12_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.50_b0.05-100,9,fragility_guard,,guard_s0.12_c0.50_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.00-10,9,fragility_guard,,guard_s0.12_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.00-25,9,fragility_guard,,guard_s0.12_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.00-50,9,fragility_guard,,guard_s0.12_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.00-100,9,fragility_guard,,guard_s0.12_c0.75_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.05-10,9,fragility_guard,,guard_s0.12_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.05-25,9,fragility_guard,,guard_s0.12_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.05-50,9,fragility_guard,,guard_s0.12_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.12_c0.75_b0.05-100,9,fragility_guard,,guard_s0.12_c0.75_b0.05,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch10-cross_sectional_value,10,independent_strategy_sleeves,,cross_sectional_value,blocked_data_gate,retain_in_backlog,A genuine point-in-time value test requires historical fundamentals or valuation data; current free ETF prices cannot measure value without inventing a mislabeled proxy.,evidence/independent_sleeves_batch_10/result.json
batch10-carry_or_roll_proxy,10,independent_strategy_sleeves,,carry_or_roll_proxy,completed_failed_promotion,research_only,"Positive and cost-robust, but failed the 576-trial multiple-testing gate and current distributions are not archived point-in-time vintages.",evidence/independent_sleeves_batch_10/result.json
batch10-short_term_reversal,10,independent_strategy_sleeves,,short_term_reversal,completed_failed_promotion,do_not_add_to_portfolio,The selected reversal family failed the 100 bps cost and 576-trial multiple-testing gates and had excessive turnover.,evidence/independent_sleeves_batch_10/result.json
batch10-defensive_macro_regime,10,independent_strategy_sleeves,,defensive_macro_regime,completed_not_independent,already_represented,"The defensive family passed robustness, but it is already the second frozen sleeve and therefore cannot honestly be counted as an independent third sleeve.",evidence/independent_sleeves_batch_10/result.json
batch12-baseline-10,12,machine_learning_sandbox,,baseline,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-baseline-25,12,machine_learning_sandbox,,baseline,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-baseline-50,12,machine_learning_sandbox,,baseline,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-baseline-100,12,machine_learning_sandbox,,baseline,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-nested_ridge-10,12,machine_learning_sandbox,,nested_ridge,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-nested_ridge-25,12,machine_learning_sandbox,,nested_ridge,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-nested_ridge-50,12,machine_learning_sandbox,,nested_ridge,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-nested_ridge-100,12,machine_learning_sandbox,,nested_ridge,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-label_shuffle-10,12,machine_learning_sandbox,,label_shuffle,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-label_shuffle-25,12,machine_learning_sandbox,,label_shuffle,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-label_shuffle-50,12,machine_learning_sandbox,,label_shuffle,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch12-label_shuffle-100,12,machine_learning_sandbox,,label_shuffle,completed,retain_for_comparison,nested outer test only,evidence/ml_sandbox_batch_12/scoreboard.csv
batch11-cvxportfolio-attempt1,11,portfolio_libraries,ast-0183,minimal_install,failed,retain_failure,GitHub archive lacked SCM version metadata,evidence/portfolio_libraries_batch_11/capability_probes/ast-0183.json
batch11-cvxportfolio-attempt2,11,portfolio_libraries,ast-0183,policy_construction,passed,sandbox_reference_only,GPL-3.0 policy construction passed after explicit archive version,evidence/portfolio_libraries_batch_11/capability_probes/ast-0183-attempt-2.json
batch11-skfolio-attempt1,11,portfolio_libraries,ast-0184,minimum_variance,passed,eligible_research_library,fully invested and 35 percent cap passed,evidence/portfolio_libraries_batch_11/capability_probes/ast-0184.json
batch11-riskfolio-attempt1,11,portfolio_libraries,ast-0185,default_minimum_variance,failed,retain_failure,default solution breached the common 35 percent cap,evidence/portfolio_libraries_batch_11/capability_probes/ast-0185.json
batch11-riskfolio-attempt2,11,portfolio_libraries,ast-0185,bounded_minimum_variance,passed,eligible_with_explicit_bounds,fully invested and 35 percent cap passed,evidence/portfolio_libraries_batch_11/capability_probes/ast-0185-attempt-2.json
batch11-pypfopt-attempt1,11,portfolio_libraries,ast-0187,minimal_install_probe,failed,retain_failure,minimal runtime omitted packaging dependency,evidence/portfolio_libraries_batch_11/capability_probes/ast-0187.json
batch11-pypfopt-attempt2,11,portfolio_libraries,ast-0187,minimum_variance,passed,eligible_with_pinned_dependencies,fully invested and 35 percent cap passed,evidence/portfolio_libraries_batch_11/capability_probes/ast-0187-attempt-2.json
batch13-vectorbt-equivalence,13,vectorbt_equivalence,ast-0056,indicator_and_portfolio_probe,passed,sandbox_research_speed_only,exact indicator equivalence and deterministic repeat but restricted license,evidence/vectorbt_equivalence_batch_13/result.json
batch12-qlib-attempt1,12,machine_learning_sandbox,ast-0006,full_install,failed,retain_failure,GitHub archive lacked pyqlib SCM version metadata,evidence/challenger_program_v1/python_execution/ast-0006.json
batch12-qlib-attempt2,12,machine_learning_sandbox,ast-0006,offline_upstream_tests,failed,reference_only,core install completed but RL test collection lacked optional torch,evidence/challenger_program_v1/python_execution/ast-0006-attempt-2.json
batch12-finclaw-source-gate,12,machine_learning_sandbox,ast-0011,source_quality,blocked,do_not_execute_or_incorporate,no package manifest no tests and no detected license,evidence/ml_sandbox_batch_12/repository_summary.json
batch12-mlquant-attempt1,12,machine_learning_sandbox,ast-0076,full_install,failed,retain_failure,stopped at storage safety floor,evidence/challenger_program_v1/python_execution/ast-0076.json
batch12-mlquant-attempt2,12,machine_learning_sandbox,ast-0076,full_install,failed,reference_only,exceeded fixed 600 second install limit after expanding beyond 4 GB,evidence/challenger_program_v1/python_execution/ast-0076-attempt-2.json
batch12-deepdow-attempt1,12,machine_learning_sandbox,ast-0186,full_install,failed,retain_failure,stopped while disk blocks awaited safe trim,evidence/challenger_program_v1/python_execution/ast-0186.json
batch12-deepdow-attempt2,12,machine_learning_sandbox,ast-0186,full_install,failed,reference_only,exceeded fixed 600 second install limit and repository has been quiet since 2024,evidence/challenger_program_v1/python_execution/ast-0186-attempt-2.json
