target,model,bucket,n_obs,mean_prediction,positive_rate,avg_forward_return
ggg1_tail_risk_4w,hist_gradient_depth3,8,84,0.5383083890347042,0.32142857142857145,0.005922306153931649
ggg1_tail_risk_4w,hist_gradient_depth3,9,85,0.7348313905239316,0.2,0.010209268848645002
ggg1_tail_risk_4w,logistic_sequence_l2,0,85,0.008526566621097444,0.27058823529411763,0.007487865174005606
ggg1_tail_risk_4w,logistic_sequence_l2,1,85,0.06360085424152272,0.32941176470588235,0.0026565650945021926
ggg1_tail_risk_4w,logistic_sequence_l2,2,84,0.1311850532904656,0.20238095238095238,0.00615301042391469
ggg1_tail_risk_4w,logistic_sequence_l2,3,85,0.1884103608607382,0.23529411764705882,0.006542388346081979
ggg1_tail_risk_4w,logistic_sequence_l2,4,84,0.25509297864112057,0.30952380952380953,0.0032747854553614305
ggg1_tail_risk_4w,logistic_sequence_l2,5,85,0.305951827324756,0.21176470588235294,0.0035524353131249765
ggg1_tail_risk_4w,logistic_sequence_l2,6,84,0.36953807140264866,0.2261904761904762,0.009508441467413416
ggg1_tail_risk_4w,logistic_sequence_l2,7,85,0.4764854550742168,0.3058823529411765,0.0058344802753141625
ggg1_tail_risk_4w,logistic_sequence_l2,8,84,0.5984136145099932,0.3333333333333333,0.004431223439292372
ggg1_tail_risk_4w,logistic_sequence_l2,9,85,0.8120680674619356,0.23529411764705882,0.006722275247656149
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,0,85,0.005486762881956374,0.36470588235294116,0.0009339088117393916
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,1,85,0.027347683638104404,0.12941176470588237,0.010802655006303051
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,2,84,0.07386689489556797,0.35714285714285715,0.00225314617818978
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,3,85,0.12549783833662598,0.23529411764705882,0.006516993286305983
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,4,84,0.19128089088066505,0.27380952380952384,0.004829378246002268
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,5,85,0.2640909203798175,0.2823529411764706,0.005984041736236714
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,6,84,0.3443959909353341,0.30952380952380953,0.0021301690949413767
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,7,85,0.44116353406720993,0.2,0.0072030414989427876
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,8,84,0.5961499864985019,0.27380952380952384,0.007033363749018203
ggg1_tail_risk_4w,logistic_sequence_plus_l2b,9,85,0.8507011277822518,0.23529411764705882,0.008392991411130594
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,0,85,0.007961362755611032,0.3058823529411765,0.005104394026630264
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,1,85,0.06012442135777245,0.3411764705882353,0.00295608543536776
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,2,84,0.12584500888711816,0.16666666666666666,0.007089009197240295
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,3,85,0.1845003916848137,0.24705882352941178,0.005813891204540887
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,4,84,0.24918858572111657,0.27380952380952384,0.005292821405681573
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,5,85,0.3097947004369448,0.23529411764705882,0.0030219930862657213
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,6,84,0.3761496295444003,0.2619047619047619,0.0073174412743897506
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,7,85,0.48213226883149735,0.27058823529411763,0.005625896281995524
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,8,84,0.6098066310449739,0.2857142857142857,0.0069743888088022775
ggg1_tail_risk_4w,logistic_sequence_plus_qqq,9,85,0.8077379443263689,0.27058823529411763,0.007006445985166242
ggg1_tail_risk_4w,random_forest_depth4,0,85,0.17002005315333105,0.25882352941176473,0.003591011331585887
ggg1_tail_risk_4w,random_forest_depth4,1,85,0.20814298452617835,0.35294117647058826,0.00105574299789446
ggg1_tail_risk_4w,random_forest_depth4,2,84,0.22460248028784746,0.25,0.0052376385418884
ggg1_tail_risk_4w,random_forest_depth4,3,85,0.24607083947958253,0.2823529411764706,0.0038792452544403285
ggg1_tail_risk_4w,random_forest_depth4,4,84,0.26081223990751884,0.36904761904761907,0.005872174270272599
ggg1_tail_risk_4w,random_forest_depth4,5,85,0.2749773122188754,0.29411764705882354,0.0038210605546027034
ggg1_tail_risk_4w,random_forest_depth4,6,84,0.2930295567463605,0.20238095238095238,0.0061426307008789465
ggg1_tail_risk_4w,random_forest_depth4,7,85,0.30673024182633013,0.24705882352941178,0.007176224669920796
ggg1_tail_risk_4w,random_forest_depth4,8,84,0.3237927141328277,0.13095238095238096,0.010015633780387626
ggg1_tail_risk_4w,random_forest_depth4,9,85,0.35676557748287874,0.27058823529411763,0.009417997740765177
ggg1_underperformance_4w,decision_tree_depth3,0,85,0.5757676787534908,0.788235294117647,0.004998669305325793
ggg1_underperformance_4w,decision_tree_depth3,1,105,0.7035817080202534,0.7238095238095238,0.009330463008794403
ggg1_underperformance_4w,decision_tree_depth3,2,77,0.7232180751247885,0.5584415584415584,0.0047740839172107224
ggg1_underperformance_4w,decision_tree_depth3,3,82,0.7457313897502482,0.6585365853658537,0.004019052211506968
ggg1_underperformance_4w,decision_tree_depth3,4,87,0.7687818341015953,0.735632183908046,-0.0030400725412897994
ggg1_underperformance_4w,decision_tree_depth3,5,84,0.7902484475999435,0.7976190476190477,0.007506249609505332
ggg1_underperformance_4w,decision_tree_depth3,6,77,0.8170557454506026,0.6883116883116883,0.007138555852378127
ggg1_underperformance_4w,decision_tree_depth3,7,91,0.8346342957850229,0.7472527472527473,0.007689605240337206
ggg1_underperformance_4w,decision_tree_depth3,8,95,0.929465570341513,0.7684210526315789,0.004179942922909597
ggg1_underperformance_4w,decision_tree_depth3,9,63,0.9785016903208539,0.7936507936507936,0.01009871663808509
ggg1_underperformance_4w,hist_gradient_depth3,0,85,0.44094405112435286,0.7411764705882353,0.006859158097548957
ggg1_underperformance_4w,hist_gradient_depth3,1,85,0.6462870818573802,0.6352941176470588,0.004593611821260176
ggg1_underperformance_4w,hist_gradient_depth3,2,84,0.7356533176759372,0.7261904761904762,0.0024905025390380394
ggg1_underperformance_4w,hist_gradient_depth3,3,85,0.7940725784619697,0.7176470588235294,0.00682103932324513
ggg1_underperformance_4w,hist_gradient_depth3,4,84,0.8370306548342961,0.7261904761904762,0.003523881273120765
ggg1_underperformance_4w,hist_gradient_depth3,5,85,0.8668739905292627,0.6941176470588235,0.007079658372277668
ggg1_underperformance_4w,hist_gradient_depth3,6,84,0.894884632826914,0.7738095238095238,0.004272295011184933
ggg1_underperformance_4w,hist_gradient_depth3,7,92,0.9248778710130149,0.75,0.0053267361678435285
ggg1_underperformance_4w,hist_gradient_depth3,8,77,0.9522496147801807,0.7532467532467533,0.004687078130331839
ggg1_underperformance_4w,hist_gradient_depth3,9,85,0.9769716403575481,0.7529411764705882,0.01035808232322902
ggg1_underperformance_4w,logistic_sequence_l2,0,85,0.23093261533274362,0.6941176470588235,0.007382432255068601
ggg1_underperformance_4w,logistic_sequence_l2,1,85,0.5307398775761599,0.6823529411764706,0.004371122368165247
ggg1_underperformance_4w,logistic_sequence_l2,2,84,0.6772913554694855,0.6428571428571429,0.006804774255010226
ggg1_underperformance_4w,logistic_sequence_l2,3,85,0.7498769120997076,0.7529411764705882,0.005761873089205856
ggg1_underperformance_4w,logistic_sequence_l2,4,84,0.8004655950128251,0.7738095238095238,0.005278033579011838
ggg1_underperformance_4w,logistic_sequence_l2,5,85,0.8450081139926987,0.7647058823529411,0.00042809710266340117
ggg1_underperformance_4w,logistic_sequence_l2,6,84,0.880303691413418,0.6547619047619048,0.004335900341854157
ggg1_underperformance_4w,logistic_sequence_l2,7,85,0.9210971595396492,0.7647058823529411,0.0062018243275009785
ggg1_underperformance_4w,logistic_sequence_l2,8,84,0.961230557284948,0.7976190476190477,0.0071556494479912995
ggg1_underperformance_4w,logistic_sequence_l2,9,85,0.9904796606227063,0.7411764705882353,0.008446197550641084
ggg1_underperformance_4w,logistic_sequence_plus_l2b,0,85,0.19695613297045952,0.7176470588235294,0.006479346935322847
ggg1_underperformance_4w,logistic_sequence_plus_l2b,1,85,0.5488116935096474,0.7176470588235294,0.0024411126983723158
ggg1_underperformance_4w,logistic_sequence_plus_l2b,2,84,0.7093052018776487,0.6666666666666666,0.00727040999402018
ggg1_underperformance_4w,logistic_sequence_plus_l2b,3,85,0.8065620458662945,0.7764705882352941,0.005586390424158213
ggg1_underperformance_4w,logistic_sequence_plus_l2b,4,84,0.8651087116587768,0.7261904761904762,0.006988990859516022
ggg1_underperformance_4w,logistic_sequence_plus_l2b,5,85,0.8958711250809173,0.6941176470588235,0.005272337616303981
ggg1_underperformance_4w,logistic_sequence_plus_l2b,6,84,0.9199443892167685,0.7380952380952381,0.0014906801869965316
ggg1_underperformance_4w,logistic_sequence_plus_l2b,7,85,0.9505432463845411,0.7411764705882353,0.005803629568432043
ggg1_underperformance_4w,logistic_sequence_plus_l2b,8,84,0.9803729964109168,0.7857142857142857,0.006360795975111933
ggg1_underperformance_4w,logistic_sequence_plus_l2b,9,85,0.9968015061681416,0.7058823529411765,0.008454992639958353
ggg1_underperformance_4w,logistic_sequence_plus_qqq,0,85,0.23613941408242956,0.7294117647058823,0.003777440209414338
ggg1_underperformance_4w,logistic_sequence_plus_qqq,1,85,0.5221335672854671,0.7294117647058823,0.003885424649828723
ggg1_underperformance_4w,logistic_sequence_plus_qqq,2,84,0.6752300829065474,0.6190476190476191,0.007221949133364354
ggg1_underperformance_4w,logistic_sequence_plus_qqq,3,85,0.7565101454376711,0.7529411764705882,0.0056098412077613775
ggg1_underperformance_4w,logistic_sequence_plus_qqq,4,84,0.8039850823202406,0.7976190476190477,0.004218257595769236
ggg1_underperformance_4w,logistic_sequence_plus_qqq,5,85,0.8522907304340386,0.7294117647058823,0.003241241276633223
ggg1_underperformance_4w,logistic_sequence_plus_qqq,6,84,0.8896364646704581,0.6547619047619048,0.0028821017216530053
ggg1_underperformance_4w,logistic_sequence_plus_qqq,7,85,0.9259709403854781,0.788235294117647,0.010364843424485059
ggg1_underperformance_4w,logistic_sequence_plus_qqq,8,84,0.9596617498720015,0.6904761904761905,0.006173074327334311
ggg1_underperformance_4w,logistic_sequence_plus_qqq,9,85,0.9919634367087545,0.7764705882352941,0.00875550753738969
ggg1_underperformance_4w,random_forest_depth4,0,85,0.45360139374478037,0.8588235294117647,0.008582850455629005
ggg1_underperformance_4w,random_forest_depth4,1,85,0.6244218426178823,0.7058823529411765,0.007623739618488446
ggg1_underperformance_4w,random_forest_depth4,2,84,0.6784711169498552,0.8452380952380952,-0.0006620922384807408
ggg1_underperformance_4w,random_forest_depth4,3,90,0.7052481252383914,0.6777777777777778,0.0031901452018852096
ggg1_underperformance_4w,random_forest_depth4,4,79,0.7170387359332313,0.7088607594936709,0.005756881403187646
ggg1_underperformance_4w,random_forest_depth4,5,85,0.7341362214639464,0.6941176470588235,0.003272106717334123
ggg1_underperformance_4w,random_forest_depth4,6,84,0.7500542101145641,0.6547619047619048,0.006795612177495204
ggg1_underperformance_4w,random_forest_depth4,7,85,0.7611649296096064,0.7058823529411765,0.009109163612247053
ggg1_underperformance_4w,random_forest_depth4,8,84,0.7742749599256588,0.6904761904761905,0.006419187202153193
ggg1_underperformance_4w,random_forest_depth4,9,85,0.7982638695231589,0.7294117647058823,0.006167356189844138
recovery_quality_4w,decision_tree_depth3,0,74,0.1738129787704068,0.44594594594594594,0.008371123771224216
recovery_quality_4w,decision_tree_depth3,1,64,0.2985714558464028,0.453125,0.0031041758375444355
recovery_quality_4w,decision_tree_depth3,2,67,0.37629638735153786,0.4626865671641791,0.005489017137425183
recovery_quality_4w,decision_tree_depth3,3,64,0.4076348923256562,0.59375,0.0071373846052251375
recovery_quality_4w,decision_tree_depth3,4,90,0.43352034611157814,0.4777777777777778,0.007902414765966174
recovery_quality_4w,decision_tree_depth3,5,43,0.505216905249122,0.6046511627906976,0.010581642328580335
recovery_quality_4w,decision_tree_depth3,6,83,0.5588718534037692,0.4939759036144578,0.001586245638039767
recovery_quality_4w,decision_tree_depth3,7,51,0.6269559515264344,0.5490196078431373,0.0071008183985206575
recovery_quality_4w,decision_tree_depth3,8,73,0.6999546805870902,0.5205479452054794,0.011543707612835907
recovery_quality_4w,decision_tree_depth3,9,61,0.9385238654317232,0.32786885245901637,0.0003076049266560229
recovery_quality_4w,hist_gradient_depth3,0,67,0.13101476702599774,0.5522388059701493,0.009920256778012495
recovery_quality_4w,hist_gradient_depth3,1,67,0.22393659011753975,0.5522388059701493,0.01202471357872261
recovery_quality_4w,hist_gradient_depth3,2,67,0.29317444079230814,0.47761194029850745,0.005769528300974126
recovery_quality_4w,hist_gradient_depth3,3,67,0.37678697222779406,0.5223880597014925,0.007647737869719417
recovery_quality_4w,hist_gradient_depth3,4,67,0.44506514706873107,0.5373134328358209,0.007088987357922178
recovery_quality_4w,hist_gradient_depth3,5,67,0.5117719031158834,0.43283582089552236,0.004375445416523198
recovery_quality_4w,hist_gradient_depth3,6,67,0.5769685055805719,0.4626865671641791,0.0037852102407579294
recovery_quality_4w,hist_gradient_depth3,7,67,0.6426697051935658,0.40298507462686567,0.004883373957756475
recovery_quality_4w,hist_gradient_depth3,8,67,0.7463065680006963,0.5223880597014925,0.0045002859302207855
recovery_quality_4w,hist_gradient_depth3,9,67,0.914699224532029,0.417910447761194,0.0021562487369450396
recovery_quality_4w,logistic_sequence_l2,0,67,0.09266564599501571,0.47761194029850745,0.007282571580261053
recovery_quality_4w,logistic_sequence_l2,1,67,0.21081285674866795,0.47761194029850745,0.008557819188367597
recovery_quality_4w,logistic_sequence_l2,2,67,0.2966302701233438,0.43283582089552236,0.003677613314911123
recovery_quality_4w,logistic_sequence_l2,3,67,0.3842416386886612,0.44776119402985076,0.0018052154821718523
recovery_quality_4w,logistic_sequence_l2,4,67,0.44364443369363077,0.5970149253731343,0.011173952597654234
recovery_quality_4w,logistic_sequence_l2,5,67,0.5086520618042836,0.5373134328358209,0.00639014444624074
recovery_quality_4w,logistic_sequence_l2,6,67,0.5724976825979887,0.5373134328358209,0.00783791508241399
recovery_quality_4w,logistic_sequence_l2,7,67,0.6458632673139609,0.43283582089552236,0.0014306848860027178
recovery_quality_4w,logistic_sequence_l2,8,67,0.7536435112158459,0.44776119402985076,0.007213724168668573
recovery_quality_4w,logistic_sequence_l2,9,67,0.946173184683803,0.4925373134328358,0.006782147420862372
recovery_quality_4w,logistic_sequence_plus_l2b,0,67,0.030678122821623223,0.5074626865671642,0.007660593305707642
recovery_quality_4w,logistic_sequence_plus_l2b,1,67,0.08743898962155497,0.43283582089552236,0.00389235359722401
recovery_quality_4w,logistic_sequence_plus_l2b,2,67,0.15956186605563719,0.417910447761194,0.0039703417116868115
recovery_quality_4w,logistic_sequence_plus_l2b,3,67,0.24072750578997693,0.5074626865671642,0.007418006114416548
recovery_quality_4w,logistic_sequence_plus_l2b,4,67,0.3209133869083732,0.44776119402985076,0.0014627368065003592
recovery_quality_4w,logistic_sequence_plus_l2b,5,67,0.40224595962320825,0.582089552238806,0.009452972164361148
recovery_quality_4w,logistic_sequence_plus_l2b,6,67,0.5089560696924442,0.5074626865671642,0.008182888660480893
recovery_quality_4w,logistic_sequence_plus_l2b,7,67,0.6647122914777238,0.4925373134328358,0.006148647299543315
recovery_quality_4w,logistic_sequence_plus_l2b,8,67,0.8289616119121455,0.5522388059701493,0.009822237314062846
recovery_quality_4w,logistic_sequence_plus_l2b,9,67,0.9772497836140228,0.43283582089552236,0.004141011193570679
recovery_quality_4w,logistic_sequence_plus_qqq,0,67,0.08337775596325449,0.5223880597014925,0.009876059049357767
recovery_quality_4w,logistic_sequence_plus_qqq,1,67,0.20838710272792602,0.47761194029850745,0.006415430332815402
recovery_quality_4w,logistic_sequence_plus_qqq,2,67,0.2934701104762379,0.44776119402985076,0.004819069259282365
recovery_quality_4w,logistic_sequence_plus_qqq,3,67,0.38297560945965714,0.44776119402985076,0.0015821158747397807
recovery_quality_4w,logistic_sequence_plus_qqq,4,67,0.45644564852438696,0.5671641791044776,0.009465345167669276
recovery_quality_4w,logistic_sequence_plus_qqq,5,67,0.5216661513316614,0.6268656716417911,0.010596197791222763
recovery_quality_4w,logistic_sequence_plus_qqq,6,67,0.5887116628515884,0.5074626865671642,0.0073884601983049214
recovery_quality_4w,logistic_sequence_plus_qqq,7,67,0.6621710833990223,0.373134328358209,-9.232156997450675e-05
recovery_quality_4w,logistic_sequence_plus_qqq,8,67,0.7769310287497013,0.4626865671641791,0.006968137550354489
recovery_quality_4w,logistic_sequence_plus_qqq,9,67,0.957283003134125,0.44776119402985076,0.005133294513781995
recovery_quality_4w,random_forest_depth4,0,67,0.3849987641000928,0.5671641791044776,0.01158502376369304
recovery_quality_4w,random_forest_depth4,1,67,0.42387821172340745,0.417910447761194,0.0034408193402488303
recovery_quality_4w,random_forest_depth4,2,67,0.4484061218125696,0.4925373134328358,0.002970242451906921
recovery_quality_4w,random_forest_depth4,3,67,0.4743436985019059,0.5074626865671642,0.007526830189893044
recovery_quality_4w,random_forest_depth4,4,67,0.49407510698213275,0.582089552238806,0.01096372766621014
recovery_quality_4w,random_forest_depth4,5,67,0.5172079089473324,0.5223880597014925,0.010066617591794474
recovery_quality_4w,random_forest_depth4,6,67,0.5360316764111165,0.5373134328358209,0.008034932634143458
recovery_quality_4w,random_forest_depth4,7,67,0.5481311071963673,0.4626865671641791,0.004009311690248935
recovery_quality_4w,random_forest_depth4,8,67,0.5676147395571662,0.43283582089552236,0.003676693998712099
recovery_quality_4w,random_forest_depth4,9,67,0.6404606698272676,0.3582089552238806,-0.00012241115929668915
recovery_quality_8w,decision_tree_depth3,0,68,0.11318129203920528,0.6470588235294118,0.024676210983697825
recovery_quality_8w,decision_tree_depth3,1,78,0.2542539093261809,0.4358974358974359,0.012987735352328581
recovery_quality_8w,decision_tree_depth3,2,58,0.34989863500390306,0.6206896551724138,0.02032584701169301
recovery_quality_8w,decision_tree_depth3,3,83,0.40193819158655836,0.5060240963855421,0.005788552227724825
recovery_quality_8w,decision_tree_depth3,4,51,0.43015663274773286,0.5098039215686274,0.0020691056879161033
recovery_quality_8w,decision_tree_depth3,5,71,0.48664390322794315,0.5352112676056338,0.01874602382076873
recovery_quality_8w,decision_tree_depth3,6,58,0.5151456899612693,0.41379310344827586,0.003879338452401523
recovery_quality_8w,decision_tree_depth3,7,80,0.5646655845712154,0.45,0.010663559407078235
recovery_quality_8w,decision_tree_depth3,8,54,0.6697364943947591,0.46296296296296297,0.01719418220261275
recovery_quality_8w,decision_tree_depth3,9,66,0.9448674617123816,0.42424242424242425,0.006707675135098741
recovery_quality_8w,hist_gradient_depth3,0,67,0.08999255260878489,0.6567164179104478,0.02285884494700598
recovery_quality_8w,hist_gradient_depth3,1,67,0.1611740852590721,0.4626865671641791,0.013311291325931927
recovery_quality_8w,hist_gradient_depth3,2,66,0.24923393084441944,0.5,0.01171806786267809
recovery_quality_8w,hist_gradient_depth3,3,70,0.3461524443239871,0.4714285714285714,0.014816048058445599
recovery_quality_8w,hist_gradient_depth3,4,64,0.4384137711585745,0.5,0.010690149242747337
recovery_quality_8w,hist_gradient_depth3,5,66,0.531699520378048,0.42424242424242425,0.010301520848686012
recovery_quality_8w,hist_gradient_depth3,6,68,0.6111833593342834,0.45588235294117646,0.010715457916058064
recovery_quality_8w,hist_gradient_depth3,7,65,0.6998823027249242,0.5384615384615384,0.012852246529088378
recovery_quality_8w,hist_gradient_depth3,8,67,0.7951677191734359,0.5223880597014925,0.00793129902299095
recovery_quality_8w,hist_gradient_depth3,9,67,0.9202308446208067,0.4626865671641791,0.008100245222192708
recovery_quality_8w,logistic_sequence_l2,0,67,0.06843405793987418,0.5373134328358209,0.010887555807245566
recovery_quality_8w,logistic_sequence_l2,1,67,0.20551940782152245,0.44776119402985076,0.01622674944615578
recovery_quality_8w,logistic_sequence_l2,2,66,0.2930332798932618,0.5151515151515151,0.01484022665412075
recovery_quality_8w,logistic_sequence_l2,3,67,0.3810876950448006,0.47761194029850745,0.008291478916448521
recovery_quality_8w,logistic_sequence_l2,4,67,0.43146680617161126,0.4925373134328358,0.008523662249735334
recovery_quality_8w,logistic_sequence_l2,5,66,0.488116281866715,0.5151515151515151,0.015021683336843816
recovery_quality_8w,logistic_sequence_l2,6,67,0.5512111519161936,0.43283582089552236,0.012797219470920761
recovery_quality_8w,logistic_sequence_l2,7,66,0.6402192663676997,0.4696969696969697,0.00862449475105522
recovery_quality_8w,logistic_sequence_l2,8,67,0.7658141104619652,0.5223880597014925,0.011440194555486232
recovery_quality_8w,logistic_sequence_l2,9,67,0.9545314463818891,0.582089552238806,0.016848703957001592
recovery_quality_8w,logistic_sequence_plus_l2b,0,67,0.030320648450562922,0.5671641791044776,0.013828537330761847
recovery_quality_8w,logistic_sequence_plus_l2b,1,67,0.10892782238362679,0.373134328358209,0.007280055603289367
recovery_quality_8w,logistic_sequence_plus_l2b,2,66,0.18676191921634297,0.6060606060606061,0.01758172820325864
recovery_quality_8w,logistic_sequence_plus_l2b,3,67,0.25559320281316084,0.5223880597014925,0.014836232139712784
recovery_quality_8w,logistic_sequence_plus_l2b,4,67,0.3364188415210474,0.5074626865671642,0.012848106496207035
recovery_quality_8w,logistic_sequence_plus_l2b,5,66,0.4115421956888818,0.3787878787878788,0.00544828105000484
recovery_quality_8w,logistic_sequence_plus_l2b,6,67,0.5127333086480439,0.5223880597014925,0.011884071629579964
recovery_quality_8w,logistic_sequence_plus_l2b,7,66,0.6786896296779967,0.6060606060606061,0.017612540664238462
recovery_quality_8w,logistic_sequence_plus_l2b,8,67,0.8446857260315415,0.44776119402985076,0.011032449886311703
recovery_quality_8w,logistic_sequence_plus_l2b,9,67,0.9811926076111225,0.4626865671641791,0.011182147412924788
recovery_quality_8w,logistic_sequence_plus_qqq,0,67,0.06723457567344344,0.5223880597014925,0.012068869371847118
recovery_quality_8w,logistic_sequence_plus_qqq,1,67,0.1953413147081337,0.44776119402985076,0.01562397224850577
recovery_quality_8w,logistic_sequence_plus_qqq,2,66,0.27359174499652583,0.5151515151515151,0.013780955148067082
recovery_quality_8w,logistic_sequence_plus_qqq,3,67,0.3491384912579944,0.4626865671641791,0.008610798751107575
recovery_quality_8w,logistic_sequence_plus_qqq,4,67,0.4032536864970324,0.4925373134328358,0.00801583952001342
recovery_quality_8w,logistic_sequence_plus_qqq,5,66,0.4746469950770598,0.5151515151515151,0.01766428120726965
recovery_quality_8w,logistic_sequence_plus_qqq,6,67,0.5576834059101916,0.417910447761194,0.009439957080932086
recovery_quality_8w,logistic_sequence_plus_qqq,7,66,0.6540193359070288,0.5151515151515151,0.011112923708001973
recovery_quality_8w,logistic_sequence_plus_qqq,8,67,0.8031357600171264,0.5522388059701493,0.01120935078020519
recovery_quality_8w,logistic_sequence_plus_qqq,9,67,0.9695500443674313,0.5522388059701493,0.016035793796546086
recovery_quality_8w,random_forest_depth4,0,67,0.3367821366787187,0.6417910447761194,0.019581333342720688
recovery_quality_8w,random_forest_depth4,1,67,0.38900990002511987,0.40298507462686567,0.010139109376220336
recovery_quality_8w,random_forest_depth4,2,66,0.41739243313973384,0.5151515151515151,0.012795264594471178
recovery_quality_8w,random_forest_depth4,3,69,0.438425091729077,0.4492753623188406,0.012759788803300757
recovery_quality_8w,random_forest_depth4,4,65,0.4581074188478907,0.49230769230769234,0.0056456838602991985
recovery_quality_8w,random_forest_depth4,5,66,0.4759658967846668,0.4696969696969697,0.009593120177758378
recovery_quality_8w,random_forest_depth4,6,67,0.4947422693468501,0.5223880597014925,0.012284636896599315
recovery_quality_8w,random_forest_depth4,7,66,0.520123131588983,0.48484848484848486,0.013484580143589492
recovery_quality_8w,random_forest_depth4,8,67,0.5684722752029746,0.4925373134328358,0.01714380891559005
recovery_quality_8w,random_forest_depth4,9,67,0.67905757146954,0.5223880597014925,0.009823275128311888
stress_transition_4w,decision_tree_depth3,0,257,0.0024646320061458495,0.08949416342412451,0.006839702138002463
stress_transition_4w,decision_tree_depth3,1,97,0.01936205175496637,0.08247422680412371,0.006874407405367294
stress_transition_4w,decision_tree_depth3,2,77,0.058962653412105395,0.1038961038961039,0.010254842866666945
stress_transition_4w,decision_tree_depth3,3,84,0.07613316326292324,0.047619047619047616,0.0034892646242717902
stress_transition_4w,decision_tree_depth3,4,98,0.10000089491579002,0.10204081632653061,0.00473753520814446
stress_transition_4w,decision_tree_depth3,5,67,0.10824049019035481,0.05970149253731343,-0.0010059659199254012
stress_transition_4w,decision_tree_depth3,6,89,0.1529019837433482,0.15730337078651685,0.003232300998184265
stress_transition_4w,decision_tree_depth3,7,77,0.4623338713475822,0.15584415584415584,0.00725495960739884
stress_transition_4w,hist_gradient_depth3,0,85,0.0018154811375302596,0.11764705882352941,0.006226108617225682
stress_transition_4w,hist_gradient_depth3,1,85,0.0029996116792678144,0.023529411764705882,0.013856732961800648
stress_transition_4w,hist_gradient_depth3,2,86,0.004328639629402636,0.10465116279069768,0.007084796513761813
stress_transition_4w,hist_gradient_depth3,3,84,0.006192407403698337,0.05952380952380952,0.006007478858945183
stress_transition_4w,hist_gradient_depth3,4,83,0.00940252345585648,0.0963855421686747,0.004931592855492979
stress_transition_4w,hist_gradient_depth3,5,86,0.014339612698678466,0.10465116279069768,-0.0007152371744001046
stress_transition_4w,hist_gradient_depth3,6,83,0.029601535609620134,0.07228915662650602,0.006410388699915382
stress_transition_4w,hist_gradient_depth3,7,85,0.0650057338734458,0.08235294117647059,0.006559125396309023
