entry_id,name,repository,url,description,archived,fork,created_at,pushed_at,days_since_push,maintenance_status,stars,forks,disk_usage_kb,default_branch,head_commit,head_commit_date,latest_release,latest_release_date,license_spdx,license_review,license_source,license_evidence_path,primary_language,languages,dependency_manifests,ci_workflow_count,ci_workflows,top_level_test_indicators,docs_present,examples_present,security_policy_present,capability_flags,data_profile,installation_complexity,screening_score,health_band,recommended_action,blocking_concerns,screening_notes
ast-0029,gobacktest,gobacktest/gobacktest,https://github.com/gobacktest/gobacktest,event-driven backtesting framework written in golang,True,False,2017-07-26T05:54:17Z,2023-10-11T12:34:18Z,,archived,241,62,1076,main,719cff68de8ad45c45be4c68df6e6f31e5e64305,2023-10-11T12:34:18Z,,,MIT,recognized_permissive,github_machine_readable_detection,,Go,Go,go.mod,0,,,True,True,False,backtesting;event_driven,historical_bars_and_reference_data,medium,20,high_risk_or_insufficient_evidence,reference_only_for_now,repository_archived,no_GitHub_Actions_workflows_detected;no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0030,Hikyuu,fasiondog/hikyuu,https://github.com/fasiondog/hikyuu,Hikyuu Quant Framework 基于C++/Python的超高速开源量化交易研究框架，同时可基于策略部件进行资产重用，快速累积策略资产。,False,False,2012-07-18T23:21:42Z,2026-08-05T15:24:30Z,3,active_0_180_days,3424,816,220040,master,7e1a61d98cf4efa5dbac5a4feab749e28dbe5b95,2026-08-05T15:24:18Z,1.0.9,2018-11-15T18:16:52Z,Apache-2.0,recognized_permissive,github_machine_readable_detection,,C++,C++;Python;Xmake;C;Lua;Shell,requirements.txt;setup.py,4,fedora.yml.disable;macosx.yml;ubuntu.yml;windows.yml,test_data,True,False,False,,historical_bars_and_reference_data,medium_high,85,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0031,Investing Algorithm Framework,coding-kitties/investing-algorithm-framework,https://github.com/coding-kitties/investing-algorithm-framework,"Framework for quantitative trading. Complete framework for development, backtesting, and deploying automated trading algorithms and trading bots.",False,False,2019-12-18T11:20:36Z,2026-08-07T11:56:02Z,1,active_0_180_days,1639,242,59018,main,b14ad175e178391fa42831958bf1dcd42cbb3227,2026-08-07T11:56:00Z,v0.1,2020-06-25T15:43:42Z,Apache-2.0,recognized_permissive,github_machine_readable_detection,,Python,Python;HTML;JavaScript;CSS;Jinja,poetry.lock;pyproject.toml,3,deploy-docs.yml;publish.yml;test.yml,ci_test_named_workflow;tests,True,True,False,backtesting;live_execution,historical_bars_and_reference_data,low,85,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0032,lumibot,Lumiwealth/lumibot,https://github.com/Lumiwealth/lumibot,"Backtestable AI trading agents and Python algorithmic trading strategies for stocks, options, crypto, futures, forex, SEC filings, FRED macro data, and real brokers.",False,False,2020-09-10T10:00:16Z,2026-08-07T00:34:05Z,1,active_0_180_days,1895,363,172583,dev,07b2514700f473c84258865e5ed11144db38090f,2026-08-05T05:48:22Z,v4.4.25,2026-01-05T03:23:08Z,GPL-3.0,recognized_copyleft_review_obligations,github_machine_readable_detection,,Python,Python,pyproject.toml;requirements.txt;requirements_dev.txt;setup.cfg;setup.py;uv.lock,5,cicd.yaml;docs.yml;public-hygiene.yml;release.yml;star-history-health.yml,ci_test_named_workflow;tests,True,True,True,backtesting;live_execution;crypto;options,options_chains_quotes_and_underlying_prices,medium,100,strong_screening_signals,manual_review_before_sandbox,copyleft_obligations_require_review,screening_score_is_triage_not_code_quality_or_profitability
ast-0033,nautilus_trader,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,False,False,2018-06-25T06:26:16Z,2026-08-08T14:20:10Z,0,active_0_180_days,25364,3315,254235,develop,9ca072e2d98ae623f14ecaa5b336398f5d25de34,2026-08-08T14:18:34Z,v1.101.0,2021-02-08T01:42:11Z,LGPL-3.0,recognized_copyleft_review_obligations,github_machine_readable_detection,,Rust,Rust;Python;Shell;Makefile;Cap'n Proto;PLpgSQL;Dockerfile,Cargo.toml;Makefile,13,build-docs.yml;build.yml;cli-binaries.yml;codeql-analysis.yml;docker.yml;dst.yml;nightly-docs-features-check.yml;nightly-merge.yml;nightly-miri.yml;nightly-tests.yml;openssf-scorecard.yml;performance.yml;security-audit.yml,ci_test_named_workflow;test_data,True,True,True,backtesting;live_execution;event_driven,historical_bars_and_reference_data,medium_high,90,strong_screening_signals,manual_review_before_sandbox,copyleft_obligations_require_review,screening_score_is_triage_not_code_quality_or_profitability
ast-0034,PyBroker,edtechre/pybroker,https://github.com/edtechre/pybroker,Algorithmic Trading in Python with Machine Learning,False,False,2023-01-16T01:11:52Z,2026-08-08T11:32:47Z,0,active_0_180_days,3471,445,8081,master,e0e7b08886343274efb05b96f7399ca3de280aa5,2026-08-03T20:55:42Z,v1.0.17,2023-02-15T18:23:30Z,LicenseRef-Commons-Clause,source_available_restricted_commercial_use,license_file_text_review,license_snapshots/ast-0034_edtechre__pybroker.txt,Python,Python,pyproject.toml;requirements.txt;setup.cfg,4,asv-nightly.yml;asv-pr.yml;main.yml;schedule.yml,tests,True,False,False,machine_learning,historical_bars_and_reference_data,low,75,promising_screening_signals,manual_review_before_sandbox,source_available_license_restricts_commercial_use,screening_score_is_triage_not_code_quality_or_profitability
ast-0035,QuantConnect,QuantConnect/Lean,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#)",False,False,2014-11-28T04:20:19Z,2026-08-07T21:38:34Z,0,active_0_180_days,21122,5148,586103,master,c6cc3b743ed7b65d5e0b9fa2bfc18b7d3ac2aea0,2026-08-07T13:47:20Z,v2.1.1,2015-01-12T18:36:17Z,Apache-2.0,recognized_permissive,github_machine_readable_detection,,C#,C#;Python;Jupyter Notebook;HTML;CSS;Shell;Dockerfile;Batchfile,Dockerfile;DockerfileJupyter;DockerfileLeanFoundation;DockerfileLeanFoundationARM;QuantConnect.Lean.sln,9,api-tests.yml;benchmarks.yml;gh-actions.yml;rebase-org-branches.yml;regression-tests.yml;report-generator.yml;research-regression-tests.yml;syntax-tests.yml;virtual-environments.yml,Tests;ci_test_named_workflow,True,False,False,live_execution,historical_bars_and_reference_data,medium_high,85,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0036,QUANTAXIS,yutiansut/QUANTAXIS,https://github.com/yutiansut/QUANTAXIS,QUANTAXIS 支持任务调度 分布式部署的 股票/期货/期权  数据/回测/模拟/交易/可视化/多账户 纯本地量化解决方案,False,False,2016-03-29T12:11:19Z,2026-02-28T02:59:12Z,161,active_0_180_days,10988,3428,136487,master,a69e978a2e38d045a64c380cc3b5c9fa08fa4903,2026-02-28T02:59:12Z,0.0.0,2016-06-01T06:34:37Z,MIT,recognized_permissive,github_machine_readable_detection,,Python,Python;Rust;TeX;Shell;Dockerfile;Cython;JavaScript;Batchfile,Cargo.toml;requirements.txt;setup.py,9,docker-publish.yml;mdbook-deploy.yml;pythonapp.yml;pythonpackage.yml;qabase_docker.yml;qabook-build.yml;qabook.yml;qaeventmq_docker.yml;qajupyter_docker.yml,,True,True,False,live_execution,historical_bars_and_reference_data,medium_high,75,promising_screening_signals,isolated_smoke_test_candidate,,no_top_level_test_indicator_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0037,Rqalpha,ricequant/rqalpha,https://github.com/ricequant/rqalpha,"A extendable, replaceable Python algorithmic backtest && trading framework supporting multiple securities",False,False,2016-07-20T10:38:57Z,2026-07-23T03:51:09Z,16,active_0_180_days,6652,1772,38721,master,3503ab57932540cd36bf8375134e52c6923bf0d2,2026-07-23T03:50:31Z,release/4.4.2,2021-05-18T07:45:12Z,LicenseRef-RQAlpha-NonCommercial,source_available_noncommercial_restriction,license_file_text_review,license_snapshots/ast-0037_ricequant__rqalpha.txt,Python,Python,pyproject.toml;setup.py,2,release.yml;test.yml,ci_test_named_workflow;tests,True,False,False,backtesting,historical_bars_and_reference_data,low,75,promising_screening_signals,manual_review_before_sandbox,source_available_license_restricts_commercial_use,screening_score_is_triage_not_code_quality_or_profitability
ast-0038,quanttrader,letianzj/quanttrader,https://github.com/letianzj/quanttrader,Backtest and live trading in Python,False,False,2020-07-27T22:08:29Z,2024-06-20T13:57:28Z,779,stale_over_730_days,756,137,6704,master,224341d57e146aeaa143516049d2f37ff102dbf0,2024-06-20T13:57:26Z,,,Apache-2.0,recognized_permissive,github_machine_readable_detection,,HTML,HTML;Python;JavaScript;CSS;Batchfile;Makefile,poetry.lock;pyproject.toml,2,main.yml;publish.yml,tests,True,True,False,backtesting;live_execution,historical_bars_and_reference_data,low,60,promising_screening_signals,reference_only_for_now,stale_over_two_years,no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0039,qf-lib,quarkfin/qf-lib,https://github.com/quarkfin/qf-lib,"Modular Python library that provides an advanced event driven backtester and a set of high quality tools for quantitative finance. Integrated with various data vendors and brokers, supports Crypto, Stocks and Futures.",False,False,2019-08-16T09:10:20Z,2026-08-05T15:22:55Z,3,active_0_180_days,953,136,136456,master,6dd04a433e0a2a51766a79ab301a1ecc4ffeeb42,2026-08-05T15:22:53Z,v1.0.0-alpha,2021-07-02T07:32:32Z,Apache-2.0,recognized_permissive,github_machine_readable_detection,,Python,Python;HTML;CSS,requirements.txt;setup.cfg;setup.py,2,publish-to-pypi.yml;tests.yml,ci_test_named_workflow,True,False,False,backtesting;event_driven;crypto,crypto_bars_trades_or_exchange_feeds,low,85,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0040,sdoosa-algo-trade-python,sreenivasdoosa/sdoosa-algo-trade-python,https://github.com/sreenivasdoosa/sdoosa-algo-trade-python,Algo trade project in python,False,False,2020-08-21T19:32:58Z,2023-09-19T23:43:45Z,1053,stale_over_730_days,648,329,48,master,fd119b12b7f5176d4d5274120edaad2c59b2b5b8,2022-07-15T05:55:05Z,,,MISSING,no_top_level_license_detected,github_license_endpoint_not_found,,Python,Python;HTML,,0,,,False,False,False,,historical_bars_and_reference_data,low,15,high_risk_or_insufficient_evidence,reference_only_for_now,stale_over_two_years;license_not_detected,no_GitHub_Actions_workflows_detected;no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0041,vnpy,vnpy/vnpy,https://github.com/vnpy/vnpy,基于Python的开源量化交易平台开发框架,False,False,2015-03-02T03:36:58Z,2026-08-06T14:30:23Z,2,active_0_180_days,44339,12332,313924,master,fa5206fe63836f3f8cd1ebd7168fbd19a5e2ff09,2026-08-06T14:30:12Z,v1.0,2016-07-29T03:08:22Z,MIT,recognized_permissive,github_machine_readable_detection,,Python,Python;Shell;Batchfile,pyproject.toml,1,pythonapp.yml,tests,True,True,False,live_execution;crypto,crypto_bars_trades_or_exchange_feeds,medium,85,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0042,WonderTrader,wondertrader/wondertrader,https://github.com/wondertrader/wondertrader,WonderTrader——量化研发交易一站式框架,False,False,2020-03-30T05:43:52Z,2025-09-30T03:53:19Z,312,maintained_181_365_days,6255,1174,290605,master,70feef13ef7cbc6d4c3333a6158a92b919311d48,2024-11-01T12:55:58Z,,,MIT,recognized_permissive,github_machine_readable_detection,,C++,C++;C;CMake;Batchfile;Python;Dockerfile;Shell;Roff,,0,,,True,False,False,,historical_bars_and_reference_data,medium_high,55,caution,manual_review_before_sandbox,,no_GitHub_Actions_workflows_detected;no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0043,zvt,zvtvz/zvt,https://github.com/zvtvz/zvt,modular quant framework.,False,False,2019-04-04T08:06:57Z,2026-07-01T09:42:05Z,38,active_0_180_days,4259,1004,44870,master,8509990e6608750d0c08fa748682cc997d2813cc,2026-07-01T09:42:04Z,0.0.1,2019-06-27T02:42:53Z,MIT,recognized_permissive,github_machine_readable_detection,,Python,Python;CSS;Shell,pyproject.toml;requirements.txt;setup.py,2,build.yaml;package.yaml,tests,True,True,False,backtesting,historical_bars_and_reference_data,low,85,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0044,zipline,quantopian/zipline,https://github.com/quantopian/zipline,"Zipline, a Pythonic Algorithmic Trading Library",False,False,2012-10-19T15:50:29Z,2024-02-13T08:02:51Z,907,stale_over_730_days,20031,5027,170757,master,014f1fc339dc8b7671d29be2d85ce57d3daec343,2020-10-14T16:36:49Z,v0.8.0,2015-11-06T20:10:17Z,Apache-2.0,recognized_permissive,github_machine_readable_detection,,Python,Python;Jupyter Notebook;Shell;Batchfile;PowerShell;Dockerfile;Emacs Lisp,Dockerfile;Dockerfile-dev;setup.cfg;setup.py,2,ci.yaml;windows_ci.yml,ci_test_named_workflow;tests,True,False,False,backtesting;event_driven,historical_bars_and_reference_data,medium,60,promising_screening_signals,reference_only_for_now,stale_over_two_years,screening_score_is_triage_not_code_quality_or_profitability
ast-0045,PandoraTrader,pegasusTrader/PandoraTrader,https://github.com/pegasusTrader/PandoraTrader,高频量化交易平台 C++ Trade Platform for quant developer 【浮生着甚苦奔忙，量化之路阻且长。 行行代码凝心血，十年辛苦不寻常】,False,False,2019-01-03T06:39:56Z,2025-10-18T08:29:29Z,294,maintained_181_365_days,1454,414,1063850,master,517f1aa41e57806797a88dff39eb568126da131d,2025-07-29T15:25:28Z,,,MISSING,no_top_level_license_detected,github_license_endpoint_not_found,,C++,C++;C;CMake,CMakeLists.txt;PandoraTrader.sln;PandoraTrader_Linux.sln,0,,,True,False,False,,historical_bars_and_reference_data,medium_high,35,high_risk_or_insufficient_evidence,manual_review_before_sandbox,license_not_detected,no_GitHub_Actions_workflows_detected;no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0046,hftbacktest,nkaz001/hftbacktest,https://github.com/nkaz001/hftbacktest,"Free, open source, a high frequency trading and market making backtesting and trading bot, which accounts for limit orders, queue positions, and latencies, utilizing full tick data for trades and order books(Level-2 and Level-3), with real-world crypto trading examples for Binance and Bybit",False,False,2022-08-25T14:56:36Z,2025-12-23T15:57:58Z,228,maintained_181_365_days,4346,850,155215,master,5f3ec40b2afb764e0fea112f941ed85523ef4e88,2025-12-23T15:31:05Z,v1.2.1,2023-02-23T14:53:51Z,MIT,recognized_permissive,github_machine_readable_detection,,Rust,Rust;Python,Cargo.toml,3,codeql.yml;release-python.yml;stale.yml,,True,True,False,backtesting;crypto;high_frequency,tick_quotes_or_order_book_data,medium,70,promising_screening_signals,isolated_smoke_test_candidate,,no_top_level_test_indicator_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0047,flashalpha-fill-simulator,FlashAlpha-lab/flashalpha-fill-simulator,https://github.com/FlashAlpha-lab/flashalpha-fill-simulator,"Realistic limit-order fill simulator for options credit/debit spreads. Engine-agnostic, data-source-agnostic.",False,False,2026-05-06T09:54:15Z,2026-06-16T19:16:37Z,52,active_0_180_days,3,1,196,master,e75838081d4e1adc3579fca834bdefe60fb25547,2026-06-16T19:16:37Z,,,MIT,recognized_permissive,github_machine_readable_detection,,Python,Python,pyproject.toml,1,ci.yml,ci_test_named_workflow;tests,True,False,False,options,options_chains_quotes_and_underlying_prices,low,85,strong_screening_signals,isolated_smoke_test_candidate,,no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0048,Cipher,nanvel/cipher-bt,https://github.com/nanvel/cipher-bt,"Trading strategy backtesting framework supporting multiple concurrent sessions, complex exit strategies, and multi-exchange data sources with simple Python implementation",False,False,2023-01-01T06:15:53Z,2025-08-17T13:18:53Z,356,maintained_181_365_days,19,1,6160,master,d4616add46bf1c89f97ac164578dc27b4291f792,2025-08-17T13:18:45Z,,,MIT,recognized_permissive,github_machine_readable_detection,,Python,Python;Jinja,pyproject.toml;uv.lock,2,docs.yaml;tests.yaml,ci_test_named_workflow;tests,True,False,False,backtesting;crypto,crypto_bars_trades_or_exchange_feeds,low,80,strong_screening_signals,isolated_smoke_test_candidate,,no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0049,Gunbot Quant,GuntharDeNiro/gunbot-quant,https://github.com/GuntharDeNiro/gunbot-quant,"An open-source toolkit for quantitative analysis of crypto & stock markets, featuring an advanced market screener, portfolio backtester, and companion tools for the Gunbot trading bot.",False,False,2025-07-30T12:09:14Z,2025-08-19T08:43:40Z,354,maintained_181_365_days,54,19,946,main,ba076dc5d724549ae4b67799ac8cd2d7760c6f2c,2025-08-19T08:43:38Z,,,MIT,recognized_permissive,github_machine_readable_detection,,JavaScript,JavaScript;Python;CSS;HTML,package.json;poetry.lock;pyproject.toml,0,,,False,False,False,backtesting;crypto;options;portfolio_management;screening,options_chains_quotes_and_underlying_prices,low,50,caution,manual_review_before_sandbox,,no_GitHub_Actions_workflows_detected;no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0050,PythonTradingFramework,JustinGuese/python_tradingbot_framework,https://github.com/JustinGuese/python_tradingbot_framework,"Python algorithmic trading bot framework for Kubernetes: backtesting, hyperparameter optimization, 150+ technical analysis indicators (RSI, MACD, Bollinger Bands, ADX), portfolio management, PostgreSQL integration, Helm deployment, CronJob scheduling. Minimal overhead, production-ready, Yahoo Finance data.",False,False,2026-01-09T10:10:55Z,2026-05-06T09:07:12Z,94,active_0_180_days,34,14,5276,main,643f1a59fc0beb69fa8032be49e543b23c74c67d,2026-05-06T09:07:01Z,,,MIT,recognized_permissive,github_machine_readable_detection,,Jupyter Notebook,Jupyter Notebook;Python;Dockerfile;Shell,Dockerfile;pyproject.toml;uv.lock,1,docs.yml,tests,True,False,False,backtesting;live_execution;portfolio_management,historical_bars_and_reference_data,low,85,strong_screening_signals,isolated_smoke_test_candidate,,no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0051,Tradingview Screener API,jmargieh/tradingview-screener,https://github.com/jmargieh/tradingview-screener,"TypeScript library for querying TradingView screener data with a fluent, type-safe interface",False,False,2026-02-09T14:34:18Z,2026-04-02T09:45:11Z,128,active_0_180_days,14,2,10737,main,b3db2009de8f85bc3ccdaa9d9365f1d7ddff55f1,2026-04-02T09:45:11Z,v2.2.0,2026-02-10T17:27:15Z,MIT,recognized_permissive,github_machine_readable_detection,,TypeScript,TypeScript;Shell;JavaScript,package.json,3,ci.yml;deploy-docs.yml;release.yml,ci_test_named_workflow;tests,True,True,False,crypto;screening,crypto_bars_trades_or_exchange_feeds,low,95,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0052,QTradeX,squidKid-deluxe/QTradeX-Algo-Trading-SDK,https://github.com/squidKid-deluxe/QTradeX-Algo-Trading-SDK,"AI-powered SDK featuring algorithmic trading, backtesting, deployment on 100+ exchanges, and multiple optimization engines.",False,False,2025-03-27T20:14:55Z,2026-07-30T17:43:33Z,9,active_0_180_days,83,19,5343,master,447d65cfb45f92614c155e091dc95c178e4f3651,2026-07-30T17:43:33Z,1.2.0,2025-10-26T20:14:59Z,LicenseRef-WTFPL-Variant,custom_license_manual_legal_review,license_file_text_review,license_snapshots/ast-0052_squidKid-deluxe__QTradeX-Algo-Trading-SDK.txt,Python,Python;Cython,pyproject.toml,1,publish.yml,tests,False,False,False,backtesting;live_execution;crypto,crypto_bars_trades_or_exchange_feeds,medium,80,strong_screening_signals,manual_review_before_sandbox,custom_license_requires_legal_review,screening_score_is_triage_not_code_quality_or_profitability
