,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2014-03-14,0.11863834069955809,0.14036366228064556,0.1607796150021506,0.19114694662405968,0.2194505493081007,0.11905625044815724,0.05056463563732805
2014-03-21,0.11863834069955809,0.14036366228064556,0.1607796150021506,0.19114694662405968,0.2194505493081007,0.11905625044815724,0.05056463563732805
2014-03-28,0.11986191748493748,0.14289929358458675,0.15961656849663503,0.19451263141569888,0.2185328629523626,0.11916201628889393,0.04541470977688533
2014-04-04,0.11986191748493748,0.14289929358458675,0.15961656849663503,0.19451263141569888,0.2185328629523626,0.11916201628889393,0.04541470977688533
2014-04-11,0.11986191748493748,0.14289929358458675,0.15961656849663503,0.19451263141569888,0.2185328629523626,0.11916201628889393,0.04541470977688533
2014-04-18,0.11986191748493748,0.14289929358458675,0.15961656849663503,0.19451263141569888,0.2185328629523626,0.11916201628889393,0.04541470977688533
2014-04-25,0.11162916391191773,0.1404140982957457,0.14472590301975022,0.20426458505501283,0.23899210129623275,0.1315482033278823,0.028425945093458416
2014-05-02,0.11162916391191773,0.1404140982957457,0.14472590301975022,0.20426458505501283,0.23899210129623275,0.1315482033278823,0.028425945093458416
2014-05-09,0.11162916391191773,0.1404140982957457,0.14472590301975022,0.20426458505501283,0.23899210129623275,0.1315482033278823,0.028425945093458416
2014-05-16,0.11162916391191773,0.1404140982957457,0.14472590301975022,0.20426458505501283,0.23899210129623275,0.1315482033278823,0.028425945093458416
2014-05-23,0.11162916391191773,0.1404140982957457,0.14472590301975022,0.20426458505501283,0.23899210129623275,0.1315482033278823,0.028425945093458416
2014-05-30,0.037424597113186256,0.19213019738538448,0.08462276890868294,0.31382014786189827,0.20850320842281228,0.10380219089361153,0.0596968894144243
2014-06-06,0.037424597113186256,0.19213019738538448,0.08462276890868294,0.31382014786189827,0.20850320842281228,0.10380219089361153,0.0596968894144243
2014-06-13,0.037424597113186256,0.19213019738538448,0.08462276890868294,0.31382014786189827,0.20850320842281228,0.10380219089361153,0.0596968894144243
2014-06-20,0.037424597113186256,0.19213019738538448,0.08462276890868294,0.31382014786189827,0.20850320842281228,0.10380219089361153,0.0596968894144243
2014-06-27,0.08521591116762621,0.14594859506423954,0.15445689305708893,0.16981955370035223,0.28379367059462896,0.16076537641606417,0.0
2014-07-04,0.08521591116762621,0.14594859506423954,0.15445689305708893,0.16981955370035223,0.28379367059462896,0.16076537641606417,0.0
2014-07-11,0.08521591116762621,0.14594859506423954,0.15445689305708893,0.16981955370035223,0.28379367059462896,0.16076537641606417,0.0
2014-07-18,0.08521591116762621,0.14594859506423954,0.15445689305708893,0.16981955370035223,0.28379367059462896,0.16076537641606417,0.0
2014-07-25,0.09904279157132068,0.13913319860298098,0.16685094069037731,0.1409486595811612,0.27294087116370763,0.18108353839045216,0.0
2014-08-01,0.09904279157132068,0.13913319860298098,0.16685094069037731,0.1409486595811612,0.27294087116370763,0.18108353839045216,0.0
2014-08-08,0.09904279157132068,0.13913319860298098,0.16685094069037731,0.1409486595811612,0.27294087116370763,0.18108353839045216,0.0
2014-08-15,0.09904279157132068,0.13913319860298098,0.16685094069037731,0.1409486595811612,0.27294087116370763,0.18108353839045216,0.0
2014-08-22,0.09904279157132068,0.13913319860298098,0.16685094069037731,0.1409486595811612,0.27294087116370763,0.18108353839045216,0.0
2014-08-29,0.0926894609386771,0.13410553140284848,0.15349123842411205,0.13152142978018302,0.30306456148392297,0.1851277779702564,1.1102230246251565e-16
2014-09-05,0.0926894609386771,0.13410553140284848,0.15349123842411205,0.13152142978018302,0.30306456148392297,0.1851277779702564,1.1102230246251565e-16
2014-09-12,0.0926894609386771,0.13410553140284848,0.15349123842411205,0.13152142978018302,0.30306456148392297,0.1851277779702564,1.1102230246251565e-16
2014-09-19,0.0926894609386771,0.13410553140284848,0.15349123842411205,0.13152142978018302,0.30306456148392297,0.1851277779702564,1.1102230246251565e-16
2014-09-26,0.096716309882523,0.12306930349159227,0.16380393260715573,0.12654771687450836,0.3184259984368103,0.17143673870741027,0.0
2014-10-03,0.096716309882523,0.12306930349159227,0.16380393260715573,0.12654771687450836,0.3184259984368103,0.17143673870741027,0.0
2014-10-10,0.096716309882523,0.12306930349159227,0.16380393260715573,0.12654771687450836,0.3184259984368103,0.17143673870741027,0.0
2014-10-17,0.096716309882523,0.12306930349159227,0.16380393260715573,0.12654771687450836,0.3184259984368103,0.17143673870741027,0.0
2014-10-24,0.096716309882523,0.12306930349159227,0.16380393260715573,0.12654771687450836,0.3184259984368103,0.17143673870741027,0.0
2014-10-31,0.11029890546099645,0.12138305132916531,0.15517633015200258,0.175498886520483,0.2996758652357064,0.13491997142380996,0.003046989877836359
2014-11-07,0.11029890546099645,0.12138305132916531,0.15517633015200258,0.175498886520483,0.2996758652357064,0.13491997142380996,0.003046989877836359
2014-11-14,0.11029890546099645,0.12138305132916531,0.15517633015200258,0.175498886520483,0.2996758652357064,0.13491997142380996,0.003046989877836359
2014-11-21,0.11029890546099645,0.12138305132916531,0.15517633015200258,0.175498886520483,0.2996758652357064,0.13491997142380996,0.003046989877836359
2014-11-28,0.1205050543706493,0.1287535768815571,0.16315514616813262,0.17118994515525138,0.26192259677556773,0.12947866960254034,0.02499501104630153
2014-12-05,0.1205050543706493,0.1287535768815571,0.16315514616813262,0.17118994515525138,0.26192259677556773,0.12947866960254034,0.02499501104630153
2014-12-12,0.1205050543706493,0.1287535768815571,0.16315514616813262,0.17118994515525138,0.26192259677556773,0.12947866960254034,0.02499501104630153
2014-12-19,0.1205050543706493,0.1287535768815571,0.16315514616813262,0.17118994515525138,0.26192259677556773,0.12947866960254034,0.02499501104630153
