,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2011-06-17,0.18146631319344847,0.11012556987126676,0.21184589003349952,0.09400985115924032,0.2743520025118598,0.12820037323068512,0.0
2011-06-24,0.17432754063624611,0.10856856072330594,0.21168527839509657,0.09598815149620539,0.27944499231746106,0.12998547643168493,0.0
2011-07-01,0.17432754063624611,0.10856856072330594,0.21168527839509657,0.09598815149620539,0.27944499231746106,0.12998547643168493,0.0
2011-07-08,0.17432754063624611,0.10856856072330594,0.21168527839509657,0.09598815149620539,0.27944499231746106,0.12998547643168493,0.0
2011-07-15,0.17432754063624611,0.10856856072330594,0.21168527839509657,0.09598815149620539,0.27944499231746106,0.12998547643168493,0.0
2011-07-22,0.17432754063624611,0.10856856072330594,0.21168527839509657,0.09598815149620539,0.27944499231746106,0.12998547643168493,0.0
2011-07-29,0.16630463010034785,0.10832746257983095,0.2038724831860969,0.097239483914367,0.28873006000186446,0.13552588021749282,0.0
2011-08-05,0.16630463010034785,0.10832746257983095,0.2038724831860969,0.097239483914367,0.28873006000186446,0.13552588021749282,0.0
2011-08-12,0.16630463010034785,0.10832746257983095,0.2038724831860969,0.097239483914367,0.28873006000186446,0.13552588021749282,0.0
2011-08-19,0.16630463010034785,0.10832746257983095,0.2038724831860969,0.097239483914367,0.28873006000186446,0.13552588021749282,0.0
2011-08-26,0.1727850226824244,0.10905735709025378,0.20559619567643334,0.10642360778127442,0.25912779032637323,0.14701002644324085,0.0
2011-09-02,0.1727850226824244,0.10905735709025378,0.20559619567643334,0.10642360778127442,0.25912779032637323,0.14701002644324085,0.0
2011-09-09,0.1727850226824244,0.10905735709025378,0.20559619567643334,0.10642360778127442,0.25912779032637323,0.14701002644324085,0.0
2011-09-16,0.1727850226824244,0.10905735709025378,0.20559619567643334,0.10642360778127442,0.25912779032637323,0.14701002644324085,0.0
2011-09-23,0.1727850226824244,0.10905735709025378,0.20559619567643334,0.10642360778127442,0.25912779032637323,0.14701002644324085,0.0
2011-09-30,0.10188699018481272,0.15916501886580672,0.20253182848575108,0.11825532898902476,0.26157923115625564,0.1565816023183491,0.0
2011-10-07,0.10188699018481272,0.15916501886580672,0.20253182848575108,0.11825532898902476,0.26157923115625564,0.1565816023183491,0.0
2011-10-14,0.10188699018481272,0.15916501886580672,0.20253182848575108,0.11825532898902476,0.26157923115625564,0.1565816023183491,0.0
2011-10-21,0.10188699018481272,0.15916501886580672,0.20253182848575108,0.11825532898902476,0.26157923115625564,0.1565816023183491,0.0
2011-10-28,0.09668091376335457,0.15766070144464958,0.19479311188309414,0.1229777017526013,0.252138965667227,0.1757486054890734,2.220446049250313e-16
2011-11-04,0.09668091376335457,0.15766070144464958,0.19479311188309414,0.1229777017526013,0.252138965667227,0.1757486054890734,2.220446049250313e-16
2011-11-11,0.09668091376335457,0.15766070144464958,0.19479311188309414,0.1229777017526013,0.252138965667227,0.1757486054890734,2.220446049250313e-16
2011-11-18,0.09668091376335457,0.15766070144464958,0.19479311188309414,0.1229777017526013,0.252138965667227,0.1757486054890734,2.220446049250313e-16
2011-11-25,0.09716882281183542,0.12566744825693885,0.18840639137928888,0.06562160873213715,0.3304425965974446,0.19269313222235507,0.0
2011-12-02,0.09716882281183542,0.12566744825693885,0.18840639137928888,0.06562160873213715,0.3304425965974446,0.19269313222235507,0.0
2011-12-09,0.09716882281183542,0.12566744825693885,0.18840639137928888,0.06562160873213715,0.3304425965974446,0.19269313222235507,0.0
2011-12-16,0.09716882281183542,0.12566744825693885,0.18840639137928888,0.06562160873213715,0.3304425965974446,0.19269313222235507,0.0
2011-12-23,0.09716882281183542,0.12566744825693885,0.18840639137928888,0.06562160873213715,0.3304425965974446,0.19269313222235507,0.0
2011-12-30,0.09414549890110031,0.09765731195002653,0.3230666194760331,0.05547222541929707,0.33543218082544074,0.09422616342810222,1.1102230246251565e-16
2012-01-06,0.09414549890110031,0.09765731195002653,0.3230666194760331,0.05547222541929707,0.33543218082544074,0.09422616342810222,1.1102230246251565e-16
2012-01-13,0.09414549890110031,0.09765731195002653,0.3230666194760331,0.05547222541929707,0.33543218082544074,0.09422616342810222,1.1102230246251565e-16
2012-01-20,0.09414549890110031,0.09765731195002653,0.3230666194760331,0.05547222541929707,0.33543218082544074,0.09422616342810222,1.1102230246251565e-16
2012-01-27,0.0902715053797517,0.09659433944672749,0.31855705045203175,0.05445426578868371,0.33923643310864554,0.10088640582415986,0.0
2012-02-03,0.0902715053797517,0.09659433944672749,0.31855705045203175,0.05445426578868371,0.33923643310864554,0.10088640582415986,0.0
2012-02-10,0.0902715053797517,0.09659433944672749,0.31855705045203175,0.05445426578868371,0.33923643310864554,0.10088640582415986,0.0
2012-02-17,0.0902715053797517,0.09659433944672749,0.31855705045203175,0.05445426578868371,0.33923643310864554,0.10088640582415986,0.0
2012-02-24,0.0847268639860922,0.09390548330236928,0.32213075819673465,0.056608541049961165,0.3414393064486818,0.10118904701616094,0.0
2012-03-02,0.0847268639860922,0.09390548330236928,0.32213075819673465,0.056608541049961165,0.3414393064486818,0.10118904701616094,0.0
2012-03-09,0.0847268639860922,0.09390548330236928,0.32213075819673465,0.056608541049961165,0.3414393064486818,0.10118904701616094,0.0
2012-03-16,0.0847268639860922,0.09390548330236928,0.32213075819673465,0.056608541049961165,0.3414393064486818,0.10118904701616094,0.0
2012-03-23,0.0847268639860922,0.09390548330236928,0.32213075819673465,0.056608541049961165,0.3414393064486818,0.10118904701616094,0.0
2012-03-30,0.07976647112570509,0.11567490915847828,0.18759263662869205,0.11585315150224058,0.37403073938956666,0.12708209219531735,0.0
2012-04-06,0.07976647112570509,0.11567490915847828,0.18759263662869205,0.11585315150224058,0.37403073938956666,0.12708209219531735,0.0
2012-04-13,0.07976647112570509,0.11567490915847828,0.18759263662869205,0.11585315150224058,0.37403073938956666,0.12708209219531735,0.0
2012-04-20,0.07976647112570509,0.11567490915847828,0.18759263662869205,0.11585315150224058,0.37403073938956666,0.12708209219531735,0.0
2012-04-27,0.08034632040581033,0.11463598840306713,0.18855330457209554,0.11337469467585959,0.3744578495359426,0.12863184240722483,0.0
2012-05-04,0.08034632040581033,0.11463598840306713,0.18855330457209554,0.11337469467585959,0.3744578495359426,0.12863184240722483,0.0
2012-05-11,0.08034632040581033,0.11463598840306713,0.18855330457209554,0.11337469467585959,0.3744578495359426,0.12863184240722483,0.0
2012-05-18,0.08034632040581033,0.11463598840306713,0.18855330457209554,0.11337469467585959,0.3744578495359426,0.12863184240722483,0.0
2012-05-25,0.08520240703237972,0.11086909222650186,0.19787428366201776,0.11422713629565202,0.3668472016507805,0.12497987913266807,1.1102230246251565e-16
2012-06-01,0.08520240703237972,0.11086909222650186,0.19787428366201776,0.11422713629565202,0.3668472016507805,0.12497987913266807,1.1102230246251565e-16
2012-06-08,0.08520240703237972,0.11086909222650186,0.19787428366201776,0.11422713629565202,0.3668472016507805,0.12497987913266807,1.1102230246251565e-16
2012-06-15,0.08520240703237972,0.11086909222650186,0.19787428366201776,0.11422713629565202,0.3668472016507805,0.12497987913266807,1.1102230246251565e-16
2012-06-22,0.08520240703237972,0.11086909222650186,0.19787428366201776,0.11422713629565202,0.3668472016507805,0.12497987913266807,1.1102230246251565e-16
2012-06-29,0.08581507601249405,0.11066576816415138,0.19938204957732358,0.1121752782777516,0.36404085632906275,0.12792097163921662,0.0
2012-07-06,0.08581507601249405,0.11066576816415138,0.19938204957732358,0.1121752782777516,0.36404085632906275,0.12792097163921662,0.0
2012-07-13,0.08581507601249405,0.11066576816415138,0.19938204957732358,0.1121752782777516,0.36404085632906275,0.12792097163921662,0.0
2012-07-20,0.08581507601249405,0.11066576816415138,0.19938204957732358,0.1121752782777516,0.36404085632906275,0.12792097163921662,0.0
2012-07-27,0.08464530884730836,0.1081869566679118,0.20026510014909504,0.10786400129248555,0.36244593954688864,0.1365926934963106,0.0
2012-08-03,0.08464530884730836,0.1081869566679118,0.20026510014909504,0.10786400129248555,0.36244593954688864,0.1365926934963106,0.0
2012-08-10,0.08464530884730836,0.1081869566679118,0.20026510014909504,0.10786400129248555,0.36244593954688864,0.1365926934963106,0.0
2012-08-17,0.08464530884730836,0.1081869566679118,0.20026510014909504,0.10786400129248555,0.36244593954688864,0.1365926934963106,0.0
2012-08-24,0.08464530884730836,0.1081869566679118,0.20026510014909504,0.10786400129248555,0.36244593954688864,0.1365926934963106,0.0
2012-08-31,0.08444739356416214,0.10880312285691114,0.20000840638482215,0.10756515434251938,0.35869108709349273,0.14048483575809242,0.0
