,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2016-07-08,0.09913213608358418,0.13831610498135483,0.169545313402606,0.2267212938163196,0.14995718533747,0.16603471200583356,0.05029325437283194
2016-07-15,0.09913213608358418,0.13831610498135483,0.169545313402606,0.2267212938163196,0.14995718533747,0.16603471200583356,0.05029325437283194
2016-07-22,0.09913213608358418,0.13831610498135483,0.169545313402606,0.2267212938163196,0.14995718533747,0.16603471200583356,0.05029325437283194
2016-07-29,0.08883525304488088,0.06794133258079307,0.2972807556123547,0.08288920020132744,0.21863847847986545,0.24441498008077844,0.0
2016-08-05,0.08883525304488088,0.06794133258079307,0.2972807556123547,0.08288920020132744,0.21863847847986545,0.24441498008077844,0.0
2016-08-12,0.08883525304488088,0.06794133258079307,0.2972807556123547,0.08288920020132744,0.21863847847986545,0.24441498008077844,0.0
2016-08-19,0.08883525304488088,0.06794133258079307,0.2972807556123547,0.08288920020132744,0.21863847847986545,0.24441498008077844,0.0
2016-08-26,0.08912403515426162,0.06929236757701598,0.2962097963012404,0.08205686047511622,0.2131816983648578,0.250135242127508,0.0
2016-09-02,0.08912403515426162,0.06929236757701598,0.2962097963012404,0.08205686047511622,0.2131816983648578,0.250135242127508,0.0
2016-09-09,0.08912403515426162,0.06929236757701598,0.2962097963012404,0.08205686047511622,0.2131816983648578,0.250135242127508,0.0
2016-09-16,0.08912403515426162,0.06929236757701598,0.2962097963012404,0.08205686047511622,0.2131816983648578,0.250135242127508,0.0
2016-09-23,0.08912403515426162,0.06929236757701598,0.2962097963012404,0.08205686047511622,0.2131816983648578,0.250135242127508,0.0
2016-09-30,0.11015781181944427,0.16058878274955662,0.18689794677097965,0.07862594433160877,0.20323103597367556,0.2604984783547351,0.0
2016-10-07,0.11015781181944427,0.16058878274955662,0.18689794677097965,0.07862594433160877,0.20323103597367556,0.2604984783547351,0.0
2016-10-14,0.11015781181944427,0.16058878274955662,0.18689794677097965,0.07862594433160877,0.20323103597367556,0.2604984783547351,0.0
2016-10-21,0.11015781181944427,0.16058878274955662,0.18689794677097965,0.07862594433160877,0.20323103597367556,0.2604984783547351,0.0
2016-10-28,0.11554880736490228,0.08572832355044678,0.19643910819953822,0.058033469961102625,0.29421960507542,0.2500306858485901,0.0
2016-11-04,0.11554880736490228,0.08572832355044678,0.19643910819953822,0.058033469961102625,0.29421960507542,0.2500306858485901,0.0
2016-11-11,0.11554880736490228,0.08572832355044678,0.19643910819953822,0.058033469961102625,0.29421960507542,0.2500306858485901,0.0
2016-11-18,0.11554880736490228,0.08572832355044678,0.19643910819953822,0.058033469961102625,0.29421960507542,0.2500306858485901,0.0
2016-11-25,0.12412828384868398,0.10538456700202965,0.18375584939845355,0.09778856503870585,0.23770112186437295,0.20934126274917306,0.04190035009858095
2016-12-02,0.12412828384868398,0.10538456700202965,0.18375584939845355,0.09778856503870585,0.23770112186437295,0.20934126274917306,0.04190035009858095
2016-12-09,0.12412828384868398,0.10538456700202965,0.18375584939845355,0.09778856503870585,0.23770112186437295,0.20934126274917306,0.04190035009858095
