configuration_id,boost_strength,crowding_threshold,buffer_band,cost_bps,observations,years,total_return,annual_return,annual_volatility,sharpe_zero_rf,sortino_zero_target,max_drawdown,max_drawdown_duration_weeks,calmar,cvar_5_weekly,positive_week_share,worst_week,best_week,average_annual_turnover,total_cost,development_sharpe,development_selection_score,oos_2016_2020_sharpe,oos_2021_present_sharpe,fully_invested_pass,unpriced_exposure_events
guard_s0.04_c0.75_b0.00,0.04,0.75,0.0,25.0,1126,21.653846153846153,3.6376054880976723,0.07342134956078161,0.08808048589225283,0.849282766539373,1.2029969633970148,-0.2341975976742029,99,0.31350171944513094,-0.028927050518059563,0.5763765541740675,-0.11098241499302268,0.10397996466937298,2.940456642754421,0.15918048941064797,0.938166999406813,1.0699357291068228,0.5704285296257228,1.037836744863587,True,0
guard_s0.04_c0.75_b0.00,0.04,0.75,0.0,50.0,1126,21.653846153846153,2.9556412838712247,0.06556556322231355,0.08811473775721097,0.7655257093958547,1.076209232520415,-0.2349201975819568,103,0.2790971738368287,-0.02907862891928649,0.5701598579040853,-0.11100181528741951,0.10397996466937298,2.940456642754421,0.31836097882129594,0.8556290903213474,0.9723581878215264,0.4986084911081738,0.9347509316125998,True,0
guard_s0.04_c0.75_b0.00,0.04,0.75,0.0,100.0,1126,21.653846153846153,1.8766359847035723,0.050006150607177835,0.08836277881141476,0.5969913421196302,0.8269268544482835,-0.23636520973937702,113,0.21156307504947972,-0.02943589347505853,0.5621669626998224,-0.11104061587621318,0.10397996466937298,2.940456642754421,0.6367219576425919,0.6894459435806218,0.7781949254595997,0.3542196421288048,0.7274222119937027,True,0
guard_s0.04_c0.75_b0.05,0.04,0.75,0.05,10.0,1126,21.653846153846153,3.9278590506489017,0.0764349032261018,0.08705782044353724,0.8904698302503405,1.266959291159954,-0.23764840398780895,97,0.3216301979878763,-0.02831705084857356,0.5692717584369449,-0.11399527166007255,0.10659057856827373,2.4874393329754168,0.053862628633275365,0.9657235137614292,1.1137443910805627,0.6140920133812546,1.1062873923186425,True,0
guard_s0.04_c0.75_b0.05,0.04,0.75,0.05,25.0,1126,21.653846153846153,3.5459050916842,0.07243179023647484,0.08705139858143937,0.8476739580906798,1.2013164726895744,-0.23800794678103177,98,0.304325091729447,-0.02838893816127356,0.566607460035524,-0.11399527166007255,0.10659057856827373,2.4874393329754168,0.13465657158318842,0.923764937444896,1.063269101696662,0.5774513203054451,1.0531697407927652,True,0
guard_s0.04_c0.75_b0.05,0.04,0.75,0.05,50.0,1126,21.653846153846153,2.9736333727371584,0.06578890476250421,0.08707804924702914,0.7760004483876856,1.092608618931285,-0.23860716773813473,103,0.27572057195995825,-0.028525021225886873,0.5621669626998224,-0.11399527166007255,0.10659057856827373,2.4874393329754168,0.26931314316637683,0.8535041272188707,0.9792789395863278,0.516155819599977,0.9640965421063677,True,0
guard_s0.04_c0.75_b0.05,0.04,0.75,0.05,100.0,1126,21.653846153846153,2.035198830942558,0.0526111539247065,0.08727117878809444,0.631771099705417,0.8782202280025101,-0.23980554578383206,110,0.21939089754050883,-0.0288015575316088,0.5541740674955595,-0.11399527166007255,0.10659057856827373,2.4874393329754168,0.5386262863327537,0.7121182235128919,0.8120605974436772,0.39297344465377937,0.7846505259127903,True,0
guard_s0.08_c0.50_b0.00,0.08,0.5,0.0,10.0,1126,21.653846153846153,4.095216570141704,0.07809641057197214,0.08797410199772014,0.8996659649445834,1.2803344388107627,-0.23362057499538058,97,0.33428738275092573,-0.028804537628260712,0.5790408525754884,-0.11097877960926941,0.10397996466937298,2.9404232202210348,0.06367147203786318,0.9879023381614822,1.1288712779098875,0.6128213689435379,1.1009351126189897,True,0
guard_s0.08_c0.50_b0.00,0.08,0.5,0.0,25.0,1126,21.653846153846153,3.631737679271863,0.07335859005215561,0.08796745856629191,0.8495945176961011,1.203535587625569,-0.2340752640916065,99,0.31339744648732454,-0.02889021674729108,0.5763765541740675,-0.11100242697523477,0.10397996466937298,2.9404232202210348,0.15917868009465794,0.9386045985257506,1.0701963768360383,0.5696443525672861,1.0394511082356155,True,0
guard_s0.08_c0.50_b0.00,0.08,0.5,0.0,50.0,1126,21.653846153846153,2.9506211870224655,0.06550307425942048,0.08800445177997467,0.7657068605063623,1.0765292985452721,-0.23483297642358258,105,0.2789347359004154,-0.02904246220766883,0.5701598579040853,-0.11104183925184367,0.10397996466937298,2.9404232202210348,0.3183573601893159,0.8559948369607606,0.9725656860827974,0.49738729943857457,0.9363822782057455,True,0
guard_s0.08_c0.50_b0.00,0.08,0.5,0.0,100.0,1126,21.653846153846153,1.8729627726886422,0.04994419473202005,0.08825825762184641,0.5969242743002228,0.8268532257618628,-0.23634801551184859,113,0.2113163278475518,-0.02939736251899412,0.5621669626998224,-0.1111206638050615,0.10397996466937298,2.9404232202210348,0.6367147203786317,0.689669615452272,0.7782948634714151,0.3521583013706325,0.7290738368630569,True,0
guard_s0.08_c0.50_b0.05,0.08,0.5,0.05,10.0,1126,21.653846153846153,3.9255052388912333,0.07641115314343261,0.08682922609421566,0.8923247425348885,1.2703723377255423,-0.2364267762061456,97,0.32319162139574276,-0.028243133721200988,0.5692717584369449,-0.1133511110245068,0.10618078867347322,2.4894121245112624,0.05390534715768618,0.9662933034663973,1.1140454915005087,0.6172714836175613,1.1080323623046249,True,0
guard_s0.08_c0.50_b0.05,0.08,0.5,0.05,25.0,1126,21.653846153846153,3.5434305715243664,0.07240482414315674,0.0868241766993192,0.8493688214015159,1.2044233573186953,-0.23679506231961245,98,0.3057699912907341,-0.02831550524575877,0.5674955595026643,-0.1133511110245068,0.10618078867347322,2.4894121245112624,0.13476336789421545,0.9242120510119376,1.0634510018269738,0.580412577825268,1.054778297092284,True,0
guard_s0.08_c0.50_b0.05,0.08,0.5,0.05,50.0,1126,21.653846153846153,2.971028602291483,0.0657566307015256,0.0868532198527358,0.7774290744254161,1.0952183662802237,-0.2374088339360937,103,0.2769763433454466,-0.028453370449514695,0.5621669626998224,-0.1133511110245068,0.10618078867347322,2.4894121245112624,0.2695267357884309,0.8537482072286257,0.9792633319674628,0.5187540861505378,0.9654772652092245,True,0
guard_s0.08_c0.50_b0.05,0.08,0.5,0.05,100.0,1126,21.653846153846153,2.0325340220242345,0.0525684572790055,0.08705151278636161,0.632673183217235,0.879885841286503,-0.23863623252169175,110,0.22028698963065924,-0.02873084496364405,0.5541740674955595,-0.1133511110245068,0.10618078867347322,2.4894121245112624,0.5390534715768618,0.7119646781116878,0.8116575059575954,0.3948520797685017,0.7855778902444385,True,0
guard_s0.08_c0.75_b0.00,0.08,0.75,0.0,10.0,1126,21.653846153846153,4.0911347397503866,0.07805650984209356,0.08814848611020179,0.8976407618404577,1.277157273867032,-0.2336205749953808,97,0.334116589875001,-0.02887399862769833,0.5799289520426287,-0.11097877960926941,0.10397996466937298,2.978138043705156,0.0644881430233078,0.9845918911203217,1.1254970540948388,0.613259059402582,1.0971807248934322,True,0
guard_s0.08_c0.75_b0.00,0.08,0.75,0.0,25.0,1126,21.653846153846153,3.6223737734431527,0.07325828057863193,0.08814120936054337,0.8470324800751811,1.199575267279772,-0.2340752640916064,99,0.3129689113581945,-0.02895877106898714,0.5772646536412078,-0.11100242697523477,0.10397996466937298,2.978138043705156,0.1612203575582695,0.9346962637601461,1.0661083084943608,0.569747595727659,1.0350916880056502,True,0
guard_s0.08_c0.75_b0.00,0.08,0.75,0.0,50.0,1126,21.653846153846153,2.9346099735583904,0.06530326328087366,0.08817690307392867,0.7622531491707252,1.0712967889672789,-0.23483297642358258,103,0.27808387167516957,-0.02911284699469705,0.5710479573712256,-0.11104183925184367,0.10397996466937298,2.978138043705156,0.322440715116539,0.8510928358458831,0.9672993827124209,0.4969317925665096,0.931027454248414,True,0
guard_s0.08_c0.75_b0.00,0.08,0.75,0.0,100.0,1126,21.653846153846153,1.849682005526513,0.049549753352013504,0.08842720827080822,0.5917005959688422,0.8192026695028569,-0.2363480155118487,113,0.2096474270989995,-0.02947385448247962,0.5621669626998224,-0.1111206638050615,0.10397996466937298,2.978138043705156,0.644881430233078,0.6827913124234357,0.7707130743960438,0.35058165439381167,0.7217796213774019,True,0
guard_s0.08_c0.75_b0.05,0.08,0.75,0.05,10.0,1126,21.653846153846153,3.9337816584328236,0.07649461481322373,0.08705435439858461,0.8911363781584574,1.26822556083206,-0.2368643451704241,97,0.32294693723610357,-0.028328449092300704,0.5692717584369449,-0.11331296787798684,0.10613267987988785,2.4979648902648206,0.05409054743150361,0.9642695856860043,1.112302863702273,0.6172952503212787,1.1053076673489748,True,0
guard_s0.08_c0.75_b0.05,0.08,0.75,0.05,25.0,1126,21.653846153846153,3.549813923601543,0.07247435823531889,0.08704803647043119,0.8481564632576083,1.2022722968810926,-0.23723713864837115,98,0.30549330787005974,-0.028400773373772562,0.566607460035524,-0.11331296787798684,0.10613267987988785,2.4979648902648206,0.13522636857875905,0.922185690772587,1.0616684689311129,0.5803975457876352,1.0520556496893452,True,0
guard_s0.08_c0.75_b0.05,0.08,0.75,0.05,50.0,1126,21.653846153846153,2.974786162521668,0.06580318180961764,0.08707480473709121,0.7761767910325138,1.093059501088642,-0.2378584214208378,103,0.27664852653332583,-0.02853664710963185,0.5621669626998224,-0.11331296787798684,0.10613267987988785,2.4979648902648206,0.2704527371575181,0.8517162018384248,0.9774153631923007,0.5186739989584263,0.9627615075414506,True,0
guard_s0.08_c0.75_b0.05,0.08,0.75,0.05,100.0,1126,21.653846153846153,2.032623726945338,0.05256989514947463,0.08726796071979602,0.6313384386991421,0.8777095845207114,-0.2391008381253521,110,0.2198649555628663,-0.028815483168774313,0.5541740674955595,-0.11331296787798684,0.10613267987988785,2.4979648902648206,0.5409054743150362,0.7099125836285564,0.8096779484575769,0.3946394523720313,0.7828849144295761,True,0
guard_s0.12_c0.50_b0.00,0.12,0.5,0.0,10.0,1126,21.653846153846153,4.086461230952762,0.07801078784894067,0.08794702053047183,0.8990110378857524,1.2793725526180921,-0.23347215959365142,97,0.3341331488290304,-0.028801358020791215,0.5790408525754884,-0.11098704083447598,0.10397996466937298,2.959843750854684,0.06409200122043028,0.9866630967882692,1.1274038798576846,0.6125323290502632,1.1006135867904534,True,0
guard_s0.12_c0.50_b0.00,0.12,0.5,0.0,25.0,1126,21.653846153846153,3.620853480598461,0.07324197637756225,0.0879416959199334,0.8485801393655173,1.2020272031472938,-0.23394860196901146,99,0.3130686644892359,-0.028888022239002338,0.5763765541740675,-0.11102308003825119,0.10397996466937298,2.959843750854684,0.16023000305107568,0.9370128043172192,1.0683287567580508,0.5689091818956001,1.0388289631693128,True,0
guard_s0.12_c0.50_b0.00,0.12,0.5,0.0,50.0,1126,21.653846153846153,2.937182006105233,0.06533541303277435,0.08798084834804637,0.76409773791563,1.0741391038472274,-0.23474251405218471,105,0.2783279939578814,-0.02904190953134802,0.5701598579040853,-0.11108314537787653,0.10397996466937298,2.959843750854684,0.32046000610215136,0.8538165608021864,0.9700357451638231,0.49591636307701226,0.9352612654415849,True,0
guard_s0.12_c0.50_b0.00,0.12,0.5,0.0,100.0,1126,21.653846153846153,1.8571536244734936,0.04967667737738912,0.08823881155231482,0.5941461305525887,0.8228092041164606,-0.23632974375585802,113,0.2102006991921759,-0.029397576274815325,0.5612788632326821,-0.1112032760571272,0.10397996466937298,2.959843750854684,0.6409200122043027,0.6863259056073163,0.774460249164774,0.3492492496510648,0.7269678791551959,True,0
guard_s0.12_c0.50_b0.05,0.12,0.5,0.05,10.0,1126,21.653846153846153,3.9267470154931594,0.07642368408248146,0.08671359089217894,0.8935282767594731,1.2726555317936667,-0.2354154517132242,97,0.3246332537915923,-0.028212891461731747,0.5692717584369449,-0.11261307234170378,0.1057636388506938,2.495469030157365,0.05403650246071525,0.9656847493279159,1.1132838830621061,0.6204764115598328,1.1084703470347697,True,0
guard_s0.12_c0.50_b0.05,0.12,0.5,0.05,25.0,1126,21.653846153846153,3.543675770610495,0.07240749682636927,0.08670936309360676,0.850402301037261,1.2063990477356041,-0.2357951219342329,98,0.3070780100640288,-0.02828579760905396,0.5674955595026643,-0.11261307234170378,0.1057636388506938,2.495469030157365,0.13509125615178813,0.9234832966976783,1.0625549639433876,0.5833690901694804,1.055091872999021,True,0
guard_s0.12_c0.50_b0.05,0.12,0.5,0.05,50.0,1126,21.653846153846153,2.9699317975181407,0.06574303484645938,0.08673979971465262,0.7781799075273026,1.0966945985322558,-0.2364278444354272,103,0.27806807190349786,-0.028424532312298544,0.5621669626998224,-0.11261307234170378,0.1057636388506938,2.495469030157365,0.27018251230357626,0.8528200304302634,0.9781449929036192,0.5212972681269341,0.9655851322715172,True,0
guard_s0.12_c0.50_b0.05,0.12,0.5,0.05,100.0,1126,21.653846153846153,2.0296947267701233,0.05252292554657578,0.08694096143243267,0.6328642249126639,0.8804148276078448,-0.237693059935991,110,0.22096953760753396,-0.02870368148966142,0.5541740674955595,-0.11261307234170378,0.1057636388506938,2.495469030157365,0.5403650246071525,0.7106420179814928,0.8101018720015326,0.39657461925093734,0.7852823872746987,True,0
guard_s0.12_c0.75_b0.00,0.12,0.75,0.0,10.0,1126,21.653846153846153,4.080533150071761,0.07795273441049666,0.08820689966353652,0.8960117074028643,1.2746693896071466,-0.23347215959365153,97,0.33388449631926187,-0.028904196247895097,0.5799289520426287,-0.11098704083447598,0.10397996466937298,3.01550062393454,0.0652971865875056,0.9817555912398218,1.1224029724408031,0.6131403116207323,1.095105817532283,True,0
guard_s0.12_c0.75_b0.00,0.12,0.75,0.0,25.0,1126,21.653846153846153,3.6071501723588852,0.07309478553043847,0.08820064393248335,0.8447916082491889,1.1961738795292522,-0.23394860196901146,99,0.31243950558046296,-0.028989887456034685,0.5763765541740675,-0.11102308003825119,0.10397996466937298,3.01550062393454,0.16324296646876402,0.931227179459062,1.062278520918189,0.5690257745828962,1.0324317668849132,True,0
guard_s0.12_c0.75_b0.00,0.12,0.75,0.0,50.0,1126,21.653846153846153,2.9137213986752903,0.06504141644387396,0.08823789032376807,0.7589983399507956,1.0664178343045194,-0.2347425140521846,103,0.27707557238402447,-0.029146105335721182,0.5701598579040853,-0.11108314537787653,0.10397996466937298,3.01550062393454,0.32648593293752803,0.8465713629322813,0.962253451188922,0.49521207643988047,0.9274008311941073,True,0
guard_s0.12_c0.75_b0.00,0.12,0.75,0.0,100.0,1126,21.653846153846153,1.8230985621211313,0.0490955791877139,0.08849073281792766,0.5864445632245239,0.811538045323745,-0.23632974375585802,113,0.20774185427303812,-0.029510802725458113,0.5603907637655418,-0.1112032760571272,0.10397996466937298,3.01550062393454,0.6529718658750561,0.6761770621270891,0.7632736629288406,0.34689808933570476,0.716256719603064,True,0
guard_s0.12_c0.75_b0.05,0.12,0.75,0.05,10.0,1126,21.653846153846153,3.9380424185984078,0.07653752942374115,0.08704839318205117,0.8916462392240638,1.2692653999274948,-0.23607739303407616,97,0.32420524659340627,-0.028340127186243947,0.5701598579040853,-0.11256411899854583,0.10570241920828076,2.5096442518637363,0.05434345053074167,0.962444080288342,1.1104158767768635,0.6203967801084289,1.1045500802211041,True,0
guard_s0.12_c0.75_b0.05,0.12,0.75,0.05,25.0,1126,21.653846153846153,3.5520169048053534,0.07249833379541415,0.08704219531586753,0.8484609764893529,1.2029689108805781,-0.23646369153690894,98,0.30659393551799513,-0.028412388349397195,0.5674955595026643,-0.11256411899854583,0.10570241920828076,2.5096442518637363,0.13585862632685416,0.9202103896078591,1.059595227225752,0.5832302139964584,1.0511299284103006,True,0
guard_s0.12_c0.75_b0.05,0.12,0.75,0.05,50.0,1126,21.653846153846153,2.974198494811766,0.06579590416827119,0.0870691183263859,0.7761396543662882,1.0931981484149682,-0.23710745911573594,103,0.277494029136195,-0.028548154295985534,0.5630550621669627,-0.11256411899854583,0.10570241920828076,2.5096442518637363,0.27171725265370833,0.849491207804046,0.9750338922383559,0.5210589304399171,0.9615589634522049,True,0
guard_s0.12_c0.75_b0.05,0.12,0.75,0.05,100.0,1126,21.653846153846153,2.0283451612395615,0.052501269264426664,0.08726241320806044,0.6306217318708857,0.8767861040574447,-0.23839475705128732,110,0.22022828821328375,-0.028829622836037825,0.5550621669626998,-0.11256411899854583,0.10570241920828076,2.5096442518637363,0.5434345053074167,0.7071873333368905,0.8066869562036112,0.39613323226867764,0.7811423527024598,True,0
