candidate,base_candidate,signal_family,breadth,construction,exposure_rule,full_cagr,full_sharpe,full_drawdown,recent_cagr,recent_sharpe,recent_drawdown,two_year_cagr,two_year_sharpe,two_year_drawdown,common_endpoint_recent_cagr,severe_200bps_recent_cagr,worst_delay_recent_cagr,adverse_missing_recent_cagr,worst_five_issuer_recent_cagr,worst_sector_removed_recent_cagr,maximum_positive_issuer_share,removed_issuers,worst_positive_sector,rolling_26w_outperformance_share,rolling_26w_windows,rolling_52w_outperformance_share,rolling_104w_outperformance_share,raw_bootstrap_probability,familywise_bootstrap_probability,deflated_sharpe_probability,average_gross_exposure,maximum_gross_exposure,annualized_turnover,probability_of_backtest_overfitting,passes_historical_gates
causal_nonlinear_ridge__n5__rank_inverse_volatility__fixed_1.00x,causal_nonlinear_ridge__n5__rank_inverse_volatility,causal_nonlinear_ridge,5,rank_inverse_volatility,fixed_1.00x,-0.05880589593639085,0.04523199067892999,-0.6420583856396522,-0.4331283150666879,-0.5752186487483701,-0.6420583856396522,-0.10741723617050214,0.06179768914512603,-0.6420583856396522,-0.20461408693534788,-0.5440232635980338,-0.21267994320878914,-0.6059937271127358,-0.6328642857285103,-0.4490770209727465,0.2779132490146317,0001868941|0001096296|0001479681|0001590560|0001841408,manufacturing,0.2529411764705882,170,0.19444444444444445,0.14130434782608695,0.0578,0.0,0.007580204115988603,1.0,1.0,6.228813924159501,0.35714285714285715,False
causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer__fixed_1.00x,causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,10,diagonal_shrinkage_signal_optimizer,fixed_1.00x,-0.06725490487304742,-0.031233794514699653,-0.5564789582909186,-0.43378194013054705,-0.8322262039336833,-0.5564789582909189,-0.12238189063225147,-0.042672427696757664,-0.5564789582909186,-0.2816658131917007,-0.5638249586785287,-0.29504104172453594,-0.5619966190261538,-0.6108964010011194,-0.30343364785540916,0.3259396163970357,0001868941|0001841408|0001479681|0001001115|0001831651,manufacturing,0.2411764705882353,170,0.1875,0.11956521739130435,0.022,0.0,0.004991464308674011,1.0,1.0,6.865681248030258,0.35714285714285715,False
causal_nonlinear_ridge__n10__rank_inverse_volatility__fixed_1.50x,causal_nonlinear_ridge__n10__rank_inverse_volatility,causal_nonlinear_ridge,10,rank_inverse_volatility,fixed_1.50x,-0.03933207177735354,0.15346126715214803,-0.6827653811821335,-0.4728810483756125,-0.5466807893809853,-0.6827653811821334,-0.0388240583157744,0.26341061577134645,-0.6827653811821334,-0.2603028141972523,-0.6318311696097791,-0.3345982334102473,-0.8081404915320123,-0.6243997364805971,-0.37057920094114205,0.16705961109618261,0001868941|0001096296|0001479681|0001821769|0001841408,manufacturing,0.24705882352941178,170,0.2222222222222222,0.22826086956521738,0.1422,0.0,0.013289347678765214,1.5,1.5,6.389008788226042,0.35714285714285715,False
causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer__fixed_1.00x,causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,5,diagonal_shrinkage_signal_optimizer,fixed_1.00x,-0.10742312939929277,-0.0821081556367423,-0.6755356207273672,-0.5178517881007361,-0.8094803226479694,-0.6755356207273672,-0.19190847154550272,-0.11218378236594793,-0.6755356207273672,-0.30298266491879144,-0.6171033192534405,-0.3318122915080568,-0.5744035130734655,-0.6804455680773771,-0.5418697185444903,0.33304960755401236,0001868941|0001479681|0001841408|0001590560|0000723612,manufacturing,0.2235294117647059,170,0.1597222222222222,0.13043478260869565,0.0346,0.0,0.0037478271703464713,1.0,1.0,6.47834924062604,0.35714285714285715,False
causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer__fixed_1.25x,causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,10,diagonal_shrinkage_signal_optimizer,fixed_1.25x,-0.11793829297543557,-0.07773962161297761,-0.6569301265612963,-0.5385290805517918,-0.8628580978814046,-0.6569301265612966,-0.1954593483603143,-0.0762790303663226,-0.6569301265612966,-0.37975528138507897,-0.6684460885345483,-0.39241242801481213,-0.6693835889190444,-0.7067771265118413,-0.3886475421845713,0.3259396163970357,0001868941|0001841408|0001479681|0001001115|0001831651,manufacturing,0.2235294117647059,170,0.14583333333333334,0.11956521739130435,0.0424,0.0,0.0038420986582670476,1.25,1.25,6.865681248030258,0.35714285714285715,False
causal_nonlinear_ridge__n5__rank_inverse_volatility__fixed_1.25x,causal_nonlinear_ridge__n5__rank_inverse_volatility,causal_nonlinear_ridge,5,rank_inverse_volatility,fixed_1.25x,-0.11319768613207815,0.005363464754674541,-0.7320298427161902,-0.5465081672336428,-0.600112665454715,-0.73202984271619,-0.18733284016782048,0.03298715651258049,-0.7320298427161902,-0.30688708962475275,-0.6558116629612578,-0.31274837751445983,-0.7201551209428869,-0.7279728611127048,-0.5499921412524524,0.27791324901463177,0001868941|0001096296|0001479681|0001590560|0001841408,manufacturing,0.2235294117647059,170,0.1736111111111111,0.14130434782608695,0.092,0.0,0.006107998151949655,1.25,1.25,6.228813924159501,0.35714285714285715,False
causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer__fixed_1.50x,causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,10,diagonal_shrinkage_signal_optimizer,fixed_1.50x,-0.17204490327421995,-0.10874347055728475,-0.7386966322889347,-0.6304053869930768,-0.8832793605132183,-0.7386966322889346,-0.2726546125586672,-0.09868343214603277,-0.7386966322889346,-0.4739843893912048,-0.7528550809236922,-0.48501810274970425,-0.7563944778726356,-0.7815757396246847,-0.46776210651342054,0.32593961639703567,0001868941|0001841408|0001479681|0001001115|0001831651,manufacturing,0.2,170,0.11805555555555555,0.14130434782608695,0.0612,0.0,0.0032167956089117697,1.5,1.5,6.865681248030258,0.35714285714285715,False
causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer__fixed_1.25x,causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,5,diagonal_shrinkage_signal_optimizer,fixed_1.25x,-0.17071665849473494,-0.12184387398211804,-0.7635398393803181,-0.6308782391395933,-0.8341889668291531,-0.7635398393803181,-0.2833527440638396,-0.14089945734821713,-0.7635398393803181,-0.4136338805807649,-0.7244488009610974,-0.4450453423760855,-0.6854395225477476,-0.7741883492254801,-0.6446999766941672,0.33304960755401253,0001868941|0001479681|0001841408|0001590560|0000723612,manufacturing,0.21176470588235294,170,0.13194444444444445,0.14130434782608695,0.057,0.0,0.0029821681315431773,1.25,1.25,6.47834924062604,0.35714285714285715,False
causal_nonlinear_ridge__n5__rank_inverse_volatility__fixed_1.50x,causal_nonlinear_ridge__n5__rank_inverse_volatility,causal_nonlinear_ridge,5,rank_inverse_volatility,fixed_1.50x,-0.17252345292158278,-0.02121552595071788,-0.8015731788467015,-0.6460999893885413,-0.6167086765922785,-0.8015731788467015,-0.27344265995938477,0.013780134757550046,-0.8015731788467015,-0.4102898982683091,-0.7470319868229696,-0.41322071700707086,-0.8094551243255641,-0.8009723175223323,-0.6373874212105957,0.2779132490146316,0001868941|0001096296|0001479681|0001590560|0001841408,manufacturing,0.20588235294117646,170,0.1527777777777778,0.14130434782608695,0.1228,0.0,0.005277217936171412,1.5,1.5,6.228813924159501,0.35714285714285715,False
causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer__fixed_1.50x,causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,5,diagonal_shrinkage_signal_optimizer,fixed_1.50x,-0.2373127282547507,-0.14833433363666323,-0.8297390524434134,-0.7248650818290698,-0.8506613962832759,-0.8297390524434134,-0.3764408531929564,-0.1600432406697302,-0.8297390524434134,-0.5190033966169842,-0.8073520305718322,-0.5510710372624903,-0.7740702353765391,-0.8432713357641757,-0.728909094887916,0.3330496075540124,0001868941|0001479681|0001841408|0001590560|0000723612,manufacturing,0.2,170,0.11805555555555555,0.14130434782608695,0.081,0.0,0.002555007758338539,1.5,1.5,6.47834924062604,0.35714285714285715,False
