decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status
2012-04-01 00:00:00+00:00,0000866829-12-000009,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,1389,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,HLX,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0000867665-12-000010,0000867665,ABRAXAS PETROLEUM CORP,1311,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-094834,0000872248,PETROQUEST ENERGY INC,1311,energy,10-K,2-ACC,2012-03-05,2012-03-06 00:00:00+00:00,20111231,2011,FY,2012Q1,26.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-081951,0000874499,GULFPORT ENERGY CORP,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,GPOR,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001104659-12-015678,0000880115,CLAYTON WILLIAMS ENERGY INC /DE,1311,energy,10-K,2-ACC,2012-03-05,2012-03-06 00:00:00+00:00,20111231,2011,FY,2012Q1,26.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-084721,0000886835,SUPERIOR ENERGY SERVICES INC,1389,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-052274,0000889900,PATTERSON UTI ENERGY INC,1381,energy,10-K,1-LAF,2012-02-10,2012-02-11 00:00:00+00:00,20111231,2011,FY,2012Q1,50.0,PTEN,Nasdaq,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-078415,0000891456,PLAINS EXPLORATION & PRODUCTION CO,1311,energy,10-K/A,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001047469-12-002166,0000892986,WARREN RESOURCES INC,1311,energy,10-K,2-ACC,2012-03-06,2012-03-07 00:00:00+00:00,20111231,2011,FY,2012Q1,25.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000893538-12-000012,0000893538,SM ENERGY CO,1311,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,SM,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-109747,0000894627,VAALCO ENERGY INC /DE/,1311,energy,10-K,2-ACC,2012-03-12,2012-03-13 00:00:00+00:00,20111231,2011,FY,2012Q1,19.0,EGY,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-089591,0000895126,CHESAPEAKE ENERGY CORP,1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,EXE,Nasdaq,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-081922,0000904080,STONE ENERGY CORP,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001038838-12-000060,0000907649,FX ENERGY INC,1311,energy,10-K,2-ACC,2012-03-12,2012-03-13 00:00:00+00:00,20111231,2011,FY,2012Q1,19.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-080837,0000912750,NEWFIELD EXPLORATION CO /DE/,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000928022-12-000026,0000928022,CALLON PETROLEUM CO,1311,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001104659-12-007415,0000937136,HYPERDYNAMICS CORP,1311,energy,10-Q,2-ACC,2012-02-07,2012-02-08 00:00:00+00:00,20111231,2012,Q2,2012Q1,53.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-076931,0000943861,GOODRICH PETROLEUM CORP,1311,energy,10-K,2-ACC,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
