source_quarter,url,retrieved_at_utc,http_status,zip_bytes,zip_sha256,sub_bytes,sub_sha256,cached_sub_file,elapsed_seconds
2018Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2018q3.zip,2026-08-13T09:49:48.255089+00:00,200,87202498,30030056223c456d5cb7a42722ffa990345fda12deb5cfff723b1ae47dc9bf8d,1921225,b5772c99e120fb0b4434bdbb86e9851dbed16d71571237eb178d61183c1f17c1,/project/data/sec_fsds_sub_cache/2018q3.sub.txt.gz,4.505
2018Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2018q4.zip,2026-08-13T09:49:51.359057+00:00,200,62895777,ecc103d0979dacdf6cfcc7f0b2273f7b6046c41a3aa7f2e2aacfb8ccd45bc122,1903806,e8e34077f4b41ac2bdaf46c91e64cd0823c35876e1677ad33a7ba3838e4adf79,/project/data/sec_fsds_sub_cache/2018q4.sub.txt.gz,3.099
2019Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2019q1.zip,2026-08-13T09:49:58.258237+00:00,200,95895180,49f6f0a00b6f1792d22893a3e261f7a329377048eb826079f1a16c7895b76d9d,1687340,e2f0b40fd5332234da2973e491a33256421b381c80d7a2ab7a9c32cf22d2f0b6,/project/data/sec_fsds_sub_cache/2019q1.sub.txt.gz,6.967
2019Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2019q2.zip,2026-08-13T09:49:56.962433+00:00,200,90155728,765e42efd43687b4ac4ea59c83213857a52dca0a4bd5c490034bd5bea2b6fac3,2158184,3fea567e8736663630a36bac19360f18d2ceab4552772415238580940c10d72b,/project/data/sec_fsds_sub_cache/2019q2.sub.txt.gz,5.601
2019Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2019q3.zip,2026-08-13T09:50:02.297520+00:00,200,89829588,4c57e36f04b54a2b9917537e12974cba68353f765affbf168bd506478780e13e,1873789,26df85890173d218cb8b75e54abbb428fcd6943a0111287e49b1296335a78c05,/project/data/sec_fsds_sub_cache/2019q3.sub.txt.gz,5.329
2019Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2019q4.zip,2026-08-13T09:50:07.642210+00:00,200,98753299,1f997c123b6d2fe892eeca0a5f12687e718ab5ae031f148b4a5d82f2689daec3,1855913,44ed47fb2a8d3d9a9b1a49282be237290456aaf08859b80c91d9ab3a295f3221,/project/data/sec_fsds_sub_cache/2019q4.sub.txt.gz,10.157
2020Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2020q1.zip,2026-08-13T09:50:06.796313+00:00,200,96584608,48ed9834c66d565c21130d087eae941b25770e2d7cc8351d17652612289fcd67,1739253,5c89b0295c403903909c34b9293d9a050f589b0722585f3ee6d6035b16501950,/project/data/sec_fsds_sub_cache/2020q1.sub.txt.gz,8.535
2020Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2020q2.zip,2026-08-13T09:50:08.707544+00:00,200,82008710,bd796ea10c88e21205da013f9c3f6a20b2b14d3de94f0075e9f529e0ef9a3543,1970962,98b22c06bef3114129df460122f6bb0dc8dc87e217ab393144e56c815f28b09f,/project/data/sec_fsds_sub_cache/2020q2.sub.txt.gz,6.41
2020Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2020q3.zip,2026-08-13T09:50:11.508355+00:00,200,87582976,6a402070d4b1f12db0d2256533b38705735684ecb58bc12ce53a61dd12abe26e,1888760,bc21f3f831c75fb4f63952f01dc8823c9537db6a44da020aa8a167e663b325fa,/project/data/sec_fsds_sub_cache/2020q3.sub.txt.gz,4.705
2020Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2020q4.zip,2026-08-13T09:50:21.206657+00:00,200,89811373,7cabec2c9b90511983623e6db3869b24c7a894466bd409f060a8da32790ae68e,1874158,aa21f0660fed6c25f42ffe6a7b1cb62098bd56f51327aade4884e059a19b5d25,/project/data/sec_fsds_sub_cache/2020q4.sub.txt.gz,13.559
