family,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week,correlation_growth,correlation_spy,correlation_xlk,correlation_xle,adverse_full_cagr,independence_gate,robustness_gate
profitability,base,50,ytd,32,2026-01-02,2026-08-07,0.2117040283722238,0.8777247253166325,1.584937175799373,-0.13457662094738287,0.8171594032290795,0.12543639345124724,0.2542298845841672,0.46875,0.09254251177612716,-0.06548532170321608,0.5974735368998336,0.7853763201675276,0.7691931046530345,0.14407666057634563,0.24254604348557662,True,True
quality_acceleration,base,50,full_recent,188,2023-01-06,2026-08-07,0.10102663262065925,0.5091245410750918,0.7477873443106098,-0.3492293873108312,3.4592872339822853,0.4161694146249866,0.25121601801372223,0.5212765957446809,0.08488599193063884,-0.14721852263293345,0.6691334562868813,0.7162905083432693,0.691713873342513,0.2950944336942522,0.037995995993572285,True,True
quality_acceleration,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.12995023443952736,0.590496663417745,0.8662322193105508,-0.34201561862251684,3.4799108279533097,0.4460999838191686,0.26796726296062295,0.5732484076433121,0.08488599193063884,-0.14721852263293345,0.6691334562868813,0.7162905083432693,0.691713873342513,0.2950944336942522,0.037995995993572285,True,True
quality_acceleration,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.3591428812602271,1.2262673918056044,1.9184978282731155,-0.24278106372628183,3.417142857142857,0.8582024152229164,0.2836851612186667,0.6095238095238096,0.08488599193063884,-0.14721852263293345,0.6691334562868813,0.7162905083432693,0.691713873342513,0.2950944336942522,0.037995995993572285,True,True
quality_acceleration,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5522826689510476,1.8068043383575203,3.392131458499714,-0.14542995791597446,2.9433962264150946,0.5654648627639498,0.26292048054945655,0.6415094339622641,0.08414753008264086,-0.06312232484188407,0.6691334562868813,0.7162905083432693,0.691713873342513,0.2950944336942522,0.037995995993572285,True,True
quality_acceleration,base,50,ytd,32,2026-01-02,2026-08-07,0.638817211519398,2.153739279669263,4.155773242442218,-0.09746068617732617,3.25,0.3552480134275011,0.2436438997955708,0.65625,0.07974004018450875,-0.05358694426069843,0.6691334562868813,0.7162905083432693,0.691713873342513,0.2950944336942522,0.037995995993572285,True,True
shareholder_discipline,base,50,full_recent,188,2023-01-06,2026-08-07,0.11662484535637963,0.6095511633810792,0.889042436574848,-0.3356799255196976,1.5026500136313596,0.49005832367321367,0.2214819969669041,0.5159574468085106,0.08042440856817068,-0.1237798646945022,0.4464763479715374,0.5864710829959602,0.4431150608541317,0.5468415794822973,0.08981941616402334,True,True
shareholder_discipline,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.1224041218502121,0.6388698647627247,0.9374972656158918,-0.3356799255196976,1.273941594538205,0.4171380776059219,0.21830984547352678,0.5031847133757962,0.08042440856817068,-0.1237798646945022,0.4464763479715374,0.5864710829959602,0.4431150608541317,0.5468415794822973,0.08981941616402334,True,True
shareholder_discipline,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.22648471982955698,0.9900589816995314,1.456550329757916,-0.31835968465885833,1.1491423307291673,0.5101821232827253,0.23441946010514342,0.5428571428571428,0.08042440856817068,-0.1237798646945022,0.4464763479715374,0.5864710829959602,0.4431150608541317,0.5468415794822973,0.08981941616402334,True,True
shareholder_discipline,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3688026790052519,1.754372173496568,3.031116211041541,-0.06916870887178495,0.9129078489018528,0.3770914627119075,0.18951333473004392,0.5471698113207547,0.05111237523089929,-0.06916870887178483,0.4464763479715374,0.5864710829959602,0.4431150608541317,0.5468415794822973,0.08981941616402334,True,True
shareholder_discipline,base,50,ytd,32,2026-01-02,2026-08-07,0.2135180426111276,1.280531965993241,2.236786051982049,-0.056815242653693976,1.1322785692924933,0.126472935118646,0.16118706474194844,0.5,0.04443463949759141,-0.035223461314964344,0.4464763479715374,0.5864710829959602,0.4431150608541317,0.5468415794822973,0.08981941616402334,True,True
