portfolio,state,n_weeks,label,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY
improved_phase2_aggressive_recovery_confirmed_boost,recovery_confirmed,44,improved_phase2_aggressive_recovery_confirmed_boost,0.02303,0.07541,0.305395,-0.05302,0.43436,-0.022774,-0.034823,-0.047864,0.1352,0.0541
improved_phase2_aggressive_nonstressed_offense_mandate,neutral_mixed,493,improved_phase2_aggressive_nonstressed_offense_mandate,0.119584,0.081416,1.468811,-0.098402,1.215265,-0.025911,-0.074176,-0.072322,0.2232,0.0705
improved_phase2_aggressive_nonstressed_offense_mandate,calm_trend,295,improved_phase2_aggressive_nonstressed_offense_mandate,0.039527,0.083477,0.473505,-0.147014,0.268865,-0.028478,-0.068374,-0.079266,0.0894,0.0838
improved_phase2_aggressive_nonstressed_offense_mandate,stressed_panic,229,improved_phase2_aggressive_nonstressed_offense_mandate,0.034572,0.08008,0.431712,-0.13635,0.25355,-0.024787,-0.126109,-0.116124,0.5213,0.0265
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_fragile,49,improved_phase2_aggressive_nonstressed_offense_mandate,0.075528,0.060052,1.257709,-0.031715,2.381433,-0.01708,-0.027034,-0.017979,0.1487,0.0558
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_confirmed,44,improved_phase2_aggressive_nonstressed_offense_mandate,0.026899,0.078026,0.344749,-0.05368,0.501106,-0.023424,-0.034814,-0.048656,0.1026,0.0563
improved_phase2_aggressive_balanced_mandate,neutral_mixed,493,improved_phase2_aggressive_balanced_mandate,0.118895,0.080783,1.471771,-0.097836,1.215239,-0.025807,-0.073672,-0.0719,0.2234,0.0699
improved_phase2_aggressive_balanced_mandate,calm_trend,295,improved_phase2_aggressive_balanced_mandate,0.039853,0.082519,0.482961,-0.145977,0.273011,-0.028198,-0.068033,-0.077799,0.0939,0.0823
improved_phase2_aggressive_balanced_mandate,stressed_panic,229,improved_phase2_aggressive_balanced_mandate,0.035404,0.079459,0.445571,-0.134588,0.263057,-0.024557,-0.124039,-0.114375,0.5214,0.0265
improved_phase2_aggressive_balanced_mandate,recovery_fragile,49,improved_phase2_aggressive_balanced_mandate,0.071707,0.060097,1.193184,-0.032203,2.226761,-0.017181,-0.027488,-0.019019,0.1476,0.0556
improved_phase2_aggressive_balanced_mandate,recovery_confirmed,44,improved_phase2_aggressive_balanced_mandate,0.028209,0.077436,0.364293,-0.053626,0.526043,-0.022864,-0.035122,-0.048424,0.0838,0.0574
improved_phase2_aggressive_stretch_mandate,neutral_mixed,493,improved_phase2_aggressive_stretch_mandate,0.121443,0.082377,1.474225,-0.09979,1.216988,-0.026115,-0.074739,-0.072836,0.2175,0.0716
improved_phase2_aggressive_stretch_mandate,calm_trend,295,improved_phase2_aggressive_stretch_mandate,0.038545,0.084711,0.455013,-0.150163,0.256685,-0.028972,-0.069704,-0.081159,0.0848,0.085
improved_phase2_aggressive_stretch_mandate,stressed_panic,229,improved_phase2_aggressive_stretch_mandate,0.033807,0.081807,0.413246,-0.140894,0.239944,-0.025298,-0.130921,-0.120589,0.5191,0.0268
improved_phase2_aggressive_stretch_mandate,recovery_fragile,49,improved_phase2_aggressive_stretch_mandate,0.078172,0.060204,1.298439,-0.032056,2.438565,-0.017035,-0.026875,-0.01704,0.1456,0.0563
improved_phase2_aggressive_stretch_mandate,recovery_confirmed,44,improved_phase2_aggressive_stretch_mandate,0.027215,0.078051,0.348681,-0.054016,0.503826,-0.023392,-0.034806,-0.048774,0.1044,0.0568
ggg1,neutral_mixed,493,ggg1,0.112112,0.076707,1.461561,-0.091217,1.229073,-0.024706,-0.070536,-0.068173,,
ggg1,calm_trend,295,ggg1,0.040851,0.079534,0.513625,-0.139322,0.293209,-0.027026,-0.067186,-0.074407,,
ggg1,stressed_panic,229,ggg1,0.035803,0.074483,0.480687,-0.121622,0.294378,-0.02312,-0.111421,-0.101854,,
ggg1,recovery_fragile,49,ggg1,0.066671,0.058374,1.142121,-0.032194,2.070886,-0.017135,-0.027489,-0.020448,,
ggg1,recovery_confirmed,44,ggg1,0.025705,0.074664,0.344267,-0.053798,0.477794,-0.022096,-0.033817,-0.04817,,
prod_pin,neutral_mixed,493,prod_pin,0.110433,0.075525,1.462193,-0.08967,1.231546,-0.023942,-0.073924,-0.063302,,
prod_pin,calm_trend,295,prod_pin,0.035584,0.092599,0.384275,-0.164683,0.216072,-0.0312,-0.078898,-0.093801,,
prod_pin,stressed_panic,229,prod_pin,0.033693,0.06783,0.496727,-0.12081,0.278894,-0.020652,-0.104493,-0.099951,,
prod_pin,recovery_fragile,49,prod_pin,0.069735,0.052956,1.31684,-0.030885,2.25793,-0.014782,-0.025234,-0.018827,,
prod_pin,recovery_confirmed,44,prod_pin,0.026147,0.067972,0.384677,-0.049659,0.526531,-0.02033,-0.04002,-0.04583,,
