portfolio,window,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,active_return_vs_spy,active_return_vs_ggg1
prod_pin,holdout_2020,0.0617,-0.1086,-0.0464,-0.104,-0.0782,-0.0137
prod_pin,holdout_2021,0.0854,-0.1303,-0.0304,-0.0639,-0.0539,-0.0069
prod_pin,bear_2022,0.067,0.043,0.0179,0.0705,0.1669,0.0181
prod_pin,recovery_2023,0.1197,-0.1992,-0.0653,-0.1233,-0.0919,-0.0179
shadow,full,0.0427,-0.1225,-0.0249,-0.0563,-0.0509,-0.0025
shadow,holdout_2016,0.062,-0.1187,-0.0416,-0.0903,-0.0807,-0.0071
shadow,holdout_2020,0.0614,-0.1082,-0.0459,-0.1039,-0.0786,-0.014
shadow,holdout_2021,0.0843,-0.1297,-0.0302,-0.0639,-0.0548,-0.0077
shadow,bear_2022,0.0632,0.0429,0.0167,0.0674,0.1647,0.0159
shadow,recovery_2023,0.1191,-0.198,-0.0642,-0.1221,-0.0926,-0.0185
equal_weight,full,0.0266,-0.0979,-0.0211,-0.0556,-0.0697,-0.02
equal_weight,holdout_2016,0.0516,-0.0947,-0.03,-0.0744,-0.0957,-0.0209
equal_weight,holdout_2020,0.0555,-0.0936,-0.0339,-0.0853,-0.089,-0.0235
equal_weight,holdout_2021,0.0805,-0.1216,-0.0204,-0.0496,-0.0603,-0.0126
equal_weight,bear_2022,0.0638,0.0365,0.022,0.0981,0.1701,0.0213
equal_weight,recovery_2023,0.1106,-0.1749,-0.05,-0.1115,-0.1051,-0.0294
spy,full,1.0,1.0,1.0,1.0,0.0,0.0449
spy,holdout_2016,1.0,1.0,1.0,1.0,0.0,0.0674
spy,holdout_2020,1.0,1.0,1.0,1.0,0.0,0.0575
spy,holdout_2021,1.0,1.0,1.0,1.0,0.0,0.042
spy,bear_2022,1.0,1.0,1.0,1.0,0.0,-0.1507
spy,recovery_2023,1.0,1.0,1.0,1.0,0.0,0.0624
bench_60_40,full,0.5835,0.5435,0.569,0.9697,-0.0361,0.0113
bench_60_40,holdout_2016,0.6029,0.5887,0.5933,0.9696,-0.0598,0.0123
bench_60_40,holdout_2020,0.6185,0.6228,0.6048,0.9719,-0.067,-0.0035
bench_60_40,holdout_2021,0.6253,0.6501,0.6234,0.9618,-0.0695,-0.021
bench_60_40,bear_2022,0.6029,0.6854,0.6401,0.9705,0.0049,-0.1457
bench_60_40,recovery_2023,0.6478,0.6328,0.6145,0.9527,-0.0768,-0.0047
