cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision,last_recent_decision,recent_decision_rows,symbol_count,recovered_symbol,symbol_unique_across_recovered_ciks
0000732834,"CONTINENTAL RESOURCES, INC",energy,0000732834-22-000035,2022-11-03 00:00:00+00:00,CLR,xbrl_symbol_recovered,clr-20220930.htm,50dd1f7f7323be801091563ca010c3d3d024162a751e8594570c7484fd0123fe,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,1,CLR,True
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,energy,0001628280-26-009059,2026-02-19 00:00:00+00:00,OXY,xbrl_symbol_recovered,oxy-20251231.htm,2cd8350af34fa5a69e8bd6328e91347b00d9d4a68cfd5776944ec5f4bc4d44fc,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,OXY,True
0000890447,VERTEX ENERGY INC.,energy,0001628280-24-035766,2024-08-09 00:00:00+00:00,VTNR,xbrl_symbol_recovered,vtnr-20240630.htm,893da5f312f2db50284ae84eea696278a68e954085dd8670735d76e1cadd1dcb,2023-01-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,12,1,VTNR,True
0000928022,CALLON PETROLEUM CO,energy,0000928022-24-000031,2024-02-27 00:00:00+00:00,CPE,xbrl_symbol_recovered,cpe-20231231.htm,29c504ad94f1dcbd04da783f131b7f38e8456f90b17a7032cfe4d85b49d61de8,2023-01-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,10,1,CPE,True
0000949039,"DIAMOND OFFSHORE DRILLING, INC.",energy,0000950170-24-092631,2024-08-08 00:00:00+00:00,DO,xbrl_symbol_recovered,do-20240630.htm,d5ad2155562d29de8ae2a1adfe44b6e3ce1db159d286527c589f54ec1f768051,2023-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,11,1,DO,True
0001000229,CORE LABORATORIES N V,energy,0000950170-23-015365,2023-04-28 00:00:00+00:00,CLB,xbrl_symbol_recovered,clb-20230331.htm,1268f76f8b122844dab40b7d6b05306b0b8b7f5c85bf1b7110960ec50bee330b,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,1,CLB,True
0001037676,"ARCH RESOURCES, INC.",energy,0001558370-24-014411,2024-11-06 00:00:00+00:00,ARCH,xbrl_symbol_recovered,arch-20240930x10q.htm,e47d848d144607f72f7a42d2db44b84dc8ab9f2081c00bf1f37ff80211528430,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,1,ARCH,True
0001038357,PIONEER NATURAL RESOURCES CO,energy,0001038357-24-000043,2024-05-03 00:00:00+00:00,PXD,xbrl_symbol_recovered,pxd-20240331.htm,5dc2132b6471784bf8d760a141fafe4d35c5daa59fec838e0917c1eb4becea96,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,1,PXD,True
0001255474,WHITING PETROLEUM CORP,energy,0001255474-22-000024,2022-05-05 00:00:00+00:00,WLL,xbrl_symbol_recovered,wll-20220331x10q.htm,03062990383441eb08509ae8a43e6303ecf20c1152f9baeff42c0c2cfea6448a,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,1,WLL,True
0001340122,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",energy,0001340122-24-000042,2024-05-11 00:00:00+00:00,CLMT,xbrl_symbol_recovered,clmt-20240331x10q.htm,034772fe768fcbb74957078c39ade3ea023ca4fb2d48f9153b7394f88c09ae1b,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,1,CLMT,True
0001449488,CSI COMPRESSCO LP,energy,0001449488-24-000013,2024-03-02 00:00:00+00:00,CCLP,xbrl_symbol_recovered,cclp-20231231.htm,4cf8e42c4f08e594d532d9918b9f9a1e43d8f99838fcc6b8ca1b582fe8634483,2023-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,9,1,CCLP,True
0001509589,"CIVITAS RESOURCES, INC.",energy,0001509589-25-000059,2025-11-07 00:00:00+00:00,CIVI,xbrl_symbol_recovered,civi-20250930.htm,b7c8072658c5ca1680b1070e58c7f629defabf76be419affc3b35a118e815a96,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,CIVI,True
0001525287,SPRAGUE RESOURCES LP,energy,0001525287-22-000035,2022-08-05 00:00:00+00:00,SRLP,xbrl_symbol_recovered,srlp-20220630.htm,ceaf642c1dbec7aaa1ffdb7cef189bfc83a88ec93c16166677e20b831cf4c040,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,1,SRLP,True
0001528129,"VITAL ENERGY, INC.",energy,0001528129-25-000144,2025-11-04 00:00:00+00:00,VTLE,xbrl_symbol_recovered,vtle-20250930.htm,106abe312b5d23bd426c9086aa1be098b482d09f61179bc6611f08cf216820cc,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,VTLE,True
0001602065,"VIPER ENERGY, INC.",energy,0001602065-25-000061,2025-08-07 00:00:00+00:00,VNOM,xbrl_symbol_recovered,vnom-20250630.htm,901e28d763bc178d4e950057cd3d5cfda6090d53f3e0820bfd374b1368492e49,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,VNOM,True
0001652133,OASIS MIDSTREAM PARTNERS LP,energy,0001652133-21-000047,2021-11-05 00:00:00+00:00,OMP,xbrl_symbol_recovered,omp-20210930.htm,2a3c77e0fe618facbf15a7e1edf62c7b76006f968a9841efe7d02a91212bf225,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,1,OMP,True
0001688476,NEXTIER OILFIELD SOLUTIONS INC.,energy,0001688476-23-000103,2023-07-27 00:00:00+00:00,NEX,xbrl_symbol_recovered,nex-20230630.htm,3c50f2fa9ddc4deac0bb736c794b202f3f28a28ffddd2d8a09c2a14eda2780a7,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,1,NEX,True
0001705873,BERRY CORP (BRY),energy,0001705873-25-000076,2025-11-06 00:00:00+00:00,BRY,xbrl_symbol_recovered,bry-20250930.htm,c56b5ec7ecb924bfacd6c680921a811c03c11114e01e47afcc04a63fdf349fd7,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,BRY,True
0001745797,"BRIGHAM MINERALS, INC.",energy,0001745797-22-000054,2022-11-04 00:00:00+00:00,MNRL,xbrl_symbol_recovered,mnrl-20220930.htm,0f3cf0242082956115c04d0f7a43b05dd3bc5c8d268e836275af3444050da2c2,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,1,MNRL,True
0001845290,"MACQUARIE INFRASTRUCTURE HOLDINGS, LLC",energy,0001628280-22-011875,2022-05-04 00:00:00+00:00,MIC,xbrl_symbol_recovered,mic-20220331.htm,5d0f6626c7fd4b1837b9c5cb59da39ddcaf2e8986771130d5ee33720198c930c,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,1,MIC,True
0001865187,"ARIS WATER SOLUTIONS, INC.",energy,0001558370-25-011062,2025-08-12 00:00:00+00:00,ARIS,xbrl_symbol_recovered,aris-20250630x10q.htm,2a0d0ef2e890682a971ce2f0ed9ffe6139b9c3a49e48dafbeb5f06272be1fda0,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,1,ARIS,True
0000018349,SYNOVUS FINANCIAL CORP,finance_insurance_real_estate,0000018349-25-000121,2025-11-05 00:00:00+00:00,SNV,xbrl_symbol_recovered,syn-20250930.htm,820cf89e53d3dd41ea43ba1271ea30636165593b10cdd9f25b5a504a12c575c1,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,SNV,True
0000023795,"CTO REALTY GROWTH, INC.",finance_insurance_real_estate,0001104659-26-017560,2026-02-20 00:00:00+00:00,CTO,xbrl_symbol_recovered,cto-20251231x10k.htm,e24b075de2eb976b4a99c08a42aef2cd08517e83ddf26fc6b312035e7dc8e258,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,CTO,True
0000028412,COMERICA INC,finance_insurance_real_estate,0000028412-25-000235,2025-10-29 00:00:00+00:00,CMA,xbrl_symbol_recovered,cma-20250930.htm,be4ae74b34d42e07cfaaced0cb1888223dcf85bb48b93387d80e6d1819d447d7,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,CMA,True
0000036104,US BANCORP DE,finance_insurance_real_estate,0000036104-26-000011,2026-02-24 00:00:00+00:00,USB,xbrl_symbol_recovered,usb-20251231.htm,b71b00c4b8817405c7608c25fcd4c6c23a2586e3c9d2c1f6ab2a6fd95584f41b,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,USB,True
0000036966,FIRST HORIZON CORP,finance_insurance_real_estate,0000036966-26-000051,2026-02-27 00:00:00+00:00,FHN,xbrl_symbol_recovered,fhn-20251231.htm,55bee51d51cd5e55f5da9d0d96d2db6b563ad202319834841263a48a4ca0dbea,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,FHN,True
0000059558,LINCOLN NATIONAL CORP,finance_insurance_real_estate,0000059558-26-000016,2026-02-20 00:00:00+00:00,LNC,xbrl_symbol_recovered,lnc-20251231.htm,e7267a3e9484117e4d4457cbade24d3341aaf8b13d3d27a35d40230e8733dfd5,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,LNC,True
0000070858,BANK OF AMERICA CORP /DE/,finance_insurance_real_estate,0000070858-26-000157,2026-02-26 00:00:00+00:00,BAC,xbrl_symbol_recovered,bac-20251231.htm,c8725c7963d19cd6a2f3c1d0034b2a1068b4490124be6b6600a4db23be5ed134,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,BAC,True
0000091576,KEYCORP /NEW/,finance_insurance_real_estate,0001628280-26-010546,2026-02-24 00:00:00+00:00,KEY,xbrl_symbol_recovered,key-20251231.htm,36f4608315b2afd8fe3529759ee8adf2c56d6517d8b608553e291fcdeedb0de1,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,KEY,True
0000316709,SCHWAB CHARLES CORP,finance_insurance_real_estate,0000316709-26-000009,2026-02-26 00:00:00+00:00,SCHW,xbrl_symbol_recovered,schw-20251231.htm,2d9a8371ceed67b1e51bc7ac6906f6f2035bbc6129beb81f7b7595ded0d87879,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,SCHW,True
0000320335,GLOBE LIFE INC.,finance_insurance_real_estate,0000320335-26-000090,2026-02-26 00:00:00+00:00,GL,xbrl_symbol_recovered,gl-20251231.htm,0b0497b5806427134098a0b6c75af547a4b9e5078abfddf6edcd358e38734234,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,GL,True
0000740663,FIRST OF LONG ISLAND CORP,finance_insurance_real_estate,0001437749-25-013978,2025-05-02 00:00:00+00:00,FLIC,xbrl_symbol_recovered,flic20250331_10q.htm,6c38f638456261a33b100dd739a946d14a76f7daf214372e8d9f26539ce8371a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,FLIC,True
0000752642,"UMH PROPERTIES, INC.",finance_insurance_real_estate,0001493152-26-008042,2026-02-26 00:00:00+00:00,UMH,xbrl_symbol_recovered,form10-k.htm,b46d82c9c4ce6ea7370e28fff8184d3614f398276557fcc48e7577cd916d2e3c,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,UMH,True
0000759944,CITIZENS FINANCIAL GROUP INC/RI,finance_insurance_real_estate,0000759944-26-000028,2026-02-13 00:00:00+00:00,CFG,xbrl_symbol_recovered,cfg-20251231.htm,ead619e8f1b257466966ff03dbc472ec0bf5de835124cc11e52543956c9d06df,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,CFG,True
0000760498,BANCFIRST CORP /OK/,finance_insurance_real_estate,0001193125-26-075954,2026-02-27 00:00:00+00:00,BANF,xbrl_symbol_recovered,banf-20251231.htm,f0e735998d87007aa37f33dbd7f2914e96d9508217ff38f020734332fd32fe39,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,BANF,True
0000803649,EQUITY COMMONWEALTH,finance_insurance_real_estate,0000803649-25-000044,2025-05-07 00:00:00+00:00,EQC,xbrl_symbol_recovered,eqc-20250331.htm,347e820cd03ac4be8a6783b762b60d28b8a15e72c5a66c9be612639285462066,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,EQC,True
0000824410,SANDY SPRING BANCORP INC,finance_insurance_real_estate,0000824410-25-000008,2025-02-21 00:00:00+00:00,SASR,xbrl_symbol_recovered,sasr-20241231.htm,209a256a8f1d7f89183faa70e3ef1fc4eb45f8b6cb56fcb7160b840bfc1ba80c,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,SASR,True
0000842518,EVANS BANCORP INC,finance_insurance_real_estate,0000842518-25-000008,2025-03-07 00:00:00+00:00,EVBN,xbrl_symbol_recovered,evbn-20241231x10k.htm,ddb59faddc916e900b624fa5f7fe1f438292f80bf6a512332d2ae12a33e57da5,2024-07-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,8,1,EVBN,True
0000862831,FINANCIAL INSTITUTIONS INC,finance_insurance_real_estate,0001193125-26-098467,2026-03-10 00:00:00+00:00,FISI,xbrl_symbol_recovered,fisi-20251231.htm,ef1739ddb26b1d86f77c01b7d65f3bdf50b8d1ae940f2ea1e6cafc2b01b62cb5,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,FISI,True
0000874766,"HARTFORD INSURANCE GROUP, INC.",finance_insurance_real_estate,0000874766-26-000012,2026-02-21 00:00:00+00:00,HIG,xbrl_symbol_recovered,hig-20251231.htm,f1ce6c7c482aabbf65059c7381bc52f9d6fa3b81ad19b7e521f496fc5116f518,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,HIG,True
0000886982,GOLDMAN SACHS GROUP INC,finance_insurance_real_estate,0000886982-26-000091,2026-02-26 00:00:00+00:00,GS,xbrl_symbol_recovered,gs-20251231.htm,49dcc48291d906b8a8786671afb4bf9e96c280befc46605adc7ea8656b2d49db,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,GS,True
0000895421,MORGAN STANLEY,finance_insurance_real_estate,0000895421-26-000086,2026-02-20 00:00:00+00:00,MS,xbrl_symbol_recovered,ms-20251231.htm,7730c07b38fc8699b560d77a0add54a8c4da62a57adbbea2a37cd929fee1734a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,MS,True
0000899689,VORNADO REALTY TRUST,finance_insurance_real_estate,0000899689-26-000009,2026-02-10 00:00:00+00:00,VNO,xbrl_symbol_recovered,vno-20251231.htm,c5c70b7ac70115e362a1ea2c244cad81e84edbe428359b539113fdbac7354ea2,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,VNO,True
0000907254,"SAUL CENTERS, INC.",finance_insurance_real_estate,0000907254-26-000006,2026-02-28 00:00:00+00:00,BFS,xbrl_symbol_recovered,bfs-20251231.htm,d482e6652dd5134ece9d9408782f439ffcf1a9d6b16c220d415c3f674d781930,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,BFS,True
0000909108,DIAMOND HILL INVESTMENT GROUP INC,finance_insurance_real_estate,0001193125-26-076604,2026-02-27 00:00:00+00:00,DHIL,xbrl_symbol_recovered,dhil-20251231.htm,06e62ffc9c4dcee681237924752b677ffcc8f8670e473072096f68ccaf377d91,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,DHIL,True
0000910073,"FLAGSTAR BANK, NATIONAL ASSOCIATION",finance_insurance_real_estate,0000910073-26-000025,2026-02-28 00:00:00+00:00,FLG,xbrl_symbol_recovered,fbc-20251231.htm,cb0586d0b6c1084587d32c38d85f1b5b06b38f0e4d8b15fea9a1aa136dfdf953,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,FLG,True
0000913144,RENAISSANCERE HOLDINGS LTD,finance_insurance_real_estate,0000913144-26-000012,2026-02-12 00:00:00+00:00,RNR,xbrl_symbol_recovered,rnr-20251231.htm,9225dcb92190e45ffebf8862148c43b205c167d3b2d0c9033334cd24de47ec29,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,RNR,True
0000921638,SSR MINING INC.,finance_insurance_real_estate,0000921638-26-000035,2026-02-18 00:00:00+00:00,SSRM,xbrl_symbol_recovered,ssrm-20251231.htm,68b3441ab634dd634b59621cd6c7213ae855624a8d302099a29106201683e3bd,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,SSRM,True
0000923139,FLUSHING FINANCIAL CORP,finance_insurance_real_estate,0001104659-26-024646,2026-03-07 00:00:00+00:00,FFIC,xbrl_symbol_recovered,ffic-20251231x10k.htm,e91ef5b3f828bf504928cd9fe960958521da7a7ba499974a1921efbe246f6ead,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,FFIC,True
0000924901,"VERIS RESIDENTIAL, INC.",finance_insurance_real_estate,0001628280-26-010572,2026-02-24 00:00:00+00:00,VRE,xbrl_symbol_recovered,vre-20251231.htm,886f00ec937d7aef6761aec23d4c93a47f20139ce3383f02c1ce36acbf087e7a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,VRE,True
0000933136,MR. COOPER GROUP INC.,finance_insurance_real_estate,0000933136-25-000071,2025-07-24 00:00:00+00:00,COOP,xbrl_symbol_recovered,coop-20250630.htm,352a7c70cacd3bd44e6b1c49dd5f502d3b0e715aa6ddce08f943005427ba92b7,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,COOP,True
0000946647,PREMIER FINANCIAL CORP,finance_insurance_real_estate,0000950170-25-029956,2025-03-01 00:00:00+00:00,PFC,xbrl_symbol_recovered,pfc-20241231.htm,6fb9e5a4acb7674b6eb45dbe24fdb1cbdb899d245650a26ec9e5841200f6e5b8,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,PFC,True
0000947559,FIRST BANCSHARES INC /MS/,finance_insurance_real_estate,0000947559-25-000007,2025-03-04 00:00:00+00:00,FBMS,xbrl_symbol_recovered,fbms-20241231.htm,e295ea4b5ebf70d4aa61862ba2a9b4f5411e26351c994dd2dc5e5c7514113e16,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,FBMS,True
0001000209,MEDALLION FINANCIAL CORP,finance_insurance_real_estate,0001193125-26-100121,2026-03-11 00:00:00+00:00,MFIN,xbrl_symbol_recovered,mfin-20251231.htm,f5cbc12883208e264ff63390a719bc37eb1e339c3eefdd3b54c5102cfffecb8a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,MFIN,True
0001018399,ENTERPRISE BANCORP INC /MA/,finance_insurance_real_estate,0001018399-25-000056,2025-05-07 00:00:00+00:00,EBTC,xbrl_symbol_recovered,ebtc-20250331.htm,eeb98a106a5bc669f8cf06a124c4dd119365623c518ecb381536c03a790a501c,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,EBTC,True
0001025835,ENTERPRISE FINANCIAL SERVICES CORP,finance_insurance_real_estate,0001025835-26-000058,2026-02-28 00:00:00+00:00,EFSC,xbrl_symbol_recovered,efsc-20251231.htm,b73b94b8147b2d3fbc575c4122f3d199fa28577b64fdfe2be1bdd336acb205a7,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,EFSC,True
0001028918,PACIFIC PREMIER BANCORP INC,finance_insurance_real_estate,0001028918-25-000086,2025-08-02 00:00:00+00:00,PPBI,xbrl_symbol_recovered,ppbi-20250630.htm,196a1244562ca24305f9bb0d996d476e035844a162b795a4e954591df6297794,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,PPBI,True
0001045450,EPR PROPERTIES,finance_insurance_real_estate,0001045450-26-000007,2026-02-27 00:00:00+00:00,EPR,xbrl_symbol_recovered,epr-20251231.htm,199c5794053b189bc01b9f3d693f3c866ae3a1374db53ce2212b8e5f50591688,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,EPR,True
0001045609,"PROLOGIS, INC.",finance_insurance_real_estate,0001193125-26-051453,2026-02-14 00:00:00+00:00,PLD,xbrl_symbol_recovered,pld-20251231.htm,bc5ac05737e3384253c1fdd6ff16feccd9769e75fc62b9b279d2e7f86fceaf5b,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,PLD,True
0001049782,BROOKLINE BANCORP INC,finance_insurance_real_estate,0001049782-25-000016,2025-08-08 00:00:00+00:00,BRKL,xbrl_symbol_recovered,brkl-20250630.htm,22814fb41fd32a58d30213b89eca433fd078f892d1fa1cbc8e9856e876e45941,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,BRKL,True
0001053352,HERITAGE COMMERCE CORP,finance_insurance_real_estate,0001628280-26-016050,2026-03-10 00:00:00+00:00,HTBK,xbrl_symbol_recovered,htbk-20251231.htm,e609b710f3c717fc2ab6e701e303cebe1c3e780490673149d3d649dafbcbe2fd,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,HTBK,True
