cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision,last_recent_decision,recent_decision_rows,symbol_count
0001701732,ALTAIR ENGINEERING INC.,technology,0000950170-25-024197,2025-02-21 00:00:00+00:00,ALTR,xbrl_symbol_recovered,altr-20241231.htm,b307682647682389d6da54c88912ff75a95638aa9ba7b81c8d079c15f710637e,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1
0001710583,"SWITCH, INC.",technology,0001710583-22-000046,2022-11-10 00:00:00+00:00,SWCH,xbrl_symbol_recovered,swch-20220930.htm,faacb2c4a791e5396cd7d387fbac10a47fe4d48a030a73147151c20938a035bc,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,1
0001719489,"KALEYRA, INC.",technology,0000950170-23-039113,2023-08-08 00:00:00+00:00,KLR,xbrl_symbol_recovered,klr-20230630.htm,ff9257f683cdfa08f794d915200e9aff70447aeefc95a4aa679682c550b8426e,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,1
0001720671,"HASHICORP, INC.",technology,0001720671-24-000023,2024-12-06 00:00:00+00:00,HCP,xbrl_symbol_recovered,hcp-20241031.htm,8f37045eda317888202b34997ef7ca9779d8dc2932e6395896ca2814763b1e1e,2023-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,12,1
0001721947,JAMF HOLDING CORP.,technology,0001628280-25-051044,2025-11-11 00:00:00+00:00,JAMF,xbrl_symbol_recovered,jamf-20250930.htm,9a7cd60018b17ba62b9f3be959c5075eccd7252a496f05f8ae85eca2493ca582,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1
0001723648,"LIVEVOX HOLDINGS, INC.",technology,0001723648-22-000092,2022-11-09 00:00:00+00:00,LVOX|LVOXW|LVOXU,xbrl_symbol_recovered,lvox-20220930.htm,16431f1e8f8e6b577701d6ebafc2df94e9575b9ea99a415732377f82ab780958,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,3
0001724570,DATTO HOLDING CORP.,technology,0001724570-22-000028,2022-05-10 00:00:00+00:00,MSP,xbrl_symbol_recovered,msp-20220331.htm,9e27874e60909bdc6cf575b68d60c423d492a96a7c68f42ccf14574f0994cabc,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,1
0001725057,"DAYFORCE, INC.",technology,0001193125-25-256366,2025-10-30 00:00:00+00:00,DAY,xbrl_symbol_recovered,day-20250930.htm,9be976a3ec48b2e6f640f58c5ec13b6454277ebcdeba756e9d4d9d0c555f0fdc,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1
0001739936,MOMENTIVE GLOBAL INC.,technology,0000950170-23-017912,2023-05-05 00:00:00+00:00,MNTV,xbrl_symbol_recovered,mntv-20230331.htm,03698429f38efbb95ffc281c055855d431a705a004daccb2cba26ebcf2c60178,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,1
0001739942,SOLARWINDS CORP,technology,0001739942-25-000013,2025-02-20 00:00:00+00:00,SWI,xbrl_symbol_recovered,swi-20241231.htm,2d21dc634a2b6ba938de2defac6bea9efd557689e6a8e0526ca6e7e40bc34e5d,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1
