candidate,cagr_full_recent,cagr_trailing_1y,cagr_ytd,sharpe_zero_rf_full_recent,sharpe_zero_rf_trailing_1y,sharpe_zero_rf_ytd,max_drawdown_full_recent,max_drawdown_trailing_1y,max_drawdown_ytd,trailing_1y_200bps_cagr
breadth15__cap_1.50x__11w__40,0.37954648604717867,0.9663546190679402,0.9537732285781395,1.516083573633509,2.4957592077510395,2.2444669235238024,-0.2402118628266624,-0.13622731253919662,-0.1362273125391964,0.8545110130382716
breadth15__cap_1.50x__13w__40,0.37292859186063243,0.9663546190679395,0.9537732285781391,1.49625383424689,2.495759207751039,2.2444669235238015,-0.23217739288345163,-0.13622731253919673,-0.13622731253919662,0.8545110130382714
breadth30__uncapped__11w__50,0.3938572619283829,0.961888451755271,0.9464289469726388,1.5652037284542162,2.5017321280861977,2.2490676706951445,-0.2141209766039489,-0.13114389965554818,-0.13114389965554818,0.8484525631311663
breadth30__cap_1.50x__11w__50,0.39363210533031867,0.960437746242766,0.9440457277016083,1.5651372635736676,2.5012636601423357,2.247715917303011,-0.21412097660394913,-0.13038494712818205,-0.13038494712818194,0.8470287585013023
breadth15__cap_1.00x__11w__40,0.3800551412121027,0.9601314220591488,0.9435426462227521,1.524227572881146,2.4990262894348825,2.2448979679998904,-0.23412269253356344,-0.13153893578875975,-0.13153893578875953,0.8487223027406923
breadth15__cap_1.00x__13w__40,0.36813763569240243,0.9601314220591486,0.9435426462227521,1.4865502571683915,2.4990262894348834,2.2448979679998904,-0.23096736243199023,-0.13153893578875986,-0.13153893578875975,0.8487223027406918
breadth20__cap_1.00x__13w__40,0.38032018776477705,0.9597280199512113,0.9428802107062688,1.532964519730514,2.5031401257903094,2.2495391403841043,-0.21248264684282492,-0.12822934457609836,-0.12822934457609836,0.8481788497720271
breadth20__cap_1.00x__11w__40,0.391308671095453,0.9597280199512102,0.9428802107062684,1.562423741491896,2.5031401257903094,2.2495391403841016,-0.21248264684282447,-0.12822934457609858,-0.12822934457609847,0.848178849772028
breadth30__uncapped__11w__40,0.392343688126233,0.9542084817866214,0.9338254457285329,1.5620335077367662,2.490848803063459,2.231965758035485,-0.2137604895382904,-0.13173747758683385,-0.13173747758683396,0.8432242503484277
breadth30__cap_1.50x__11w__40,0.39216226977079804,0.9530451258819321,0.9319191072273123,1.5619419946175686,2.490330082043626,2.230703996804172,-0.2137604895382904,-0.13113239196293258,-0.1311323919629327,0.8420840784226868
breadth30__cap_1.00x__11w__50,0.38928251828699145,0.9495334104106943,0.9261691380959902,1.5569037499352014,2.4933597376454104,2.232319176517637,-0.21223461790722364,-0.12724255920098526,-0.12724255920098515,0.8367080347930793
breadth30__cap_1.00x__11w__40,0.38867662176261053,0.9443220567792097,0.9176487581613204,1.5551195780220273,2.4834241974784876,2.217651646360373,-0.21225149876993077,-0.12862973840025427,-0.12862973840025427,0.8338389737437719
breadth30__cap_1.00x__13w__50,0.39289186544178967,0.929177709333525,0.8929733160046736,1.5680641082363262,2.4474628031029524,2.166791573557493,-0.22173540366620326,-0.1344188867847902,-0.1344188867847902,0.8178085779844724
breadth30__cap_1.00x__13w__40,0.3915454722167442,0.9279694685569597,0.891010125830535,1.5636409665265067,2.444760674435846,2.162932080965299,-0.21986295949602908,-0.13441888678478986,-0.13441888678478997,0.8187224382048288
breadth30__uncapped__13w__40,0.391246714509458,0.9086839126949651,0.8597836981728244,1.554468682698044,2.388940149574019,2.086996189519878,-0.2219356245378079,-0.15070072794247502,-0.1507007279424749,0.7798039649019362
breadth30__cap_1.50x__13w__40,0.3910230947771869,0.9074511172524984,0.8577946134694538,1.5542221105098093,2.3881016402189483,2.085263187112125,-0.22193562453780813,-0.15015281706065686,-0.15015281706065664,0.7785895403564493
breadth30__uncapped__13w__50,0.3925043294379358,0.9049831280519547,0.8538151091334294,1.5562689389836195,2.3763498438437862,2.070393642905472,-0.22432077540450346,-0.1547620758327659,-0.15476207583276602,0.7691546176582194
breadth30__cap_1.50x__13w__50,0.392226795594502,0.9034560494144728,0.8513544677837463,1.5560089680853753,2.375452783269837,2.068400536122038,-0.22432077540450301,-0.1540775303610552,-0.15407753036105531,0.7676566613649316
