target,model,subperiod,n_oos,brier,auc,pearson_ic,spearman_ic,positive_spearman_ic_rate,top_minus_bottom_forward_return_spread,top_decile_precision
target_etf_forward_top_quantile_4w,naive_historical_class_rate,2010_2015,10702,0.19393672946056537,0.5007412869909096,1.8192680842393436e-18,,0.0,-0.001206619346089954,0.2244408945686901
target_etf_forward_top_quantile_4w,naive_historical_class_rate,2016_2020,9135,0.19104877243487606,0.5,4.073067788742895e-18,,0.0,0.005236819360968385,0.18007662835249041
target_etf_forward_top_quantile_4w,naive_historical_class_rate,2021_2026,9520,0.19103442848715027,0.49999999999999994,1.0136096455825787e-17,,0.0,-0.0032682010858287387,0.2426470588235294
target_etf_forward_top_quantile_4w,random_forest_depth4,2010_2015,10702,0.19281689478702174,0.5576071676426011,-0.050059593859782585,-0.02044262141966693,0.48881789137380194,-0.00792956711770199,0.30670926517571884
target_etf_forward_top_quantile_4w,random_forest_depth4,2016_2020,9135,0.1867331046210308,0.6049220234933892,0.04400923853244461,0.06928667630898659,0.6053639846743295,3.1450332337572236e-08,0.34674329501915707
target_etf_forward_top_quantile_4w,random_forest_depth4,2021_2026,9520,0.18514238082871756,0.6219661088653032,0.08840460239069232,0.06869462161580786,0.5955882352941176,0.009988294266316292,0.38878676470588236
target_etf_forward_top_quantile_4w,simple_momentum_rank,2010_2015,10702,0.33780392667223186,0.5062629532760267,0.03443942441341795,0.04887755857498386,0.5750798722044729,0.0012624902585768667,0.3019169329073482
target_etf_forward_top_quantile_4w,simple_momentum_rank,2016_2020,9135,0.3407146355149242,0.4991976945999935,-0.011444144620681577,0.005987529111261367,0.5325670498084292,-9.018160796329269e-06,0.2998084291187739
target_etf_forward_top_quantile_4w,simple_momentum_rank,2021_2026,9520,0.3342496631152747,0.5161199095022625,-0.006557187498309691,-0.009613404185203489,0.4963235294117647,-0.0019095661868430438,0.31525735294117646
target_etf_forward_top_quantile_4w,state_only_lag1_rate,2010_2015,10702,0.19393883958779362,0.501170175911313,1.0940464711356175e-17,,0.0,-0.001206619346089954,0.2244408945686901
target_etf_forward_top_quantile_4w,state_only_lag1_rate,2016_2020,9135,0.1910504809012124,0.5,-1.3114755841814495e-17,,0.0,0.005236819360968385,0.18007662835249041
target_etf_forward_top_quantile_4w,state_only_lag1_rate,2021_2026,9520,0.19103575524093785,0.5,1.7537439280956373e-18,,0.0,-0.0032682010858287387,0.2426470588235294
target_etf_forward_top_quantile_8w,decision_tree_depth3,2010_2015,10702,0.20162641131981582,0.5310474789691809,-0.07103796880206502,-0.039550007536967774,0.46645367412140576,-0.012720844768550219,0.273961661341853
target_etf_forward_top_quantile_8w,decision_tree_depth3,2016_2020,9135,0.18989537733113734,0.5659136325670875,0.06492055590755332,0.0955798061017275,0.632183908045977,0.010230735344550525,0.2940613026819923
target_etf_forward_top_quantile_8w,decision_tree_depth3,2021_2026,9380,0.18432739651116056,0.6219199103506579,0.1081602933871807,0.08750795057427961,0.6119402985074627,0.015586639808332994,0.37593283582089554
target_etf_forward_top_quantile_8w,hist_gradient_depth3,2010_2015,10702,0.19928680467276152,0.5436293911704213,-0.02634257585119057,-0.008145974464093911,0.5303514376996805,-0.0018396868701254726,0.28674121405750796
target_etf_forward_top_quantile_8w,hist_gradient_depth3,2016_2020,9135,0.1881482743714716,0.594432361871918,0.09427248483728173,0.11607548063744198,0.6704980842911877,0.007934894776665565,0.32088122605363983
target_etf_forward_top_quantile_8w,hist_gradient_depth3,2021_2026,9380,0.1849457118631267,0.6195628309371626,0.09714887201636448,0.07109266232769945,0.6119402985074627,0.014718623048883328,0.40111940298507465
target_etf_forward_top_quantile_8w,logistic_l2_base,2010_2015,10702,0.195107566675405,0.5710489511433998,-0.03393103554620192,0.013975906947152951,0.5175718849840255,-0.0037476220550146998,0.28753993610223644
target_etf_forward_top_quantile_8w,logistic_l2_base,2016_2020,9135,0.18917475823028498,0.5801836776866504,0.040993891772967805,0.09743284286894835,0.6704980842911877,0.0013252017079234363,0.3007662835249042
target_etf_forward_top_quantile_8w,logistic_l2_base,2021_2026,9380,0.18597489317949978,0.61143300432396,0.0893119269795807,0.05980810234541579,0.585820895522388,0.014193790577807211,0.3591417910447761
target_etf_forward_top_quantile_8w,logistic_l2_interactions,2010_2015,10702,0.19547111151906865,0.5798344997050024,0.017117637482427034,0.049489444340036326,0.5750798722044729,0.0029353240500333932,0.31150159744408945
