target,model,bucket,n,avg_prediction,actual_rate,avg_forward_return
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,3,2921,0.2215826775123981,0.25128380691543994,0.019018514236036486
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,4,2921,0.24267742855569205,0.26532009585758304,0.01411613536887575
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,5,2921,0.263416107310398,0.27250941458404654,0.01223759806011542
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,6,2921,0.285612095354638,0.2796987333105101,0.010779867622096767
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,7,2921,0.3126113789861299,0.2687435809654228,0.008945227114810416
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,8,2921,0.35043769785901874,0.281752824375214,0.006044972636620862
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,9,2921,0.4615417190980668,0.36357411845258475,0.005358505941776694
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,0,2921,0.2605394633089106,0.2574460801095515,0.023340577048400316
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,1,2921,0.2608481059665138,0.2564190345771996,0.01613864703027328
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,2,2921,0.261224402013945,0.2567613830879836,-0.002863310610971593
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,3,2921,0.26167767494688865,0.2577884286203355,0.015334259504682304
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,4,2921,0.26224389123226616,0.2567613830879836,0.007899708248346125
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,5,2921,0.26297113103177133,0.2577884286203355,0.013052835727685971
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,6,2921,0.26379186541130206,0.2595001711742554,0.006366625976873622
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,7,2921,0.26403849281707564,0.2642930503252311,0.01714228174687101
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,8,2921,0.2641925955488795,0.26532009585758304,0.010170734875318983
