run_id,date,variant,params,primary_metric,value,verdict,notes
R2B,2026-07-23,armB_baseO_alpha0.40,alpha=0.4;costs=per_instrument_1x(2x recorded),dev_log_growth,0.097031,DROP,CAGR 10.1895%; 2x CAGR 10.1610%; cost drag 0.0259%; Sharpe 0.907 (recorded)
R2B,2026-07-23,armB_baseO_alpha0.48,alpha=0.48;costs=per_instrument_1x(2x recorded),dev_log_growth,0.095375,DROP,CAGR 10.0071%; 2x CAGR 9.9759%; cost drag 0.0284%; Sharpe 0.909 (recorded)
R2B,2026-07-23,armB_baseO_alpha0.64,alpha=0.64;costs=per_instrument_1x(2x recorded),dev_log_growth,0.093065,DROP,CAGR 9.7533%; 2x CAGR 9.7216%; cost drag 0.0289%; Sharpe 0.900 (recorded)
R2B,2026-07-23,armB_baseO_alpha0.80,alpha=0.8;costs=per_instrument_1x(2x recorded),dev_log_growth,0.091753,DROP,CAGR 9.6094%; 2x CAGR 9.5779%; cost drag 0.0288%; Sharpe 0.894 (recorded)
R2B,2026-07-23,armA_walkforward_selection,expanding;26w checkpoints;log_growth objective;splice costs charged,chosen_alpha_mode,0.08,HONESTY-CHECK,"chose 0.08 at 28/35 checkpoints, 0.16 at 7/35 — production amplitude already growth-optimal"
R2B,2026-07-23,armC_P_floor_none,floor=0.0;domain=SP&latched;no_confirmations;labeled_BETA,delta_net_cagr_vs_own_base,0.0,REFERENCE,dLogG +0.0000; dBeta +0.000 (beta-labeled OK); 2008 window delta +0.00% breaches 2yr bar; 2011 delta positive; MaxDD -11.60%
R2B,2026-07-23,armC_P_floor_20,floor=0.2;domain=SP&latched;no_confirmations;labeled_BETA,delta_net_cagr_vs_own_base,0.001934,RESEARCH-ONLY,dLogG +0.0018; dBeta +0.024 (beta-labeled OK); 2008 window delta -0.89% breaches 2yr bar; 2011 delta positive; MaxDD -11.60%
R2B,2026-07-23,armC_P_floor_30,floor=0.3;domain=SP&latched;no_confirmations;labeled_BETA,delta_net_cagr_vs_own_base,0.003573,RESEARCH-ONLY,dLogG +0.0033; dBeta +0.049 (beta-labeled OK); 2008 window delta -2.46% breaches 2yr bar; 2011 delta positive; MaxDD -12.85%
R2B,2026-07-23,armC_P_floor_40,floor=0.4;domain=SP&latched;no_confirmations;labeled_BETA,delta_net_cagr_vs_own_base,0.004565,RESEARCH-ONLY,dLogG +0.0042; dBeta +0.078 (beta-labeled OK); 2008 window delta -4.08% breaches 2yr bar; 2011 delta positive; MaxDD -15.65%
R2B,2026-07-23,armC_O_floor_20_none,floor=0.2;domain=SP&latched;no_confirmations;labeled_BETA,delta_net_cagr_vs_own_base,0.0,REFERENCE,dLogG +0.0000; dBeta +0.000 (beta-labeled OK); 2008 window delta +0.00% breaches 2yr bar; 2011 delta positive; MaxDD -26.00%
R2B,2026-07-23,armC_O_floor_35,floor=0.35;domain=SP&latched;no_confirmations;labeled_BETA,delta_net_cagr_vs_own_base,0.003284,RESEARCH-ONLY,dLogG +0.0030; dBeta +0.067 (beta-labeled OK); 2008 window delta -2.30% breaches 2yr bar; 2011 delta positive; MaxDD -30.39%
R2B,2026-07-23,armC_O_floor_50,floor=0.5;domain=SP&latched;no_confirmations;labeled_BETA,delta_net_cagr_vs_own_base,0.006225,RESEARCH-ONLY,dLogG +0.0056; dBeta +0.135 (beta-labeled OK); 2008 window delta -4.77% breaches 2yr bar; 2011 delta positive; MaxDD -34.71%
R2B,2026-07-23,shuffled_r2a_null_batch_baseP,n=50;alpha=0.16;seed=20260723;dev_positions_only,actual_percentile_vs_nulls,0.86,CONTROL_FAILED_BAR,"actual gain +0.0001 logG; null mean gain -0.0011 (nulls hurt — timing direction real, amplitude gain too small)"
R2B,2026-07-23,shuffled_r2a_null_batch_baseO,n=50;alpha=0.08;seed=20260723;dev_positions_only,actual_percentile_vs_nulls,0.72,CONTROL_FAILED_BAR,"actual gain -0.0013 logG; null mean gain -0.0022 (nulls hurt — timing direction real, amplitude gain too small)"
