scenario,delay_weeks,underlying_cost_bps,allocation,outer_cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown
delay0__under100__w0.50__outer100,0,100.0,0.5,100,1.1101239548281976,2.1295415526738193,-0.1623429237250139,0.43200056040395873,1.3585222915344095,-0.2885147028409242
delay0__under100__w0.50__outer200,0,100.0,0.5,200,1.1101239548281976,2.1295415526738193,-0.1623429237250139,0.43012216858033225,1.3548437385477503,-0.2885147028409243
delay0__under200__w0.30__outer50,0,200.0,0.3,50,1.089578370196473,2.405898122824649,-0.13605282849089917,0.42239566427126074,1.504989572684104,-0.2579744834704284
delay0__under200__w0.30__outer100,0,200.0,0.3,100,1.089578370196473,2.405898122824649,-0.13605282849089917,0.4218323567975115,1.5037531812241554,-0.2579744834704284
delay0__under200__w0.30__outer200,0,200.0,0.3,200,1.089578370196473,2.405898122824649,-0.13605282849089917,0.42070398753379235,1.5012360968200316,-0.2579744834704285
delay0__under200__w0.40__outer50,0,200.0,0.4,50,1.0949163454931492,2.259378868510377,-0.14925539070514948,0.423333400213981,1.4232417934933224,-0.2732594962874697
delay0__under200__w0.40__outer100,0,200.0,0.4,100,1.0949163454931492,2.259378868510377,-0.14925539070514948,0.4225836789830266,1.4216731131799711,-0.2732594962874696
delay0__under200__w0.40__outer200,0,200.0,0.4,200,1.0949163454931492,2.259378868510377,-0.14925539070514948,0.4210811287110161,1.4184707667781182,-0.2732594962874696
delay0__under200__w0.50__outer50,0,200.0,0.5,50,1.0965277290740274,2.1127607709359237,-0.1623429237250139,0.42258041582526507,1.3370307331508942,-0.28951709324638886
delay0__under200__w0.50__outer100,0,200.0,0.5,100,1.0965277290740274,2.1127607709359237,-0.1623429237250139,0.4216460606529566,1.3351720613472038,-0.28951709324638875
delay0__under200__w0.50__outer200,0,200.0,0.5,200,1.0965277290740274,2.1127607709359237,-0.1623429237250139,0.41977251714360553,1.3313725423123492,-0.28951709324638863
delay1__under50__w0.30__outer50,1,50.0,0.3,50,1.0281441959568167,2.3844656810668168,-0.12754004994421364,0.4004361193184527,1.469909704679105,-0.25270345247246995
delay1__under50__w0.30__outer100,1,50.0,0.3,100,1.0281441959568167,2.3844656810668168,-0.12754004994421364,0.39986974176439904,1.468437317583935,-0.2527034524724697
delay1__under50__w0.30__outer200,1,50.0,0.3,200,1.0281441959568167,2.3844656810668168,-0.12754004994421364,0.3987351852699397,1.4654480611800085,-0.2527034524724697
delay1__under50__w0.40__outer50,1,50.0,0.4,50,1.0140681494849262,2.2302260000173764,-0.1380059998901637,0.3943621566095088,1.3790614579678553,-0.2664744341722801
delay1__under50__w0.40__outer100,1,50.0,0.4,100,1.0140681494849262,2.2302260000173764,-0.1380059998901637,0.3936068240918513,1.3771401294714187,-0.2664744341722799
delay1__under50__w0.40__outer200,1,50.0,0.4,200,1.0140681494849262,2.2302260000173764,-0.1380059998901637,0.3920929387336285,1.3732324298029472,-0.26647443417228023
delay1__under50__w0.50__outer50,1,50.0,0.5,50,0.9969266826626044,2.0737958143574393,-0.14840693542050232,0.3867836428034972,1.2840858099167234,-0.2817137333087557
delay1__under50__w0.50__outer100,1,50.0,0.5,100,0.9969266826626044,2.0737958143574393,-0.14840693542050232,0.38584029565518096,1.281773201700894,-0.2817137333087557
delay1__under50__w0.50__outer200,1,50.0,0.5,200,0.9969266826626044,2.0737958143574393,-0.14840693542050232,0.3839485468721384,1.2770663610478106,-0.2817137333087558
delay1__under100__w0.30__outer50,1,100.0,0.3,50,1.0243665934184372,2.3800275365040044,-0.12754004994421353,0.39748512602355524,1.4614717097565753,-0.253008507575055
delay1__under100__w0.30__outer100,1,100.0,0.3,100,1.0243665934184372,2.3800275365040044,-0.12754004994421353,0.3969199419379805,1.459998661902769,-0.25300850757505533
delay1__under100__w0.30__outer200,1,100.0,0.3,200,1.0243665934184372,2.3800275365040044,-0.12754004994421353,0.3957877761763513,1.4570083300468224,-0.2530085075750552
delay1__under100__w0.40__outer50,1,100.0,0.4,50,1.0090572729485268,2.2243225395090684,-0.1380059998901636,0.39043954041564444,1.3684054788582647,-0.26647443417228
delay1__under100__w0.40__outer100,1,100.0,0.4,100,1.0090572729485268,2.2243225395090684,-0.1380059998901636,0.3896863327975695,1.36648366583058,-0.26647443417228
delay1__under100__w0.40__outer200,1,100.0,0.4,200,1.0090572729485268,2.2243225395090684,-0.1380059998901636,0.38817670629791845,1.3625754934176169,-0.26647443417228023
delay1__under100__w0.50__outer50,1,100.0,0.5,50,0.9907050111879381,2.0665532650689364,-0.14840693542050254,0.3819006845752113,1.2715931550912993,-0.2817137333087557
delay1__under100__w0.50__outer100,1,100.0,0.5,100,0.9907050111879381,2.0665532650689364,-0.14840693542050254,0.3809606590154817,1.2692805832092606,-0.2817137333087557
delay1__under100__w0.50__outer200,1,100.0,0.5,200,0.9907050111879381,2.0665532650689364,-0.14840693542050254,0.3790755712067988,1.264574614911691,-0.2817137333087557
delay1__under200__w0.30__outer50,1,200.0,0.3,50,1.0168253153658124,2.3710478532312234,-0.12754004994421353,0.39159581789441633,1.4445009881262978,-0.2536186177802261
delay1__under200__w0.30__outer100,1,200.0,0.3,100,1.0168253153658124,2.3710478532312234,-0.12754004994421353,0.39103301561825643,1.4430266775927294,-0.253618617780226
delay1__under200__w0.30__outer200,1,200.0,0.3,200,1.0168253153658124,2.3710478532312234,-0.12754004994421353,0.38990562105089555,1.4400343210697861,-0.253618617780226
delay1__under200__w0.40__outer50,1,200.0,0.4,50,0.9990601967910215,2.212363895965737,-0.1380059998901637,0.3826168120782205,1.3469591551551046,-0.2669721686338954
delay1__under200__w0.40__outer100,1,200.0,0.4,100,0.9990601967910215,2.212363895965737,-0.1380059998901637,0.3818678420687627,1.34503651284907,-0.2669721686338956
delay1__under200__w0.40__outer200,1,200.0,0.4,200,0.9990601967910215,2.212363895965737,-0.1380059998901637,0.38036670885318014,1.3411276934933585,-0.2669721686338956
delay1__under200__w0.50__outer50,1,200.0,0.5,50,0.978300038753581,2.051876716538459,-0.14840693542050254,0.3721698378118663,1.2464444499865655,-0.28185364193804985
delay1__under200__w0.50__outer100,1,200.0,0.5,100,0.978300038753581,2.051876716538459,-0.14840693542050254,0.37123643157346486,1.2441322014324465,-0.28185364193804996
delay1__under200__w0.50__outer200,1,200.0,0.5,200,0.978300038753581,2.051876716538459,-0.14840693542050254,0.3693646178739898,1.2394285103052527,-0.28185364193804985
delay2__under50__w0.30__outer50,2,50.0,0.3,50,1.0594051155800734,2.417218261124734,-0.1249751710852598,0.4284515758697647,1.5421497038003904,-0.25293317986785546
delay2__under50__w0.30__outer100,2,50.0,0.3,100,1.0594051155800734,2.417218261124734,-0.1249751710852598,0.42787386804113625,1.5406893217880289,-0.2529331798678556
delay2__under50__w0.30__outer200,2,50.0,0.3,200,1.0594051155800734,2.417218261124734,-0.1249751710852598,0.42671661496113655,1.5377224784195014,-0.2529331798678556
delay2__under50__w0.40__outer50,2,50.0,0.4,50,1.0545558565538342,2.262020896963948,-0.1346052021297247,0.43140647452970904,1.466025628279968,-0.2689837357904331
delay2__under50__w0.40__outer100,2,50.0,0.4,100,1.0545558565538342,2.262020896963948,-0.1346052021297247,0.4306310749313522,1.4641247417075354,-0.268983735790433
delay2__under50__w0.40__outer200,2,50.0,0.4,200,1.0545558565538342,2.262020896963948,-0.1346052021297247,0.42907696985672517,1.460255261167326,-0.268983735790433
delay2__under50__w0.50__outer50,2,50.0,0.5,50,1.0460299340589967,2.103859652563323,-0.1441797681259599,0.43266451631558445,1.3826746087707638,-0.2848006677363828
delay2__under50__w0.50__outer100,2,50.0,0.5,100,1.0460299340589967,2.103859652563323,-0.1441797681259599,0.4316899591141252,1.3803925238919241,-0.2848006677363829
delay2__under50__w0.50__outer200,2,50.0,0.5,200,1.0460299340589967,2.103859652563323,-0.1441797681259599,0.4297356230002609,1.3757429957688647,-0.2848006677363829
delay2__under100__w0.30__outer50,2,100.0,0.3,50,1.0554723049989279,2.411943484417631,-0.12497517108526024,0.42534798918822414,1.5338766513069144,-0.2529331798678559
delay2__under100__w0.30__outer100,2,100.0,0.3,100,1.0554723049989279,2.411943484417631,-0.12497517108526024,0.42477153654132693,1.532415307440415,-0.2529331798678558
delay2__under100__w0.30__outer200,2,100.0,0.3,200,1.0554723049989279,2.411943484417631,-0.12497517108526024,0.4236167978169465,1.5294467509375753,-0.252933179867856
delay2__under100__w0.40__outer50,2,100.0,0.4,50,1.0493125509969237,2.2552044203114683,-0.1346052021297245,0.42725845492811776,1.4555963284378912,-0.2689837357904331
delay2__under100__w0.40__outer100,2,100.0,0.4,100,1.0493125509969237,2.2552044203114683,-0.1346052021297245,0.4264853023314279,1.4536944190228236,-0.2689837357904331
delay2__under100__w0.40__outer200,2,100.0,0.4,200,1.0493125509969237,2.2552044203114683,-0.1346052021297245,0.42493570084011356,1.4498233175327222,-0.268983735790433
delay2__under100__w0.50__outer50,2,100.0,0.5,50,1.039487751050781,2.0957192394985698,-0.1441797681259599,0.4274730717165556,1.3704576784888716,-0.2848006677363828
delay2__under100__w0.50__outer100,2,100.0,0.5,100,1.039487751050781,2.0957192394985698,-0.1441797681259599,0.4265020459487725,1.368174819747305,-0.2848006677363828
delay2__under100__w0.50__outer200,2,100.0,0.5,200,1.039487751050781,2.0957192394985698,-0.1441797681259599,0.4245547916238037,1.3635244294903317,-0.2848006677363829
delay2__under200__w0.30__outer50,2,200.0,0.3,50,1.0476215158878959,2.4012938217058952,-0.12497517108526002,0.41915467868922285,1.5172111571841809,-0.2529331798678557
delay2__under200__w0.30__outer100,2,200.0,0.3,100,1.0476215158878959,2.4012938217058952,-0.12497517108526002,0.41858073079923974,1.5157479462381842,-0.2529331798678558
delay2__under200__w0.30__outer200,2,200.0,0.3,200,1.0476215158878959,2.4012938217058952,-0.12497517108526002,0.4174310095551652,1.5127760872815632,-0.25293317986785546
delay2__under200__w0.40__outer50,2,200.0,0.4,50,1.0388523672025594,2.2414291901536934,-0.13460520212972482,0.41898712231612123,1.4345639318010759,-0.268983735790433
delay2__under200__w0.40__outer100,2,200.0,0.4,100,1.0388523672025594,2.2414291901536934,-0.13460520212972482,0.4182184503390871,1.4326601156816878,-0.2689837357904331
delay2__under200__w0.40__outer200,2,200.0,0.4,200,1.0388523672025594,2.2414291901536934,-0.13460520212972482,0.41667782918998464,1.4287860741383578,-0.2689837357904329
delay2__under200__w0.50__outer50,2,200.0,0.5,50,1.0264446997459786,2.079264491913925,-0.14417976812595967,0.41712883909007537,1.345806672751015,-0.2848006677363829
delay2__under200__w0.50__outer100,2,200.0,0.5,100,1.0264446997459786,2.079264491913925,-0.14417976812595967,0.41616484989385905,1.343522520168142,-0.2848006677363829
delay2__under200__w0.50__outer200,2,200.0,0.5,200,1.0264446997459786,2.079264491913925,-0.14417976812595967,0.41423170641421536,1.3388709534625804,-0.2848006677363829
