decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status,existing_execution_price,batch_price_available,validated_price_available,batch_price_attempted,companyfacts_cached,single_current_ticker,base_treatment,adverse_selected_return
2023-01-01 00:00:00+00:00,0001528930-22-000058,0001528930,"FRANCHISE GROUP, INC.",6794,finance_insurance_real_estate,10-Q/A,1-LAF,2022-11-09,2022-11-10 00:00:00+00:00,20220630,2022,Q2,2022Q4,52.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001558370-22-016332,0001538990,STORE CAPITAL CORP,6798,finance_insurance_real_estate,10-Q,1-LAF,2022-11-04,2022-11-05 00:00:00+00:00,20220930,2022,Q3,2022Q4,57.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001569187-22-000102,0001569187,"ARMADA HOFFLER PROPERTIES, INC.",6500,finance_insurance_real_estate,10-Q,1-LAF,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q3,2022Q4,52.0,AHRT|AHRT-PA,NYSE,current_ticker_available,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-028298,0001614806,GREAT AJAX CORP.,6798,finance_insurance_real_estate,10-Q,2-ACC,2022-11-04,2022-11-05 00:00:00+00:00,20220930,2022,Q3,2022Q4,57.0,RPT|RPT-PC,NYSE,current_ticker_available,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001711291-22-000081,0001711291,CURO GROUP HOLDINGS CORP.,6199,finance_insurance_real_estate,10-Q,2-ACC,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-020457,0001735184,RETAIL VALUE INC.,6500,finance_insurance_real_estate,10-Q,2-ACC,2022-10-28,2022-10-29 00:00:00+00:00,20220930,2022,Q3,2022Q4,64.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001808220-22-000049,0001808220,"GOHEALTH, INC.",6411,finance_insurance_real_estate,10-Q,1-LAF,2022-05-10,2022-05-11 00:00:00+00:00,20220331,2022,Q1,2022Q2,235.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001104659-22-115951,0001823000,CONX CORP.,6770,finance_insurance_real_estate,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001193125-22-302790,0001829426,FAR PEAK ACQUISITION CORP,6199,finance_insurance_real_estate,10-K,2-ACC,2022-12-12,2022-12-13 00:00:00+00:00,20220930,2022,FY,2022Q4,19.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000014693-22-000151,0000014693,BROWN FORMAN CORP,2080,manufacturing,10-Q,1-LAF,2022-12-07,2022-12-08 00:00:00+00:00,20221031,2023,Q2,2022Q4,24.0,BF-A|BF-B,NYSE,current_ticker_available,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001558370-22-008115,0000057725,LANNETT CO INC,2834,manufacturing,10-Q,2-ACC,2022-05-10,2022-05-11 00:00:00+00:00,20220331,2022,Q3,2022Q2,235.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-021826,0000095552,SUPERIOR INDUSTRIES INTERNATIONAL INC,3714,manufacturing,10-Q,2-ACC,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000742112-22-000085,0000742112,INVACARE CORP,3842,manufacturing,10-Q,2-ACC,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-029219,0000837852,"IDEANOMICS, INC.",3711,manufacturing,10-Q,1-LAF,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q3,2022Q4,52.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-023253,0000850261,"SORRENTO THERAPEUTICS, INC.",2836,manufacturing,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000883902-22-000052,0000883902,"CORNERSTONE BUILDING BRANDS, INC.",3448,manufacturing,10-Q,1-LAF,2022-11-10,2022-11-11 00:00:00+00:00,20220930,2022,Q3,2022Q4,51.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000887921-22-000021,0000887921,REVLON INC /DE/,2844,manufacturing,10-Q,2-ACC,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001008654-22-000059,0001008654,TUPPERWARE BRANDS CORP,3089,manufacturing,10-Q,1-LAF,2022-11-02,2022-11-03 00:00:00+00:00,20220930,2022,Q3,2022Q4,59.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001078207-22-000201,0001078207,"NAUTILUS, INC.",3949,manufacturing,10-Q,2-ACC,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2023,Q2,2022Q4,52.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001091883-22-000095,0001091883,CIRCOR INTERNATIONAL INC,3490,manufacturing,10-Q,2-ACC,2022-11-14,2022-11-15 00:00:00+00:00,20220930,2022,Q3,2022Q4,47.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001214659-22-006352,0001293310,"HUMANIGEN, INC",2834,manufacturing,10-Q,1-LAF,2022-05-05,2022-05-06 00:00:00+00:00,20220331,2022,Q1,2022Q2,240.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-021640,0001300699,"ATHENEX, INC.",2834,manufacturing,10-Q,2-ACC,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001365916-22-000145,0001365916,"AMYRIS, INC.",2860,manufacturing,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
