date,sleeve,ticker,weight
2018-02-16,Top3_Strict_Leadership,BIL,1.0
2018-02-23,Top3_Strict_Leadership,BIL,1.0
2018-03-02,Top3_Strict_Leadership,BIL,1.0
2018-03-09,Top3_Strict_Leadership,BIL,1.0
2018-03-16,Top3_Strict_Leadership,BIL,1.0
2018-03-23,Top3_Strict_Leadership,BIL,1.0
2018-03-30,Top3_Strict_Leadership,BIL,1.0
2018-04-06,Top3_Strict_Leadership,BIL,1.0
2018-04-13,Top3_Strict_Leadership,BIL,1.0
2018-04-20,Top3_Strict_Leadership,BIL,1.0
2018-04-27,Top3_Strict_Leadership,BIL,1.0
2018-05-04,Top3_Strict_Leadership,BIL,1.0
2018-05-11,Top3_Strict_Leadership,BIL,1.0
2018-05-18,Top3_Strict_Leadership,BIL,1.0
2018-05-25,Top3_Strict_Leadership,BIL,1.0
2018-06-01,Top3_Strict_Leadership,BIL,1.0
2018-06-08,Top3_Strict_Leadership,XLE,0.3333333333333333
2018-06-08,Top3_Strict_Leadership,XLK,0.3333333333333333
2018-06-08,Top3_Strict_Leadership,XLY,0.3333333333333333
2018-06-15,Top3_Strict_Leadership,BIL,1.0
2018-06-22,Top3_Strict_Leadership,BIL,1.0
2018-06-29,Top3_Strict_Leadership,BIL,1.0
2018-07-06,Top3_Strict_Leadership,BIL,1.0
2018-07-13,Top3_Strict_Leadership,BIL,1.0
2018-07-20,Top3_Strict_Leadership,BIL,1.0
2018-07-27,Top3_Strict_Leadership,BIL,1.0
2018-08-03,Top3_Strict_Leadership,BIL,1.0
2018-08-10,Top3_Strict_Leadership,BIL,1.0
2018-08-17,Top3_Strict_Leadership,BIL,1.0
2018-08-24,Top3_Strict_Leadership,BIL,1.0
2018-08-31,Top3_Strict_Leadership,BIL,1.0
2018-09-07,Top3_Strict_Leadership,BIL,1.0
2018-09-14,Top3_Strict_Leadership,BIL,1.0
2018-09-21,Top3_Strict_Leadership,BIL,1.0
2018-09-28,Top3_Strict_Leadership,BIL,1.0
2018-10-05,Top3_Strict_Leadership,BIL,1.0
2018-10-12,Top3_Strict_Leadership,BIL,1.0
2018-10-19,Top3_Strict_Leadership,BIL,1.0
2018-10-26,Top3_Strict_Leadership,BIL,1.0
2018-11-02,Top3_Strict_Leadership,BIL,1.0
2018-11-09,Top3_Strict_Leadership,BIL,1.0
2018-11-16,Top3_Strict_Leadership,BIL,1.0
2018-11-23,Top3_Strict_Leadership,BIL,1.0
2018-11-30,Top3_Strict_Leadership,BIL,1.0
2018-12-07,Top3_Strict_Leadership,BIL,1.0
2018-12-14,Top3_Strict_Leadership,BIL,1.0
2018-12-21,Top3_Strict_Leadership,BIL,1.0
2018-12-28,Top3_Strict_Leadership,BIL,1.0
2019-01-04,Top3_Strict_Leadership,BIL,1.0
2019-01-11,Top3_Strict_Leadership,BIL,1.0
2019-01-18,Top3_Strict_Leadership,BIL,1.0
2019-01-25,Top3_Strict_Leadership,BIL,1.0
2019-02-01,Top3_Strict_Leadership,BIL,1.0
2019-02-08,Top3_Strict_Leadership,BIL,1.0
2019-02-15,Top3_Strict_Leadership,BIL,1.0
2019-02-22,Top3_Strict_Leadership,BIL,1.0
2019-03-01,Top3_Strict_Leadership,BIL,1.0
2019-03-08,Top3_Strict_Leadership,BIL,1.0
2019-03-15,Top3_Strict_Leadership,BIL,1.0
2019-03-22,Top3_Strict_Leadership,BIL,1.0
2019-03-29,Top3_Strict_Leadership,BIL,1.0
2019-04-05,Top3_Strict_Leadership,VNQ,0.3333333333333333
2019-04-05,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-04-05,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-04-12,Top3_Strict_Leadership,VNQ,0.3333333333333333
2019-04-12,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-04-12,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-04-19,Top3_Strict_Leadership,BIL,1.0
2019-04-26,Top3_Strict_Leadership,BIL,1.0
2019-05-03,Top3_Strict_Leadership,XLI,0.3333333333333333
2019-05-03,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-05-03,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-05-10,Top3_Strict_Leadership,BIL,1.0
2019-05-17,Top3_Strict_Leadership,BIL,1.0
2019-05-24,Top3_Strict_Leadership,BIL,1.0
2019-05-31,Top3_Strict_Leadership,BIL,1.0
2019-06-07,Top3_Strict_Leadership,BIL,1.0
2019-06-14,Top3_Strict_Leadership,BIL,1.0
2019-06-21,Top3_Strict_Leadership,XLI,0.3333333333333333
2019-06-21,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-06-21,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-06-28,Top3_Strict_Leadership,XLI,0.3333333333333333
2019-06-28,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-06-28,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-07-05,Top3_Strict_Leadership,VNQ,0.3333333333333333
2019-07-05,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-07-05,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-07-12,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-07-12,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-07-12,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-07-19,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-07-19,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-07-19,Top3_Strict_Leadership,XLU,0.3333333333333333
2019-07-26,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-07-26,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-07-26,Top3_Strict_Leadership,XLY,0.3333333333333333
2019-08-02,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-08-02,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-08-02,Top3_Strict_Leadership,XLU,0.3333333333333333
2019-08-09,Top3_Strict_Leadership,BIL,1.0
2019-08-16,Top3_Strict_Leadership,BIL,1.0
2019-08-23,Top3_Strict_Leadership,BIL,1.0
2019-08-30,Top3_Strict_Leadership,BIL,1.0
2019-09-06,Top3_Strict_Leadership,BIL,1.0
2019-09-13,Top3_Strict_Leadership,BIL,1.0
2019-09-20,Top3_Strict_Leadership,BIL,1.0
2019-09-27,Top3_Strict_Leadership,BIL,1.0
2019-10-04,Top3_Strict_Leadership,VNQ,0.3333333333333333
2019-10-04,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-10-04,Top3_Strict_Leadership,XLU,0.3333333333333333
2019-10-11,Top3_Strict_Leadership,VNQ,0.3333333333333333
2019-10-11,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-10-11,Top3_Strict_Leadership,XLU,0.3333333333333333
2019-10-18,Top3_Strict_Leadership,VNQ,0.3333333333333333
2019-10-18,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-10-18,Top3_Strict_Leadership,XLU,0.3333333333333333
2019-10-25,Top3_Strict_Leadership,VNQ,0.3333333333333333
2019-10-25,Top3_Strict_Leadership,XLP,0.3333333333333333
2019-10-25,Top3_Strict_Leadership,XLU,0.3333333333333333
2019-11-01,Top3_Strict_Leadership,BIL,1.0
2019-11-08,Top3_Strict_Leadership,BIL,1.0
2019-11-15,Top3_Strict_Leadership,XLF,0.3333333333333333
2019-11-15,Top3_Strict_Leadership,XLI,0.3333333333333333
2019-11-15,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-11-22,Top3_Strict_Leadership,XLF,0.3333333333333333
2019-11-22,Top3_Strict_Leadership,XLI,0.3333333333333333
2019-11-22,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-11-29,Top3_Strict_Leadership,XLF,0.3333333333333333
2019-11-29,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-11-29,Top3_Strict_Leadership,XLV,0.3333333333333333
2019-12-06,Top3_Strict_Leadership,XLF,0.3333333333333333
2019-12-06,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-12-06,Top3_Strict_Leadership,XLV,0.3333333333333333
2019-12-13,Top3_Strict_Leadership,XLF,0.3333333333333333
2019-12-13,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-12-13,Top3_Strict_Leadership,XLV,0.3333333333333333
2019-12-20,Top3_Strict_Leadership,XLF,0.3333333333333333
2019-12-20,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-12-20,Top3_Strict_Leadership,XLV,0.3333333333333333
2019-12-27,Top3_Strict_Leadership,XLF,0.3333333333333333
2019-12-27,Top3_Strict_Leadership,XLK,0.3333333333333333
2019-12-27,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-01-03,Top3_Strict_Leadership,XLF,0.3333333333333333
2020-01-03,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-01-03,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-01-10,Top3_Strict_Leadership,XLF,0.3333333333333333
2020-01-10,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-01-10,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-01-17,Top3_Strict_Leadership,XLF,0.3333333333333333
2020-01-17,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-01-17,Top3_Strict_Leadership,XLV,0.3333333333333333
