candidate,event_window_weeks,event_weight,breadth,rank_buffer,peak_total_stock_weight,sleeve_annual_turnover,selection_events,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates
pead13__w30__b30__buf0,13,0.3,30,0,0.022927196422238897,5.534430164214627,150,1.0076295654795304,2.652481278199387,-0.09790533904205634,0.3927803945671444,0.8864493499651673,False
pead13__w30__b25__buf0,13,0.3,25,0,0.027208463449214005,5.831699376655333,141,1.0046292586510508,2.6470916871647683,-0.09960833762926125,0.39751987672460753,0.882893001251646,False
pead8__w20__b20__buf5,8,0.2,20,5,0.04271095641266988,5.218479319066383,122,1.003431278277402,2.6276762246702137,-0.09214221243721887,0.40380433477635624,0.8536034884729933,False
pead8__w20__b20__buf0,8,0.2,20,0,0.04201772230739418,6.954586730263261,151,0.9973498789595088,2.6216248476069497,-0.09225599920826755,0.4112260462452184,0.8466693472969284,False
pead13__w20__b20__buf0,13,0.2,20,0,0.039886506488570624,5.737577356962313,131,0.9898531175806542,2.6218560394416532,-0.09038020171044903,0.41458508840283126,0.845645135699004,False
pead8__w10__b20__buf5,8,0.1,20,5,0.040240170010499766,3.5707658582062525,95,0.9810692574135191,2.5348212186626586,-0.12452284318671614,0.39019444080005705,0.864072097888013,False
pead4__w10__b20__buf5,4,0.1,20,5,0.04201562489194301,3.318932130332699,86,0.9798561395632033,2.5324576773430367,-0.1250490605766722,0.3816841759711629,0.8640154791358494,False
pead4__w10__b20__buf0,4,0.1,20,0,0.040155416883588674,5.456909601991391,146,0.9701706142022541,2.5180009809635098,-0.12709847868002988,0.4035974375499831,0.8521086690734598,False
pead8__w10__b25__buf0,8,0.1,25,0,0.0262829007723701,4.781513907330912,154,0.9694204436498797,2.52140749359011,-0.12576494485217282,0.3972169028468773,0.852594912932032,False
pead4__w10__b25__buf5,4,0.1,25,5,0.03368392949323035,2.98006200359338,86,0.9690138043279739,2.5200311529053643,-0.1258767532788615,0.3986528889641505,0.8528097288918972,False
pead8__w10__b20__buf0,8,0.1,20,0,0.03232375619429208,5.370105418708033,144,0.9688958197194888,2.51214227972701,-0.12911642011335833,0.3969198234332343,0.8513358862322478,False
pead4__w30__b20__buf0,4,0.3,20,0,0.0314392108783216,9.02450835202306,174,0.9688689506746908,2.519153587011648,-0.12714395652942212,0.38626321042101996,0.8495046864272768,False
pead4__w10__b25__buf0,4,0.1,25,0,0.03251711127271711,4.53772078180993,133,0.9680747861269179,2.5187366224557595,-0.1263519848313701,0.4046563076587679,0.8522640193011002,False
pead13__w10__b20__buf5,13,0.1,20,5,0.04090002059130926,3.2682936544738053,76,0.9680606043167517,2.5210747677478467,-0.127770851887832,0.42081640570844425,0.8528017340369141,False
pead4__w20__b20__buf0,4,0.2,20,0,0.040247644558282024,7.310698905666172,162,0.9636451440104639,2.5089353521618496,-0.1270984786800302,0.39987131868312753,0.8459795779040875,False
pead4__w30__b25__buf0,4,0.3,25,0,0.03267034746527088,7.80101710226547,170,0.9633580659415337,2.515338853359154,-0.12610274011321054,0.38876164095840493,0.8452459264800665,False
pead8__w30__b25__buf5,8,0.3,25,5,0.029650723788052565,5.91138872545609,143,0.9626245973690872,2.515813227729895,-0.12441161089179109,0.4187688004989789,0.8451175591644651,False
pead4__w20__b25__buf0,4,0.2,25,0,0.02520546242686601,6.518089036571492,166,0.9623491778424884,2.512278113931381,-0.12610274011321043,0.39901444720594936,0.8437857247437273,False
pead8__w30__b30__buf0,8,0.3,30,0,0.020813365355258875,6.971728827054996,171,0.961589623549304,2.5162027019222726,-0.12400068141011478,0.3936648975679782,0.8422530665472767,False
pead13__w20__b25__buf5,13,0.2,25,5,0.032805029763728386,4.079512875098222,102,0.9607397885812801,2.518339643970388,-0.12272175893756587,0.3858718200647133,0.8441529898470455,False
pead13__w10__b30__buf5,13,0.1,30,5,0.02757468842499053,2.5497372045134705,78,0.9586591842913752,2.4971342734414206,-0.13067953682903832,0.39417632552732984,0.8453035083755398,False
pead13__w10__b25__buf5,13,0.1,25,5,0.03229508745084454,2.85367107338612,77,0.9582777965496634,2.5004257818524955,-0.12978226617988198,0.4013269538260722,0.8435659456304725,False
pead13__w20__b30__buf5,13,0.2,30,5,0.027027037984392387,3.8400250932739013,110,0.9570261861152021,2.5067165677677234,-0.12479243413510421,0.37814081892552376,0.842096110406741,False
pead4__w30__b25__buf5,4,0.3,25,5,0.03267034746527088,6.179593111309896,145,0.9542494579717722,2.503242441852992,-0.12539480836511807,0.39470255449945935,0.8372004273041347,False
pead4__w20__b25__buf5,4,0.2,25,5,0.03263403177704569,5.077804022233103,133,0.9542435188426008,2.502730687866199,-0.12507384620164264,0.3859089714316448,0.83722859864452,False
pead4__w10__b30__buf0,4,0.1,30,0,0.027294846487781608,4.082337856344561,135,0.9541092645444285,2.49756088476008,-0.12833755684328374,0.4006462811666063,0.83885502991793,False
pead8__w10__b30__buf0,8,0.1,30,0,0.024624787375419017,3.898853968963882,130,0.9539787440246301,2.4957134745362106,-0.12900290112441137,0.39148568439132214,0.8387028928500497,False
pead8__w30__b30__buf5,8,0.3,30,5,0.021015249418300394,5.487009215160337,142,0.9534399545321823,2.5048995125347746,-0.12379484938148178,0.40276817772891604,0.8360638222117358,False
pead8__w20__b30__buf0,8,0.2,30,0,0.021051645078725454,5.844498401627856,161,0.9519736164975363,2.496012317627255,-0.12845221627496617,0.4103459730089334,0.8347247440012773,False
pead4__w10__b30__buf5,4,0.1,30,5,0.027293891490837215,2.761139319101157,83,0.9516973498342101,2.4938365682116896,-0.12833755684328396,0.3887877724702753,0.8379769491005677,False
pead4__w20__b30__buf5,4,0.2,30,5,0.027309781361222404,4.459734090275035,127,0.9490187104066621,2.492915416405344,-0.12692984673368013,0.3932472106535092,0.8332339789735854,False
pead4__w20__b30__buf0,4,0.2,30,0,0.027328736203237208,6.147902866793051,162,0.9488700040434561,2.4916830816045885,-0.12862037717151675,0.39976563014188726,0.8321816504502835,False
pead4__w30__b30__buf0,4,0.3,30,0,0.021530975031138908,7.274396862434611,173,0.9468387376102054,2.486953947217802,-0.12954612712184588,0.39330173800192236,0.8292853129750479,False
pead4__w30__b30__buf5,4,0.3,30,5,0.021530975031138908,5.756547707119509,148,0.9411487816851538,2.4794857340838004,-0.12895329315808002,0.37461192521989695,0.8248859228388139,False
pead8__w30__b20__buf5,8,0.3,20,5,0.04254798365084256,6.411076178689401,137,0.932657746796761,2.500464279199152,-0.09259775016449445,0.386452069953821,0.7570646655341071,False
pead8__w30__b20__buf0,8,0.3,20,0,0.03221020061473725,8.426545487840638,164,0.9318494707663438,2.498100777732482,-0.09623095986910057,0.40076579567391124,0.7559810752924017,False
pead13__w20__b30__buf0,13,0.2,30,0,0.027105099434647957,4.917962400667061,139,0.8644711907378257,2.3563796928314504,-0.12367655517348908,0.36428400815402706,0.7283953376147587,False
