symbol,instrument_type,cik10,sector,source
HOV,equity,0000357294,construction,sec_broad_research_panel_v2
HPK,equity,0001792849,energy,sec_broad_research_panel_v2
HRTX,equity,0000818033,manufacturing,sec_broad_research_panel_v2
HWKN,equity,0000046250,wholesale_trade,sec_broad_research_panel_v2
HWM,equity,0000004281,manufacturing,sec_broad_research_panel_v2
HYG,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
IBKR,equity,0001381197,finance_insurance_real_estate,sec_broad_research_panel_v2
IEF,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
IESC,equity,0001048268,construction,sec_broad_research_panel_v2
INSG,equity,0001022652,technology,sec_broad_research_panel_v2
INSM,equity,0001104506,manufacturing,sec_broad_research_panel_v2
IONS,equity,0000874015,manufacturing,sec_broad_research_panel_v2
IWM,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
JAKK,equity,0001009829,manufacturing,sec_broad_research_panel_v2
KAMN,equity,,unclassified,unresolved_identity
KLIC,equity,0000056978,technology,sec_broad_research_panel_v2
KODK,equity,0000031235,technology,sec_broad_research_panel_v2
KOS,equity,0001509991,energy,sec_broad_research_panel_v2
KRP,equity,0001657788,energy,sec_broad_research_panel_v2
KTOS,equity,0001069258,manufacturing,sec_broad_research_panel_v2
LAB,equity,0001162194,technology,sec_broad_research_panel_v2
LASR,equity,0001124796,technology,sec_broad_research_panel_v2
LBRT,equity,0001694028,energy,sec_broad_research_panel_v2
LCUT,equity,0000874396,manufacturing,sec_broad_research_panel_v2
LE,equity,0000799288,retail_trade,sec_broad_research_panel_v2
LEU,equity,0001065059,materials_and_mining,sec_broad_research_panel_v2
LLY,equity,0000059478,manufacturing,sec_broad_research_panel_v2
LQD,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
LRCX,equity,0000707549,manufacturing,sec_broad_research_panel_v2
LRN,equity,0001157408,services,sec_broad_research_panel_v2
LUMN,equity,0000018926,transport_communications_utilities,sec_broad_research_panel_v2
LWLG,equity,0001325964,manufacturing,sec_broad_research_panel_v2
MARA,equity,0001507605,technology,sec_broad_research_panel_v2
MDRX,equity,0001124804,technology,sec_broad_research_panel_v2
MITK,equity,0000807863,technology,sec_broad_research_panel_v2
ML,equity,,unclassified,unresolved_identity
MLNK,equity,,unclassified,unresolved_identity
MOD,equity,0000067347,manufacturing,sec_broad_research_panel_v2
MPWR,equity,0001280452,technology,sec_broad_research_panel_v2
MRTX,equity,,unclassified,unresolved_identity
MTDR,equity,0001520006,energy,sec_broad_research_panel_v2
MTW,equity,0000061986,manufacturing,sec_broad_research_panel_v2
MU,equity,0000723125,technology,sec_broad_research_panel_v2
MUX,equity,0000314203,materials_and_mining,sec_broad_research_panel_v2
MVIS,equity,0000065770,technology,sec_broad_research_panel_v2
NG,equity,0001173420,materials_and_mining,sec_broad_research_panel_v2
NKTR,equity,0000906709,manufacturing,sec_broad_research_panel_v2
NNBR,equity,0000918541,manufacturing,sec_broad_research_panel_v2
NOG,equity,0001104485,energy,sec_broad_research_panel_v2
NPKI,equity,0000071829,manufacturing,sec_broad_research_panel_v2
NRG,equity,0001013871,transport_communications_utilities,sec_broad_research_panel_v2
NRP,equity,0001171486,energy,sec_broad_research_panel_v2
NTCT,equity,0001078075,technology,sec_broad_research_panel_v2
NVDA,equity,0001045810,technology,sec_broad_research_panel_v2
NVRI,equity,0000045876,services,sec_broad_research_panel_v2
ODC,equity,0000074046,manufacturing,sec_broad_research_panel_v2
OMER,equity,0001285819,manufacturing,sec_broad_research_panel_v2
ONTO,equity,0000704532,technology,sec_broad_research_panel_v2
OSPN,equity,0001044777,technology,sec_broad_research_panel_v2
PANW,equity,0001327567,technology,sec_broad_research_panel_v2
PBI,equity,0000078814,technology,sec_broad_research_panel_v2
PDBC,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
PEGA,equity,0001013857,technology,sec_broad_research_panel_v2
PESI,equity,0000891532,transport_communications_utilities,sec_broad_research_panel_v2
PI,equity,0001114995,technology,sec_broad_research_panel_v2
PINS,equity,0001506293,technology,sec_broad_research_panel_v2
PKOH,equity,0000076282,manufacturing,sec_broad_research_panel_v2
PLPC,equity,0000080035,construction,sec_broad_research_panel_v2
PLTR,equity,0001321655,technology,sec_broad_research_panel_v2
PLXS,equity,0000785786,technology,sec_broad_research_panel_v2
POWI,equity,0000833640,technology,sec_broad_research_panel_v2
POWL,equity,0000080420,manufacturing,sec_broad_research_panel_v2
PR,equity,0001658566,energy,sec_broad_research_panel_v2
PRCH,equity,0001784535,technology,sec_broad_research_panel_v2
PRICES,data_artifact,,data_artifact,explicit_data_artifact_list
PTEN,equity,0000889900,energy,sec_broad_research_panel_v2
PTVE,equity,,unclassified,unresolved_identity
PUMP,equity,0001680247,energy,sec_broad_research_panel_v2
QLYS,equity,0001107843,technology,sec_broad_research_panel_v2
QQQ,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
RBLX,equity,0001315098,technology,sec_broad_research_panel_v2
RCL,equity,0000884887,transport_communications_utilities,sec_broad_research_panel_v2
RCMT,equity,0000700841,services,sec_broad_research_panel_v2
RDDT,equity,0001713445,technology,sec_broad_research_panel_v2
RIG,equity,0001451505,energy,sec_broad_research_panel_v2
RIGL,equity,0001034842,manufacturing,sec_broad_research_panel_v2
RITE,equity,0001096296,materials_and_mining,sec_broad_research_panel_v2
RMBS,equity,0000917273,technology,sec_broad_research_panel_v2
ROVR,equity,,unclassified,unresolved_identity
SBOW,equity,,unclassified,unresolved_identity
SCS,equity,,unclassified,unresolved_identity
SD,equity,0001349436,energy,sec_broad_research_panel_v2
SGMOQ,equity,0001001233,manufacturing,sec_broad_research_panel_v2
SKYT,equity,0001819974,technology,sec_broad_research_panel_v2
SKYW,equity,0000793733,transport_communications_utilities,sec_broad_research_panel_v2
SLV,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
SMCI,equity,0001375365,technology,sec_broad_research_panel_v2
SONO,equity,0001314727,technology,sec_broad_research_panel_v2
SPLK,equity,,unclassified,unresolved_identity
SPY,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
SRT,equity,,unclassified,unresolved_identity
SSRM,equity,0000921638,finance_insurance_real_estate,sec_broad_research_panel_v2
STRL,equity,0000874238,construction,sec_broad_research_panel_v2
STX,equity,0001137789,technology,sec_broad_research_panel_v2
SWKS,equity,0000004127,technology,sec_broad_research_panel_v2
TAST,equity,,unclassified,unresolved_identity
TBCH,equity,0001493761,technology,sec_broad_research_panel_v2
TBRG,equity,,unclassified,unresolved_identity
TCMD,equity,0001027838,manufacturing,sec_broad_research_panel_v2
TCX,equity,0000909494,technology,sec_broad_research_panel_v2
TDS,equity,0001051512,transport_communications_utilities,sec_broad_research_panel_v2
TE,equity,0001992243,technology,sec_broad_research_panel_v2
TEAM,equity,0001650372,technology,sec_broad_research_panel_v2
TER,equity,0000097210,technology,sec_broad_research_panel_v2
TEVA,equity,0000818686,manufacturing,sec_broad_research_panel_v2
TGTX,equity,0001001316,manufacturing,sec_broad_research_panel_v2
THC,equity,0000070318,services,sec_broad_research_panel_v2
TLT,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
TPB,equity,0001290677,manufacturing,sec_broad_research_panel_v2
TPC,equity,0000077543,construction,sec_broad_research_panel_v2
TTI,equity,0000844965,energy,sec_broad_research_panel_v2
TTMI,equity,0001116942,technology,sec_broad_research_panel_v2
TUSK,equity,0001679268,energy,sec_broad_research_panel_v2
UAL,equity,0000100517,transport_communications_utilities,sec_broad_research_panel_v2
UI,equity,0001511737,technology,sec_broad_research_panel_v2
UNFI,equity,0001020859,wholesale_trade,sec_broad_research_panel_v2
USAP,equity,,unclassified,unresolved_identity
USLM,equity,0000082020,materials_and_mining,sec_broad_research_panel_v2
USO,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
UTI,equity,0001261654,services,sec_broad_research_panel_v2
UUP,equity,0001383151,finance_insurance_real_estate,sec_broad_research_panel_v2
VAL,equity,0000314808,energy,sec_broad_research_panel_v2
VEA,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
VEEV,equity,0001393052,technology,sec_broad_research_panel_v2
VERI,equity,0001615165,technology,sec_broad_research_panel_v2
VHI,equity,0000059255,manufacturing,sec_broad_research_panel_v2
VIAV,equity,0000912093,technology,sec_broad_research_panel_v2
VICR,equity,0000751978,technology,sec_broad_research_panel_v2
VLO,equity,0001035002,energy,sec_broad_research_panel_v2
VNQ,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
VRM,equity,,unclassified,unresolved_identity
VRNS,equity,0001361113,technology,sec_broad_research_panel_v2
VRSK,equity,0001442145,technology,sec_broad_research_panel_v2
VSAT,equity,0000797721,technology,sec_broad_research_panel_v2
VTLE,equity,,unclassified,unresolved_identity
VTV,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
VUG,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
VWO,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
WBHC,equity,0000885275,finance_insurance_real_estate,sec_broad_research_panel_v2
WDC,equity,0000106040,technology,sec_broad_research_panel_v2
WLFC,equity,0001018164,wholesale_trade,sec_broad_research_panel_v2
WRLD,equity,0000108385,finance_insurance_real_estate,sec_broad_research_panel_v2
WULF,equity,0001083301,finance_insurance_real_estate,sec_broad_research_panel_v2
WWW,equity,0000110471,manufacturing,sec_broad_research_panel_v2
X,equity,,unclassified,unresolved_identity
XLB,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLE,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLF,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLI,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLK,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLP,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLU,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLV,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XLY,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
XPO,equity,0001166003,transport_communications_utilities,sec_broad_research_panel_v2
ZS,equity,0001713683,technology,sec_broad_research_panel_v2
