Date,history_weeks_available,ready_for_13w_lookback,ready_for_26w_lookback,ready_for_52w_lookback,ready_for_104w_lookback
2006-10-06,91,True,True,True,False
2006-10-13,92,True,True,True,False
2006-10-20,93,True,True,True,False
2006-10-27,94,True,True,True,False
2006-11-03,95,True,True,True,False
2006-11-10,96,True,True,True,False
2006-11-17,97,True,True,True,False
2006-11-24,98,True,True,True,False
2006-12-01,99,True,True,True,False
2006-12-08,100,True,True,True,False
2006-12-15,101,True,True,True,False
2006-12-22,102,True,True,True,False
2006-12-29,103,True,True,True,False
2007-01-05,104,True,True,True,True
2007-01-12,105,True,True,True,True
2007-01-19,106,True,True,True,True
2007-01-26,107,True,True,True,True
2007-02-02,108,True,True,True,True
2007-02-09,109,True,True,True,True
2007-02-16,110,True,True,True,True
2007-02-23,111,True,True,True,True
2007-03-02,112,True,True,True,True
2007-03-09,113,True,True,True,True
2007-03-16,114,True,True,True,True
2007-03-23,115,True,True,True,True
2007-03-30,116,True,True,True,True
2007-04-06,117,True,True,True,True
2007-04-13,118,True,True,True,True
2007-04-20,119,True,True,True,True
2007-04-27,120,True,True,True,True
2007-05-04,121,True,True,True,True
2007-05-11,122,True,True,True,True
2007-05-18,123,True,True,True,True
2007-05-25,124,True,True,True,True
2007-06-01,125,True,True,True,True
2007-06-08,126,True,True,True,True
2007-06-15,127,True,True,True,True
2007-06-22,128,True,True,True,True
2007-06-29,129,True,True,True,True
2007-07-06,130,True,True,True,True
2007-07-13,131,True,True,True,True
2007-07-20,132,True,True,True,True
2007-07-27,133,True,True,True,True
2007-08-03,134,True,True,True,True
2007-08-10,135,True,True,True,True
2007-08-17,136,True,True,True,True
2007-08-24,137,True,True,True,True
2007-08-31,138,True,True,True,True
2007-09-07,139,True,True,True,True
2007-09-14,140,True,True,True,True
2007-09-21,141,True,True,True,True
2007-09-28,142,True,True,True,True
2007-10-05,143,True,True,True,True
2007-10-12,144,True,True,True,True
2007-10-19,145,True,True,True,True
2007-10-26,146,True,True,True,True
2007-11-02,147,True,True,True,True
2007-11-09,148,True,True,True,True
2007-11-16,149,True,True,True,True
2007-11-23,150,True,True,True,True
2007-11-30,151,True,True,True,True
2007-12-07,152,True,True,True,True
2007-12-14,153,True,True,True,True
2007-12-21,154,True,True,True,True
2007-12-28,155,True,True,True,True
2008-01-04,156,True,True,True,True
2008-01-11,157,True,True,True,True
2008-01-18,158,True,True,True,True
2008-01-25,159,True,True,True,True
2008-02-01,160,True,True,True,True
2008-02-08,161,True,True,True,True
2008-02-15,162,True,True,True,True
2008-02-22,163,True,True,True,True
2008-02-29,164,True,True,True,True
2008-03-07,165,True,True,True,True
2008-03-14,166,True,True,True,True
2008-03-21,167,True,True,True,True
2008-03-28,168,True,True,True,True
2008-04-04,169,True,True,True,True
2008-04-11,170,True,True,True,True
2008-04-18,171,True,True,True,True
2008-04-25,172,True,True,True,True
2008-05-02,173,True,True,True,True
2008-05-09,174,True,True,True,True
2008-05-16,175,True,True,True,True
2008-05-23,176,True,True,True,True
2008-05-30,177,True,True,True,True
2008-06-06,178,True,True,True,True
2008-06-13,179,True,True,True,True
2008-06-20,180,True,True,True,True
2008-06-27,181,True,True,True,True
2008-07-04,182,True,True,True,True
2008-07-11,183,True,True,True,True
2008-07-18,184,True,True,True,True
2008-07-25,185,True,True,True,True
2008-08-01,186,True,True,True,True
2008-08-08,187,True,True,True,True
2008-08-15,188,True,True,True,True
2008-08-22,189,True,True,True,True
2008-08-29,190,True,True,True,True
2008-09-05,191,True,True,True,True
2008-09-12,192,True,True,True,True
2008-09-19,193,True,True,True,True
2008-09-26,194,True,True,True,True
2008-10-03,195,True,True,True,True
2008-10-10,196,True,True,True,True
2008-10-17,197,True,True,True,True
2008-10-24,198,True,True,True,True
2008-10-31,199,True,True,True,True
2008-11-07,200,True,True,True,True
2008-11-14,201,True,True,True,True
2008-11-21,202,True,True,True,True
2008-11-28,203,True,True,True,True
2008-12-05,204,True,True,True,True
2008-12-12,205,True,True,True,True
2008-12-19,206,True,True,True,True
2008-12-26,207,True,True,True,True
2009-01-02,208,True,True,True,True
2009-01-09,209,True,True,True,True
2009-01-16,210,True,True,True,True
2009-01-23,211,True,True,True,True
2009-01-30,212,True,True,True,True
2009-02-06,213,True,True,True,True
2009-02-13,214,True,True,True,True
2009-02-20,215,True,True,True,True
2009-02-27,216,True,True,True,True
2009-03-06,217,True,True,True,True
2009-03-13,218,True,True,True,True
2009-03-20,219,True,True,True,True
2009-03-27,220,True,True,True,True
2009-04-03,221,True,True,True,True
2009-04-10,222,True,True,True,True
2009-04-17,223,True,True,True,True
2009-04-24,224,True,True,True,True
2009-05-01,225,True,True,True,True
2009-05-08,226,True,True,True,True
2009-05-15,227,True,True,True,True
2009-05-22,228,True,True,True,True
2009-05-29,229,True,True,True,True
2009-06-05,230,True,True,True,True
2009-06-12,231,True,True,True,True
2009-06-19,232,True,True,True,True
2009-06-26,233,True,True,True,True
2009-07-03,234,True,True,True,True
2009-07-10,235,True,True,True,True
2009-07-17,236,True,True,True,True
2009-07-24,237,True,True,True,True
2009-07-31,238,True,True,True,True
2009-08-07,239,True,True,True,True
2009-08-14,240,True,True,True,True
2009-08-21,241,True,True,True,True
2009-08-28,242,True,True,True,True
2009-09-04,243,True,True,True,True
2009-09-11,244,True,True,True,True
2009-09-18,245,True,True,True,True
2009-09-25,246,True,True,True,True
2009-10-02,247,True,True,True,True
2009-10-09,248,True,True,True,True
2009-10-16,249,True,True,True,True
2009-10-23,250,True,True,True,True
2009-10-30,251,True,True,True,True
2009-11-06,252,True,True,True,True
2009-11-13,253,True,True,True,True
2009-11-20,254,True,True,True,True
2009-11-27,255,True,True,True,True
2009-12-04,256,True,True,True,True
2009-12-11,257,True,True,True,True
2009-12-18,258,True,True,True,True
2009-12-25,259,True,True,True,True
2010-01-01,260,True,True,True,True
2010-01-08,261,True,True,True,True
2010-01-15,262,True,True,True,True
2010-01-22,263,True,True,True,True
2010-01-29,264,True,True,True,True
2010-02-05,265,True,True,True,True
2010-02-12,266,True,True,True,True
2010-02-19,267,True,True,True,True
2010-02-26,268,True,True,True,True
2010-03-05,269,True,True,True,True
2010-03-12,270,True,True,True,True
2010-03-19,271,True,True,True,True
2010-03-26,272,True,True,True,True
2010-04-02,273,True,True,True,True
2010-04-09,274,True,True,True,True
2010-04-16,275,True,True,True,True
2010-04-23,276,True,True,True,True
2010-04-30,277,True,True,True,True
2010-05-07,278,True,True,True,True
2010-05-14,279,True,True,True,True
2010-05-21,280,True,True,True,True
2010-05-28,281,True,True,True,True
2010-06-04,282,True,True,True,True
2010-06-11,283,True,True,True,True
2010-06-18,284,True,True,True,True
2010-06-25,285,True,True,True,True
2010-07-02,286,True,True,True,True
2010-07-09,287,True,True,True,True
2010-07-16,288,True,True,True,True
2010-07-23,289,True,True,True,True
2010-07-30,290,True,True,True,True
2010-08-06,291,True,True,True,True
2010-08-13,292,True,True,True,True
2010-08-20,293,True,True,True,True
2010-08-27,294,True,True,True,True
2010-09-03,295,True,True,True,True
2010-09-10,296,True,True,True,True
2010-09-17,297,True,True,True,True
2010-09-24,298,True,True,True,True
2010-10-01,299,True,True,True,True
2010-10-08,300,True,True,True,True
2010-10-15,301,True,True,True,True
2010-10-22,302,True,True,True,True
2010-10-29,303,True,True,True,True
2010-11-05,304,True,True,True,True
2010-11-12,305,True,True,True,True
2010-11-19,306,True,True,True,True
2010-11-26,307,True,True,True,True
2010-12-03,308,True,True,True,True
2010-12-10,309,True,True,True,True
2010-12-17,310,True,True,True,True
2010-12-24,311,True,True,True,True
2010-12-31,312,True,True,True,True
2011-01-07,313,True,True,True,True
2011-01-14,314,True,True,True,True
2011-01-21,315,True,True,True,True
2011-01-28,316,True,True,True,True
2011-02-04,317,True,True,True,True
2011-02-11,318,True,True,True,True
2011-02-18,319,True,True,True,True
2011-02-25,320,True,True,True,True
2011-03-04,321,True,True,True,True
2011-03-11,322,True,True,True,True
2011-03-18,323,True,True,True,True
2011-03-25,324,True,True,True,True
2011-04-01,325,True,True,True,True
2011-04-08,326,True,True,True,True
2011-04-15,327,True,True,True,True
2011-04-22,328,True,True,True,True
2011-04-29,329,True,True,True,True
2011-05-06,330,True,True,True,True
2011-05-13,331,True,True,True,True
2011-05-20,332,True,True,True,True
2011-05-27,333,True,True,True,True
2011-06-03,334,True,True,True,True
2011-06-10,335,True,True,True,True
2011-06-17,336,True,True,True,True
2011-06-24,337,True,True,True,True
2011-07-01,338,True,True,True,True
2011-07-08,339,True,True,True,True
2011-07-15,340,True,True,True,True
2011-07-22,341,True,True,True,True
2011-07-29,342,True,True,True,True
2011-08-05,343,True,True,True,True
2011-08-12,344,True,True,True,True
2011-08-19,345,True,True,True,True
2011-08-26,346,True,True,True,True
2011-09-02,347,True,True,True,True
2011-09-09,348,True,True,True,True
2011-09-16,349,True,True,True,True
2011-09-23,350,True,True,True,True
2011-09-30,351,True,True,True,True
2011-10-07,352,True,True,True,True
2011-10-14,353,True,True,True,True
2011-10-21,354,True,True,True,True
2011-10-28,355,True,True,True,True
2011-11-04,356,True,True,True,True
2011-11-11,357,True,True,True,True
2011-11-18,358,True,True,True,True
2011-11-25,359,True,True,True,True
2011-12-02,360,True,True,True,True
2011-12-09,361,True,True,True,True
2011-12-16,362,True,True,True,True
2011-12-23,363,True,True,True,True
2011-12-30,364,True,True,True,True
2012-01-06,365,True,True,True,True
2012-01-13,366,True,True,True,True
2012-01-20,367,True,True,True,True
2012-01-27,368,True,True,True,True
2012-02-03,369,True,True,True,True
2012-02-10,370,True,True,True,True
2012-02-17,371,True,True,True,True
2012-02-24,372,True,True,True,True
2012-03-02,373,True,True,True,True
2012-03-09,374,True,True,True,True
2012-03-16,375,True,True,True,True
2012-03-23,376,True,True,True,True
2012-03-30,377,True,True,True,True
2012-04-06,378,True,True,True,True
2012-04-13,379,True,True,True,True
2012-04-20,380,True,True,True,True
2012-04-27,381,True,True,True,True
2012-05-04,382,True,True,True,True
2012-05-11,383,True,True,True,True
2012-05-18,384,True,True,True,True
2012-05-25,385,True,True,True,True
2012-06-01,386,True,True,True,True
2012-06-08,387,True,True,True,True
2012-06-15,388,True,True,True,True
2012-06-22,389,True,True,True,True
2012-06-29,390,True,True,True,True
2012-07-06,391,True,True,True,True
2012-07-13,392,True,True,True,True
2012-07-20,393,True,True,True,True
2012-07-27,394,True,True,True,True
2012-08-03,395,True,True,True,True
2012-08-10,396,True,True,True,True
2012-08-17,397,True,True,True,True
2012-08-24,398,True,True,True,True
2012-08-31,399,True,True,True,True
2012-09-07,400,True,True,True,True
2012-09-14,401,True,True,True,True
2012-09-21,402,True,True,True,True
2012-09-28,403,True,True,True,True
2012-10-05,404,True,True,True,True
2012-10-12,405,True,True,True,True
2012-10-19,406,True,True,True,True
2012-10-26,407,True,True,True,True
2012-11-02,408,True,True,True,True
2012-11-09,409,True,True,True,True
2012-11-16,410,True,True,True,True
2012-11-23,411,True,True,True,True
2012-11-30,412,True,True,True,True
2012-12-07,413,True,True,True,True
2012-12-14,414,True,True,True,True
2012-12-21,415,True,True,True,True
2012-12-28,416,True,True,True,True
2013-01-04,417,True,True,True,True
2013-01-11,418,True,True,True,True
2013-01-18,419,True,True,True,True
2013-01-25,420,True,True,True,True
2013-02-01,421,True,True,True,True
2013-02-08,422,True,True,True,True
2013-02-15,423,True,True,True,True
2013-02-22,424,True,True,True,True
2013-03-01,425,True,True,True,True
2013-03-08,426,True,True,True,True
2013-03-15,427,True,True,True,True
2013-03-22,428,True,True,True,True
2013-03-29,429,True,True,True,True
2013-04-05,430,True,True,True,True
2013-04-12,431,True,True,True,True
2013-04-19,432,True,True,True,True
2013-04-26,433,True,True,True,True
2013-05-03,434,True,True,True,True
2013-05-10,435,True,True,True,True
2013-05-17,436,True,True,True,True
2013-05-24,437,True,True,True,True
2013-05-31,438,True,True,True,True
2013-06-07,439,True,True,True,True
2013-06-14,440,True,True,True,True
2013-06-21,441,True,True,True,True
2013-06-28,442,True,True,True,True
2013-07-05,443,True,True,True,True
2013-07-12,444,True,True,True,True
2013-07-19,445,True,True,True,True
2013-07-26,446,True,True,True,True
2013-08-02,447,True,True,True,True
2013-08-09,448,True,True,True,True
2013-08-16,449,True,True,True,True
2013-08-23,450,True,True,True,True
2013-08-30,451,True,True,True,True
2013-09-06,452,True,True,True,True
2013-09-13,453,True,True,True,True
2013-09-20,454,True,True,True,True
2013-09-27,455,True,True,True,True
2013-10-04,456,True,True,True,True
2013-10-11,457,True,True,True,True
2013-10-18,458,True,True,True,True
2013-10-25,459,True,True,True,True
2013-11-01,460,True,True,True,True
2013-11-08,461,True,True,True,True
2013-11-15,462,True,True,True,True
2013-11-22,463,True,True,True,True
2013-11-29,464,True,True,True,True
2013-12-06,465,True,True,True,True
2013-12-13,466,True,True,True,True
2013-12-20,467,True,True,True,True
2013-12-27,468,True,True,True,True
2014-01-03,469,True,True,True,True
2014-01-10,470,True,True,True,True
2014-01-17,471,True,True,True,True
2014-01-24,472,True,True,True,True
2014-01-31,473,True,True,True,True
2014-02-07,474,True,True,True,True
2014-02-14,475,True,True,True,True
2014-02-21,476,True,True,True,True
2014-02-28,477,True,True,True,True
2014-03-07,478,True,True,True,True
2014-03-14,479,True,True,True,True
2014-03-21,480,True,True,True,True
2014-03-28,481,True,True,True,True
2014-04-04,482,True,True,True,True
2014-04-11,483,True,True,True,True
2014-04-18,484,True,True,True,True
2014-04-25,485,True,True,True,True
2014-05-02,486,True,True,True,True
2014-05-09,487,True,True,True,True
2014-05-16,488,True,True,True,True
2014-05-23,489,True,True,True,True
2014-05-30,490,True,True,True,True
2014-06-06,491,True,True,True,True
2014-06-13,492,True,True,True,True
2014-06-20,493,True,True,True,True
2014-06-27,494,True,True,True,True
2014-07-04,495,True,True,True,True
2014-07-11,496,True,True,True,True
2014-07-18,497,True,True,True,True
2014-07-25,498,True,True,True,True
2014-08-01,499,True,True,True,True
2014-08-08,500,True,True,True,True
2014-08-15,501,True,True,True,True
2014-08-22,502,True,True,True,True
2014-08-29,503,True,True,True,True
2014-09-05,504,True,True,True,True
2014-09-12,505,True,True,True,True
2014-09-19,506,True,True,True,True
2014-09-26,507,True,True,True,True
2014-10-03,508,True,True,True,True
2014-10-10,509,True,True,True,True
2014-10-17,510,True,True,True,True
2014-10-24,511,True,True,True,True
2014-10-31,512,True,True,True,True
2014-11-07,513,True,True,True,True
2014-11-14,514,True,True,True,True
2014-11-21,515,True,True,True,True
2014-11-28,516,True,True,True,True
2014-12-05,517,True,True,True,True
2014-12-12,518,True,True,True,True
2014-12-19,519,True,True,True,True
2014-12-26,520,True,True,True,True
2015-01-02,521,True,True,True,True
2015-01-09,522,True,True,True,True
2015-01-16,523,True,True,True,True
2015-01-23,524,True,True,True,True
2015-01-30,525,True,True,True,True
2015-02-06,526,True,True,True,True
2015-02-13,527,True,True,True,True
2015-02-20,528,True,True,True,True
2015-02-27,529,True,True,True,True
2015-03-06,530,True,True,True,True
2015-03-13,531,True,True,True,True
2015-03-20,532,True,True,True,True
2015-03-27,533,True,True,True,True
2015-04-03,534,True,True,True,True
2015-04-10,535,True,True,True,True
2015-04-17,536,True,True,True,True
2015-04-24,537,True,True,True,True
2015-05-01,538,True,True,True,True
2015-05-08,539,True,True,True,True
2015-05-15,540,True,True,True,True
2015-05-22,541,True,True,True,True
2015-05-29,542,True,True,True,True
2015-06-05,543,True,True,True,True
2015-06-12,544,True,True,True,True
2015-06-19,545,True,True,True,True
2015-06-26,546,True,True,True,True
2015-07-03,547,True,True,True,True
2015-07-10,548,True,True,True,True
2015-07-17,549,True,True,True,True
2015-07-24,550,True,True,True,True
2015-07-31,551,True,True,True,True
2015-08-07,552,True,True,True,True
2015-08-14,553,True,True,True,True
2015-08-21,554,True,True,True,True
2015-08-28,555,True,True,True,True
2015-09-04,556,True,True,True,True
2015-09-11,557,True,True,True,True
2015-09-18,558,True,True,True,True
2015-09-25,559,True,True,True,True
2015-10-02,560,True,True,True,True
2015-10-09,561,True,True,True,True
2015-10-16,562,True,True,True,True
2015-10-23,563,True,True,True,True
2015-10-30,564,True,True,True,True
2015-11-06,565,True,True,True,True
2015-11-13,566,True,True,True,True
2015-11-20,567,True,True,True,True
2015-11-27,568,True,True,True,True
2015-12-04,569,True,True,True,True
2015-12-11,570,True,True,True,True
2015-12-18,571,True,True,True,True
2015-12-25,572,True,True,True,True
2016-01-01,573,True,True,True,True
2016-01-08,574,True,True,True,True
2016-01-15,575,True,True,True,True
2016-01-22,576,True,True,True,True
2016-01-29,577,True,True,True,True
2016-02-05,578,True,True,True,True
2016-02-12,579,True,True,True,True
2016-02-19,580,True,True,True,True
2016-02-26,581,True,True,True,True
2016-03-04,582,True,True,True,True
2016-03-11,583,True,True,True,True
2016-03-18,584,True,True,True,True
2016-03-25,585,True,True,True,True
2016-04-01,586,True,True,True,True
2016-04-08,587,True,True,True,True
2016-04-15,588,True,True,True,True
2016-04-22,589,True,True,True,True
2016-04-29,590,True,True,True,True
2016-05-06,591,True,True,True,True
2016-05-13,592,True,True,True,True
2016-05-20,593,True,True,True,True
2016-05-27,594,True,True,True,True
2016-06-03,595,True,True,True,True
2016-06-10,596,True,True,True,True
2016-06-17,597,True,True,True,True
2016-06-24,598,True,True,True,True
2016-07-01,599,True,True,True,True
2016-07-08,600,True,True,True,True
2016-07-15,601,True,True,True,True
2016-07-22,602,True,True,True,True
2016-07-29,603,True,True,True,True
2016-08-05,604,True,True,True,True
2016-08-12,605,True,True,True,True
2016-08-19,606,True,True,True,True
2016-08-26,607,True,True,True,True
2016-09-02,608,True,True,True,True
2016-09-09,609,True,True,True,True
2016-09-16,610,True,True,True,True
2016-09-23,611,True,True,True,True
2016-09-30,612,True,True,True,True
2016-10-07,613,True,True,True,True
2016-10-14,614,True,True,True,True
2016-10-21,615,True,True,True,True
2016-10-28,616,True,True,True,True
2016-11-04,617,True,True,True,True
2016-11-11,618,True,True,True,True
2016-11-18,619,True,True,True,True
2016-11-25,620,True,True,True,True
2016-12-02,621,True,True,True,True
2016-12-09,622,True,True,True,True
2016-12-16,623,True,True,True,True
2016-12-23,624,True,True,True,True
2016-12-30,625,True,True,True,True
2017-01-06,626,True,True,True,True
2017-01-13,627,True,True,True,True
2017-01-20,628,True,True,True,True
2017-01-27,629,True,True,True,True
2017-02-03,630,True,True,True,True
2017-02-10,631,True,True,True,True
2017-02-17,632,True,True,True,True
2017-02-24,633,True,True,True,True
2017-03-03,634,True,True,True,True
2017-03-10,635,True,True,True,True
2017-03-17,636,True,True,True,True
2017-03-24,637,True,True,True,True
2017-03-31,638,True,True,True,True
2017-04-07,639,True,True,True,True
2017-04-14,640,True,True,True,True
2017-04-21,641,True,True,True,True
2017-04-28,642,True,True,True,True
2017-05-05,643,True,True,True,True
2017-05-12,644,True,True,True,True
2017-05-19,645,True,True,True,True
2017-05-26,646,True,True,True,True
2017-06-02,647,True,True,True,True
2017-06-09,648,True,True,True,True
2017-06-16,649,True,True,True,True
2017-06-23,650,True,True,True,True
2017-06-30,651,True,True,True,True
2017-07-07,652,True,True,True,True
2017-07-14,653,True,True,True,True
2017-07-21,654,True,True,True,True
2017-07-28,655,True,True,True,True
2017-08-04,656,True,True,True,True
2017-08-11,657,True,True,True,True
2017-08-18,658,True,True,True,True
2017-08-25,659,True,True,True,True
2017-09-01,660,True,True,True,True
2017-09-08,661,True,True,True,True
2017-09-15,662,True,True,True,True
2017-09-22,663,True,True,True,True
2017-09-29,664,True,True,True,True
2017-10-06,665,True,True,True,True
2017-10-13,666,True,True,True,True
2017-10-20,667,True,True,True,True
2017-10-27,668,True,True,True,True
2017-11-03,669,True,True,True,True
2017-11-10,670,True,True,True,True
2017-11-17,671,True,True,True,True
2017-11-24,672,True,True,True,True
2017-12-01,673,True,True,True,True
2017-12-08,674,True,True,True,True
2017-12-15,675,True,True,True,True
2017-12-22,676,True,True,True,True
2017-12-29,677,True,True,True,True
2018-01-05,678,True,True,True,True
2018-01-12,679,True,True,True,True
2018-01-19,680,True,True,True,True
2018-01-26,681,True,True,True,True
2018-02-02,682,True,True,True,True
2018-02-09,683,True,True,True,True
2018-02-16,684,True,True,True,True
2018-02-23,685,True,True,True,True
2018-03-02,686,True,True,True,True
2018-03-09,687,True,True,True,True
2018-03-16,688,True,True,True,True
2018-03-23,689,True,True,True,True
2018-03-30,690,True,True,True,True
2018-04-06,691,True,True,True,True
2018-04-13,692,True,True,True,True
2018-04-20,693,True,True,True,True
2018-04-27,694,True,True,True,True
2018-05-04,695,True,True,True,True
2018-05-11,696,True,True,True,True
2018-05-18,697,True,True,True,True
2018-05-25,698,True,True,True,True
2018-06-01,699,True,True,True,True
2018-06-08,700,True,True,True,True
2018-06-15,701,True,True,True,True
2018-06-22,702,True,True,True,True
2018-06-29,703,True,True,True,True
2018-07-06,704,True,True,True,True
2018-07-13,705,True,True,True,True
2018-07-20,706,True,True,True,True
2018-07-27,707,True,True,True,True
2018-08-03,708,True,True,True,True
2018-08-10,709,True,True,True,True
2018-08-17,710,True,True,True,True
2018-08-24,711,True,True,True,True
2018-08-31,712,True,True,True,True
2018-09-07,713,True,True,True,True
2018-09-14,714,True,True,True,True
2018-09-21,715,True,True,True,True
2018-09-28,716,True,True,True,True
2018-10-05,717,True,True,True,True
2018-10-12,718,True,True,True,True
2018-10-19,719,True,True,True,True
2018-10-26,720,True,True,True,True
2018-11-02,721,True,True,True,True
2018-11-09,722,True,True,True,True
2018-11-16,723,True,True,True,True
2018-11-23,724,True,True,True,True
2018-11-30,725,True,True,True,True
2018-12-07,726,True,True,True,True
2018-12-14,727,True,True,True,True
2018-12-21,728,True,True,True,True
2018-12-28,729,True,True,True,True
2019-01-04,730,True,True,True,True
2019-01-11,731,True,True,True,True
2019-01-18,732,True,True,True,True
2019-01-25,733,True,True,True,True
2019-02-01,734,True,True,True,True
2019-02-08,735,True,True,True,True
2019-02-15,736,True,True,True,True
2019-02-22,737,True,True,True,True
2019-03-01,738,True,True,True,True
2019-03-08,739,True,True,True,True
2019-03-15,740,True,True,True,True
2019-03-22,741,True,True,True,True
2019-03-29,742,True,True,True,True
2019-04-05,743,True,True,True,True
2019-04-12,744,True,True,True,True
2019-04-19,745,True,True,True,True
2019-04-26,746,True,True,True,True
2019-05-03,747,True,True,True,True
2019-05-10,748,True,True,True,True
2019-05-17,749,True,True,True,True
2019-05-24,750,True,True,True,True
2019-05-31,751,True,True,True,True
2019-06-07,752,True,True,True,True
2019-06-14,753,True,True,True,True
2019-06-21,754,True,True,True,True
2019-06-28,755,True,True,True,True
2019-07-05,756,True,True,True,True
2019-07-12,757,True,True,True,True
2019-07-19,758,True,True,True,True
2019-07-26,759,True,True,True,True
2019-08-02,760,True,True,True,True
2019-08-09,761,True,True,True,True
2019-08-16,762,True,True,True,True
2019-08-23,763,True,True,True,True
2019-08-30,764,True,True,True,True
2019-09-06,765,True,True,True,True
2019-09-13,766,True,True,True,True
2019-09-20,767,True,True,True,True
2019-09-27,768,True,True,True,True
2019-10-04,769,True,True,True,True
2019-10-11,770,True,True,True,True
2019-10-18,771,True,True,True,True
2019-10-25,772,True,True,True,True
2019-11-01,773,True,True,True,True
2019-11-08,774,True,True,True,True
2019-11-15,775,True,True,True,True
2019-11-22,776,True,True,True,True
2019-11-29,777,True,True,True,True
2019-12-06,778,True,True,True,True
2019-12-13,779,True,True,True,True
2019-12-20,780,True,True,True,True
2019-12-27,781,True,True,True,True
2020-01-03,782,True,True,True,True
2020-01-10,783,True,True,True,True
2020-01-17,784,True,True,True,True
2020-01-24,785,True,True,True,True
2020-01-31,786,True,True,True,True
2020-02-07,787,True,True,True,True
2020-02-14,788,True,True,True,True
2020-02-21,789,True,True,True,True
2020-02-28,790,True,True,True,True
2020-03-06,791,True,True,True,True
2020-03-13,792,True,True,True,True
2020-03-20,793,True,True,True,True
2020-03-27,794,True,True,True,True
2020-04-03,795,True,True,True,True
2020-04-10,796,True,True,True,True
2020-04-17,797,True,True,True,True
2020-04-24,798,True,True,True,True
2020-05-01,799,True,True,True,True
2020-05-08,800,True,True,True,True
2020-05-15,801,True,True,True,True
2020-05-22,802,True,True,True,True
2020-05-29,803,True,True,True,True
2020-06-05,804,True,True,True,True
2020-06-12,805,True,True,True,True
2020-06-19,806,True,True,True,True
2020-06-26,807,True,True,True,True
2020-07-03,808,True,True,True,True
2020-07-10,809,True,True,True,True
2020-07-17,810,True,True,True,True
2020-07-24,811,True,True,True,True
2020-07-31,812,True,True,True,True
2020-08-07,813,True,True,True,True
2020-08-14,814,True,True,True,True
2020-08-21,815,True,True,True,True
