decision_time,cik10,ticker,net_income,net_income__period_end,net_income__available_at,operating_cash_flow,operating_cash_flow__period_end,operating_cash_flow__available_at,net_income__prior_year,net_income__yoy_growth,operating_cash_flow__prior_year,operating_cash_flow__yoy_growth,revenue,revenue__period_end,revenue__available_at,net_margin,operating_cash_flow_margin,revenue__prior_year,revenue__yoy_growth
2023-04-01 00:00:00+00:00,0000866291,0000866291,64551000.0,2022-12-23,2023-02-02 00:00:00+00:00,36553000.0,2022-06-24,2022-08-02 00:00:00+00:00,32973000.0,0.957692657628969,38495000.0,-0.05044811014417461,248789000.0,2022-12-23,2023-02-02 00:00:00+00:00,0.25946082825205297,0.1469236983950255,186629000.0,0.33306720820451274
2023-07-01 00:00:00+00:00,0000866291,0000866291,64551000.0,2022-12-23,2023-02-02 00:00:00+00:00,36553000.0,2022-06-24,2022-08-02 00:00:00+00:00,32973000.0,0.957692657628969,38495000.0,-0.05044811014417461,248789000.0,2022-12-23,2023-02-02 00:00:00+00:00,0.25946082825205297,0.1469236983950255,186629000.0,0.33306720820451274
2023-10-01 00:00:00+00:00,0000866291,0000866291,60889000.0,2023-06-30,2023-08-05 00:00:00+00:00,49663000.0,2023-06-30,2023-08-05 00:00:00+00:00,10283000.0,4.92132646114947,36553000.0,0.3586572921511231,278293000.0,2023-06-30,2023-08-05 00:00:00+00:00,0.21879457981336217,0.17845580018182275,217753000.0,0.27802142794817986
2024-01-01 00:00:00+00:00,0000866291,0000866291,65671000.0,2023-09-29,2023-11-07 00:00:00+00:00,49663000.0,2023-06-30,2023-08-05 00:00:00+00:00,50648000.0,0.2966158584741747,36553000.0,0.3586572921511231,275509000.0,2023-09-29,2023-11-07 00:00:00+00:00,0.23836244913959254,0.18025908409525643,237666000.0,0.15922765561754737
2024-04-01 00:00:00+00:00,0000866291,0000866291,33402000.0,2023-12-29,2024-02-07 00:00:00+00:00,49663000.0,2023-06-30,2023-08-05 00:00:00+00:00,64551000.0,-0.4825486824371428,36553000.0,0.3586572921511231,254984000.0,2023-12-29,2024-02-07 00:00:00+00:00,0.1309964546795093,0.19476908355034042,248789000.0,0.024900618596481294
2024-07-01 00:00:00+00:00,0000866291,0000866291,33402000.0,2023-12-29,2024-02-07 00:00:00+00:00,49663000.0,2023-06-30,2023-08-05 00:00:00+00:00,64551000.0,-0.4825486824371428,36553000.0,0.3586572921511231,254984000.0,2023-12-29,2024-02-07 00:00:00+00:00,0.1309964546795093,0.19476908355034042,248789000.0,0.024900618596481294
2024-10-01 00:00:00+00:00,0000866291,0000866291,-17613000.0,2024-06-28,2024-08-03 00:00:00+00:00,34196000.0,2024-06-28,2024-08-03 00:00:00+00:00,60889000.0,-1.2892640706860024,49663000.0,-0.3114390995308378,166919000.0,2024-06-28,2024-08-03 00:00:00+00:00,-0.10551824537649998,0.20486583312864323,278293000.0,-0.4002041014326627
2025-01-01 00:00:00+00:00,0000866291,0000866291,-33613000.0,2024-09-27,2024-11-02 00:00:00+00:00,34196000.0,2024-06-28,2024-08-03 00:00:00+00:00,65671000.0,-1.5118393202479026,49663000.0,-0.3114390995308378,187391000.0,2024-09-27,2024-11-02 00:00:00+00:00,-0.17937360919147666,0.18248475113532667,275509000.0,-0.31983710151029554
2025-04-01 00:00:00+00:00,0000866291,0000866291,-6799000.0,2024-12-27,2025-02-01 00:00:00+00:00,34196000.0,2024-06-28,2024-08-03 00:00:00+00:00,33402000.0,-1.2035506855876894,49663000.0,-0.3114390995308378,177872000.0,2024-12-27,2025-02-01 00:00:00+00:00,-0.03822411621840425,0.19225060717819556,254984000.0,-0.3024189753082547
2025-07-01 00:00:00+00:00,0000866291,0000866291,-6799000.0,2024-12-27,2025-02-01 00:00:00+00:00,34196000.0,2024-06-28,2024-08-03 00:00:00+00:00,33402000.0,-1.2035506855876894,49663000.0,-0.3114390995308378,177872000.0,2024-12-27,2025-02-01 00:00:00+00:00,-0.03822411621840425,0.19225060717819556,254984000.0,-0.3024189753082547
2025-10-01 00:00:00+00:00,0000866291,0000866291,-13162000.0,2025-06-27,2025-08-02 00:00:00+00:00,61618000.0,2025-06-27,2025-08-02 00:00:00+00:00,60889000.0,-1.216163839117082,49663000.0,0.24072246944405284,203405000.0,2025-06-27,2025-08-02 00:00:00+00:00,-0.06470834050293749,0.30293257294560116,278293000.0,-0.26909767762753645
2026-01-01 00:00:00+00:00,0000866291,0000866291,6583000.0,2025-09-26,2025-11-01 00:00:00+00:00,61618000.0,2025-06-27,2025-08-02 00:00:00+00:00,65671000.0,-0.8997578839975027,49663000.0,0.24072246944405284,214294000.0,2025-09-26,2025-11-01 00:00:00+00:00,0.030719478846817923,0.28753954847079244,275509000.0,-0.22218874882490225
2026-04-01 00:00:00+00:00,0000866291,0000866291,8362000.0,2025-12-26,2026-01-31 00:00:00+00:00,61618000.0,2025-06-27,2025-08-02 00:00:00+00:00,-6799000.0,-2.229886748051184,49663000.0,0.24072246944405284,229210000.0,2025-12-26,2026-01-31 00:00:00+00:00,0.03648182889053706,0.26882771257798527,177872000.0,0.28862327966177936
2026-07-01 00:00:00+00:00,0000866291,0000866291,8362000.0,2025-12-26,2026-01-31 00:00:00+00:00,61618000.0,2025-06-27,2025-08-02 00:00:00+00:00,-6799000.0,-2.229886748051184,49663000.0,0.24072246944405284,229210000.0,2025-12-26,2026-01-31 00:00:00+00:00,0.03648182889053706,0.26882771257798527,177872000.0,0.28862327966177936
2012-04-01 00:00:00+00:00,0000863436,0000863436,2878000.0,2011-12-31,2012-03-01 00:00:00+00:00,14174000.0,2011-03-31,2011-05-10 23:59:59+00:00,,,,,559086000.0,2011-12-31,2012-03-01 00:00:00+00:00,0.005147687475629868,0.025352092522438408,,
2012-07-01 00:00:00+00:00,0000863436,0000863436,5598000.0,2012-03-31,2012-05-09 00:00:00+00:00,-23821000.0,2012-03-31,2012-05-09 00:00:00+00:00,15348000.0,-0.6352619233776388,14174000.0,-2.68061238888105,593417000.0,2012-03-31,2012-05-09 00:00:00+00:00,0.00943350123100619,-0.04014209232293649,538312000.0,0.10236628572277784
2012-10-01 00:00:00+00:00,0000863436,0000863436,13580000.0,2012-06-30,2012-08-09 00:00:00+00:00,-23821000.0,2012-03-31,2012-05-09 00:00:00+00:00,14701000.0,-0.07625331610094555,14174000.0,-2.68061238888105,630031000.0,2012-06-30,2012-08-09 00:00:00+00:00,0.02155449493755069,-0.037809250655920106,585549000.0,0.07596631537241127
2013-01-01 00:00:00+00:00,0000863436,0000863436,19314000.0,2012-09-30,2012-11-09 00:00:00+00:00,-23821000.0,2012-03-31,2012-05-09 00:00:00+00:00,19867000.0,-0.027835103437861775,14174000.0,-2.68061238888105,610769000.0,2012-09-30,2012-11-09 00:00:00+00:00,0.03162243008404159,-0.039001652015737534,570083000.0,0.07136855510513374
2013-04-01 00:00:00+00:00,0000863436,0000863436,18115000.0,2012-12-31,2013-03-01 00:00:00+00:00,-23821000.0,2012-03-31,2012-05-09 00:00:00+00:00,2878000.0,5.294301598332175,14174000.0,-2.68061238888105,633933000.0,2012-12-31,2013-03-01 00:00:00+00:00,0.02857557502133506,-0.037576526225957634,559086000.0,0.1338738584046104
2013-07-01 00:00:00+00:00,0000863436,0000863436,11487000.0,2013-03-31,2013-05-09 00:00:00+00:00,48648000.0,2013-03-31,2013-05-09 00:00:00+00:00,5598000.0,1.051982851018221,-23821000.0,-3.0422316443474244,542444000.0,2013-03-31,2013-05-09 00:00:00+00:00,0.021176379497238426,0.08968299031789456,593417000.0,-0.08589743805789185
2013-10-01 00:00:00+00:00,0000863436,0000863436,8457000.0,2013-06-30,2013-08-08 00:00:00+00:00,48648000.0,2013-03-31,2013-05-09 00:00:00+00:00,13580000.0,-0.3772459499263623,-23821000.0,-3.0422316443474244,607522000.0,2013-06-30,2013-08-08 00:00:00+00:00,0.013920483538044712,0.08007611247000108,630031000.0,-0.03572681344251316
2014-01-01 00:00:00+00:00,0000863436,0000863436,23726000.0,2013-09-30,2013-11-09 00:00:00+00:00,48648000.0,2013-03-31,2013-05-09 00:00:00+00:00,19314000.0,0.22843533188360765,-23821000.0,-3.0422316443474244,599658000.0,2013-09-30,2013-11-09 00:00:00+00:00,0.03956588588828966,0.08112624195791601,610769000.0,-0.018191820475498943
2014-04-01 00:00:00+00:00,0000863436,0000863436,67489000.0,2013-12-31,2014-03-01 00:00:00+00:00,48648000.0,2013-03-31,2013-05-09 00:00:00+00:00,18115000.0,2.725586530499586,-23821000.0,-3.0422316443474244,756843000.0,2013-12-31,2014-03-01 00:00:00+00:00,0.08917173046457455,0.0642775317998581,633933000.0,0.19388484271997197
2014-07-01 00:00:00+00:00,0000863436,0000863436,19125000.0,2014-03-31,2014-05-10 00:00:00+00:00,60734000.0,2014-03-31,2014-05-10 00:00:00+00:00,11487000.0,0.6649255680334292,48648000.0,0.2484377569478704,639344000.0,2014-03-31,2014-05-10 00:00:00+00:00,0.029913473810655924,0.09499424410020271,542444000.0,0.17863595136087773
2014-10-01 00:00:00+00:00,0000863436,0000863436,22150000.0,2014-06-30,2014-08-07 00:00:00+00:00,60734000.0,2014-03-31,2014-05-10 00:00:00+00:00,67489000.0,-0.6717983671413119,48648000.0,0.2484377569478704,716868000.0,2014-06-30,2014-08-07 00:00:00+00:00,0.03089829647857067,0.08472131550020366,756843000.0,-0.052818087767211974
2015-01-01 00:00:00+00:00,0000863436,0000863436,17156000.0,2014-09-30,2014-11-08 00:00:00+00:00,60734000.0,2014-03-31,2014-05-10 00:00:00+00:00,67489000.0,-0.7457956111366297,48648000.0,0.2484377569478704,731302000.0,2014-09-30,2014-11-08 00:00:00+00:00,0.023459528348069608,0.08304913701863252,756843000.0,-0.03374676121731979
2015-04-01 00:00:00+00:00,0000863436,0000863436,24011000.0,2014-12-31,2015-02-28 00:00:00+00:00,60734000.0,2014-03-31,2014-05-10 00:00:00+00:00,67489000.0,-0.6442235030893924,48648000.0,0.2484377569478704,709547000.0,2014-12-31,2015-02-28 00:00:00+00:00,0.0338399006690184,0.08559545738337278,756843000.0,-0.06249116395342236
2015-07-01 00:00:00+00:00,0000863436,0000863436,14205000.0,2015-03-31,2015-05-09 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,19125000.0,-0.25725490196078427,60734000.0,-1.179553462640366,620925000.0,2015-03-31,2015-05-09 00:00:00+00:00,0.022877159077183233,-0.01756250754922092,639344000.0,-0.02880921694737104
2015-10-01 00:00:00+00:00,0000863436,0000863436,21210000.0,2015-06-30,2015-08-08 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,,,60734000.0,-1.179553462640366,664038000.0,2015-06-30,2015-08-08 00:00:00+00:00,0.03194094313879627,-0.016422252943355652,,
2016-01-01 00:00:00+00:00,0000863436,0000863436,20565000.0,2015-09-30,2015-11-07 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,,,60734000.0,-1.179553462640366,630191000.0,2015-09-30,2015-11-07 00:00:00+00:00,0.032632963657050006,-0.01730427759203162,,
2016-04-01 00:00:00+00:00,0000863436,0000863436,39421000.0,2015-12-31,2016-03-01 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,24011000.0,0.6417891799591853,60734000.0,-1.179553462640366,625719000.0,2015-12-31,2016-03-01 00:00:00+00:00,0.06300112350751695,-0.01742795088530155,709547000.0,-0.1181429841856847
2016-07-01 00:00:00+00:00,0000863436,0000863436,11052000.0,2016-03-31,2016-05-11 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,14205000.0,-0.2219640971488912,60734000.0,-1.179553462640366,549225000.0,2016-03-31,2016-05-11 00:00:00+00:00,0.020122900450634987,-0.019855250580363238,620925000.0,-0.11547288319845395
2016-10-01 00:00:00+00:00,0000863436,0000863436,12685000.0,2016-06-30,2016-08-09 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,21210000.0,-0.40193305044790195,60734000.0,-1.179553462640366,579342000.0,2016-06-30,2016-08-09 00:00:00+00:00,0.021895529756171657,-0.01882307859606243,664038000.0,-0.12754691749568547
2017-01-01 00:00:00+00:00,0000863436,0000863436,21742000.0,2016-09-30,2016-11-09 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,20565000.0,0.05723316314125948,60734000.0,-1.179553462640366,574341000.0,2016-09-30,2016-11-09 00:00:00+00:00,0.03785555967622022,-0.01898697811927061,630191000.0,-0.08862392512746131
2017-04-01 00:00:00+00:00,0000863436,0000863436,18568000.0,2016-12-31,2017-03-01 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,39421000.0,-0.5289820146622359,60734000.0,-1.179553462640366,607507000.0,2016-12-31,2017-03-01 00:00:00+00:00,0.030564256872760313,-0.017950410447945455,625719000.0,-0.02910571678341234
2017-07-01 00:00:00+00:00,0000863436,0000863436,9687000.0,2017-03-31,2017-05-10 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,11052000.0,-0.12350705754614555,60734000.0,-1.179553462640366,566501000.0,2017-03-31,2017-05-10 00:00:00+00:00,0.017099705031412126,-0.019249745366733687,549225000.0,0.031455232372889164
2017-10-01 00:00:00+00:00,0000863436,0000863436,17176000.0,2017-06-30,2017-08-09 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,12685000.0,0.3540402049664959,60734000.0,-1.179553462640366,616904000.0,2017-06-30,2017-08-09 00:00:00+00:00,0.027842257466315665,-0.01767698053505894,579342000.0,0.06483562386293418
2018-01-01 00:00:00+00:00,0000863436,0000863436,17512000.0,2017-09-30,2017-11-09 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,21742000.0,-0.19455431882991447,60734000.0,-1.179553462640366,603550000.0,2017-09-30,2017-11-09 00:00:00+00:00,0.02901499461519344,-0.018068097092204458,574341000.0,0.05085654689461494
2018-04-01 00:00:00+00:00,0000863436,0000863436,-76340000.0,2017-12-31,2018-03-02 00:00:00+00:00,-10905000.0,2015-03-31,2015-05-09 00:00:00+00:00,18568000.0,-5.111374407582939,60734000.0,-1.179553462640366,679856000.0,2017-12-31,2018-03-02 00:00:00+00:00,-0.11228848462027252,-0.01604016144595326,607507000.0,0.11909163186597027
2018-07-01 00:00:00+00:00,0000863436,0000863436,-23641000.0,2018-03-31,2018-05-10 00:00:00+00:00,24530000.0,2018-03-31,2018-05-10 00:00:00+00:00,9687000.0,-3.440487250954888,,,608136000.0,2018-03-31,2018-05-10 00:00:00+00:00,-0.03887452806609048,0.040336372127287315,566501000.0,0.07349501589582363
2018-10-01 00:00:00+00:00,0000863436,0000863436,10943000.0,2018-06-30,2018-08-09 00:00:00+00:00,24530000.0,2018-03-31,2018-05-10 00:00:00+00:00,17176000.0,-0.3628900791802515,,,660591000.0,2018-06-30,2018-08-09 00:00:00+00:00,0.01656546940542635,0.03713341538107543,616904000.0,0.07081652898992385
2019-01-01 00:00:00+00:00,0000863436,0000863436,7799000.0,2018-09-30,2018-11-09 00:00:00+00:00,24530000.0,2018-03-31,2018-05-10 00:00:00+00:00,17512000.0,-0.5546482412060301,,,640688000.0,2018-09-30,2018-11-09 00:00:00+00:00,0.012172851684439228,0.03828696651100067,603550000.0,0.06153259879048956
2019-04-01 00:00:00+00:00,0000863436,0000863436,27716000.0,2018-12-31,2019-03-01 00:00:00+00:00,24530000.0,2018-03-31,2018-05-10 00:00:00+00:00,-76340000.0,-1.3630599947602828,,,657050000.0,2018-12-31,2019-03-01 00:00:00+00:00,0.042182482307282554,0.037333536260558554,679856000.0,-0.03354533901296741
