,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2014-07-04,0.07346270918147922,0.10268936804232408,0.10670310887682173,0.3326625620244295,0.16120679386265385,0.22327545801229165,0.0
2014-07-11,0.07346270918147922,0.10268936804232408,0.10670310887682173,0.3326625620244295,0.16120679386265385,0.22327545801229165,0.0
2014-07-18,0.07346270918147922,0.10268936804232408,0.10670310887682173,0.3326625620244295,0.16120679386265385,0.22327545801229165,0.0
2014-07-25,0.06547380274048469,0.08907041006572552,0.10855892631841424,0.3696748030236904,0.14908595291568527,0.21813610493599994,0.0
2014-08-01,0.06547380274048469,0.08907041006572552,0.10855892631841424,0.3696748030236904,0.14908595291568527,0.21813610493599994,0.0
2014-08-08,0.06547380274048469,0.08907041006572552,0.10855892631841424,0.3696748030236904,0.14908595291568527,0.21813610493599994,0.0
2014-08-15,0.06547380274048469,0.08907041006572552,0.10855892631841424,0.3696748030236904,0.14908595291568527,0.21813610493599994,0.0
2014-08-22,0.06547380274048469,0.08907041006572552,0.10855892631841424,0.3696748030236904,0.14908595291568527,0.21813610493599994,0.0
2014-08-29,0.06310338220884879,0.1049470199255504,0.11769089735758041,0.36218099134039555,0.159783979893182,0.19229372927444296,0.0
2014-09-05,0.06310338220884879,0.1049470199255504,0.11769089735758041,0.36218099134039555,0.159783979893182,0.19229372927444296,0.0
2014-09-12,0.06310338220884879,0.1049470199255504,0.11769089735758041,0.36218099134039555,0.159783979893182,0.19229372927444296,0.0
2014-09-19,0.06310338220884879,0.1049470199255504,0.11769089735758041,0.36218099134039555,0.159783979893182,0.19229372927444296,0.0
2014-09-26,0.11377311982953706,0.10230852066834326,0.14199199742791593,0.3087609714016458,0.1516039634650871,0.18156142720747093,0.0
2014-10-03,0.11377311982953706,0.10230852066834326,0.14199199742791593,0.3087609714016458,0.1516039634650871,0.18156142720747093,0.0
2014-10-10,0.11377311982953706,0.10230852066834326,0.14199199742791593,0.3087609714016458,0.1516039634650871,0.18156142720747093,0.0
2014-10-17,0.11377311982953706,0.10230852066834326,0.14199199742791593,0.3087609714016458,0.1516039634650871,0.18156142720747093,0.0
2014-10-24,0.11377311982953706,0.10230852066834326,0.14199199742791593,0.3087609714016458,0.1516039634650871,0.18156142720747093,0.0
2014-10-31,0.18429834975141976,0.09801104371056839,0.19202936067383955,0.2364643820242497,0.13722870098722775,0.14915844901047862,0.002809713842216288
2014-11-07,0.18429834975141976,0.09801104371056839,0.19202936067383955,0.2364643820242497,0.13722870098722775,0.14915844901047862,0.002809713842216288
