,state_text,bucket,production_weight,phasen_weight,phaseo_weight,abstain_weight,trust_score,abstention_score,phaseo_prob,phasen_prob,model_uncertainty,margin_confidence,risk_guard,gate_entropy,selected_expert
2023-04-07,recovery_fragile,abstention_softmax,0.2489714231174089,0.19259229743549425,0.1966239841764542,0.3618122952706426,0.2929201328942013,0.3618122952706426,0.27992924060349433,0.2359222414024422,0.5310321980811404,0.4363484198648577,0.1934195325649224,0.7391529771996522,abstain
2023-04-14,recovery_fragile,abstention_softmax,0.2276531973928068,0.27485423328272296,0.27581039445272504,0.2216821748717452,0.4132375110940865,0.2216821748717452,0.7743417261813175,0.7796132751139876,0.5244301623314424,0.3888653696352157,0.1854914141716878,0.8879730711000521,phaseo
2023-04-21,neutral_mixed,abstention_softmax,0.26322444335343465,0.20467602721865608,0.20747377422388244,0.32462575520402676,0.3098117878332105,0.32462575520402676,0.28824899239019136,0.24477327643367844,0.5490663867070349,0.7057471264367816,0.125,0.8822027118990866,abstain
2023-04-28,neutral_mixed,abstention_softmax,0.2675887311545051,0.1890032814010963,0.1855871779134959,0.3578208095309027,0.28008881861404405,0.3578208095309027,0.14088743196568582,0.1339337800515449,0.5182510288830181,0.7057471264367816,0.125,0.8033621077337061,abstain
2023-05-05,calm_trend,abstention_softmax,0.23260951144796568,0.1947410382637218,0.1946821209802436,0.377967329308069,0.2920526401121045,0.377967329308069,0.3678419202627127,0.3437413811243444,0.5513124869576655,0.3390804597701149,0.125,0.9560313052897855,abstain
2023-05-12,calm_trend,abstention_softmax,0.24806283199670803,0.2010850137623336,0.19348274575361393,0.3573694084873444,0.29402525263478074,0.3573694084873444,0.28510228478545835,0.30816163765284277,0.5477248019434959,0.542528735632184,0.125,0.9611041203143476,abstain
2023-05-19,calm_trend,abstention_softmax,0.23387196392935192,0.16876012609669483,0.16434757366560146,0.4330203363083518,0.24872763671394887,0.4330203363083518,0.16827276732867572,0.17410993015775758,0.5626805658009475,0.3977011494252873,0.125,0.9656200925932161,abstain
2023-05-26,calm_trend,abstention_softmax,0.25486763227941817,0.22707455393191617,0.2209565306322748,0.2971012831563908,0.3344938075982329,0.2971012831563908,0.3508704998856744,0.38475985697362397,0.4932699569858315,0.5367816091954022,0.0,0.7138639512989267,abstain
2023-06-02,neutral_mixed,abstention_softmax,0.25143985052938267,0.19142495354135172,0.18617893938819607,0.37095625654106956,0.2818914161588719,0.37095625654106956,0.1948834754135451,0.21627384714360523,0.5101826954603743,0.464367816091954,0.1,0.7254401823942277,abstain
2023-06-09,calm_trend,abstention_softmax,0.24883740685299804,0.20276778122113825,0.193879447913161,0.35451536401270267,0.2952633385237301,0.35451536401270267,0.24581088359424483,0.297492689458193,0.4984543768033898,0.4080459770114942,0.0,0.7422675167290822,abstain
2023-06-16,calm_trend,abstention_softmax,0.24095622393791738,0.1874226865673222,0.18054750673650244,0.391073582758258,0.27425885002016354,0.391073582758258,0.2110970897085903,0.24789131380022378,0.5331255594813258,0.4080459770114942,0.0,0.8709862613186721,abstain
2023-06-23,calm_trend,abstention_softmax,0.25191439816831473,0.19574595866677444,0.18897506154093477,0.3633645816239761,0.286848040874322,0.3633645816239761,0.19435726915659465,0.22294680316173981,0.5561530552947516,0.6160919540229884,0.0,0.8660041395535215,abstain
2023-06-30,calm_trend,abstention_softmax,0.25223071817916815,0.2055074361173904,0.19760423420990358,0.3446576114935379,0.3003579522685988,0.3446576114935379,0.2475839330468829,0.28059030480528174,0.5565428648488631,0.6160919540229884,0.0,0.8653732290935475,abstain
2023-07-07,calm_trend,abstention_softmax,0.2601734377440925,0.20484310439810824,0.19074025520085533,0.34424320265694386,0.29316180739990944,0.34424320265694386,0.1764269702591527,0.2509208458147612,0.5378920152281591,0.6402298850574712,0.0,0.8540191966004306,abstain
2023-07-14,calm_trend,abstention_softmax,0.24791178453155427,0.21595867331772314,0.21141710043628772,0.3247124417144349,0.3193964370951493,0.3247124417144349,0.34042955314579865,0.3587842674441611,0.5585433296886311,0.5954022988505747,0.0,0.8754068656972902,abstain
2023-07-21,calm_trend,abstention_softmax,0.24308402422948244,0.231841145333191,0.23514667121851965,0.28992815921880694,0.3510672438851151,0.28992815921880694,0.4802238392721232,0.4613714591343045,0.5601364442446911,0.5678160919540229,0.0,0.8645538856165563,abstain
2023-07-28,calm_trend,abstention_softmax,0.2483704790934034,0.21100552153961366,0.21245507194855504,0.3281689274184278,0.31795783271836187,0.3281689274184278,0.3473885386588041,0.32644878446799486,0.5849253916062913,0.6160919540229884,0.0,0.8526934043752884,abstain
2023-08-04,calm_trend,abstention_softmax,0.2424671448977308,0.2125455755748316,0.2097463192559856,0.335240960271452,0.3160191070434014,0.335240960271452,0.3574912924651435,0.36678480891887033,0.5704555846289733,0.5471264367816091,0.0,0.8857131573272538,abstain
2023-08-11,calm_trend,abstention_softmax,0.2357661938868374,0.26340172075961926,0.26600471741529674,0.2348273679382466,0.3977055777951064,0.2348273679382466,0.6502772835980288,0.6522501089172212,0.5262888749607469,0.4747126436781608,0.0,0.765609228718102,phaseo
2023-08-18,calm_trend,abstention_softmax,0.23268609274651114,0.2923452079684533,0.28482678281167917,0.19014191647335632,0.4309993867959058,0.19014191647335632,0.7451783101587066,0.8032029339458204,0.4825389802484889,0.3563218390804598,0.0,0.6757744678964762,phasen
2023-08-25,calm_trend,abstention_softmax,0.242311229235706,0.306631712485393,0.30307490767894135,0.14798215059995964,0.45639076392163785,0.14798215059995964,0.7299916455289805,0.7582145032556495,0.5283518066750514,0.7494252873563217,0.0305681113131486,0.7727154787072235,phasen
2023-09-01,calm_trend,abstention_softmax,0.23059088874561945,0.3135041751938044,0.309571720713269,0.1463332153473071,0.4663238083101712,0.1463332153473071,0.835030918771312,0.8757306597271175,0.4974414861096068,0.5126436781609195,0.0,0.7460847067698878,phasen
2023-09-08,calm_trend,abstention_softmax,0.2289023302692931,0.2944248049044565,0.296306324299494,0.18036654052675646,0.4435187267517222,0.18036654052675646,0.7962491396942887,0.808729126600735,0.5240382343198883,0.5126436781609195,0.0,0.8097469292882061,phaseo
2023-09-15,calm_trend,abstention_softmax,0.23178422785217584,0.28067713387571624,0.2830679881586422,0.2044706501134657,0.4234065550965003,0.2044706501134657,0.7442662685599376,0.7448545632913396,0.5414508452576017,0.5367816091954022,0.0,0.8516997915912833,phaseo
2023-09-22,neutral_mixed,abstention_softmax,0.26113350448944256,0.25055182737887904,0.2536675290954278,0.2346471390362505,0.3789434427848673,0.2346471390362505,0.5402730973297941,0.5209081621720165,0.499206860030269,0.6630478716685613,0.3545787545787545,0.824260839914654,production
2023-09-29,neutral_mixed,abstention_softmax,0.2449246339138296,0.25309873402460853,0.26212888932011524,0.23984774274144666,0.3886782563324195,0.23984774274144666,0.6331635789739413,0.5964609209715556,0.4851008601228405,0.4449136352153593,0.3545787545787545,0.7838808307875725,phaseo
2023-10-06,neutral_mixed,abstention_softmax,0.242986567953489,0.2599270330821345,0.2673490400849732,0.2297373588794034,0.3973125566260404,0.2297373588794034,0.6704385701456543,0.6438196424756599,0.4810953813019591,0.3966377731463938,0.3545787545787545,0.7172289497318366,phaseo
2023-10-13,neutral_mixed,abstention_softmax,0.24995441534016932,0.25461787990264045,0.2566427695184329,0.23878493523875732,0.3839517094697531,0.23878493523875732,0.5878050688231952,0.585614764542992,0.486511518980378,0.517785303776683,0.35,0.7703420130739792,phaseo
2023-10-20,neutral_mixed,abstention_softmax,0.2570188911636083,0.20636348080643455,0.20080732298151655,0.3358103050484407,0.3039890633847338,0.3358103050484407,0.27850431262295566,0.3013644677433583,0.5304693372861573,0.5901990968801313,0.35,0.8529313510159697,abstain
