,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2007-08-10,0.05417391821676448,0.19793313286537378,0.21121077885403017,0.22739640192655416,0.10928576813727751,0.0,0.19999999999999984
2007-08-17,0.05417391821676448,0.19793313286537378,0.21121077885403017,0.22739640192655416,0.10928576813727751,0.0,0.19999999999999984
2007-08-24,0.05417391821676448,0.19793313286537378,0.21121077885403017,0.22739640192655416,0.10928576813727751,0.0,0.19999999999999984
2007-08-31,0.028522314271465333,0.08200098065104312,0.10101119220760633,0.11905799696367525,0.06940751590621004,0.0,0.5999999999999999
2007-09-07,0.028522314271465333,0.08200098065104312,0.10101119220760633,0.11905799696367525,0.06940751590621004,0.0,0.5999999999999999
2007-09-14,0.028522314271465333,0.08200098065104312,0.10101119220760633,0.11905799696367525,0.06940751590621004,0.0,0.5999999999999999
2007-09-21,0.028522314271465333,0.08200098065104312,0.10101119220760633,0.11905799696367525,0.06940751590621004,0.0,0.5999999999999999
2007-09-28,0.06780413908483914,0.14989123054245115,0.22029445015901641,0.2355061936208751,0.17599156798815152,0.12093759481174328,0.02957482379292342
2007-10-05,0.06780413908483914,0.14989123054245115,0.22029445015901641,0.2355061936208751,0.17599156798815152,0.12093759481174328,0.02957482379292342
2007-10-12,0.06780413908483914,0.14989123054245115,0.22029445015901641,0.2355061936208751,0.17599156798815152,0.12093759481174328,0.02957482379292342
2007-10-19,0.06780413908483914,0.14989123054245115,0.22029445015901641,0.2355061936208751,0.17599156798815152,0.12093759481174328,0.02957482379292342
2007-10-26,0.02765592121014229,0.05681429173364682,0.09377806221992578,0.11180904128560519,0.08003308983191104,0.029909593718768907,0.6
2007-11-02,0.02765592121014229,0.05681429173364682,0.09377806221992578,0.11180904128560519,0.08003308983191104,0.029909593718768907,0.6
2007-11-09,0.02765592121014229,0.05681429173364682,0.09377806221992578,0.11180904128560519,0.08003308983191104,0.029909593718768907,0.6
2007-11-16,0.02765592121014229,0.05681429173364682,0.09377806221992578,0.11180904128560519,0.08003308983191104,0.029909593718768907,0.6
2007-11-23,0.02765592121014229,0.05681429173364682,0.09377806221992578,0.11180904128560519,0.08003308983191104,0.029909593718768907,0.6
2007-11-30,0.0259924208455257,0.06512842333176785,0.09927293233977774,0.1269978946454096,0.06466257260625781,0.017945756231261344,0.6
2007-12-07,0.0259924208455257,0.06512842333176785,0.09927293233977774,0.1269978946454096,0.06466257260625781,0.017945756231261344,0.6
2007-12-14,0.0259924208455257,0.06512842333176785,0.09927293233977774,0.1269978946454096,0.06466257260625781,0.017945756231261344,0.6
2007-12-21,0.0259924208455257,0.06512842333176785,0.09927293233977774,0.1269978946454096,0.06466257260625781,0.017945756231261344,0.6
2007-12-28,0.05099660438322683,0.1431030290184951,0.21171407941153145,0.26457190118717455,0.10807947852205857,0.02153490747751361,0.19999999999999984
2008-01-04,0.05099660438322683,0.1431030290184951,0.21171407941153145,0.26457190118717455,0.10807947852205857,0.02153490747751361,0.19999999999999984
2008-01-11,0.05099660438322683,0.1431030290184951,0.21171407941153145,0.26457190118717455,0.10807947852205857,0.02153490747751361,0.19999999999999984
2008-01-18,0.05099660438322683,0.1431030290184951,0.21171407941153145,0.26457190118717455,0.10807947852205857,0.02153490747751361,0.19999999999999984
2008-01-25,0.02413744505621604,0.07236817164351651,0.1071448628200038,0.141580948843653,0.04830809939335663,0.006460472243254083,0.5999999999999999
2008-02-01,0.02413744505621604,0.07236817164351651,0.1071448628200038,0.141580948843653,0.04830809939335663,0.006460472243254083,0.5999999999999999
2008-02-08,0.02413744505621604,0.07236817164351651,0.1071448628200038,0.141580948843653,0.04830809939335663,0.006460472243254083,0.5999999999999999
2008-02-15,0.02413744505621604,0.07236817164351651,0.1071448628200038,0.141580948843653,0.04830809939335663,0.006460472243254083,0.5999999999999999
2008-02-22,0.02413744505621604,0.07236817164351651,0.1071448628200038,0.141580948843653,0.04830809939335663,0.006460472243254083,0.5999999999999999
2008-02-29,0.023141060092336616,0.07239489483250164,0.10745010989150204,0.148441547900917,0.0446961039367903,0.0038762833459524484,0.5999999999999999
2008-03-07,0.023141060092336616,0.07239489483250164,0.10745010989150204,0.148441547900917,0.0446961039367903,0.0038762833459524484,0.5999999999999999
2008-03-14,0.023141060092336616,0.07239489483250164,0.10745010989150204,0.148441547900917,0.0446961039367903,0.0038762833459524484,0.5999999999999999
2008-03-21,0.023141060092336616,0.07239489483250164,0.10745010989150204,0.148441547900917,0.0446961039367903,0.0038762833459524484,0.5999999999999999
2008-03-28,0.02245029337204268,0.07214961708455118,0.10701199355032705,0.15391481625677628,0.04214750972873138,0.002325770007571469,0.6
2008-04-04,0.02245029337204268,0.07214961708455118,0.10701199355032705,0.15391481625677628,0.04214750972873138,0.002325770007571469,0.6
2008-04-11,0.02245029337204268,0.07214961708455118,0.10701199355032705,0.15391481625677628,0.04214750972873138,0.002325770007571469,0.6
2008-04-18,0.02245029337204268,0.07214961708455118,0.10701199355032705,0.15391481625677628,0.04214750972873138,0.002325770007571469,0.6
2008-04-25,0.022112713254274545,0.07175272388576617,0.10679593193855286,0.15758885105870166,0.04035431785816194,0.0013954620045428816,0.5999999999999999
2008-05-02,0.022112713254274545,0.07175272388576617,0.10679593193855286,0.15758885105870166,0.04035431785816194,0.0013954620045428816,0.5999999999999999
2008-05-09,0.022112713254274545,0.07175272388576617,0.10679593193855286,0.15758885105870166,0.04035431785816194,0.0013954620045428816,0.5999999999999999
2008-05-16,0.022112713254274545,0.07175272388576617,0.10679593193855286,0.15758885105870166,0.04035431785816194,0.0013954620045428816,0.5999999999999999
2008-05-23,0.022112713254274545,0.07175272388576617,0.10679593193855286,0.15758885105870166,0.04035431785816194,0.0013954620045428816,0.5999999999999999
2008-05-30,0.04541185307836562,0.1480297451619505,0.2210639569316038,0.3068749745652744,0.0769449158573543,0.001674554405451458,0.19999999999999996
2008-06-06,0.04541185307836562,0.1480297451619505,0.2210639569316038,0.3068749745652744,0.0769449158573543,0.001674554405451458,0.19999999999999996
