,core,composite_structural_defense_sleeve
2008-05-23,0.9,0.1
2008-05-30,0.9,0.1
2008-06-06,0.9,0.1
2008-06-13,0.9,0.1
2008-06-20,0.9,0.1
2008-06-27,0.9,0.1
2008-07-04,0.9,0.1
2008-07-11,0.9,0.1
2008-07-18,0.9,0.1
2008-07-25,0.9,0.1
2008-08-01,0.9,0.1
2008-08-08,0.9,0.1
2008-08-15,0.9,0.1
2008-08-22,0.9,0.1
2008-08-29,0.9,0.1
2008-09-05,0.9,0.1
2008-09-12,0.9,0.1
2008-09-19,0.9,0.1
2008-09-26,0.9,0.1
2008-10-03,0.9,0.1
2008-10-10,0.9,0.1
2008-10-17,0.9,0.1
2008-10-24,0.9,0.1
2008-10-31,0.9,0.1
2008-11-07,0.9,0.1
2008-11-14,0.9,0.1
2008-11-21,0.9,0.1
2008-11-28,0.9,0.1
2008-12-05,0.9,0.1
2008-12-12,0.9,0.1
2008-12-19,0.9,0.1
2008-12-26,0.9,0.1
2009-01-02,0.9,0.1
2009-01-09,0.9,0.1
2009-01-16,0.9,0.1
2009-01-23,0.9,0.1
2009-01-30,0.9,0.1
2009-02-06,0.9,0.1
2009-02-13,0.9,0.1
2009-02-20,0.9,0.1
2009-02-27,0.9,0.1
2009-03-06,0.9,0.1
2009-03-13,0.9,0.1
2009-03-20,0.9,0.1
2009-03-27,0.9,0.1
2009-04-03,0.9,0.1
2009-04-10,0.9,0.1
2009-04-17,0.9,0.1
2009-04-24,0.9,0.1
2009-05-01,0.9,0.1
2009-05-08,0.9,0.1
2009-05-15,0.9,0.1
2009-05-22,0.9,0.1
2009-05-29,0.9,0.1
2009-06-05,0.9,0.1
2009-06-12,0.9,0.1
2009-06-19,0.9,0.1
2009-06-26,0.9,0.1
2009-07-03,0.9,0.1
2009-07-10,0.9074742860553848,0.09252571394461517
2009-07-17,0.9099855830981183,0.09001441690188172
2009-07-24,0.9015570398028474,0.09844296019715257
2009-07-31,0.9,0.1
2009-08-07,0.9,0.1
2009-08-14,0.9,0.1
2009-08-21,0.9,0.1
2009-08-28,0.9,0.1
2009-09-04,0.9,0.1
2009-09-11,0.9057152692441701,0.09428473075582983
2009-09-18,0.906726243680367,0.09327375631963299
2009-09-25,0.9004596092836641,0.09954039071633591
2009-10-02,0.9112376440088422,0.08876235599115781
2009-10-09,0.9,0.1
2009-10-16,0.9026916844623437,0.09730831553765629
2009-10-23,0.9,0.1
2009-10-30,0.9,0.1
2009-11-06,0.9,0.1
2009-11-13,0.9,0.1
2009-11-20,0.9,0.1
2009-11-27,0.9,0.1
2009-12-04,0.9,0.1
2009-12-11,0.9,0.1
2009-12-18,0.9,0.1
2009-12-25,0.9,0.1
2010-01-01,0.9,0.1
2010-01-08,0.9997690056103236,0.00023099438967644003
2010-01-15,0.999807913045132,0.00019208695486802
2010-01-22,0.9997498104704541,0.00025018952954589997
2010-01-29,0.9983513040994474,0.00164869590055266
2010-02-05,0.9994691208414739,0.00053087915852616
2010-02-12,0.9984111419010707,0.0015888580989293199
2010-02-19,0.9961491178090788,0.0038508821909212197
2010-02-26,0.9981052089216476,0.0018947910783524001
2010-03-05,0.9990157616509945,0.00098423834900556
2010-03-12,0.9991178412462918,0.0008821587537082801
2010-03-19,0.9996978225395924,0.00030217746040766
2010-03-26,0.9996918846085932,0.00030811539140684
2010-04-02,0.999776483286699,0.000223516713301
2010-04-09,0.999838998692587,0.00016100130741304
2010-04-16,0.9998134861353026,0.00018651386469742003
2010-04-23,0.9997562033404634,0.00024379665953657998
2010-04-30,0.9998227359646444,0.00017726403535556
2010-05-07,0.9997911286389609,0.00020887136103904
2010-05-14,0.9998781855701367,0.00012181442986324001
2010-05-21,0.9993068450774146,0.0006931549225853201
2010-05-28,0.9709842995785084,0.029015700421491604
2010-06-04,0.9675572886649852,0.032442711335014716
2010-06-11,0.9732473964086368,0.026752603591363278
2010-06-18,0.9757055935162953,0.024294406483704782
2010-06-25,0.9986673418527366,0.0013326581472633
2010-07-02,0.985372991574702,0.014627008425297919
2010-07-09,0.9855262648532273,0.01447373514677276
2010-07-16,0.9925949409378443,0.00740505906215576
2010-07-23,0.990211369981683,0.009788630018317021
2010-07-30,0.9988440063285148,0.00115599367148526
2010-08-06,0.9919755144906434,0.00802448550935668
2010-08-13,0.9993599888538703,0.00064001114612966
2010-08-20,0.9945857544007553,0.0054142455992447405
2010-08-27,0.9934377161943517,0.00656228380564826
2010-09-03,0.9949357424182927,0.0050642575817072405
2010-09-10,0.9997211862257254,0.00027881377427460004
2010-09-17,0.9999070957795668,9.290422043322001e-05
2010-09-24,0.9998952510087539,0.00010474899124614001
2010-10-01,0.9998869884369243,0.00011301156307569999
2010-10-08,0.9997517825512632,0.00024821744873684
2010-10-15,0.9999749831733062,2.501682669372e-05
2010-10-22,0.9998357814037067,0.00016421859629338
2010-10-29,0.9996696027912939,0.00033039720870608005
2010-11-05,0.9999393850498988,6.0614950101259995e-05
2010-11-12,0.9997545641102923,0.00024543588970776
2010-11-19,0.9999144584741092,8.554152589084e-05
2010-11-26,0.9996198625653216,0.00038013743467834
2010-12-03,0.9995901496456908,0.00040985035430916004
2010-12-10,0.9997297736683651,0.00027022633163486
2010-12-17,0.9997532843443344,0.00024671565566564
2010-12-24,0.999756336439011,0.00024366356098900002
2010-12-31,0.9999285930790822,7.140692091778e-05
2011-01-07,0.99990710766677,9.289233323000001e-05
2011-01-14,0.999914091037167,8.590896283304001e-05
2011-01-21,0.9998977036510538,0.0001022963489462
2011-01-28,0.9999130479064047,8.695209359536001e-05
2011-02-04,0.9997165414345033,0.0002834585654967
2011-02-11,0.9998187537883017,0.00018124621169840003
2011-02-18,0.9999394488079602,6.055119203990001e-05
2011-02-25,0.999879069244116,0.00012093075588408
2011-03-04,0.999907106400806,9.289359919398e-05
2011-03-11,0.999910117393691,8.988260630900001e-05
2011-03-18,0.9998326059821001,0.00016739401789994
2011-03-25,0.9998060967608777,0.00019390323912226001
2011-04-01,0.9999094773447317,9.052265526830001e-05
2011-04-08,0.9998948157974588,0.00010518420254122
2011-04-15,0.9999113852635997,8.861473640028e-05
2011-04-22,0.9998889680843477,0.00011103191565228
2011-04-29,0.999968659524426,3.1340475574e-05
2011-05-06,0.9999639466405811,3.605335941894e-05
2011-05-13,0.9998699612332151,0.00013003876678488
2011-05-20,0.9997739966954172,0.00022600330458278002
2011-05-27,0.9998412161742177,0.00015878382578222002
2011-06-03,0.9998842312138612,0.00011576878613888001
2011-06-10,0.9997027099504415,0.00029729004955842005
2011-06-17,0.9997159352340945,0.00028406476590546
2011-06-24,0.9998547827938596,0.00014521720614036
2011-07-01,0.998752552206218,0.00124744779378202
2011-07-08,0.9998884660116757,0.00011153398832434
2011-07-15,0.9998179547575109,0.00018204524248912002
2011-07-22,0.9999337634817257,6.623651827436e-05
2011-07-29,0.9998844758483291,0.00011552415167098
2011-08-05,0.9993608367061467,0.0006391632938532601
2011-08-12,0.991282374443549,0.00871762555645096
2011-08-19,0.9,0.1
2011-08-26,0.9,0.1
2011-09-02,0.9,0.1
2011-09-09,0.9,0.1
2011-09-16,0.9,0.1
2011-09-23,0.9980698689340476,0.0019301310659524602
2011-09-30,0.9,0.1
2011-10-07,0.9,0.1
2011-10-14,0.9,0.1
2011-10-21,0.9,0.1
2011-10-28,0.9,0.1
2011-11-04,0.9741187053834448,0.02588129461655524
2011-11-11,0.9772537922544475,0.022746207745552444
2011-11-18,0.9852492386858589,0.014750761314141082
2011-11-25,0.9991882310425763,0.00081176895742378
2011-12-02,0.9,0.1
2011-12-09,0.9993206045776813,0.0006793954223186401
2011-12-16,0.9998698806590366,0.00013011934096338
2011-12-23,0.9987999883531243,0.00120001164687572
2011-12-30,0.9999583554634205,4.164453657952e-05
2012-01-06,0.9985691042365968,0.00143089576340314
2012-01-13,0.9983912441411443,0.0016087558588557
2012-01-20,0.9983275860211902,0.0016724139788098
2012-01-27,0.9989754433247336,0.00102455667526632
2012-02-03,0.9993776235777986,0.0006223764222014
2012-02-10,0.9992292114846189,0.0007707885153811
2012-02-17,0.9992183591944185,0.0007816408055815601
2012-02-24,0.9990174891936755,0.00098251080632454
2012-03-02,0.9994679376236918,0.0005320623763082
2012-03-09,0.9928322447423554,0.007167755257644581
2012-03-16,0.9959110524534505,0.0040889475465495
2012-03-23,0.9955420499804958,0.004457950019504261
2012-03-30,0.9941447860195647,0.00585521398043536
2012-04-06,0.993807164160885,0.00619283583911506
2012-04-13,0.994311286686299,0.00568871331370098
2012-04-20,0.9942989228553631,0.00570107714463686
2012-04-27,0.993610914340214,0.00638908565978604
2012-05-04,0.9980762307602716,0.0019237692397284002
2012-05-11,0.9822798091677182,0.01772019083228178
2012-05-18,0.9972919492931083,0.00270805070689172
2012-05-25,0.9887832700811596,0.01121672991884034
2012-06-01,0.9858746635350382,0.014125336464961821
2012-06-08,0.9841201849116149,0.01587981508838506
2012-06-15,0.9928909027821793,0.007109097217820721
2012-06-22,0.992484297644927,0.0075157023550730204
2012-06-29,0.9928075299008123,0.00719247009918762
2012-07-06,0.9956906088217068,0.004309391178293181
2012-07-13,0.9953872308010614,0.00461276919893864
2012-07-20,0.9969749320094353,0.00302506799056468
2012-07-27,0.9968382414886853,0.0031617585113147004
2012-08-03,0.9973236314768344,0.0026763685231655805
2012-08-10,0.9980299296871705,0.0019700703128295
2012-08-17,0.9997629207560378,0.00023707924396218
2012-08-24,0.99951947237029,0.00048052762970996003
2012-08-31,0.9995305826816039,0.00046941731839606
2012-09-07,0.9994443815420266,0.0005556184579733799
2012-09-14,0.9989621944195072,0.0010378055804928
2012-09-21,0.998735945424981,0.00126405457501898
2012-09-28,0.9986141426797536,0.0013858573202464401
2012-10-05,0.9988774811428746,0.0011225188571254402
2012-10-12,0.9975625204697917,0.00243747953020832
2012-10-19,0.9967499003755153,0.00325009962448478
2012-10-26,0.9979162517523325,0.0020837482476675404
2012-11-02,0.9985961879753905,0.0014038120246095001
2012-11-09,0.990585477098182,0.009414522901818021
2012-11-16,0.992445191616817,0.007554808383182981
2012-11-23,0.9,0.1
2012-11-30,0.9778812522436162,0.022118747756383762
2012-12-07,0.9865654256477239,0.01343457435227616
2012-12-14,0.9814995647473467,0.018500435252653363
2012-12-21,0.9882399720552112,0.01176002794478884
2012-12-28,0.9946166824753391,0.00538331752466094
2013-01-04,0.9925400758313685,0.00745992416863146
2013-01-11,0.9946928481785817,0.00530715182141832
2013-01-18,0.9932566609112377,0.0067433390887624
2013-01-25,0.9934667969643013,0.006533203035698661
2013-02-01,0.9945296415563899,0.005470358443610101
2013-02-08,0.9958057653241636,0.00419423467583634
2013-02-15,0.9958637348640367,0.0041362651359633405
2013-02-22,0.9952366157814487,0.004763384218551301
2013-03-01,0.9961682637875808,0.0038317362124191804
2013-03-08,0.9961145416787347,0.0038854583212652805
2013-03-15,0.9974819100475676,0.0025180899524324
2013-03-22,0.9938278815814572,0.00617211841854276
2013-03-29,0.9965873537079322,0.0034126462920678197
2013-04-05,0.9965800350263317,0.00341996497366822
2013-04-12,0.9971692803382368,0.00283071966176316
2013-04-19,0.9968562906677724,0.0031437093322275803
2013-04-26,0.9969015719187256,0.00309842808127434
2013-05-03,0.9984740834970903,0.0015259165029097002
2013-05-10,0.9961173407747995,0.0038826592252005003
2013-05-17,0.9982528703501148,0.0017471296498852
2013-05-24,0.9978221777224202,0.00217782227757978
2013-05-31,0.9979453342753865,0.0020546657246135604
2013-06-07,0.995653166797903,0.00434683320209698
2013-06-14,0.9963643251723804,0.0036356748276196
2013-06-21,0.9936716963307359,0.00632830366926406
2013-06-28,0.9913168185912111,0.008683181408788921
2013-07-05,0.9975763933781914,0.00242360662180866
2013-07-12,0.9987711455419264,0.0012288544580736202
2013-07-19,0.9972096069798455,0.0027903930201545
2013-07-26,0.999289748246282,0.00071025175371794
2013-08-02,0.9983404498919913,0.0016595501080086802
2013-08-09,0.9981629336567627,0.00183706634323732
2013-08-16,0.9982769211941588,0.0017230788058412003
2013-08-23,0.9978145230250638,0.0021854769749362203
2013-08-30,0.9987397861733018,0.00126021382669818
2013-09-06,0.9990161151508378,0.00098388484916218
2013-09-13,0.9991787567792983,0.0008212432207016801
2013-09-20,0.9995087591346042,0.00049124086539572
2013-09-27,0.9995484439317812,0.0004515560682188
2013-10-04,0.9996874137786863,0.00031258622131374
2013-10-11,0.999783278478422,0.00021672152157802
2013-10-18,0.9994483922312742,0.00055160776872574
2013-10-25,0.999138985132643,0.0008610148673569801
2013-11-01,0.9996182962068801,0.00038170379311984004
2013-11-08,0.9996332188560968,0.0003667811439032
2013-11-15,0.9991459257510952,0.00085407424890478
2013-11-22,0.9992462170964853,0.00075378290351472
2013-11-29,0.9991236091732038,0.0008763908267962801
2013-12-06,0.9989566886036462,0.0010433113963537802
2013-12-13,0.9995560488186904,0.00044395118130954
2013-12-20,0.9990716354218637,0.0009283645781363201
2013-12-27,0.9987138184001472,0.0012861815998528002
2014-01-03,0.9985672882355582,0.0014327117644418001
2014-01-10,0.9989229269023114,0.00107707309768858
2014-01-17,0.999098212379917,0.00090178762008296
2014-01-24,0.9987003880768036,0.00129961192319638
2014-01-31,0.99704395087872,0.0029560491212800005
2014-02-07,0.9972547732413022,0.00274522675869784
2014-02-14,0.9988608285732704,0.0011391714267296
2014-02-21,0.9993776712262312,0.0006223287737688
2014-02-28,0.9994109373458843,0.00058906265411572
2014-03-07,0.9989951140034434,0.0010048859965565199
2014-03-14,0.9988742526508989,0.00112574734910112
2014-03-21,0.9989035801801669,0.00109641981983314
2014-03-28,0.9,0.1
2014-04-04,0.9870281531575674,0.012971846842432562
2014-04-11,0.9920751660762437,0.00792483392375632
2014-04-18,0.9976064859391993,0.0023935140608006603
2014-04-25,0.9,0.1
2014-05-02,0.9990143644015471,0.00098563559845286
2014-05-09,0.993132424232805,0.006867575767195041
2014-05-16,0.9902726334967653,0.00972736650323472
2014-05-23,0.9837072627094867,0.01629273729051326
2014-05-30,0.9781682740739716,0.021831725926028403
2014-06-06,0.9687983829058996,0.0312016170941004
2014-06-13,0.9781765050485081,0.02182349495149196
2014-06-20,0.9767670012897649,0.023232998710235042
2014-06-27,0.9699536294629136,0.03004637053708638
2014-07-04,0.9687208957217124,0.0312791042782876
2014-07-11,0.9662369657727586,0.033763034227241404
2014-07-18,0.9766444547561524,0.023355545243847642
2014-07-25,0.9752310897422526,0.024768910257747422
2014-08-01,0.9744916984908918,0.025508301509108225
2014-08-08,0.9423788262396177,0.05762117376038239
2014-08-15,0.9552951265722541,0.044704873427745824
2014-08-22,0.9717518043932374,0.028248195606762602
2014-08-29,0.955494570699934,0.04450542930006592
2014-09-05,0.967242503701078,0.03275749629892198
2014-09-12,0.9626323395211862,0.03736766047881374
2014-09-19,0.970009311234894,0.02999068876510598
2014-09-26,0.936373251061175,0.063626748938825
2014-10-03,0.9290881619927819,0.07091183800721815
2014-10-10,0.9252146639995397,0.07478533600046032
2014-10-17,0.9144306891124845,0.08556931088751552
2014-10-24,0.9,0.1
2014-10-31,0.9,0.1
2014-11-07,0.9964037635257943,0.00359623647420566
2014-11-14,0.9956884944126781,0.00431150558732182
2014-11-21,0.9920779999683312,0.00792200003166872
2014-11-28,0.9911095429507102,0.00889045704928976
2014-12-05,0.948525081264392,0.05147491873560803
2014-12-12,0.9488701851163692,0.051129814883630775
2014-12-19,0.9511872582905821,0.048812741709417864
2014-12-26,0.9,0.1
2015-01-02,0.9287722524234618,0.07122774757653813
2015-01-09,0.9247470845550326,0.07525291544496739
2015-01-16,0.9723973003524659,0.027602699647534142
2015-01-23,0.9,0.1
2015-01-30,0.9,0.1
2015-02-06,0.9779016290882223,0.022098370911777722
2015-02-13,0.9,0.1
2015-02-20,0.9924032930876934,0.00759670691230666
2015-02-27,0.9871394859026411,0.01286051409735886
2015-03-06,0.9927589313622827,0.00724106863771738
2015-03-13,0.9589657916512329,0.041034208348767164
2015-03-20,0.9710185540103474,0.028981445989652584
2015-03-27,0.9638444295573602,0.036155570442639805
2015-04-03,0.976157498104101,0.023842501895899024
2015-04-10,0.9917585630154607,0.00824143698453926
2015-04-17,0.9920872810536456,0.00791271894635434
2015-04-24,0.9920430313894811,0.0079569686105189
2015-05-01,0.9920792096701888,0.00792079032981116
2015-05-08,0.9573178411256629,0.04268215887433714
2015-05-15,0.939463949579319,0.060536050420681047
2015-05-22,0.9461006758154642,0.05389932418453576
2015-05-29,0.9273888799113783,0.07261112008862167
2015-06-05,0.9199132351275932,0.08008676487240679
2015-06-12,0.9449454561697115,0.05505454383028846
2015-06-19,0.9532881794092893,0.046711820590710704
2015-06-26,0.9614422700304217,0.03855772996957835
2015-07-03,0.9502751753854612,0.04972482461453876
2015-07-10,0.9447000645735104,0.0552999354264896
2015-07-17,0.9,0.1
2015-07-24,0.9,0.1
2015-07-31,0.9,0.1
2015-08-07,0.9,0.1
2015-08-14,0.9,0.1
2015-08-21,0.9,0.1
2015-08-28,0.9,0.1
2015-09-04,0.9,0.1
2015-09-11,0.9,0.1
2015-09-18,0.9,0.1
2015-09-25,0.9,0.1
2015-10-02,0.9,0.1
2015-10-09,0.9,0.1
2015-10-16,0.9,0.1
2015-10-23,0.9524487119629613,0.04755128803703865
2015-10-30,0.9412116291479109,0.058788370852089156
2015-11-06,0.9589840721696119,0.04101592783038814
2015-11-13,0.928174746587731,0.071825253412269
2015-11-20,0.9254774577016485,0.07452254229835148
2015-11-27,0.9,0.1
2015-12-04,0.9606152581768329,0.03938474182316706
2015-12-11,0.967374894876249,0.03262510512375106
2015-12-18,0.9793341158319301,0.020665884168069942
2015-12-25,0.9,0.1
2016-01-01,0.9,0.1
2016-01-08,0.9429517059343644,0.05704829406563564
2016-01-15,0.9,0.1
2016-01-22,0.9,0.1
2016-01-29,0.9,0.1
2016-02-05,0.9,0.1
2016-02-12,0.9,0.1
2016-02-19,0.9,0.1
2016-02-26,0.9,0.1
2016-03-04,0.9,0.1
2016-03-11,0.9,0.1
2016-03-18,0.9,0.1
2016-03-25,0.9016719503045649,0.09832804969543509
2016-04-01,0.9109675411823883,0.08903245881761164
2016-04-08,0.9944745868230779,0.00552541317692214
2016-04-15,0.9774564744707005,0.02254352552929948
2016-04-22,0.9789296161407339,0.021070383859266042
2016-04-29,0.9909207384549833,0.00907926154501674
2016-05-06,0.9975132312434004,0.00248676875659964
2016-05-13,0.9648199418787375,0.035180058121262424
2016-05-20,0.9643997970855113,0.03560020291448876
2016-05-27,0.9430644261155503,0.056935573884449725
2016-06-03,0.9685719452177781,0.03142805478222186
2016-06-10,0.9996269763459322,0.00037302365406776
2016-06-17,0.9990777075456893,0.0009222924543107599
2016-06-24,0.9979230993069484,0.0020769006930516
2016-07-01,0.9306342667310654,0.06936573326893454
2016-07-08,0.9650501786748492,0.03494982132515082
2016-07-15,0.9601921555852824,0.03980784441471766
2016-07-22,0.988382065307233,0.01161793469276698
2016-07-29,0.9729633883939534,0.027036611606046663
2016-08-05,0.9716030455043734,0.028396954495626597
2016-08-12,0.9861030884863679,0.01389691151363218
2016-08-19,0.9665428224875867,0.03345717751241324
2016-08-26,0.975104965988719,0.024895034011281042
2016-09-02,0.9755016684599297,0.02449833154007032
2016-09-09,0.9556136466734786,0.04438635332652136
2016-09-16,0.9661614101914797,0.03383858980852032
2016-09-23,0.9933295630864004,0.0066704369135996205
2016-09-30,0.9949310946264416,0.005068905373558401
2016-10-07,0.9902698862234369,0.00973011377656312
2016-10-14,0.9898751363428688,0.01012486365713114
2016-10-21,0.9874695202215698,0.01253047977843022
2016-10-28,0.9918908547987882,0.00810914520121178
2016-11-04,0.9918504367159012,0.00814956328409872
2016-11-11,0.9647414581634858,0.035258541836514265
2016-11-18,0.9682608382787251,0.03173916172127486
2016-11-25,0.9519932308040144,0.04800676919598554
2016-12-02,0.9808667780241982,0.019133221975801803
2016-12-09,0.9764722796702059,0.023527720329794083
2016-12-16,0.9803020517279044,0.01969794827209564
2016-12-23,0.9901652280445041,0.009834771955495921
2016-12-30,0.9791673431452822,0.020832656854717843
2017-01-06,0.9947220544702371,0.00527794552976286
2017-01-13,0.9914530138976779,0.00854698610232206
2017-01-20,0.9939356924114131,0.00606430758858686
2017-01-27,0.995556395792763,0.00444360420723704
2017-02-03,0.9900540547451221,0.00994594525487796
2017-02-10,0.9931087475826634,0.00689125241733658
2017-02-17,0.9935427286597834,0.00645727134021656
2017-02-24,0.9947798620597883,0.005220137940211721
2017-03-03,0.995441088766522,0.0045589112334779806
2017-03-10,0.9952057803559138,0.00479421964408618
2017-03-17,0.9877667139424458,0.01223328605755424
2017-03-24,0.983220616842579,0.01677938315742098
2017-03-31,0.9879398005425205,0.01206019945747948
2017-04-07,0.9946991924938496,0.005300807506150321
2017-04-14,0.9956151545614539,0.0043848454385461205
2017-04-21,0.9965257638104321,0.0034742361895678804
2017-04-28,0.9934027641293355,0.00659723587066454
2017-05-05,0.9929184825777244,0.007081517422275561
2017-05-12,0.9876969316283792,0.0123030683716208
2017-05-19,0.9766091471664591,0.02339085283354092
2017-05-26,0.9882977234912298,0.01170227650877016
2017-06-02,0.9864273357766172,0.013572664223382762
2017-06-09,0.9936338851610484,0.006366114838951501
2017-06-16,0.9959032576856087,0.00409674231439128
2017-06-23,0.9936113544863083,0.0063886455136917195
2017-06-30,0.9945354397095344,0.0054645602904656405
2017-07-07,0.995545378322037,0.004454621677962941
2017-07-14,0.9952638573515034,0.0047361426484966804
2017-07-21,0.9915122204684612,0.00848777953153876
2017-07-28,0.9949939192990389,0.00500608070096114
2017-08-04,0.9951178943089417,0.00488210569105834
2017-08-11,0.996286057763819,0.0037139422361810804
2017-08-18,0.9968997581327811,0.00310024186721886
2017-08-25,0.9943797314970633,0.00562026850293676
2017-09-01,0.9955966728258494,0.00440332717415062
2017-09-08,0.9956612171759966,0.0043387828240033606
2017-09-15,0.9959630729394365,0.004036927060563421
2017-09-22,0.9958295050645543,0.00417049493544572
2017-09-29,0.9949877028406653,0.00501229715933468
2017-10-06,0.9948392018117992,0.005160798188200861
2017-10-13,0.9956097445115724,0.0043902554884276005
2017-10-20,0.9947861704400237,0.00521382955997626
2017-10-27,0.993879538636055,0.0061204613639449
2017-11-03,0.9909511966133995,0.00904880338660056
2017-11-10,0.9911770346258133,0.008822965374186741
2017-11-17,0.9940416456259067,0.0059583543740933005
2017-11-24,0.9948584055350527,0.0051415944649473005
2017-12-01,0.9928095374083095,0.00719046259169054
2017-12-08,0.9923204963322492,0.007679503667750821
2017-12-15,0.9838727076850643,0.016127292314935742
