,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2020-12-11,0.10820305792433915,0.08400125315511628,0.18532278322553936,0.3806293014855407,0.1618436042094646,0.07999999999999985
2020-12-18,0.10820305792433915,0.08400125315511628,0.18532278322553936,0.3806293014855407,0.1618436042094646,0.07999999999999985
2020-12-25,0.10966587367232634,0.08423803890628932,0.18432947433250513,0.3805668702641063,0.16119974282477295,0.08000000000000007
2021-01-01,0.10966587367232634,0.08423803890628932,0.18432947433250513,0.3805668702641063,0.16119974282477295,0.08000000000000007
2021-01-08,0.10966587367232634,0.08423803890628932,0.18432947433250513,0.3805668702641063,0.16119974282477295,0.08000000000000007
2021-01-15,0.10966587367232634,0.08423803890628932,0.18432947433250513,0.3805668702641063,0.16119974282477295,0.08000000000000007
2021-01-22,0.10966587367232634,0.08423803890628932,0.18432947433250513,0.3805668702641063,0.16119974282477295,0.08000000000000007
2021-01-29,0.10848439268274866,0.08096725224278553,0.1783105671983773,0.4025040378575608,0.16973375001852772,0.05999999999999994
2021-02-05,0.10848439268274866,0.08096725224278553,0.1783105671983773,0.4025040378575608,0.16973375001852772,0.05999999999999994
2021-02-12,0.10848439268274866,0.08096725224278553,0.1783105671983773,0.4025040378575608,0.16973375001852772,0.05999999999999994
2021-02-19,0.10848439268274866,0.08096725224278553,0.1783105671983773,0.4025040378575608,0.16973375001852772,0.05999999999999994
2021-02-26,0.10676231493208892,0.07789498865860688,0.1721568787042211,0.41070242271453655,0.17248339499054663,0.05999999999999983
2021-03-05,0.10676231493208892,0.07789498865860688,0.1721568787042211,0.41070242271453655,0.17248339499054663,0.05999999999999983
2021-03-12,0.10676231493208892,0.07789498865860688,0.1721568787042211,0.41070242271453655,0.17248339499054663,0.05999999999999983
2021-03-19,0.10676231493208892,0.07789498865860688,0.1721568787042211,0.41070242271453655,0.17248339499054663,0.05999999999999983
2021-03-26,0.24568666137023598,0.08902655399847068,0.19844064818924265,0.3717000502923857,0.09514608614966506,0.0
2021-04-02,0.24568666137023598,0.08902655399847068,0.19844064818924265,0.3717000502923857,0.09514608614966506,0.0
2021-04-09,0.24568666137023598,0.08902655399847068,0.19844064818924265,0.3717000502923857,0.09514608614966506,0.0
2021-04-16,0.24568666137023598,0.08902655399847068,0.19844064818924265,0.3717000502923857,0.09514608614966506,0.0
2021-04-23,0.24568666137023598,0.08902655399847068,0.19844064818924265,0.3717000502923857,0.09514608614966506,0.0
2021-04-30,0.24498486517945328,0.08915578130957907,0.19879070976278088,0.371714707717543,0.0953539360306438,0.0
2021-05-07,0.24498486517945328,0.08915578130957907,0.19879070976278088,0.371714707717543,0.0953539360306438,0.0
2021-05-14,0.24498486517945328,0.08915578130957907,0.19879070976278088,0.371714707717543,0.0953539360306438,0.0
2021-05-21,0.24498486517945328,0.08915578130957907,0.19879070976278088,0.371714707717543,0.0953539360306438,0.0
2021-05-28,0.2421267532041101,0.0890608823497057,0.20166763877431684,0.3717366687381474,0.09540805693371988,0.0
2021-06-04,0.2421267532041101,0.0890608823497057,0.20166763877431684,0.3717366687381474,0.09540805693371988,0.0
2021-06-11,0.2421267532041101,0.0890608823497057,0.20166763877431684,0.3717366687381474,0.09540805693371988,0.0
2021-06-18,0.2421267532041101,0.0890608823497057,0.20166763877431684,0.3717366687381474,0.09540805693371988,0.0
2021-06-25,0.2413130624238558,0.08786451183144109,0.20423064406530522,0.37172134699602366,0.09487043468337428,0.0
2021-07-02,0.2413130624238558,0.08786451183144109,0.20423064406530522,0.37172134699602366,0.09487043468337428,0.0
2021-07-09,0.2413130624238558,0.08786451183144109,0.20423064406530522,0.37172134699602366,0.09487043468337428,0.0
2021-07-16,0.2413130624238558,0.08786451183144109,0.20423064406530522,0.37172134699602366,0.09487043468337428,0.0
