,dual_momentum_topn,cta_trend_long_only,composite_equal_weight,composite_regime_conditioned,taa_10m_sma,composite_breadth_filtered,cash::BIL
2017-04-07,0.15675255723104695,0.09826311861042682,0.17644942024804966,0.19921117352970452,0.16741588184538175,0.20190784853539034,0.0
2017-04-14,0.15675255723104695,0.09826311861042682,0.17644942024804966,0.19921117352970452,0.16741588184538175,0.20190784853539034,0.0
2017-04-21,0.15675255723104695,0.09826311861042682,0.17644942024804966,0.19921117352970452,0.16741588184538175,0.20190784853539034,0.0
2017-04-28,0.15666071032137854,0.09854238558986156,0.17629003020585465,0.19914877581069865,0.16744994515278355,0.2019081529194231,0.0
2017-05-05,0.15666071032137854,0.09854238558986156,0.17629003020585465,0.19914877581069865,0.16744994515278355,0.2019081529194231,0.0
2017-05-12,0.15666071032137854,0.09854238558986156,0.17629003020585465,0.19914877581069865,0.16744994515278355,0.2019081529194231,0.0
2017-05-19,0.15666071032137854,0.09854238558986156,0.17629003020585465,0.19914877581069865,0.16744994515278355,0.2019081529194231,0.0
2017-05-26,0.15657144945818113,0.098821954728715,0.17613048085580416,0.19908631001924687,0.16748521433568087,0.20190459060237198,0.0
2017-06-02,0.15657144945818113,0.098821954728715,0.17613048085580416,0.19908631001924687,0.16748521433568087,0.20190459060237198,0.0
2017-06-09,0.15657144945818113,0.098821954728715,0.17613048085580416,0.19908631001924687,0.16748521433568087,0.20190459060237198,0.0
2017-06-16,0.15657144945818113,0.098821954728715,0.17613048085580416,0.19908631001924687,0.16748521433568087,0.20190459060237198,0.0
2017-06-23,0.15657144945818113,0.098821954728715,0.17613048085580416,0.19908631001924687,0.16748521433568087,0.20190459060237198,0.0
2017-06-30,0.15648247720077385,0.09909982184024674,0.17597227342548827,0.19902628511350712,0.1675176667371419,0.20190147568284217,0.0
2017-07-07,0.15648247720077385,0.09909982184024674,0.17597227342548827,0.19902628511350712,0.1675176667371419,0.20190147568284217,0.0
2017-07-14,0.15648247720077385,0.09909982184024674,0.17597227342548827,0.19902628511350712,0.1675176667371419,0.20190147568284217,0.0
2017-07-21,0.15648247720077385,0.09909982184024674,0.17597227342548827,0.19902628511350712,0.1675176667371419,0.20190147568284217,0.0
2017-07-28,0.15640093380569958,0.09938933468425379,0.17581248058862586,0.1989490455647352,0.16756175292986142,0.20188645242682424,0.0
2017-08-04,0.15640093380569958,0.09938933468425379,0.17581248058862586,0.1989490455647352,0.16756175292986142,0.20188645242682424,0.0
2017-08-11,0.15640093380569958,0.09938933468425379,0.17581248058862586,0.1989490455647352,0.16756175292986142,0.20188645242682424,0.0
2017-08-18,0.15640093380569958,0.09938933468425379,0.17581248058862586,0.1989490455647352,0.16756175292986142,0.20188645242682424,0.0
2017-08-25,0.1016073310439304,0.0647924004036582,0.11417423862856171,0.1292634801368155,0.10894720926518164,0.13121534052185263,0.34999999999999987
2017-09-01,0.1016073310439304,0.0647924004036582,0.11417423862856171,0.1292634801368155,0.10894720926518164,0.13121534052185263,0.34999999999999987
2017-09-08,0.1016073310439304,0.0647924004036582,0.11417423862856171,0.1292634801368155,0.10894720926518164,0.13121534052185263,0.34999999999999987
2017-09-15,0.1016073310439304,0.0647924004036582,0.11417423862856171,0.1292634801368155,0.10894720926518164,0.13121534052185263,0.34999999999999987
2017-09-22,0.1016073310439304,0.0647924004036582,0.11417423862856171,0.1292634801368155,0.10894720926518164,0.13121534052185263,0.34999999999999987
2017-09-29,0.1562403027200963,0.0999482707499339,0.1754972447627613,0.19879567091120873,0.16765246964827885,0.20186604120772095,0.0
2017-10-06,0.1562403027200963,0.0999482707499339,0.1754972447627613,0.19879567091120873,0.16765246964827885,0.20186604120772095,0.0
2017-10-13,0.1562403027200963,0.0999482707499339,0.1754972447627613,0.19879567091120873,0.16765246964827885,0.20186604120772095,0.0
2017-10-20,0.1562403027200963,0.0999482707499339,0.1754972447627613,0.19879567091120873,0.16765246964827885,0.20186604120772095,0.0
2017-10-27,0.10150891231154548,0.06514260354826566,0.11397137020896288,0.1291688603634252,0.10900152034201334,0.1312067332257875,0.35
2017-11-03,0.10150891231154548,0.06514260354826566,0.11397137020896288,0.1291688603634252,0.10900152034201334,0.1312067332257875,0.35
2017-11-10,0.10150891231154548,0.06514260354826566,0.11397137020896288,0.1291688603634252,0.10900152034201334,0.1312067332257875,0.35
2017-11-17,0.10150891231154548,0.06514260354826566,0.11397137020896288,0.1291688603634252,0.10900152034201334,0.1312067332257875,0.35
2017-11-24,0.10146126601299728,0.06531760146686622,0.11387095071704642,0.1291180921836465,0.10903034040186826,0.13120174921757535,0.35
2017-12-01,0.10146126601299728,0.06531760146686622,0.11387095071704642,0.1291180921836465,0.10903034040186826,0.13120174921757535,0.35
2017-12-08,0.10146126601299728,0.06531760146686622,0.11387095071704642,0.1291180921836465,0.10903034040186826,0.13120174921757535,0.35
2017-12-15,0.10146126601299728,0.06531760146686622,0.11387095071704642,0.1291180921836465,0.10903034040186826,0.13120174921757535,0.35
2017-12-22,0.10146126601299728,0.06531760146686622,0.11387095071704642,0.1291180921836465,0.10903034040186826,0.13120174921757535,0.35
2017-12-29,0.10140849432642661,0.06549072935358409,0.11376835370644578,0.12906578012859155,0.1090735173970849,0.13119312508786712,0.34999999999999987
2018-01-05,0.10140849432642661,0.06549072935358409,0.11376835370644578,0.12906578012859155,0.1090735173970849,0.13119312508786712,0.34999999999999987
2018-01-12,0.10140849432642661,0.06549072935358409,0.11376835370644578,0.12906578012859155,0.1090735173970849,0.13119312508786712,0.34999999999999987
2018-01-19,0.10140849432642661,0.06549072935358409,0.11376835370644578,0.12906578012859155,0.1090735173970849,0.13119312508786712,0.34999999999999987
2018-01-26,0.10134201424501522,0.06566547989648819,0.1136687447575251,0.12901535298469066,0.10912577990313709,0.13118262821314378,0.35
2018-02-02,0.10134201424501522,0.06566547989648819,0.1136687447575251,0.12901535298469066,0.10912577990313709,0.13118262821314378,0.35
2018-02-09,0.10134201424501522,0.06566547989648819,0.1136687447575251,0.12901535298469066,0.10912577990313709,0.13118262821314378,0.35
2018-02-16,0.10134201424501522,0.06566547989648819,0.1136687447575251,0.12901535298469066,0.10912577990313709,0.13118262821314378,0.35
2018-02-23,0.04672479205524619,0.030383556210441812,0.05242620844406071,0.059529645392554426,0.050380753458398826,0.06055504443929803,0.7
2018-03-02,0.04672479205524619,0.030383556210441812,0.05242620844406071,0.059529645392554426,0.050380753458398826,0.06055504443929803,0.7
2018-03-09,0.04672479205524619,0.030383556210441812,0.05242620844406071,0.059529645392554426,0.050380753458398826,0.06055504443929803,0.7
2018-03-16,0.04672479205524619,0.030383556210441812,0.05242620844406071,0.059529645392554426,0.050380753458398826,0.06055504443929803,0.7
2018-03-23,0.04672479205524619,0.030383556210441812,0.05242620844406071,0.059529645392554426,0.050380753458398826,0.06055504443929803,0.7
2018-03-30,0.0466675068401555,0.03045355072043355,0.052390670240638995,0.059523777483466836,0.050396584146832325,0.06056791056847275,0.7000000000000001
2018-04-06,0.0466675068401555,0.03045355072043355,0.052390670240638995,0.059523777483466836,0.050396584146832325,0.06056791056847275,0.7000000000000001
2018-04-13,0.0466675068401555,0.03045355072043355,0.052390670240638995,0.059523777483466836,0.050396584146832325,0.06056791056847275,0.7000000000000001
2018-04-20,0.0466675068401555,0.03045355072043355,0.052390670240638995,0.059523777483466836,0.050396584146832325,0.06056791056847275,0.7000000000000001
2018-04-27,0.046611200327600445,0.03052137041224262,0.05235588839565564,0.05952073496288144,0.05040933020894499,0.06058147569267487,0.7
2018-05-04,0.046611200327600445,0.03052137041224262,0.05235588839565564,0.05952073496288144,0.05040933020894499,0.06058147569267487,0.7
2018-05-11,0.046611200327600445,0.03052137041224262,0.05235588839565564,0.05952073496288144,0.05040933020894499,0.06058147569267487,0.7
2018-05-18,0.046611200327600445,0.03052137041224262,0.05235588839565564,0.05952073496288144,0.05040933020894499,0.06058147569267487,0.7
2018-05-25,0.04655632906179707,0.030585603086615766,0.05232183949002548,0.05951830282197412,0.05042185096726263,0.06059607457232494,0.7
2018-06-01,0.04655632906179707,0.030585603086615766,0.05232183949002548,0.05951830282197412,0.05042185096726263,0.06059607457232494,0.7
2018-06-08,0.04655632906179707,0.030585603086615766,0.05232183949002548,0.05951830282197412,0.05042185096726263,0.06059607457232494,0.7
2018-06-15,0.04655632906179707,0.030585603086615766,0.05232183949002548,0.05951830282197412,0.05042185096726263,0.06059607457232494,0.7
2018-06-22,0.04655632906179707,0.030585603086615766,0.05232183949002548,0.05951830282197412,0.05042185096726263,0.06059607457232494,0.7
2018-06-29,0.1007552687510056,0.06640189107290169,0.11329284227950139,0.12895159140023793,0.10927144362520248,0.13132696287115098,0.35
2018-07-06,0.1007552687510056,0.06640189107290169,0.11329284227950139,0.12895159140023793,0.10927144362520248,0.13132696287115098,0.35
2018-07-13,0.1007552687510056,0.06640189107290169,0.11329284227950139,0.12895159140023793,0.10927144362520248,0.13132696287115098,0.35
2018-07-20,0.1007552687510056,0.06640189107290169,0.11329284227950139,0.12895159140023793,0.10927144362520248,0.13132696287115098,0.35
2018-07-27,0.10063640989599842,0.06653884514491869,0.11321911564347606,0.12896106788179648,0.10929806388297865,0.13134649755083175,0.34999999999999987
2018-08-03,0.10063640989599842,0.06653884514491869,0.11321911564347606,0.12896106788179648,0.10929806388297865,0.13134649755083175,0.34999999999999987
2018-08-10,0.10063640989599842,0.06653884514491869,0.11321911564347606,0.12896106788179648,0.10929806388297865,0.13134649755083175,0.34999999999999987
2018-08-17,0.10063640989599842,0.06653884514491869,0.11321911564347606,0.12896106788179648,0.10929806388297865,0.13134649755083175,0.34999999999999987
2018-08-24,0.10063640989599842,0.06653884514491869,0.11321911564347606,0.12896106788179648,0.10929806388297865,0.13134649755083175,0.34999999999999987
2018-08-31,0.10048993803054378,0.06668799311863724,0.11314072682332484,0.1289742857525482,0.10935342946723549,0.1313536268077105,0.34999999999999987
2018-09-07,0.10048993803054378,0.06668799311863724,0.11314072682332484,0.1289742857525482,0.10935342946723549,0.1313536268077105,0.34999999999999987
2018-09-14,0.10048993803054378,0.06668799311863724,0.11314072682332484,0.1289742857525482,0.10935342946723549,0.1313536268077105,0.34999999999999987
2018-09-21,0.10048993803054378,0.06668799311863724,0.11314072682332484,0.1289742857525482,0.10935342946723549,0.1313536268077105,0.34999999999999987
2018-09-28,0.10034341310535623,0.06683541713516376,0.1130725485411318,0.128986009342166,0.10940546044064965,0.13135715143553253,0.35
2018-10-05,0.10034341310535623,0.06683541713516376,0.1130725485411318,0.128986009342166,0.10940546044064965,0.13135715143553253,0.35
2018-10-12,0.10034341310535623,0.06683541713516376,0.1130725485411318,0.128986009342166,0.10940546044064965,0.13135715143553253,0.35
2018-10-19,0.10034341310535623,0.06683541713516376,0.1130725485411318,0.128986009342166,0.10940546044064965,0.13135715143553253,0.35
2018-10-26,0.04624070347645474,0.030913588086018046,0.05216120571081859,0.059535901246389425,0.05051580556614017,0.06063279591417901,0.7
2018-11-02,0.04624070347645474,0.030913588086018046,0.05216120571081859,0.059535901246389425,0.05051580556614017,0.06063279591417901,0.7
2018-11-09,0.04624070347645474,0.030913588086018046,0.05216120571081859,0.059535901246389425,0.05051580556614017,0.06063279591417901,0.7
2018-11-16,0.04624070347645474,0.030913588086018046,0.05216120571081859,0.059535901246389425,0.05051580556614017,0.06063279591417901,0.7
2018-11-23,0.04624070347645474,0.030913588086018046,0.05216120571081859,0.059535901246389425,0.05051580556614017,0.06063279591417901,0.7
2018-11-30,0.04616712692900533,0.030976003673782827,0.05213089165019781,0.05954374242863499,0.05054836003478027,0.06063387528359876,0.7
2018-12-07,0.04616712692900533,0.030976003673782827,0.05213089165019781,0.05954374242863499,0.05054836003478027,0.06063387528359876,0.7
2018-12-14,0.04616712692900533,0.030976003673782827,0.05213089165019781,0.05954374242863499,0.05054836003478027,0.06063387528359876,0.7
2018-12-21,0.04616712692900533,0.030976003673782827,0.05213089165019781,0.05954374242863499,0.05054836003478027,0.06063387528359876,0.7
2018-12-28,0.04610228274140187,0.03104514127573173,0.05210712353578945,0.05956879348016704,0.05055234773006022,0.060624311236849686,0.7
2019-01-04,0.04610228274140187,0.03104514127573173,0.05210712353578945,0.05956879348016704,0.05055234773006022,0.060624311236849686,0.7
2019-01-11,0.04610228274140187,0.03104514127573173,0.05210712353578945,0.05956879348016704,0.05055234773006022,0.060624311236849686,0.7
2019-01-18,0.04610228274140187,0.03104514127573173,0.05210712353578945,0.05956879348016704,0.05055234773006022,0.060624311236849686,0.7
2019-01-25,0.046042129845616515,0.031115083163005028,0.0520874614714437,0.05959157918573244,0.05055346122317958,0.060610285111022726,0.7
2019-02-01,0.046042129845616515,0.031115083163005028,0.0520874614714437,0.05959157918573244,0.05055346122317958,0.060610285111022726,0.7
