,dual_momentum_topn,cta_trend_long_only,composite_equal_weight,composite_regime_conditioned,taa_10m_sma,composite_breadth_filtered,cash::BIL
2012-05-04,0.17091667106019057,0.07039142192258036,0.16672493275249636,0.14966444932727602,0.0036834767859284666,0.08861904815152827,0.34999999999999987
2012-05-11,0.17091667106019057,0.07039142192258036,0.16672493275249636,0.14966444932727602,0.0036834767859284666,0.08861904815152827,0.34999999999999987
2012-05-18,0.17091667106019057,0.07039142192258036,0.16672493275249636,0.14966444932727602,0.0036834767859284666,0.08861904815152827,0.34999999999999987
2012-05-25,0.19166788569436716,0.04223485315354822,0.18385236764862087,0.14636356694756164,0.003720272014395499,0.08216105454150657,0.35
2012-06-01,0.19166788569436716,0.04223485315354822,0.18385236764862087,0.14636356694756164,0.003720272014395499,0.08216105454150657,0.35
2012-06-08,0.19166788569436716,0.04223485315354822,0.18385236764862087,0.14636356694756164,0.003720272014395499,0.08216105454150657,0.35
2012-06-15,0.19166788569436716,0.04223485315354822,0.18385236764862087,0.14636356694756164,0.003720272014395499,0.08216105454150657,0.35
2012-06-22,0.19166788569436716,0.04223485315354822,0.18385236764862087,0.14636356694756164,0.003720272014395499,0.08216105454150657,0.35
2012-06-29,0.20254944789819024,0.025340911892128927,0.1910733244851993,0.15417971667008326,0.0022321632086372994,0.07462443584576095,0.3500000000000001
2012-07-06,0.20254944789819024,0.025340911892128927,0.1910733244851993,0.15417971667008326,0.0022321632086372994,0.07462443584576095,0.3500000000000001
2012-07-13,0.20254944789819024,0.025340911892128927,0.1910733244851993,0.15417971667008326,0.0022321632086372994,0.07462443584576095,0.3500000000000001
2012-07-20,0.20254944789819024,0.025340911892128927,0.1910733244851993,0.15417971667008326,0.0022321632086372994,0.07462443584576095,0.3500000000000001
2012-07-27,0.2527814513881401,0.019842010131289303,0.21504443152748445,0.17391365847351306,0.0015063956818194173,0.06800942461611437,0.26890262818163935
2012-08-03,0.2527814513881401,0.019842010131289303,0.21504443152748445,0.17391365847351306,0.0015063956818194173,0.06800942461611437,0.26890262818163935
2012-08-10,0.2527814513881401,0.019842010131289303,0.21504443152748445,0.17391365847351306,0.0015063956818194173,0.06800942461611437,0.26890262818163935
2012-08-17,0.2527814513881401,0.019842010131289303,0.21504443152748445,0.17391365847351306,0.0015063956818194173,0.06800942461611437,0.26890262818163935
2012-08-24,0.2527814513881401,0.019842010131289303,0.21504443152748445,0.17391365847351306,0.0015063956818194173,0.06800942461611437,0.26890262818163935
2012-08-31,0.3136933561860321,0.016018161864497813,0.3009651352456145,0.2469299734233638,0.0012160909960081787,0.10485080821994028,0.01632647406454313
2012-09-07,0.3136933561860321,0.016018161864497813,0.3009651352456145,0.2469299734233638,0.0012160909960081787,0.10485080821994028,0.01632647406454313
2012-09-14,0.3136933561860321,0.016018161864497813,0.3009651352456145,0.2469299734233638,0.0012160909960081787,0.10485080821994028,0.01632647406454313
2012-09-21,0.3136933561860321,0.016018161864497813,0.3009651352456145,0.2469299734233638,0.0012160909960081787,0.10485080821994028,0.01632647406454313
2012-09-28,0.29833569329151227,0.009700845452237112,0.3150422143194688,0.2505306969598708,0.0007364834309908683,0.11853378762746906,0.007120278918451017
2012-10-05,0.29833569329151227,0.009700845452237112,0.3150422143194688,0.2505306969598708,0.0007364834309908683,0.11853378762746906,0.007120278918451017
2012-10-12,0.29833569329151227,0.009700845452237112,0.3150422143194688,0.2505306969598708,0.0007364834309908683,0.11853378762746906,0.007120278918451017
2012-10-19,0.29833569329151227,0.009700845452237112,0.3150422143194688,0.2505306969598708,0.0007364834309908683,0.11853378762746906,0.007120278918451017
2012-10-26,0.2912654578182104,0.005862248112995961,0.32643375179336737,0.24606435272751426,0.00044505900282983704,0.12992913054508212,0.0
2012-11-02,0.2912654578182104,0.005862248112995961,0.32643375179336737,0.24606435272751426,0.00044505900282983704,0.12992913054508212,0.0
2012-11-09,0.2912654578182104,0.005862248112995961,0.32643375179336737,0.24606435272751426,0.00044505900282983704,0.12992913054508212,0.0
2012-11-16,0.2912654578182104,0.005862248112995961,0.32643375179336737,0.24606435272751426,0.00044505900282983704,0.12992913054508212,0.0
2012-11-23,0.2912654578182104,0.005862248112995961,0.32643375179336737,0.24606435272751426,0.00044505900282983704,0.12992913054508212,0.0
2012-11-30,0.2310145867423017,0.010853817565746823,0.31022130132241554,0.2112201758954494,0.00023992016171306004,0.13490845586012107,0.10154174245225245
2012-12-07,0.2310145867423017,0.010853817565746823,0.31022130132241554,0.2112201758954494,0.00023992016171306004,0.13490845586012107,0.10154174245225245
2012-12-14,0.2310145867423017,0.010853817565746823,0.31022130132241554,0.2112201758954494,0.00023992016171306004,0.13490845586012107,0.10154174245225245
2012-12-21,0.2310145867423017,0.010853817565746823,0.31022130132241554,0.2112201758954494,0.00023992016171306004,0.13490845586012107,0.10154174245225245
2012-12-28,0.20113132689543914,0.020699534379442754,0.3661067889631923,0.23333265895767838,0.00015938421620125844,0.17334612524877419,0.005224181339271938
