,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2012-02-17,0.10404238956737001,0.21026580718353874,0.2294794422953428,0.26982609207282193,0.17984056053164443,0.006545708349282031
2012-02-24,0.07995510487665992,0.21816809879721383,0.17555782834238756,0.28703747699691345,0.19626763757743237,0.0430138534093929
2012-03-02,0.07995510487665992,0.21816809879721383,0.17555782834238756,0.28703747699691345,0.19626763757743237,0.0430138534093929
2012-03-09,0.07995510487665992,0.21816809879721383,0.17555782834238756,0.28703747699691345,0.19626763757743237,0.0430138534093929
2012-03-16,0.07995510487665992,0.21816809879721383,0.17555782834238756,0.28703747699691345,0.19626763757743237,0.0430138534093929
2012-03-23,0.07995510487665992,0.21816809879721383,0.17555782834238756,0.28703747699691345,0.19626763757743237,0.0430138534093929
2012-03-30,0.11473056006119195,0.1811269867229899,0.24907776894828457,0.27011449919885827,0.16151579037535005,0.0234343946933252
2012-04-06,0.11473056006119195,0.1811269867229899,0.24907776894828457,0.27011449919885827,0.16151579037535005,0.0234343946933252
2012-04-13,0.11473056006119195,0.1811269867229899,0.24907776894828457,0.27011449919885827,0.16151579037535005,0.0234343946933252
2012-04-20,0.11473056006119195,0.1811269867229899,0.24907776894828457,0.27011449919885827,0.16151579037535005,0.0234343946933252
2012-04-27,0.10142684147761469,0.1973648598022631,0.22040696495427697,0.27825318881579303,0.1799758900272644,0.022572254922787693
2012-05-04,0.10142684147761469,0.1973648598022631,0.22040696495427697,0.27825318881579303,0.1799758900272644,0.022572254922787693
2012-05-11,0.10142684147761469,0.1973648598022631,0.22040696495427697,0.27825318881579303,0.1799758900272644,0.022572254922787693
2012-05-18,0.10142684147761469,0.1973648598022631,0.22040696495427697,0.27825318881579303,0.1799758900272644,0.022572254922787693
2012-05-25,0.0783436029507893,0.1663974263078443,0.17438472602196223,0.2276591764684089,0.16635735232869667,0.1868577159222986
2012-06-01,0.0783436029507893,0.1663974263078443,0.17438472602196223,0.2276591764684089,0.16635735232869667,0.1868577159222986
2012-06-08,0.0783436029507893,0.1663974263078443,0.17438472602196223,0.2276591764684089,0.16635735232869667,0.1868577159222986
2012-06-15,0.0783436029507893,0.1663974263078443,0.17438472602196223,0.2276591764684089,0.16635735232869667,0.1868577159222986
2012-06-22,0.0783436029507893,0.1663974263078443,0.17438472602196223,0.2276591764684089,0.16635735232869667,0.1868577159222986
2012-06-29,0.08802829166422425,0.18844898840658578,0.20595144558127004,0.2693022605895598,0.2047760690571653,0.0434929447011948
2012-07-06,0.08802829166422425,0.18844898840658578,0.20595144558127004,0.2693022605895598,0.2047760690571653,0.0434929447011948
2012-07-13,0.08802829166422425,0.18844898840658578,0.20595144558127004,0.2693022605895598,0.2047760690571653,0.0434929447011948
2012-07-20,0.08802829166422425,0.18844898840658578,0.20595144558127004,0.2693022605895598,0.2047760690571653,0.0434929447011948
2012-07-27,0.0824767401617608,0.19129466607912482,0.2178685190173117,0.2817782428951811,0.2265818318466216,0.0
2012-08-03,0.0824767401617608,0.19129466607912482,0.2178685190173117,0.2817782428951811,0.2265818318466216,0.0
2012-08-10,0.0824767401617608,0.19129466607912482,0.2178685190173117,0.2817782428951811,0.2265818318466216,0.0
2012-08-17,0.0824767401617608,0.19129466607912482,0.2178685190173117,0.2817782428951811,0.2265818318466216,0.0
2012-08-24,0.0824767401617608,0.19129466607912482,0.2178685190173117,0.2817782428951811,0.2265818318466216,0.0
2012-08-31,0.08097590967003838,0.1775597857430612,0.20295843642911784,0.2941273417519312,0.24437852640585145,0.0
2012-09-07,0.08097590967003838,0.1775597857430612,0.20295843642911784,0.2941273417519312,0.24437852640585145,0.0
2012-09-14,0.08097590967003838,0.1775597857430612,0.20295843642911784,0.2941273417519312,0.24437852640585145,0.0
2012-09-21,0.08097590967003838,0.1775597857430612,0.20295843642911784,0.2941273417519312,0.24437852640585145,0.0
