,selected_config,selection_score
2006-12-29,pp_holdout,
2007-01-05,pp_holdout,
2007-01-12,pp_holdout,
2007-01-19,pp_holdout,
2007-01-26,pp_holdout,
2007-02-02,pp_holdout,
2007-02-09,pp_holdout,
2007-02-16,pp_holdout,
2007-02-23,pp_holdout,
2007-03-02,pp_holdout,
2007-03-09,pp_holdout,
2007-03-16,pp_holdout,
2007-03-23,pp_holdout,
2007-03-30,pp_holdout,
2007-04-06,pp_holdout,
2007-04-13,pp_holdout,
2007-04-20,pp_holdout,
2007-04-27,pp_holdout,
2007-05-04,pp_holdout,
2007-05-11,pp_holdout,
2007-05-18,pp_holdout,
2007-05-25,pp_holdout,
2007-06-01,pp_holdout,
2007-06-08,pp_holdout,
2007-06-15,pp_holdout,
2007-06-22,pp_holdout,
2007-06-29,pp_holdout,
2007-07-06,pp_holdout,
2007-07-13,pp_holdout,
2007-07-20,pp_holdout,
2007-07-27,pp_holdout,
2007-08-03,pp_holdout,
2007-08-10,pp_holdout,
2007-08-17,pp_holdout,
2007-08-24,pp_holdout,
2007-08-31,pp_holdout,
2007-09-07,pp_holdout,
2007-09-14,pp_holdout,
2007-09-21,pp_holdout,
2007-09-28,pp_holdout,
2007-10-05,pp_holdout,
2007-10-12,pp_holdout,
2007-10-19,pp_holdout,
2007-10-26,pp_holdout,
2007-11-02,pp_holdout,
2007-11-09,pp_holdout,
2007-11-16,pp_holdout,
2007-11-23,pp_holdout,
2007-11-30,pp_holdout,
2007-12-07,pp_holdout,
2007-12-14,pp_holdout,
2007-12-21,pp_holdout,
2007-12-28,pp_holdout,
2008-01-04,pp_holdout,
2008-01-11,pp_upside,0.5772193776186532
2008-01-18,pp_upside,0.5772193776186532
2008-01-25,pp_upside,0.5772193776186532
2008-02-01,pp_upside,0.5772193776186532
2008-02-08,pp_upside,0.5772193776186532
2008-02-15,pp_upside,0.5772193776186532
2008-02-22,pp_upside,0.5772193776186532
2008-02-29,pp_upside,0.5772193776186532
2008-03-07,pp_upside,0.5772193776186532
2008-03-14,pp_upside,0.5772193776186532
2008-03-21,pp_upside,0.5772193776186532
2008-03-28,pp_upside,0.5772193776186532
2008-04-04,pp_upside,0.5772193776186532
2008-04-11,pp_upside,0.5772193776186532
2008-04-18,pp_upside,0.5772193776186532
2008-04-25,pp_upside,0.5772193776186532
2008-05-02,pp_upside,0.5772193776186532
2008-05-09,pp_upside,0.5772193776186532
2008-05-16,pp_upside,0.5772193776186532
2008-05-23,pp_upside,0.5772193776186532
2008-05-30,pp_upside,0.5772193776186532
2008-06-06,pp_upside,0.5772193776186532
2008-06-13,pp_upside,0.5772193776186532
2008-06-20,pp_upside,0.5772193776186532
2008-06-27,pp_upside,0.5772193776186532
2008-07-04,pp_upside,0.5772193776186532
2008-07-11,pp_upside,-1.418218341408803
2008-07-18,pp_upside,-1.418218341408803
2008-07-25,pp_upside,-1.418218341408803
2008-08-01,pp_upside,-1.418218341408803
2008-08-08,pp_upside,-1.418218341408803
2008-08-15,pp_upside,-1.418218341408803
2008-08-22,pp_upside,-1.418218341408803
2008-08-29,pp_upside,-1.418218341408803
2008-09-05,pp_upside,-1.418218341408803
2008-09-12,pp_upside,-1.418218341408803
2008-09-19,pp_upside,-1.418218341408803
2008-09-26,pp_upside,-1.418218341408803
2008-10-03,pp_upside,-1.418218341408803
2008-10-10,pp_upside,-1.418218341408803
2008-10-17,pp_upside,-1.418218341408803
2008-10-24,pp_upside,-1.418218341408803
2008-10-31,pp_upside,-1.418218341408803
2008-11-07,pp_upside,-1.418218341408803
2008-11-14,pp_upside,-1.418218341408803
2008-11-21,pp_upside,-1.418218341408803
2008-11-28,pp_upside,-1.418218341408803
2008-12-05,pp_upside,-1.418218341408803
2008-12-12,pp_upside,-1.418218341408803
2008-12-19,pp_upside,-1.418218341408803
2008-12-26,pp_upside,-1.418218341408803
2009-01-02,pp_upside,-1.418218341408803
2009-01-09,pp_holdout,-2.0918387465960433
2009-01-16,pp_holdout,-2.0918387465960433
2009-01-23,pp_holdout,-2.0918387465960433
2009-01-30,pp_holdout,-2.0918387465960433
2009-02-06,pp_holdout,-2.0918387465960433
2009-02-13,pp_holdout,-2.0918387465960433
2009-02-20,pp_holdout,-2.0918387465960433
2009-02-27,pp_holdout,-2.0918387465960433
2009-03-06,pp_holdout,-2.0918387465960433
2009-03-13,pp_holdout,-2.0918387465960433
2009-03-20,pp_holdout,-2.0918387465960433
2009-03-27,pp_holdout,-2.0918387465960433
2009-04-03,pp_holdout,-2.0918387465960433
2009-04-10,pp_holdout,-2.0918387465960433
2009-04-17,pp_holdout,-2.0918387465960433
2009-04-24,pp_holdout,-2.0918387465960433
2009-05-01,pp_holdout,-2.0918387465960433
2009-05-08,pp_holdout,-2.0918387465960433
2009-05-15,pp_holdout,-2.0918387465960433
2009-05-22,pp_holdout,-2.0918387465960433
2009-05-29,pp_holdout,-2.0918387465960433
2009-06-05,pp_holdout,-2.0918387465960433
2009-06-12,pp_holdout,-2.0918387465960433
2009-06-19,pp_holdout,-2.0918387465960433
2009-06-26,pp_holdout,-2.0918387465960433
2009-07-03,pp_holdout,-2.0918387465960433
2009-07-10,pp_holdout,-2.847843861804687
2009-07-17,pp_holdout,-2.847843861804687
2009-07-24,pp_holdout,-2.847843861804687
2009-07-31,pp_holdout,-2.847843861804687
2009-08-07,pp_holdout,-2.847843861804687
2009-08-14,pp_holdout,-2.847843861804687
2009-08-21,pp_holdout,-2.847843861804687
2009-08-28,pp_holdout,-2.847843861804687
2009-09-04,pp_holdout,-2.847843861804687
2009-09-11,pp_holdout,-2.847843861804687
2009-09-18,pp_holdout,-2.847843861804687
2009-09-25,pp_holdout,-2.847843861804687
2009-10-02,pp_holdout,-2.847843861804687
2009-10-09,pp_holdout,-2.847843861804687
2009-10-16,pp_holdout,-2.847843861804687
2009-10-23,pp_holdout,-2.847843861804687
2009-10-30,pp_holdout,-2.847843861804687
2009-11-06,pp_holdout,-2.847843861804687
2009-11-13,pp_holdout,-2.847843861804687
2009-11-20,pp_holdout,-2.847843861804687
2009-11-27,pp_holdout,-2.847843861804687
2009-12-04,pp_holdout,-2.847843861804687
2009-12-11,pp_holdout,-2.847843861804687
2009-12-18,pp_holdout,-2.847843861804687
2009-12-25,pp_holdout,-2.847843861804687
2010-01-01,pp_holdout,-2.847843861804687
2010-01-08,pp_upside,-2.589048015360285
2010-01-15,pp_upside,-2.589048015360285
2010-01-22,pp_upside,-2.589048015360285
2010-01-29,pp_upside,-2.589048015360285
2010-02-05,pp_upside,-2.589048015360285
2010-02-12,pp_upside,-2.589048015360285
2010-02-19,pp_upside,-2.589048015360285
2010-02-26,pp_upside,-2.589048015360285
2010-03-05,pp_upside,-2.589048015360285
2010-03-12,pp_upside,-2.589048015360285
2010-03-19,pp_upside,-2.589048015360285
2010-03-26,pp_upside,-2.589048015360285
2010-04-02,pp_upside,-2.589048015360285
2010-04-09,pp_upside,-2.589048015360285
2010-04-16,pp_upside,-2.589048015360285
2010-04-23,pp_upside,-2.589048015360285
2010-04-30,pp_upside,-2.589048015360285
2010-05-07,pp_upside,-2.589048015360285
2010-05-14,pp_upside,-2.589048015360285
2010-05-21,pp_upside,-2.589048015360285
2010-05-28,pp_upside,-2.589048015360285
2010-06-04,pp_upside,-2.589048015360285
2010-06-11,pp_upside,-2.589048015360285
2010-06-18,pp_upside,-2.589048015360285
2010-06-25,pp_upside,-2.589048015360285
2010-07-02,pp_upside,-2.589048015360285
2010-07-09,pp_upside,-1.3217818947651567
2010-07-16,pp_upside,-1.3217818947651567
2010-07-23,pp_upside,-1.3217818947651567
2010-07-30,pp_upside,-1.3217818947651567
2010-08-06,pp_upside,-1.3217818947651567
2010-08-13,pp_upside,-1.3217818947651567
2010-08-20,pp_upside,-1.3217818947651567
2010-08-27,pp_upside,-1.3217818947651567
2010-09-03,pp_upside,-1.3217818947651567
2010-09-10,pp_upside,-1.3217818947651567
2010-09-17,pp_upside,-1.3217818947651567
2010-09-24,pp_upside,-1.3217818947651567
2010-10-01,pp_upside,-1.3217818947651567
2010-10-08,pp_upside,-1.3217818947651567
2010-10-15,pp_upside,-1.3217818947651567
2010-10-22,pp_upside,-1.3217818947651567
2010-10-29,pp_upside,-1.3217818947651567
2010-11-05,pp_upside,-1.3217818947651567
2010-11-12,pp_upside,-1.3217818947651567
2010-11-19,pp_upside,-1.3217818947651567
2010-11-26,pp_upside,-1.3217818947651567
2010-12-03,pp_upside,-1.3217818947651567
2010-12-10,pp_upside,-1.3217818947651567
2010-12-17,pp_upside,-1.3217818947651567
2010-12-24,pp_upside,-1.3217818947651567
2010-12-31,pp_upside,-1.3217818947651567
2011-01-07,pp_upside,-1.9522483525692786
2011-01-14,pp_upside,-1.9522483525692786
2011-01-21,pp_upside,-1.9522483525692786
2011-01-28,pp_upside,-1.9522483525692786
2011-02-04,pp_upside,-1.9522483525692786
2011-02-11,pp_upside,-1.9522483525692786
2011-02-18,pp_upside,-1.9522483525692786
2011-02-25,pp_upside,-1.9522483525692786
2011-03-04,pp_upside,-1.9522483525692786
2011-03-11,pp_upside,-1.9522483525692786
2011-03-18,pp_upside,-1.9522483525692786
2011-03-25,pp_upside,-1.9522483525692786
2011-04-01,pp_upside,-1.9522483525692786
2011-04-08,pp_upside,-1.9522483525692786
2011-04-15,pp_upside,-1.9522483525692786
2011-04-22,pp_upside,-1.9522483525692786
2011-04-29,pp_upside,-1.9522483525692786
2011-05-06,pp_upside,-1.9522483525692786
2011-05-13,pp_upside,-1.9522483525692786
2011-05-20,pp_upside,-1.9522483525692786
2011-05-27,pp_upside,-1.9522483525692786
2011-06-03,pp_upside,-1.9522483525692786
2011-06-10,pp_upside,-1.9522483525692786
2011-06-17,pp_upside,-1.9522483525692786
2011-06-24,pp_upside,-1.9522483525692786
2011-07-01,pp_upside,-1.9522483525692786
2011-07-08,pp_upside,-0.7583712329318036
2011-07-15,pp_upside,-0.7583712329318036
2011-07-22,pp_upside,-0.7583712329318036
2011-07-29,pp_upside,-0.7583712329318036
2011-08-05,pp_upside,-0.7583712329318036
2011-08-12,pp_upside,-0.7583712329318036
2011-08-19,pp_upside,-0.7583712329318036
2011-08-26,pp_upside,-0.7583712329318036
2011-09-02,pp_upside,-0.7583712329318036
2011-09-09,pp_upside,-0.7583712329318036
2011-09-16,pp_upside,-0.7583712329318036
2011-09-23,pp_upside,-0.7583712329318036
2011-09-30,pp_upside,-0.7583712329318036
2011-10-07,pp_upside,-0.7583712329318036
2011-10-14,pp_upside,-0.7583712329318036
2011-10-21,pp_upside,-0.7583712329318036
2011-10-28,pp_upside,-0.7583712329318036
2011-11-04,pp_upside,-0.7583712329318036
2011-11-11,pp_upside,-0.7583712329318036
2011-11-18,pp_upside,-0.7583712329318036
2011-11-25,pp_upside,-0.7583712329318036
2011-12-02,pp_upside,-0.7583712329318036
2011-12-09,pp_upside,-0.7583712329318036
2011-12-16,pp_upside,-0.7583712329318036
2011-12-23,pp_upside,-0.7583712329318036
2011-12-30,pp_upside,-0.7583712329318036
2012-01-06,pp_upside,-1.1873594443946804
2012-01-13,pp_upside,-1.1873594443946804
2012-01-20,pp_upside,-1.1873594443946804
2012-01-27,pp_upside,-1.1873594443946804
2012-02-03,pp_upside,-1.1873594443946804
2012-02-10,pp_upside,-1.1873594443946804
2012-02-17,pp_upside,-1.1873594443946804
2012-02-24,pp_upside,-1.1873594443946804
2012-03-02,pp_upside,-1.1873594443946804
2012-03-09,pp_upside,-1.1873594443946804
2012-03-16,pp_upside,-1.1873594443946804
2012-03-23,pp_upside,-1.1873594443946804
2012-03-30,pp_upside,-1.1873594443946804
2012-04-06,pp_upside,-1.1873594443946804
2012-04-13,pp_upside,-1.1873594443946804
2012-04-20,pp_upside,-1.1873594443946804
2012-04-27,pp_upside,-1.1873594443946804
2012-05-04,pp_upside,-1.1873594443946804
2012-05-11,pp_upside,-1.1873594443946804
2012-05-18,pp_upside,-1.1873594443946804
2012-05-25,pp_upside,-1.1873594443946804
2012-06-01,pp_upside,-1.1873594443946804
2012-06-08,pp_upside,-1.1873594443946804
2012-06-15,pp_upside,-1.1873594443946804
2012-06-22,pp_upside,-1.1873594443946804
2012-06-29,pp_upside,-1.1873594443946804
2012-07-06,pp_upside,-0.08713198153044854
2012-07-13,pp_upside,-0.08713198153044854
2012-07-20,pp_upside,-0.08713198153044854
2012-07-27,pp_upside,-0.08713198153044854
2012-08-03,pp_upside,-0.08713198153044854
2012-08-10,pp_upside,-0.08713198153044854
2012-08-17,pp_upside,-0.08713198153044854
2012-08-24,pp_upside,-0.08713198153044854
2012-08-31,pp_upside,-0.08713198153044854
2012-09-07,pp_upside,-0.08713198153044854
2012-09-14,pp_upside,-0.08713198153044854
2012-09-21,pp_upside,-0.08713198153044854
2012-09-28,pp_upside,-0.08713198153044854
2012-10-05,pp_upside,-0.08713198153044854
2012-10-12,pp_upside,-0.08713198153044854
2012-10-19,pp_upside,-0.08713198153044854
2012-10-26,pp_upside,-0.08713198153044854
2012-11-02,pp_upside,-0.08713198153044854
2012-11-09,pp_upside,-0.08713198153044854
2012-11-16,pp_upside,-0.08713198153044854
2012-11-23,pp_upside,-0.08713198153044854
2012-11-30,pp_upside,-0.08713198153044854
2012-12-07,pp_upside,-0.08713198153044854
2012-12-14,pp_upside,-0.08713198153044854
2012-12-21,pp_upside,-0.08713198153044854
2012-12-28,pp_upside,-0.08713198153044854
2013-01-04,pp_upside,-0.25386522818066104
2013-01-11,pp_upside,-0.25386522818066104
2013-01-18,pp_upside,-0.25386522818066104
2013-01-25,pp_upside,-0.25386522818066104
2013-02-01,pp_upside,-0.25386522818066104
2013-02-08,pp_upside,-0.25386522818066104
2013-02-15,pp_upside,-0.25386522818066104
2013-02-22,pp_upside,-0.25386522818066104
2013-03-01,pp_upside,-0.25386522818066104
2013-03-08,pp_upside,-0.25386522818066104
2013-03-15,pp_upside,-0.25386522818066104
2013-03-22,pp_upside,-0.25386522818066104
2013-03-29,pp_upside,-0.25386522818066104
2013-04-05,pp_upside,-0.25386522818066104
2013-04-12,pp_upside,-0.25386522818066104
2013-04-19,pp_upside,-0.25386522818066104
2013-04-26,pp_upside,-0.25386522818066104
2013-05-03,pp_upside,-0.25386522818066104
2013-05-10,pp_upside,-0.25386522818066104
2013-05-17,pp_upside,-0.25386522818066104
2013-05-24,pp_upside,-0.25386522818066104
2013-05-31,pp_upside,-0.25386522818066104
2013-06-07,pp_upside,-0.25386522818066104
2013-06-14,pp_upside,-0.25386522818066104
2013-06-21,pp_upside,-0.25386522818066104
2013-06-28,pp_upside,-0.25386522818066104
2013-07-05,pp_holdout,0.523882125581008
2013-07-12,pp_holdout,0.523882125581008
2013-07-19,pp_holdout,0.523882125581008
2013-07-26,pp_holdout,0.523882125581008
2013-08-02,pp_holdout,0.523882125581008
2013-08-09,pp_holdout,0.523882125581008
2013-08-16,pp_holdout,0.523882125581008
2013-08-23,pp_holdout,0.523882125581008
2013-08-30,pp_holdout,0.523882125581008
2013-09-06,pp_holdout,0.523882125581008
2013-09-13,pp_holdout,0.523882125581008
2013-09-20,pp_holdout,0.523882125581008
2013-09-27,pp_holdout,0.523882125581008
2013-10-04,pp_holdout,0.523882125581008
2013-10-11,pp_holdout,0.523882125581008
2013-10-18,pp_holdout,0.523882125581008
2013-10-25,pp_holdout,0.523882125581008
2013-11-01,pp_holdout,0.523882125581008
2013-11-08,pp_holdout,0.523882125581008
2013-11-15,pp_holdout,0.523882125581008
2013-11-22,pp_holdout,0.523882125581008
2013-11-29,pp_holdout,0.523882125581008
2013-12-06,pp_holdout,0.523882125581008
2013-12-13,pp_holdout,0.523882125581008
2013-12-20,pp_holdout,0.523882125581008
2013-12-27,pp_holdout,0.523882125581008
2014-01-03,pp_upside,0.4980624095043156
2014-01-10,pp_upside,0.4980624095043156
2014-01-17,pp_upside,0.4980624095043156
2014-01-24,pp_upside,0.4980624095043156
2014-01-31,pp_upside,0.4980624095043156
2014-02-07,pp_upside,0.4980624095043156
2014-02-14,pp_upside,0.4980624095043156
2014-02-21,pp_upside,0.4980624095043156
2014-02-28,pp_upside,0.4980624095043156
2014-03-07,pp_upside,0.4980624095043156
2014-03-14,pp_upside,0.4980624095043156
2014-03-21,pp_upside,0.4980624095043156
2014-03-28,pp_upside,0.4980624095043156
2014-04-04,pp_upside,0.4980624095043156
2014-04-11,pp_upside,0.4980624095043156
2014-04-18,pp_upside,0.4980624095043156
2014-04-25,pp_upside,0.4980624095043156
2014-05-02,pp_upside,0.4980624095043156
2014-05-09,pp_upside,0.4980624095043156
2014-05-16,pp_upside,0.4980624095043156
2014-05-23,pp_upside,0.4980624095043156
2014-05-30,pp_upside,0.4980624095043156
2014-06-06,pp_upside,0.4980624095043156
2014-06-13,pp_upside,0.4980624095043156
2014-06-20,pp_upside,0.4980624095043156
2014-06-27,pp_upside,0.4980624095043156
2014-07-04,pp_holdout,0.6258895623241492
2014-07-11,pp_holdout,0.6258895623241492
2014-07-18,pp_holdout,0.6258895623241492
2014-07-25,pp_holdout,0.6258895623241492
2014-08-01,pp_holdout,0.6258895623241492
2014-08-08,pp_holdout,0.6258895623241492
2014-08-15,pp_holdout,0.6258895623241492
2014-08-22,pp_holdout,0.6258895623241492
2014-08-29,pp_holdout,0.6258895623241492
2014-09-05,pp_holdout,0.6258895623241492
2014-09-12,pp_holdout,0.6258895623241492
2014-09-19,pp_holdout,0.6258895623241492
2014-09-26,pp_holdout,0.6258895623241492
2014-10-03,pp_holdout,0.6258895623241492
2014-10-10,pp_holdout,0.6258895623241492
2014-10-17,pp_holdout,0.6258895623241492
2014-10-24,pp_holdout,0.6258895623241492
2014-10-31,pp_holdout,0.6258895623241492
2014-11-07,pp_holdout,0.6258895623241492
2014-11-14,pp_holdout,0.6258895623241492
2014-11-21,pp_holdout,0.6258895623241492
2014-11-28,pp_holdout,0.6258895623241492
2014-12-05,pp_holdout,0.6258895623241492
2014-12-12,pp_holdout,0.6258895623241492
2014-12-19,pp_holdout,0.6258895623241492
2014-12-26,pp_holdout,0.6258895623241492
2015-01-02,pp_close,0.5396318285093888
2015-01-09,pp_close,0.5396318285093888
2015-01-16,pp_close,0.5396318285093888
2015-01-23,pp_close,0.5396318285093888
2015-01-30,pp_close,0.5396318285093888
2015-02-06,pp_close,0.5396318285093888
2015-02-13,pp_close,0.5396318285093888
2015-02-20,pp_close,0.5396318285093888
2015-02-27,pp_close,0.5396318285093888
2015-03-06,pp_close,0.5396318285093888
2015-03-13,pp_close,0.5396318285093888
2015-03-20,pp_close,0.5396318285093888
2015-03-27,pp_close,0.5396318285093888
2015-04-03,pp_close,0.5396318285093888
2015-04-10,pp_close,0.5396318285093888
2015-04-17,pp_close,0.5396318285093888
2015-04-24,pp_close,0.5396318285093888
2015-05-01,pp_close,0.5396318285093888
2015-05-08,pp_close,0.5396318285093888
2015-05-15,pp_close,0.5396318285093888
2015-05-22,pp_close,0.5396318285093888
2015-05-29,pp_close,0.5396318285093888
2015-06-05,pp_close,0.5396318285093888
2015-06-12,pp_close,0.5396318285093888
2015-06-19,pp_close,0.5396318285093888
2015-06-26,pp_close,0.5396318285093888
2015-07-03,pp_holdout,-0.6988402854988531
2015-07-10,pp_holdout,-0.6988402854988531
2015-07-17,pp_holdout,-0.6988402854988531
2015-07-24,pp_holdout,-0.6988402854988531
2015-07-31,pp_holdout,-0.6988402854988531
2015-08-07,pp_holdout,-0.6988402854988531
2015-08-14,pp_holdout,-0.6988402854988531
2015-08-21,pp_holdout,-0.6988402854988531
2015-08-28,pp_holdout,-0.6988402854988531
2015-09-04,pp_holdout,-0.6988402854988531
2015-09-11,pp_holdout,-0.6988402854988531
2015-09-18,pp_holdout,-0.6988402854988531
2015-09-25,pp_holdout,-0.6988402854988531
2015-10-02,pp_holdout,-0.6988402854988531
2015-10-09,pp_holdout,-0.6988402854988531
2015-10-16,pp_holdout,-0.6988402854988531
2015-10-23,pp_holdout,-0.6988402854988531
2015-10-30,pp_holdout,-0.6988402854988531
2015-11-06,pp_holdout,-0.6988402854988531
2015-11-13,pp_holdout,-0.6988402854988531
2015-11-20,pp_holdout,-0.6988402854988531
2015-11-27,pp_holdout,-0.6988402854988531
2015-12-04,pp_holdout,-0.6988402854988531
2015-12-11,pp_holdout,-0.6988402854988531
2015-12-18,pp_holdout,-0.6988402854988531
2015-12-25,pp_holdout,-0.6988402854988531
2016-01-01,pp_holdout,-0.40598272871622876
2016-01-08,pp_holdout,-0.40598272871622876
2016-01-15,pp_holdout,-0.40598272871622876
2016-01-22,pp_holdout,-0.40598272871622876
2016-01-29,pp_holdout,-0.40598272871622876
2016-02-05,pp_holdout,-0.40598272871622876
2016-02-12,pp_holdout,-0.40598272871622876
2016-02-19,pp_holdout,-0.40598272871622876
2016-02-26,pp_holdout,-0.40598272871622876
2016-03-04,pp_holdout,-0.40598272871622876
2016-03-11,pp_holdout,-0.40598272871622876
2016-03-18,pp_holdout,-0.40598272871622876
2016-03-25,pp_holdout,-0.40598272871622876
2016-04-01,pp_holdout,-0.40598272871622876
2016-04-08,pp_holdout,-0.40598272871622876
2016-04-15,pp_holdout,-0.40598272871622876
2016-04-22,pp_holdout,-0.40598272871622876
2016-04-29,pp_holdout,-0.40598272871622876
2016-05-06,pp_holdout,-0.40598272871622876
2016-05-13,pp_holdout,-0.40598272871622876
2016-05-20,pp_holdout,-0.40598272871622876
2016-05-27,pp_holdout,-0.40598272871622876
2016-06-03,pp_holdout,-0.40598272871622876
2016-06-10,pp_holdout,-0.40598272871622876
2016-06-17,pp_holdout,-0.40598272871622876
2016-06-24,pp_holdout,-0.40598272871622876
2016-07-01,pp_close,0.4859573720348708
2016-07-08,pp_close,0.4859573720348708
2016-07-15,pp_close,0.4859573720348708
2016-07-22,pp_close,0.4859573720348708
2016-07-29,pp_close,0.4859573720348708
2016-08-05,pp_close,0.4859573720348708
2016-08-12,pp_close,0.4859573720348708
2016-08-19,pp_close,0.4859573720348708
2016-08-26,pp_close,0.4859573720348708
2016-09-02,pp_close,0.4859573720348708
2016-09-09,pp_close,0.4859573720348708
2016-09-16,pp_close,0.4859573720348708
2016-09-23,pp_close,0.4859573720348708
2016-09-30,pp_close,0.4859573720348708
2016-10-07,pp_close,0.4859573720348708
2016-10-14,pp_close,0.4859573720348708
2016-10-21,pp_close,0.4859573720348708
2016-10-28,pp_close,0.4859573720348708
2016-11-04,pp_close,0.4859573720348708
2016-11-11,pp_close,0.4859573720348708
2016-11-18,pp_close,0.4859573720348708
2016-11-25,pp_close,0.4859573720348708
2016-12-02,pp_close,0.4859573720348708
2016-12-09,pp_close,0.4859573720348708
2016-12-16,pp_close,0.4859573720348708
2016-12-23,pp_close,0.4859573720348708
2016-12-30,pp_close,-0.25473265811746015
2017-01-06,pp_close,-0.25473265811746015
2017-01-13,pp_close,-0.25473265811746015
2017-01-20,pp_close,-0.25473265811746015
2017-01-27,pp_close,-0.25473265811746015
2017-02-03,pp_close,-0.25473265811746015
2017-02-10,pp_close,-0.25473265811746015
2017-02-17,pp_close,-0.25473265811746015
2017-02-24,pp_close,-0.25473265811746015
2017-03-03,pp_close,-0.25473265811746015
2017-03-10,pp_close,-0.25473265811746015
2017-03-17,pp_close,-0.25473265811746015
2017-03-24,pp_close,-0.25473265811746015
2017-03-31,pp_close,-0.25473265811746015
2017-04-07,pp_close,-0.25473265811746015
2017-04-14,pp_close,-0.25473265811746015
2017-04-21,pp_close,-0.25473265811746015
2017-04-28,pp_close,-0.25473265811746015
2017-05-05,pp_close,-0.25473265811746015
2017-05-12,pp_close,-0.25473265811746015
2017-05-19,pp_close,-0.25473265811746015
2017-05-26,pp_close,-0.25473265811746015
2017-06-02,pp_close,-0.25473265811746015
2017-06-09,pp_close,-0.25473265811746015
2017-06-16,pp_close,-0.25473265811746015
2017-06-23,pp_close,-0.25473265811746015
2017-06-30,pp_close,0.1513922746426143
2017-07-07,pp_close,0.1513922746426143
2017-07-14,pp_close,0.1513922746426143
2017-07-21,pp_close,0.1513922746426143
2017-07-28,pp_close,0.1513922746426143
2017-08-04,pp_close,0.1513922746426143
2017-08-11,pp_close,0.1513922746426143
2017-08-18,pp_close,0.1513922746426143
2017-08-25,pp_close,0.1513922746426143
2017-09-01,pp_close,0.1513922746426143
2017-09-08,pp_close,0.1513922746426143
2017-09-15,pp_close,0.1513922746426143
2017-09-22,pp_close,0.1513922746426143
2017-09-29,pp_close,0.1513922746426143
2017-10-06,pp_close,0.1513922746426143
2017-10-13,pp_close,0.1513922746426143
2017-10-20,pp_close,0.1513922746426143
2017-10-27,pp_close,0.1513922746426143
2017-11-03,pp_close,0.1513922746426143
2017-11-10,pp_close,0.1513922746426143
2017-11-17,pp_close,0.1513922746426143
