,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2011-11-11,0.03513162832584249,0.040293312937209474,0.10906220574769164,0.06206038223418171,0.0447432480611245,0.10870922269395021,0.6
2011-11-18,0.03513162832584249,0.040293312937209474,0.10906220574769164,0.06206038223418171,0.0447432480611245,0.10870922269395021,0.6
2011-11-25,0.07018819810189729,0.0808807286227669,0.1853574101748537,0.12768313413379487,0.11716322394842643,0.21872730501826088,0.19999999999999984
2011-12-02,0.07018819810189729,0.0808807286227669,0.1853574101748537,0.12768313413379487,0.11716322394842643,0.21872730501826088,0.19999999999999984
2011-12-09,0.07018819810189729,0.0808807286227669,0.1853574101748537,0.12768313413379487,0.11716322394842643,0.21872730501826088,0.19999999999999984
2011-12-16,0.07018819810189729,0.0808807286227669,0.1853574101748537,0.12768313413379487,0.11716322394842643,0.21872730501826088,0.19999999999999984
2011-12-23,0.07018819810189729,0.0808807286227669,0.1853574101748537,0.12768313413379487,0.11716322394842643,0.21872730501826088,0.19999999999999984
2011-12-30,0.07386014989152995,0.08489238753631548,0.22873786786921563,0.12822657999938386,0.10670469459326365,0.2225783201102915,0.1549999999999998
2012-01-06,0.07386014989152995,0.08489238753631548,0.22873786786921563,0.12822657999938386,0.10670469459326365,0.2225783201102915,0.1549999999999998
2012-01-13,0.07386014989152995,0.08489238753631548,0.22873786786921563,0.12822657999938386,0.10670469459326365,0.2225783201102915,0.1549999999999998
2012-01-20,0.07386014989152995,0.08489238753631548,0.22873786786921563,0.12822657999938386,0.10670469459326365,0.2225783201102915,0.1549999999999998
2012-01-27,0.0935647085179574,0.10841926529630311,0.21243698776164371,0.22525970979693907,0.10592584673086365,0.2475942190621891,0.006799262834103814
2012-02-03,0.0935647085179574,0.10841926529630311,0.21243698776164371,0.22525970979693907,0.10592584673086365,0.2475942190621891,0.006799262834103814
2012-02-10,0.0935647085179574,0.10841926529630311,0.21243698776164371,0.22525970979693907,0.10592584673086365,0.2475942190621891,0.006799262834103814
2012-02-17,0.0935647085179574,0.10841926529630311,0.21243698776164371,0.22525970979693907,0.10592584673086365,0.2475942190621891,0.006799262834103814
