,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_module,composite_regime_conditioned,taa_10m_sma,cash::BIL
2008-06-27,0.045899447596533034,0.20067119162764482,0.04952995553252878,0.35962315421162694,0.1442762510316665,0.19999999999999984
2008-07-04,0.045899447596533034,0.20067119162764482,0.04952995553252878,0.35962315421162694,0.1442762510316665,0.19999999999999984
2008-07-11,0.045899447596533034,0.20067119162764482,0.04952995553252878,0.35962315421162694,0.1442762510316665,0.19999999999999984
2008-07-18,0.045899447596533034,0.20067119162764482,0.04952995553252878,0.35962315421162694,0.1442762510316665,0.19999999999999984
2008-07-25,0.04626944740599769,0.19584548912142843,0.050839485234224394,0.3597738925269762,0.14727168571137336,0.19999999999999984
2008-08-01,0.04626944740599769,0.19584548912142843,0.050839485234224394,0.3597738925269762,0.14727168571137336,0.19999999999999984
2008-08-08,0.04626944740599769,0.19584548912142843,0.050839485234224394,0.3597738925269762,0.14727168571137336,0.19999999999999984
2008-08-15,0.04626944740599769,0.19584548912142843,0.050839485234224394,0.3597738925269762,0.14727168571137336,0.19999999999999984
2008-08-22,0.04626944740599769,0.19584548912142843,0.050839485234224394,0.3597738925269762,0.14727168571137336,0.19999999999999984
2008-08-29,0.05001820600938666,0.19811481264279043,0.053115806371482846,0.35986433551618574,0.1388868394601544,0.19999999999999996
2008-09-05,0.05001820600938666,0.19811481264279043,0.053115806371482846,0.35986433551618574,0.1388868394601544,0.19999999999999996
2008-09-12,0.05001820600938666,0.19811481264279043,0.053115806371482846,0.35986433551618574,0.1388868394601544,0.19999999999999996
2008-09-19,0.05001820600938666,0.19811481264279043,0.053115806371482846,0.35986433551618574,0.1388868394601544,0.19999999999999996
2008-09-26,0.025822790232497846,0.0973128588361447,0.02777216741030787,0.17995930065485571,0.06913288286619389,0.6
2008-10-03,0.025822790232497846,0.0973128588361447,0.02777216741030787,0.17995930065485571,0.06913288286619389,0.6
2008-10-10,0.025822790232497846,0.0973128588361447,0.02777216741030787,0.17995930065485571,0.06913288286619389,0.6
2008-10-17,0.025822790232497846,0.0973128588361447,0.02777216741030787,0.17995930065485571,0.06913288286619389,0.6
2008-10-24,0.025822790232497846,0.0973128588361447,0.02777216741030787,0.17995930065485571,0.06913288286619389,0.6
2008-10-31,0.0279045858816655,0.0934301373842632,0.030031941880349175,0.1799755803929134,0.0686577544608087,0.6000000000000001
2008-11-07,0.0279045858816655,0.0934301373842632,0.030031941880349175,0.1799755803929134,0.0686577544608087,0.6000000000000001
2008-11-14,0.0279045858816655,0.0934301373842632,0.030031941880349175,0.1799755803929134,0.0686577544608087,0.6000000000000001
2008-11-21,0.0279045858816655,0.0934301373842632,0.030031941880349175,0.1799755803929134,0.0686577544608087,0.6000000000000001
2008-11-28,0.030123109919384074,0.09141591769594302,0.031105721462089387,0.17998534823574805,0.0673699026868355,0.6
2008-12-05,0.030123109919384074,0.09141591769594302,0.031105721462089387,0.17998534823574805,0.0673699026868355,0.6
2008-12-12,0.030123109919384074,0.09141591769594302,0.031105721462089387,0.17998534823574805,0.0673699026868355,0.6
2008-12-19,0.030123109919384074,0.09141591769594302,0.031105721462089387,0.17998534823574805,0.0673699026868355,0.6
2008-12-26,0.043619729381285124,0.07619904416617393,0.04524962475689214,0.17999120894144882,0.05494039275420002,0.6
2009-01-02,0.043619729381285124,0.07619904416617393,0.04524962475689214,0.17999120894144882,0.05494039275420002,0.6
2009-01-09,0.043619729381285124,0.07619904416617393,0.04524962475689214,0.17999120894144882,0.05494039275420002,0.6
2009-01-16,0.043619729381285124,0.07619904416617393,0.04524962475689214,0.17999120894144882,0.05494039275420002,0.6
2009-01-23,0.043619729381285124,0.07619904416617393,0.04524962475689214,0.17999120894144882,0.05494039275420002,0.6
2009-01-30,0.052036486198758225,0.0668361237005588,0.05424868804065574,0.17999472536486932,0.04688397669515795,0.6
2009-02-06,0.052036486198758225,0.0668361237005588,0.05424868804065574,0.17999472536486932,0.04688397669515795,0.6
2009-02-13,0.052036486198758225,0.0668361237005588,0.05424868804065574,0.17999472536486932,0.04688397669515795,0.6
2009-02-20,0.052036486198758225,0.0668361237005588,0.05424868804065574,0.17999472536486932,0.04688397669515795,0.6
2009-02-27,0.05799204133412549,0.06091141808748657,0.059336263058177456,0.1799968352189216,0.041763442301288936,0.6
2009-03-06,0.05799204133412549,0.06091141808748657,0.059336263058177456,0.1799968352189216,0.041763442301288936,0.6
2009-03-13,0.05799204133412549,0.06091141808748657,0.059336263058177456,0.1799968352189216,0.041763442301288936,0.6
2009-03-20,0.05799204133412549,0.06091141808748657,0.059336263058177456,0.1799968352189216,0.041763442301288936,0.6
2009-03-27,0.061955663153546725,0.05702329409204831,0.06250352176283927,0.17999810113135295,0.03851941986021277,0.6
2009-04-03,0.061955663153546725,0.05702329409204831,0.06250352176283927,0.17999810113135295,0.03851941986021277,0.6
2009-04-10,0.061955663153546725,0.05702329409204831,0.06250352176283927,0.17999810113135295,0.03851941986021277,0.6
2009-04-17,0.061955663153546725,0.05702329409204831,0.06250352176283927,0.17999810113135295,0.03851941986021277,0.6
2009-04-24,0.10570066683327156,0.13557483633147122,0.10346029563341533,0.3599977213576236,0.09526647984421846,0.19999999999999996
2009-05-01,0.10570066683327156,0.13557483633147122,0.10346029563341533,0.3599977213576236,0.09526647984421846,0.19999999999999996
2009-05-08,0.10570066683327156,0.13557483633147122,0.10346029563341533,0.3599977213576236,0.09526647984421846,0.19999999999999996
2009-05-15,0.10570066683327156,0.13557483633147122,0.10346029563341533,0.3599977213576236,0.09526647984421846,0.19999999999999996
2009-05-22,0.10570066683327156,0.13557483633147122,0.10346029563341533,0.3599977213576236,0.09526647984421846,0.19999999999999996
2009-05-29,0.10248981416465353,0.1221952500099042,0.11224699900307433,0.3599986328145741,0.10306930400779386,0.19999999999999996
2009-06-05,0.10248981416465353,0.1221952500099042,0.11224699900307433,0.3599986328145741,0.10306930400779386,0.19999999999999996
2009-06-12,0.10248981416465353,0.1221952500099042,0.11224699900307433,0.3599986328145741,0.10306930400779386,0.19999999999999996
2009-06-19,0.10248981416465353,0.1221952500099042,0.11224699900307433,0.3599986328145741,0.10306930400779386,0.19999999999999996
2009-06-26,0.12606542011540947,0.1261131212092241,0.16223042350035652,0.43559950371169043,0.12028597406324477,0.029705557400074634
2009-07-03,0.12606542011540947,0.1261131212092241,0.16223042350035652,0.43559950371169043,0.12028597406324477,0.029705557400074634
2009-07-10,0.12606542011540947,0.1261131212092241,0.16223042350035652,0.43559950371169043,0.12028597406324477,0.029705557400074634
2009-07-17,0.12606542011540947,0.1261131212092241,0.16223042350035652,0.43559950371169043,0.12028597406324477,0.029705557400074634
2009-07-24,0.12606542011540947,0.1261131212092241,0.16223042350035652,0.43559950371169043,0.12028597406324477,0.029705557400074634
2009-07-31,0.12107601446735465,0.1278332423497242,0.17533300091086573,0.4138595547422009,0.1322461675567983,0.02965201997305622
2009-08-07,0.12107601446735465,0.1278332423497242,0.17533300091086573,0.4138595547422009,0.1322461675567983,0.02965201997305622
2009-08-14,0.12107601446735465,0.1278332423497242,0.17533300091086573,0.4138595547422009,0.1322461675567983,0.02965201997305622
2009-08-21,0.12107601446735465,0.1278332423497242,0.17533300091086573,0.4138595547422009,0.1322461675567983,0.02965201997305622
