,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_refined,composite_regime_conditioned,taa_10m_sma,composite_confirmation_aware_momentum
2012-02-24,0.4581173218158412,0.28330709923303193,0.24807362093378701,0.2872074079190174,0.21387460417912138,0.22822209387824763
2012-03-02,0.36907448308973684,0.3080739822130916,0.23940977164843563,0.33205807152222677,0.2136235041658838,0.24637259757887192
2012-03-09,0.387243052142172,0.33531919701627694,0.24124920037352698,0.2841351370587288,0.20472553199217278,0.31875915457524034
2012-03-16,0.4429348770796534,0.34919745608017483,0.2461986523574485,0.2956487514055485,0.27072787494907685,0.27516528064601015
2012-03-23,0.38247173885567626,0.3339258848094489,0.20669256357212992,0.2862277780901813,0.23335089584048013,0.32919859305103366
2012-03-30,0.37250573636830503,0.33092143542452523,0.2051458157376518,0.2553182472893646,0.2240289943313315,0.3264158542658868
2012-04-06,0.37501816045361636,0.3265725844135147,0.2051458157376518,0.2553182472893646,0.2118503451416163,0.3437090605184486
2012-04-13,0.3749049810903858,0.3251178375169167,0.2136703432038547,0.28672688468495255,0.261450988932032,0.28953253235870685
2012-04-20,0.35920804994967276,0.298892309741273,0.23675850885097252,0.2812284407949779,0.24077846952866053,0.2858725992663293
2012-04-27,0.3291021253125065,0.31989818373358464,0.2569177460363525,0.28041032450186076,0.27653385816290144,0.26968374903997183
2012-05-04,0.2838534794876935,0.46418410879265704,0.2595199852489104,0.2503389128262469,0.27340283422625516,0.26593111755614546
