version_name,market_state,strong_neutral,bil_weight,overlay_cash_weight,sleeve_bil_weight,sleeve_internal_bil_weight,self_gated_internal_bil_weight,self_gated_overlay_cut_total,self_gated_overlay_cut_risky,non_self_gated_overlay_cut_total,non_self_gated_overlay_cut_risky,regime_multiplier,target_vol_multiplier,gross_multiplier
improved_phaseeee_smoothed_near_exclude_dual,calm_trend,0.0,0.11032633059998262,0.03632391953513558,0.07400241106484705,0.05917305716859435,0.0004932914502355006,0.00014758869678630615,0.00014758869678630615,0.00017546744290730613,9.110942833559373e-05,1.0,0.9985560369513695,0.9985560369513695
improved_phaseeee_smoothed_near_exclude_dual,neutral_mixed,0.0,0.36207558985724597,0.3324541804318312,0.029621409425414805,0.024226683713021214,0.005326848363018847,0.013696311212896946,0.013518507260026187,0.021743596395073027,0.020640704423694794,0.8228004619601501,0.9971013716602369,0.8228004619601501
improved_phaseeee_smoothed_near_exclude_dual,neutral_mixed,1.0,0.19091902729594068,0.1577865193112809,0.03313250798465976,0.029400787029203165,0.0009261823544031308,0.0033947412175865284,0.0033870491417335776,0.00596391504222524,0.00562023789526198,0.9494468340601415,0.9909757377846896,0.951893223085529
improved_phaseeee_smoothed_near_exclude_dual,recovery_confirmed,0.0,0.11279142546374618,0.08426822743555626,0.028523198028189933,0.01851978911022556,0.0,0.007122644934150874,0.007122644934150874,0.015601006225420495,0.015267184516143945,0.9238966069851,0.9603312361178978,0.9166799457482383
improved_phaseeee_smoothed_near_exclude_dual,recovery_fragile,0.0,0.16992771101887102,0.13019888785660566,0.03972882316226538,0.03827577634689159,0.023184559833952314,0.0031520377908754323,0.002831433117493681,0.0056400137366177695,0.005519366166314192,0.9694264302424679,0.9893058801877855,0.9692278196537739
improved_phaseeee_smoothed_near_exclude_dual,stressed_panic,0.0,0.5313356094955823,0.5092348620508677,0.022100747444714717,0.020190224509036694,0.013127538405740763,0.0484351711171435,0.04328221977768532,0.0755822961317648,0.07411429568523681,0.43200000000000005,0.9897144064530758,0.43200000000000005
improved_phasefff_robust_composite_offense,calm_trend,0.0,0.1090600059892699,0.035918716070612935,0.07314128991865697,0.06033280274538889,0.0005390419080771171,0.00011221271373083427,0.00011221271373083427,0.00013556076953369012,7.097039915067419e-05,1.0,0.9988925276126812,0.9988925276126812
improved_phasefff_robust_composite_offense,neutral_mixed,0.0,0.367422722245424,0.33225420649788134,0.03516851574754263,0.029941993797145426,0.0056050250980506176,0.013161791788783352,0.012980692974240348,0.022278115819186622,0.02086644524730173,0.8228004619601501,0.9974238987877847,0.8228004619601501
improved_phasefff_robust_composite_offense,neutral_mixed,1.0,0.19566003842805096,0.15730422960511045,0.03835580882294051,0.035468923242286274,0.0011631968370519788,0.003357745332219565,0.0033493398525728598,0.005888367501881505,0.005476311340740329,0.9494468340601415,0.9915171549374978,0.9524717357826032
improved_phasefff_robust_composite_offense,recovery_confirmed,0.0,0.10874558750777942,0.08201417953993412,0.026731407967845313,0.01814641133424038,0.0,0.006874918447898029,0.006874918447898029,0.015208757430178433,0.014876902532164876,0.9238966069851,0.9626830308950369,0.9190265217803862
