,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2016-01-01,0.05852825246485452,0.06462115235024941,0.0759657530978121,0.09570721475117375,0.10517762733591028,0.5999999999999999
2016-01-08,0.05852825246485452,0.06462115235024941,0.0759657530978121,0.09570721475117375,0.10517762733591028,0.5999999999999999
2016-01-15,0.05852825246485452,0.06462115235024941,0.0759657530978121,0.09570721475117375,0.10517762733591028,0.5999999999999999
2016-01-22,0.05852825246485452,0.06462115235024941,0.0759657530978121,0.09570721475117375,0.10517762733591028,0.5999999999999999
2016-01-29,0.049590325994295664,0.05128261250145116,0.10237556406205045,0.08262479251262686,0.11412670492957594,0.5999999999999999
2016-02-05,0.049590325994295664,0.05128261250145116,0.10237556406205045,0.08262479251262686,0.11412670492957594,0.5999999999999999
2016-02-12,0.049590325994295664,0.05128261250145116,0.10237556406205045,0.08262479251262686,0.11412670492957594,0.5999999999999999
2016-02-19,0.049590325994295664,0.05128261250145116,0.10237556406205045,0.08262479251262686,0.11412670492957594,0.5999999999999999
2016-02-26,0.05134581447687589,0.04939591258664839,0.09163204428230483,0.08752300765934423,0.12010322099482669,0.6
2016-03-04,0.05134581447687589,0.04939591258664839,0.09163204428230483,0.08752300765934423,0.12010322099482669,0.6
2016-03-11,0.05134581447687589,0.04939591258664839,0.09163204428230483,0.08752300765934423,0.12010322099482669,0.6
2016-03-18,0.05134581447687589,0.04939591258664839,0.09163204428230483,0.08752300765934423,0.12010322099482669,0.6
2016-03-25,0.1085251335209166,0.09963142020731369,0.17508817953066882,0.17521259486612042,0.24154267187498046,0.20000000000000007
2016-04-01,0.1085251335209166,0.09963142020731369,0.17508817953066882,0.17521259486612042,0.24154267187498046,0.20000000000000007
2016-04-08,0.1085251335209166,0.09963142020731369,0.17508817953066882,0.17521259486612042,0.24154267187498046,0.20000000000000007
2016-04-15,0.1085251335209166,0.09963142020731369,0.17508817953066882,0.17521259486612042,0.24154267187498046,0.20000000000000007
2016-04-22,0.1085251335209166,0.09963142020731369,0.17508817953066882,0.17521259486612042,0.24154267187498046,0.20000000000000007
2016-04-29,0.13699877879535818,0.115436506202046,0.22081353209656054,0.21220648143112097,0.28586069312660234,0.028684008348311973
2016-05-06,0.13699877879535818,0.115436506202046,0.22081353209656054,0.21220648143112097,0.28586069312660234,0.028684008348311973
2016-05-13,0.13699877879535818,0.115436506202046,0.22081353209656054,0.21220648143112097,0.28586069312660234,0.028684008348311973
2016-05-20,0.13699877879535818,0.115436506202046,0.22081353209656054,0.21220648143112097,0.28586069312660234,0.028684008348311973
2016-05-27,0.13032859080589523,0.10706651294527807,0.2042234591090209,0.19753552785875483,0.301948759290188,0.05889714999086304
2016-06-03,0.13032859080589523,0.10706651294527807,0.2042234591090209,0.19753552785875483,0.301948759290188,0.05889714999086304
2016-06-10,0.13032859080589523,0.10706651294527807,0.2042234591090209,0.19753552785875483,0.301948759290188,0.05889714999086304
2016-06-17,0.13032859080589523,0.10706651294527807,0.2042234591090209,0.19753552785875483,0.301948759290188,0.05889714999086304
2016-06-24,0.13275931600202365,0.10880061828427362,0.2085372923141,0.19902880047684354,0.30802093212956755,0.04285304079319152
2016-07-01,0.13275931600202365,0.10880061828427362,0.2085372923141,0.19902880047684354,0.30802093212956755,0.04285304079319152
2016-07-08,0.13275931600202365,0.10880061828427362,0.2085372923141,0.19902880047684354,0.30802093212956755,0.04285304079319152
2016-07-15,0.13275931600202365,0.10880061828427362,0.2085372923141,0.19902880047684354,0.30802093212956755,0.04285304079319152
2016-07-22,0.13275931600202365,0.10880061828427362,0.2085372923141,0.19902880047684354,0.30802093212956755,0.04285304079319152
2016-07-29,0.13803576925557365,0.11324933392825667,0.22074367750658547,0.21963536673660652,0.30833585257297774,0.0
2016-08-05,0.13803576925557365,0.11324933392825667,0.22074367750658547,0.21963536673660652,0.30833585257297774,0.0
