,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_refined,composite_regime_conditioned,taa_10m_sma,cash::BIL
2023-05-26,0.19210184665026953,0.08041972808299434,0.0897697107050321,0.45,0.18770871456170402,0.0
2023-06-02,0.19210184665026953,0.08041972808299434,0.0897697107050321,0.45,0.18770871456170402,0.0
2023-06-09,0.19210184665026953,0.08041972808299434,0.0897697107050321,0.45,0.18770871456170402,0.0
2023-06-16,0.19210184665026953,0.08041972808299434,0.0897697107050321,0.45,0.18770871456170402,0.0
2023-06-23,0.19210184665026953,0.08041972808299434,0.0897697107050321,0.45,0.18770871456170402,0.0
2023-06-30,0.22265506468161025,0.08692860715700682,0.08632911926134393,0.44999999999999996,0.15408720890003907,0.0
2023-07-07,0.22265506468161025,0.08692860715700682,0.08632911926134393,0.44999999999999996,0.15408720890003907,0.0
2023-07-14,0.22265506468161025,0.08692860715700682,0.08632911926134393,0.44999999999999996,0.15408720890003907,0.0
2023-07-21,0.22265506468161025,0.08692860715700682,0.08632911926134393,0.44999999999999996,0.15408720890003907,0.0
2023-07-28,0.23827416517366917,0.08296882348507366,0.0910136420512596,0.42975004928293875,0.15799332000705876,0.0
2023-08-04,0.23827416517366917,0.08296882348507366,0.0910136420512596,0.42975004928293875,0.15799332000705876,0.0
2023-08-11,0.23827416517366917,0.08296882348507366,0.0910136420512596,0.42975004928293875,0.15799332000705876,0.0
2023-08-18,0.23827416517366917,0.08296882348507366,0.0910136420512596,0.42975004928293875,0.15799332000705876,0.0
2023-08-25,0.22724588809342255,0.0863753835639364,0.0785954790649358,0.44090139068693635,0.16688185859076887,0.0
2023-09-01,0.22724588809342255,0.0863753835639364,0.0785954790649358,0.44090139068693635,0.16688185859076887,0.0
2023-09-08,0.22724588809342255,0.0863753835639364,0.0785954790649358,0.44090139068693635,0.16688185859076887,0.0
2023-09-15,0.22724588809342255,0.0863753835639364,0.0785954790649358,0.44090139068693635,0.16688185859076887,0.0
2023-09-22,0.22724588809342255,0.0863753835639364,0.0785954790649358,0.44090139068693635,0.16688185859076887,0.0
2023-09-29,0.20464705395852745,0.07667428063032103,0.07616827632781305,0.40721380160715653,0.15863337762847396,0.07666320984770802
2023-10-06,0.20464705395852745,0.07667428063032103,0.07616827632781305,0.40721380160715653,0.15863337762847396,0.07666320984770802
2023-10-13,0.20464705395852745,0.07667428063032103,0.07616827632781305,0.40721380160715653,0.15863337762847396,0.07666320984770802
2023-10-20,0.20464705395852745,0.07667428063032103,0.07616827632781305,0.40721380160715653,0.15863337762847396,0.07666320984770802
2023-10-27,0.17302246158625062,0.06462004295680904,0.06645674995074782,0.3544540973012993,0.14144664820489328,0.19999999999999996
2023-11-03,0.17302246158625062,0.06462004295680904,0.06645674995074782,0.3544540973012993,0.14144664820489328,0.19999999999999996
2023-11-10,0.17302246158625062,0.06462004295680904,0.06645674995074782,0.3544540973012993,0.14144664820489328,0.19999999999999996
2023-11-17,0.17302246158625062,0.06462004295680904,0.06645674995074782,0.3544540973012993,0.14144664820489328,0.19999999999999996
2023-11-24,0.23388433371260112,0.07057102370717656,0.09044170457637926,0.41653178623726944,0.18857115176657366,0.0
2023-12-01,0.23388433371260112,0.07057102370717656,0.09044170457637926,0.41653178623726944,0.18857115176657366,0.0
2023-12-08,0.23388433371260112,0.07057102370717656,0.09044170457637926,0.41653178623726944,0.18857115176657366,0.0
2023-12-15,0.23388433371260112,0.07057102370717656,0.09044170457637926,0.41653178623726944,0.18857115176657366,0.0
2023-12-22,0.23388433371260112,0.07057102370717656,0.09044170457637926,0.41653178623726944,0.18857115176657366,0.0
2023-12-29,0.23405204809788474,0.0720878548275608,0.09082471140643456,0.41350294585442293,0.18953243981369694,0.0
2024-01-05,0.23405204809788474,0.0720878548275608,0.09082471140643456,0.41350294585442293,0.18953243981369694,0.0
2024-01-12,0.23405204809788474,0.0720878548275608,0.09082471140643456,0.41350294585442293,0.18953243981369694,0.0
2024-01-19,0.23405204809788474,0.0720878548275608,0.09082471140643456,0.41350294585442293,0.18953243981369694,0.0
2024-01-26,0.21983160113050884,0.07267284891379794,0.09045323856971148,0.40512105009676685,0.17306528763055679,0.038855973658658005
2024-02-02,0.21983160113050884,0.07267284891379794,0.09045323856971148,0.40512105009676685,0.17306528763055679,0.038855973658658005
2024-02-09,0.21983160113050884,0.07267284891379794,0.09045323856971148,0.40512105009676685,0.17306528763055679,0.038855973658658005
2024-02-16,0.21983160113050884,0.07267284891379794,0.09045323856971148,0.40512105009676685,0.17306528763055679,0.038855973658658005
2024-02-23,0.21870081724789137,0.07500070982260533,0.09982607078178564,0.43697872879085614,0.16949367335686155,0.0
2024-03-01,0.21870081724789137,0.07500070982260533,0.09982607078178564,0.43697872879085614,0.16949367335686155,0.0
2024-03-08,0.21870081724789137,0.07500070982260533,0.09982607078178564,0.43697872879085614,0.16949367335686155,0.0
2024-03-15,0.21870081724789137,0.07500070982260533,0.09982607078178564,0.43697872879085614,0.16949367335686155,0.0
2024-03-22,0.21870081724789137,0.07500070982260533,0.09982607078178564,0.43697872879085614,0.16949367335686155,0.0
