,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2010-10-29,0.19499834486789774,0.1183300613577814,0.23034577015143667,0.3111904841928412,0.14513533943004303,0.0
2010-11-05,0.19499834486789774,0.1183300613577814,0.23034577015143667,0.3111904841928412,0.14513533943004303,0.0
2010-11-12,0.19499834486789774,0.1183300613577814,0.23034577015143667,0.3111904841928412,0.14513533943004303,0.0
2010-11-19,0.19499834486789774,0.1183300613577814,0.23034577015143667,0.3111904841928412,0.14513533943004303,0.0
2010-11-26,0.18882300750721615,0.11966494439309508,0.21649201930728773,0.29562781066359467,0.1381735870113574,0.041218631117449056
2010-12-03,0.18882300750721615,0.11966494439309508,0.21649201930728773,0.29562781066359467,0.1381735870113574,0.041218631117449056
2010-12-10,0.18882300750721615,0.11966494439309508,0.21649201930728773,0.29562781066359467,0.1381735870113574,0.041218631117449056
2010-12-17,0.18882300750721615,0.11966494439309508,0.21649201930728773,0.29562781066359467,0.1381735870113574,0.041218631117449056
2010-12-24,0.18882300750721615,0.11966494439309508,0.21649201930728773,0.29562781066359467,0.1381735870113574,0.041218631117449056
2010-12-31,0.198342891208953,0.13542927347325442,0.23433451408684972,0.2973501025744715,0.13454321865647145,0.0
2011-01-07,0.198342891208953,0.13542927347325442,0.23433451408684972,0.2973501025744715,0.13454321865647145,0.0
2011-01-14,0.198342891208953,0.13542927347325442,0.23433451408684972,0.2973501025744715,0.13454321865647145,0.0
2011-01-21,0.198342891208953,0.13542927347325442,0.23433451408684972,0.2973501025744715,0.13454321865647145,0.0
2011-01-28,0.15518443046603766,0.16722399062868795,0.27264857662869624,0.23430488453717377,0.12764822703353151,0.04298989070587278
2011-02-04,0.15518443046603766,0.16722399062868795,0.27264857662869624,0.23430488453717377,0.12764822703353151,0.04298989070587278
2011-02-11,0.15518443046603766,0.16722399062868795,0.27264857662869624,0.23430488453717377,0.12764822703353151,0.04298989070587278
