,dual_momentum_topn,cta_trend_long_only,composite_selective_concentrated,composite_regime_conditioned,taa_10m_sma,cash::BIL
2011-04-22,0.17508858722322215,0.11997688237128526,0.2619513029155892,0.21942744106206893,0.0735557864278344,0.15000000000000002
2011-04-29,0.24979927673345925,0.10373319707357209,0.3255938599186775,0.2639688992400221,0.05690476703426914,0.0
2011-05-06,0.24979927673345925,0.10373319707357209,0.3255938599186775,0.2639688992400221,0.05690476703426914,0.0
2011-05-13,0.24979927673345925,0.10373319707357209,0.3255938599186775,0.2639688992400221,0.05690476703426914,0.0
2011-05-20,0.24979927673345925,0.10373319707357209,0.3255938599186775,0.2639688992400221,0.05690476703426914,0.0
2011-05-27,0.25037901036723503,0.10298012021304923,0.3246168815002616,0.2652366207276039,0.056787367191850326,0.0
2011-06-03,0.25037901036723503,0.10298012021304923,0.3246168815002616,0.2652366207276039,0.056787367191850326,0.0
2011-06-10,0.25037901036723503,0.10298012021304923,0.3246168815002616,0.2652366207276039,0.056787367191850326,0.0
2011-06-17,0.25037901036723503,0.10298012021304923,0.3246168815002616,0.2652366207276039,0.056787367191850326,0.0
2011-06-24,0.24474314607929462,0.10164304221802664,0.3181545466975706,0.276064698801471,0.05939456620363715,0.0
2011-07-01,0.24474314607929462,0.10164304221802664,0.3181545466975706,0.276064698801471,0.05939456620363715,0.0
2011-07-08,0.24474314607929462,0.10164304221802664,0.3181545466975706,0.276064698801471,0.05939456620363715,0.0
2011-07-15,0.24474314607929462,0.10164304221802664,0.3181545466975706,0.276064698801471,0.05939456620363715,0.0
2011-07-22,0.24474314607929462,0.10164304221802664,0.3181545466975706,0.276064698801471,0.05939456620363715,0.0
2011-07-29,0.2308214063234255,0.10647601301318145,0.31063268669130173,0.2591643443707427,0.06267129292145047,0.030234256679898208
2011-08-05,0.2308214063234255,0.10647601301318145,0.31063268669130173,0.2591643443707427,0.06267129292145047,0.030234256679898208
2011-08-12,0.2308214063234255,0.10647601301318145,0.31063268669130173,0.2591643443707427,0.06267129292145047,0.030234256679898208
2011-08-19,0.2308214063234255,0.10647601301318145,0.31063268669130173,0.2591643443707427,0.06267129292145047,0.030234256679898208
2011-08-26,0.09137184441509053,0.042011301547064776,0.12249671885291301,0.11583194681759168,0.02828818836734003,0.6
2011-09-02,0.09137184441509053,0.042011301547064776,0.12249671885291301,0.11583194681759168,0.02828818836734003,0.6
2011-09-09,0.09137184441509053,0.042011301547064776,0.12249671885291301,0.11583194681759168,0.02828818836734003,0.6
2011-09-16,0.09137184441509053,0.042011301547064776,0.12249671885291301,0.11583194681759168,0.02828818836734003,0.6
2011-09-23,0.09137184441509053,0.042011301547064776,0.12249671885291301,0.11583194681759168,0.02828818836734003,0.6
2011-09-30,0.0723168277320714,0.058468162704341256,0.11838145527082942,0.10349584730850314,0.047337706984254796,0.6
2011-10-07,0.0723168277320714,0.058468162704341256,0.11838145527082942,0.10349584730850314,0.047337706984254796,0.6
2011-10-14,0.0723168277320714,0.058468162704341256,0.11838145527082942,0.10349584730850314,0.047337706984254796,0.6
2011-10-21,0.0723168277320714,0.058468162704341256,0.11838145527082942,0.10349584730850314,0.047337706984254796,0.6
2011-10-28,0.05985572686520962,0.06813694308617042,0.11542183378849474,0.09440536056486995,0.06218013569525528,0.6
2011-11-04,0.05985572686520962,0.06813694308617042,0.11542183378849474,0.09440536056486995,0.06218013569525528,0.6
2011-11-11,0.05985572686520962,0.06813694308617042,0.11542183378849474,0.09440536056486995,0.06218013569525528,0.6
2011-11-18,0.05985572686520962,0.06813694308617042,0.11542183378849474,0.09440536056486995,0.06218013569525528,0.6
2011-11-25,0.10398800451926933,0.14835374080078664,0.22587793489474628,0.1743389003348924,0.1474414194503054,0.19999999999999984
2011-12-02,0.10398800451926933,0.14835374080078664,0.22587793489474628,0.1743389003348924,0.1474414194503054,0.19999999999999984
2011-12-09,0.10398800451926933,0.14835374080078664,0.22587793489474628,0.1743389003348924,0.1474414194503054,0.19999999999999984
2011-12-16,0.10398800451926933,0.14835374080078664,0.22587793489474628,0.1743389003348924,0.1474414194503054,0.19999999999999984
2011-12-23,0.10398800451926933,0.14835374080078664,0.22587793489474628,0.1743389003348924,0.1474414194503054,0.19999999999999984
2011-12-30,0.11999333453462797,0.12656732134437498,0.23389671809950363,0.19484217929475278,0.12470044672674062,0.20000000000000007
2012-01-06,0.11999333453462797,0.12656732134437498,0.23389671809950363,0.19484217929475278,0.12470044672674062,0.20000000000000007
2012-01-13,0.11999333453462797,0.12656732134437498,0.23389671809950363,0.19484217929475278,0.12470044672674062,0.20000000000000007
2012-01-20,0.11999333453462797,0.12656732134437498,0.23389671809950363,0.19484217929475278,0.12470044672674062,0.20000000000000007
2012-01-27,0.10290266412856315,0.19148900679333308,0.28727806594647765,0.15627986406644492,0.1820503990651813,0.07999999999999996
2012-02-03,0.10290266412856315,0.19148900679333308,0.28727806594647765,0.15627986406644492,0.1820503990651813,0.07999999999999996
2012-02-10,0.10290266412856315,0.19148900679333308,0.28727806594647765,0.15627986406644492,0.1820503990651813,0.07999999999999996
2012-02-17,0.10290266412856315,0.19148900679333308,0.28727806594647765,0.15627986406644492,0.1820503990651813,0.07999999999999996
2012-02-24,0.0869219208620394,0.21911976362124805,0.31348465164333356,0.11497385074801424,0.18549981312536482,0.07999999999999996
2012-03-02,0.0869219208620394,0.21911976362124805,0.31348465164333356,0.11497385074801424,0.18549981312536482,0.07999999999999996
2012-03-09,0.0869219208620394,0.21911976362124805,0.31348465164333356,0.11497385074801424,0.18549981312536482,0.07999999999999996
2012-03-16,0.0869219208620394,0.21911976362124805,0.31348465164333356,0.11497385074801424,0.18549981312536482,0.07999999999999996
