permutation,holdout_cagr,holdout_sharpe,holdout_sortino,holdout_drawdown,holdout_turnover,full_cagr,full_sharpe,full_drawdown
23,0.1697036097028315,0.8923133728405505,1.2905167559471664,-0.19932342896690125,2.8303797468354435,0.1600153851791708,0.8025214446115354,-0.42975451660657793
24,0.20487010217958201,1.0616295076068212,1.5812928035594274,-0.2191593016536293,3.0278481012658225,0.14279729834040644,0.7182512817128853,-0.4336791869923755
25,0.3659952360779002,1.5279440773033337,2.3957669735522527,-0.17254980222930316,2.8303797468354435,0.15735963453539448,0.7626327322343968,-0.4268037556243617
26,0.26405642572221866,1.260622387446966,1.8897481699617038,-0.18712507969985004,2.632911392405064,0.1764495549313012,0.816829811440132,-0.49855584289618293
27,0.3145988309144019,1.4390752461838576,2.2964782937145944,-0.2612402006443105,3.0936708860759494,0.20301541317806993,0.898937312862075,-0.4446192782810606
28,0.2151066784310709,1.0854623921129931,1.6014609136250113,-0.1459526274469679,2.632911392405063,0.11415382697674059,0.5872336007282092,-0.4749247100996935
29,0.14624293717436831,0.7857175165964612,1.1072566707284823,-0.22616157417680316,2.69873417721519,0.12997719868500113,0.6671210131748105,-0.39439858787005955
30,0.2787795953386516,1.3869535088186842,2.126142166526408,-0.13980482026270358,2.69873417721519,0.19408494678984023,0.9199550618638526,-0.37136284541350617
31,0.2348454907912101,1.1607693069105982,1.7438165107180181,-0.1844796801195121,2.6987341772151896,0.15395557806888704,0.7476288185015837,-0.44559309721143914
32,0.2741232176461954,1.2360073230581146,1.8590642779926552,-0.1728643548652592,3.0936708860759494,0.18669169532089058,0.886673896273225,-0.42825108874440887
33,0.30970331728301925,1.4072984476525012,2.2017173670496666,-0.18937499141150804,3.0936708860759494,0.19598504512317283,0.8901464460636184,-0.4614556489706906
34,0.12757003306097459,0.7057530664625785,0.9819487317910022,-0.21944422022579368,2.962025316455696,0.14333377381551804,0.7096431664228182,-0.3766625365319548
35,0.14432176727777546,0.8116415356012278,1.1539154239399059,-0.20248356329392847,2.89620253164557,0.1997881083506956,0.9084083164857107,-0.46852775133280367
36,0.2833856577123408,1.2089843416184387,1.865455269823501,-0.24118389936331908,2.89620253164557,0.2233828153141293,0.9984327022459197,-0.364807574497215
