candidate_signal_name,feature_formula,feature_family,targets_where_it_worked,models_where_it_appeared,oos_evidence,stability_evidence,state_specific_evidence,redundancy_score,economic_interpretation,causal,suggested_next_test_phase,signal_category,discovery_score
ooo_candidate_state_recovery_confirmed,state_recovery_confirmed,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.11846444757474328,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,3.2325000000000004
ooo_candidate_leadlag_QQQ_minus_SPY_13w,leadlag_QQQ_minus_SPY_13w,cross_asset_lead_lag,target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0323; best_brier_delta=-0.0068,folds=33; targets=3; models=4,not explicitly state-specific,0.07899588536936897,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.7500000000000004
ooo_candidate_breadth_ret13_positive_x_state_recovery_fragile,breadth_ret13_positive_x_state_recovery_fragile,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.1183853551892267,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.75
ooo_candidate_asset_downside_vol_13w,asset_downside_vol_13w,volatility_risk,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=2; models=4,not explicitly state-specific,0.2230727933831327,volatility-managed sizing or risk-quality filter,True,OOO3 volatility-managed signal sizing,PROMISING_BUT_NEEDS_VALIDATION,2.685
ooo_candidate_leadlag_HYG_minus_LQD_13w_x_state_recovery_confirmed,leadlag_HYG_minus_LQD_13w_x_state_recovery_confirmed,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.024654343388647214,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.6825
ooo_candidate_state_recovery_fragile,state_recovery_fragile,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.1127058183631844,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.6750000000000003
ooo_candidate_asset_downside_vol_13w_x_state_neutral_mixed,asset_downside_vol_13w_x_state_neutral_mixed,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=2; models=4,state interaction,0.10584539598635176,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.67
ooo_candidate_leadlag_HYG_minus_LQD_13w_x_state_neutral_mixed,leadlag_HYG_minus_LQD_13w_x_state_neutral_mixed,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.08358237963755719,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.64
ooo_candidate_breadth_ret13_positive,breadth_ret13_positive,breadth_dispersion,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.29864365326150255,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.5675
ooo_candidate_regime_canary_breadth_default,regime_canary_breadth_default,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.20035272173816213,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.555
ooo_candidate_offensive_breadth_13w,offensive_breadth_13w,breadth_dispersion,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.30233046464519614,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.5450000000000004
ooo_candidate_regime_breadth_26w_mom,regime_breadth_26w_mom,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.2898350825509978,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.5450000000000004
ooo_candidate_leadlag_HYG_minus_LQD_13w,leadlag_HYG_minus_LQD_13w,cross_asset_lead_lag,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.2357293679267181,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.52
ooo_candidate_regime_breadth_change_4w,regime_breadth_change_4w,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.11705999883921642,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.4850000000000003
ooo_candidate_leadlag_IWM_minus_SPY_26w,leadlag_IWM_minus_SPY_26w,cross_asset_lead_lag,target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0323; best_brier_delta=-0.0068,folds=33; targets=2; models=4,not explicitly state-specific,0.12244981121641815,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.4475000000000002
ooo_candidate_leadlag_EFA_minus_SPY_26w,leadlag_EFA_minus_SPY_26w,cross_asset_lead_lag,target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0323; best_brier_delta=-0.0068,folds=33; targets=2; models=4,not explicitly state-specific,0.10680718420066117,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.41
ooo_candidate_leadlag_VWO_minus_SPY_13w,leadlag_VWO_minus_SPY_13w,cross_asset_lead_lag,target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0323; best_brier_delta=-0.0068,folds=33; targets=3; models=4,not explicitly state-specific,0.11734573976470743,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.4050000000000002
ooo_candidate_asset_mom_agreement_count,asset_mom_agreement_count,cross_asset_momentum,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=2; models=4,not explicitly state-specific,0.20812190616132017,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.3425000000000002
ooo_candidate_asset_downside_vol_13w_x_state_recovery_confirmed,asset_downside_vol_13w_x_state_recovery_confirmed,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=2; models=4,state interaction,0.09713110097710756,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.3375000000000004
ooo_candidate_leadlag_GLD_minus_SPY_26w,leadlag_GLD_minus_SPY_26w,cross_asset_lead_lag,target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0323; best_brier_delta=-0.0068,folds=33; targets=2; models=4,not explicitly state-specific,0.21240892904204225,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.3000000000000003
ooo_candidate_cross_asset_dispersion_13w,cross_asset_dispersion_13w,breadth_dispersion,target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0323; best_brier_delta=-0.0068,folds=33; targets=2; models=4,not explicitly state-specific,0.20440642750324953,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.29
