ticker,started_at_utc,status,rows,first_observed_date,last_observed_date,history_file,uncompressed_sha256,compressed_sha256,error_type,error_message,completed_at_utc
ETWO,2026-08-13T10:05:19.089834+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.344961+00:00
EVBG,2026-08-13T10:05:19.344988+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.560165+00:00
EVDY,2026-08-13T10:05:19.560203+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.695565+00:00
EVEP,2026-08-13T10:05:19.695592+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.863694+00:00
EXA,2026-08-13T10:05:19.863715+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.999955+00:00
EXAR,2026-08-13T10:05:19.999994+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:20.139291+00:00
EXXI,2026-08-13T10:05:20.139312+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:20.277313+00:00
FARO,2026-08-13T10:05:20.277362+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:20.589444+00:00
FCS,2026-08-13T10:05:20.589472+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:20.729082+00:00
FELP,2026-08-13T10:05:20.729108+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:20.979140+00:00
FIO,2026-08-13T10:05:20.979168+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:21.114110+00:00
FIT,2026-08-13T10:05:21.114129+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:21.437926+00:00
FLIR,2026-08-13T10:05:21.437953+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:21.637700+00:00
FLTX,2026-08-13T10:05:21.637711+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:21.763225+00:00
FORG,2026-08-13T10:05:21.763235+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:22.025048+00:00
FSCT,2026-08-13T10:05:22.025075+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:22.228452+00:00
FSL,2026-08-13T10:05:22.228474+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:22.360968+00:00
FTSI,2026-08-13T10:05:22.360987+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:22.616714+00:00
FXEN,2026-08-13T10:05:22.616754+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:22.753270+00:00
GAN,2026-08-13T10:05:22.753300+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:23.013824+00:00
GCOM,2026-08-13T10:05:23.013843+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:23.151737+00:00
GDP,2026-08-13T10:05:23.151759+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:23.401279+00:00
GEC,2026-08-13T10:05:23.401514+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:23.672669+00:00
GIMO,2026-08-13T10:05:23.672691+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:23.812253+00:00
GLUU,2026-08-13T10:05:24.111730+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:24.356523+00:00
GSB,2026-08-13T10:05:24.356541+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:24.644031+00:00
GST,2026-08-13T10:05:24.644054+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:24.775988+00:00
GTYH,2026-08-13T10:05:24.776004+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:24.986480+00:00
GWAY,2026-08-13T10:05:24.986503+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:25.176411+00:00
HCP,2026-08-13T10:05:25.388678+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:25.629340+00:00
HEROQ,2026-08-13T10:05:25.824622+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:26.028226+00:00
HES,2026-08-13T10:05:26.028246+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:26.289646+00:00
HFC,2026-08-13T10:05:26.289667+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:26.492650+00:00
HPR,2026-08-13T10:05:26.696008+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:26.889650+00:00
HTCH,2026-08-13T10:05:26.889658+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:27.063587+00:00
HTGM,2026-08-13T10:05:27.063612+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:27.352187+00:00
ICD,2026-08-13T10:05:27.513425+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:27.839701+00:00
IGTE,2026-08-13T10:05:27.839722+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:27.966025+00:00
IIN,2026-08-13T10:05:27.966041+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:28.253081+00:00
IM,2026-08-13T10:05:28.253106+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:28.382558+00:00
IMPR,2026-08-13T10:05:28.382574+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:28.515087+00:00
IMS,2026-08-13T10:05:28.725678+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:28.907066+00:00
IMSC,2026-08-13T10:05:28.907087+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:29.036891+00:00
INFA,2026-08-13T10:05:29.374342+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:29.576462+00:00
INFN,2026-08-13T10:05:29.576492+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:29.823549+00:00
INS,2026-08-13T10:05:30.151779+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:30.414405+00:00
INST,2026-08-13T10:05:30.414425+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:30.644536+00:00
IO,2026-08-13T10:05:30.809260+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:31.066959+00:00
IOTS,2026-08-13T10:05:31.066993+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:31.263729+00:00
IPHI,2026-08-13T10:05:31.263751+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:31.580460+00:00
ISIL,2026-08-13T10:05:31.580482+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:31.715150+00:00
ITI,2026-08-13T10:05:31.715174+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:31.984185+00:00
IXYS,2026-08-13T10:05:31.984195+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:32.114913+00:00
JAG,2026-08-13T10:05:32.114921+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:32.309663+00:00
JAMF,2026-08-13T10:05:32.309685+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:32.586972+00:00
JNPR,2026-08-13T10:05:32.763928+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:33.035982+00:00
KLR,2026-08-13T10:05:33.537725+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:33.731196+00:00
KNXA,2026-08-13T10:05:33.731217+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:33.874366+00:00
LCRY,2026-08-13T10:05:33.874388+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:34.081513+00:00
LDR,2026-08-13T10:05:34.081659+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:34.211693+00:00
LGTY,2026-08-13T10:05:34.211725+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:34.419145+00:00
LLL,2026-08-13T10:05:34.419185+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:34.723267+00:00
LNKD,2026-08-13T10:05:34.723283+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:34.863496+00:00
LOCK,2026-08-13T10:05:34.863519+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:35.069772+00:00
LOGM,2026-08-13T10:05:35.069794+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:35.271571+00:00
LORL,2026-08-13T10:05:35.271592+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:35.467455+00:00
LSI,2026-08-13T10:05:35.467508+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:35.731840+00:00
MAXR,2026-08-13T10:05:36.028452+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:36.307228+00:00
MCEP,2026-08-13T10:05:36.466285+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:36.754670+00:00
MCFE,2026-08-13T10:05:36.754694+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:36.969157+00:00
MDAS,2026-08-13T10:05:36.969186+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:37.162810+00:00
MDLA,2026-08-13T10:05:37.162817+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:37.367082+00:00
MDSO,2026-08-13T10:05:37.783580+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:37.993053+00:00
MEAS,2026-08-13T10:05:37.993082+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:38.214323+00:00
MENT,2026-08-13T10:05:38.214342+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:38.347030+00:00
MERU,2026-08-13T10:05:38.347047+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:38.530539+00:00
MIME,2026-08-13T10:05:38.804123+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:39.002500+00:00
MIMO,2026-08-13T10:05:39.002539+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:39.263353+00:00
MIXT,2026-08-13T10:05:39.548366+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:39.851261+00:00
MJCO,2026-08-13T10:05:39.851391+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:40.052843+00:00
MLNK,2026-08-13T10:05:40.246632+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:40.516724+00:00
MLNX,2026-08-13T10:05:40.516765+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:40.713726+00:00
MMAT,2026-08-13T10:05:40.713752+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:40.971805+00:00
MNDT,2026-08-13T10:05:40.971825+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:41.176188+00:00
MNRL,2026-08-13T10:05:41.176210+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:41.424376+00:00
MNTV,2026-08-13T10:05:41.424399+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:41.621324+00:00
MOBL,2026-08-13T10:05:41.621357+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:41.881684+00:00
MOCO,2026-08-13T10:05:41.881701+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:42.018378+00:00
MODN,2026-08-13T10:05:42.018405+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:42.223829+00:00
MR,2026-08-13T10:05:42.591552+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:42.788796+00:00
MRD,2026-08-13T10:05:42.788817+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:42.997666+00:00
MRIN,2026-08-13T10:05:42.997686+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:43.199380+00:00
MRO,2026-08-13T10:05:43.199402+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:43.477197+00:00
MSP,2026-08-13T10:05:43.857153+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:44.110318+00:00
MTSC,2026-08-13T10:05:44.846387+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:45.092279+00:00
MTTR,2026-08-13T10:05:45.092312+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:45.296498+00:00
MXIM,2026-08-13T10:05:45.296550+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:45.553090+00:00
N,2026-08-13T10:05:45.553117+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:45.686631+00:00
NATI,2026-08-13T10:05:45.686661+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:45.892687+00:00
NBL,2026-08-13T10:05:45.892953+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:46.140817+00:00
NCIT,2026-08-13T10:05:46.140839+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:46.274462+00:00
NESC,2026-08-13T10:05:46.533165+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:46.723389+00:00
NEWR,2026-08-13T10:05:46.723421+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:46.923383+00:00
NEX,2026-08-13T10:05:46.923402+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:47.188152+00:00
NMRX,2026-08-13T10:05:47.339805+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:47.470098+00:00
NPTN,2026-08-13T10:05:47.470108+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:47.715769+00:00
NTI,2026-08-13T10:05:47.715786+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:47.839965+00:00
NUAN,2026-08-13T10:05:47.839980+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:48.082438+00:00
NXGN,2026-08-13T10:05:48.082446+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:48.361112+00:00
OCZ,2026-08-13T10:05:48.607178+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:48.815745+00:00
OMP,2026-08-13T10:05:48.815761+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:49.016039+00:00
ONTF,2026-08-13T10:05:49.016055+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:49.287300+00:00
OPWR,2026-08-13T10:05:49.287330+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:49.420081+00:00
OS,2026-08-13T10:05:49.420102+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:49.615285+00:00
