path,date,cik10,ticker
adverse__confidence_10_40__cap_1.00x__50bps,2025-03-07,0000889900,PTEN
adverse__confidence_10_40__cap_1.00x__50bps,2025-03-07,0001658566,PR
adverse__confidence_10_40__cap_1.00x__50bps,2025-05-02,0001562088,DUOL
adverse__confidence_10_40__cap_1.00x__50bps,2025-06-06,0001045810,NVDA
adverse__confidence_10_40__cap_1.00x__50bps,2025-06-06,0001562088,DUOL
adverse__confidence_10_40__cap_1.00x__50bps,2025-08-01,0001511737,UI
adverse__confidence_10_40__cap_1.00x__50bps,2025-08-01,0001751008,APP
adverse__confidence_10_40__cap_1.00x__50bps,2025-09-05,0001511737,UI
adverse__confidence_10_40__cap_1.00x__50bps,2025-09-05,0001751008,APP
adverse__confidence_10_40__cap_1.00x__50bps,2025-11-07,0000033213,EQT
adverse__confidence_10_40__cap_1.00x__50bps,2025-11-07,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2025-11-07,0001321655,PLTR
adverse__confidence_10_40__cap_1.00x__50bps,2025-12-05,0000033213,EQT
adverse__confidence_10_40__cap_1.00x__50bps,2025-12-05,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2025-12-05,0001321655,PLTR
adverse__confidence_10_40__cap_1.00x__50bps,2026-02-06,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2026-02-06,0000751978,VICR
adverse__confidence_10_40__cap_1.00x__50bps,2026-02-06,0000912093,VIAV
adverse__confidence_10_40__cap_1.00x__50bps,2026-03-06,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2026-03-06,0000751978,VICR
adverse__confidence_10_40__cap_1.00x__50bps,2026-03-06,0000912093,VIAV
adverse__confidence_10_40__cap_1.00x__50bps,2026-05-01,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2026-05-01,0000751978,VICR
adverse__confidence_10_40__cap_1.00x__50bps,2026-06-05,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2026-06-05,0000751978,VICR
adverse__confidence_10_40__cap_1.00x__50bps,2026-07-03,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2026-07-03,0000751978,VICR
adverse__confidence_10_40__cap_1.00x__50bps,2026-07-03,0001713445,RDDT
adverse__confidence_10_40__cap_1.00x__50bps,2026-08-07,0000723125,MU
adverse__confidence_10_40__cap_1.00x__50bps,2026-08-07,0001321655,PLTR
adverse__confidence_10_40__cap_1.50x__50bps,2023-05-05,0001561550,DDOG
adverse__confidence_10_40__cap_1.50x__50bps,2023-06-02,0001561550,DDOG
adverse__confidence_10_40__cap_1.50x__50bps,2024-03-01,0001045810,NVDA
adverse__confidence_10_40__cap_1.50x__50bps,2026-06-05,0000723125,MU
adverse__confidence_10_40__cap_1.50x__50bps,2026-07-03,0000723125,MU
adverse__confidence_10_40__cap_1.50x__50bps,2026-08-07,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2023-01-06,0000858470,prices
adverse__fixed_20__cap_1.00x__50bps,2023-01-06,0001463101,ENPH
adverse__fixed_20__cap_1.00x__50bps,2023-01-06,0001561550,DDOG
adverse__fixed_20__cap_1.00x__50bps,2023-01-06,0001743725,GDYN
adverse__fixed_20__cap_1.00x__50bps,2023-02-03,0000858470,prices
adverse__fixed_20__cap_1.00x__50bps,2023-02-03,0001463101,ENPH
adverse__fixed_20__cap_1.00x__50bps,2023-02-03,0001561550,DDOG
adverse__fixed_20__cap_1.00x__50bps,2023-02-03,0001743725,GDYN
adverse__fixed_20__cap_1.00x__50bps,2023-03-03,0000858470,prices
adverse__fixed_20__cap_1.00x__50bps,2023-03-03,0001463101,ENPH
adverse__fixed_20__cap_1.00x__50bps,2023-03-03,0001561550,DDOG
adverse__fixed_20__cap_1.00x__50bps,2023-03-03,0001743725,GDYN
adverse__fixed_20__cap_1.00x__50bps,2023-04-07,0000858470,prices
adverse__fixed_20__cap_1.00x__50bps,2023-04-07,0001463101,ENPH
adverse__fixed_20__cap_1.00x__50bps,2023-04-07,0001561550,DDOG
adverse__fixed_20__cap_1.00x__50bps,2023-04-07,0001743725,GDYN
adverse__fixed_20__cap_1.00x__50bps,2023-05-05,0000858470,prices
adverse__fixed_20__cap_1.00x__50bps,2023-05-05,0001463101,ENPH
adverse__fixed_20__cap_1.00x__50bps,2023-05-05,0001561550,DDOG
adverse__fixed_20__cap_1.00x__50bps,2023-05-05,0001743725,GDYN
adverse__fixed_20__cap_1.00x__50bps,2023-06-02,0000858470,prices
adverse__fixed_20__cap_1.00x__50bps,2023-06-02,0001463101,ENPH
adverse__fixed_20__cap_1.00x__50bps,2023-06-02,0001561550,DDOG
adverse__fixed_20__cap_1.00x__50bps,2023-06-02,0001743725,GDYN
adverse__fixed_20__cap_1.00x__50bps,2023-08-04,0001035002,VLO
adverse__fixed_20__cap_1.00x__50bps,2023-08-04,0001280452,MPWR
adverse__fixed_20__cap_1.00x__50bps,2023-09-01,0000896429,prices
adverse__fixed_20__cap_1.00x__50bps,2023-09-01,0001035002,VLO
adverse__fixed_20__cap_1.00x__50bps,2023-09-01,0001280452,MPWR
adverse__fixed_20__cap_1.00x__50bps,2023-09-01,0001863105,prices
adverse__fixed_20__cap_1.00x__50bps,2023-11-03,0001694028,LBRT
adverse__fixed_20__cap_1.00x__50bps,2023-12-01,0000807863,MITK
adverse__fixed_20__cap_1.00x__50bps,2023-12-01,0001045810,NVDA
adverse__fixed_20__cap_1.00x__50bps,2023-12-01,0001694028,LBRT
adverse__fixed_20__cap_1.00x__50bps,2024-02-02,0000936395,CIEN
adverse__fixed_20__cap_1.00x__50bps,2024-02-02,0001045810,NVDA
adverse__fixed_20__cap_1.00x__50bps,2024-03-01,0000936395,CIEN
adverse__fixed_20__cap_1.00x__50bps,2024-03-01,0001045810,NVDA
adverse__fixed_20__cap_1.00x__50bps,2024-05-03,0000788965,HNRG
adverse__fixed_20__cap_1.00x__50bps,2024-05-03,0000909494,TCX
adverse__fixed_20__cap_1.00x__50bps,2024-05-03,0001045810,NVDA
adverse__fixed_20__cap_1.00x__50bps,2024-05-03,0001680247,PUMP
adverse__fixed_20__cap_1.00x__50bps,2024-06-07,0000788965,HNRG
adverse__fixed_20__cap_1.00x__50bps,2024-06-07,0001045810,NVDA
adverse__fixed_20__cap_1.00x__50bps,2024-08-02,0000004447,prices
adverse__fixed_20__cap_1.00x__50bps,2024-08-02,0000045012,HAL
adverse__fixed_20__cap_1.00x__50bps,2024-09-06,0001162194,LAB
adverse__fixed_20__cap_1.00x__50bps,2024-11-01,0001045810,NVDA
adverse__fixed_20__cap_1.00x__50bps,2024-11-01,0001162194,LAB
adverse__fixed_20__cap_1.00x__50bps,2024-11-01,0001562088,DUOL
adverse__fixed_20__cap_1.00x__50bps,2024-12-06,0001507605,MARA
adverse__fixed_20__cap_1.00x__50bps,2024-12-06,0001562088,DUOL
adverse__fixed_20__cap_1.00x__50bps,2025-02-07,0000889900,PTEN
adverse__fixed_20__cap_1.00x__50bps,2025-02-07,0001562088,DUOL
adverse__fixed_20__cap_1.00x__50bps,2025-03-07,0000889900,PTEN
adverse__fixed_20__cap_1.00x__50bps,2025-03-07,0001658566,PR
adverse__fixed_20__cap_1.00x__50bps,2025-05-02,0001562088,DUOL
adverse__fixed_20__cap_1.00x__50bps,2025-06-06,0001045810,NVDA
adverse__fixed_20__cap_1.00x__50bps,2025-06-06,0001562088,DUOL
adverse__fixed_20__cap_1.00x__50bps,2025-08-01,0001511737,UI
adverse__fixed_20__cap_1.00x__50bps,2025-08-01,0001751008,APP
adverse__fixed_20__cap_1.00x__50bps,2025-09-05,0001511737,UI
adverse__fixed_20__cap_1.00x__50bps,2025-09-05,0001751008,APP
adverse__fixed_20__cap_1.00x__50bps,2025-11-07,0000033213,EQT
adverse__fixed_20__cap_1.00x__50bps,2025-11-07,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2025-11-07,0001321655,PLTR
adverse__fixed_20__cap_1.00x__50bps,2025-12-05,0000033213,EQT
adverse__fixed_20__cap_1.00x__50bps,2025-12-05,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2025-12-05,0001321655,PLTR
adverse__fixed_20__cap_1.00x__50bps,2026-02-06,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2026-02-06,0000751978,VICR
adverse__fixed_20__cap_1.00x__50bps,2026-02-06,0000912093,VIAV
adverse__fixed_20__cap_1.00x__50bps,2026-03-06,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2026-03-06,0000751978,VICR
adverse__fixed_20__cap_1.00x__50bps,2026-03-06,0000912093,VIAV
adverse__fixed_20__cap_1.00x__50bps,2026-05-01,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2026-05-01,0000751978,VICR
adverse__fixed_20__cap_1.00x__50bps,2026-06-05,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2026-06-05,0000751978,VICR
adverse__fixed_20__cap_1.00x__50bps,2026-07-03,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2026-07-03,0000751978,VICR
adverse__fixed_20__cap_1.00x__50bps,2026-07-03,0001713445,RDDT
adverse__fixed_20__cap_1.00x__50bps,2026-08-07,0000723125,MU
adverse__fixed_20__cap_1.00x__50bps,2026-08-07,0001321655,PLTR
