name,state,n_weeks,intended_cash_budget,post_overlay_cash_budget,final_etf_cash_budget,overlay_cash_added,avg_target_vol_required_cash,avg_target_vol_justified_extra_cash,avg_panic_guardrail_cash,avg_panic_justified_extra_cash,avg_excess_cash_not_guardrail,target_vol_active_share,panic_guardrail_active_share,inferred_overlay_cash_source
improved_phaseww_vv_direct_lighter_both_rewrite,calm_trend,295,0.02711864406779661,0.04382602450445833,0.07728049916818944,0.016707380436661718,0.0,0.0,0.0,0.0,0.016707380436661718,0.0,0.0,other_or_none
improved_phaseww_vv_direct_lighter_both_rewrite,neutral_healthy_proxy,293,0.11999999999999998,0.19997397133776143,0.25323023322925525,0.09075895427291499,0.0,0.0,0.0,0.0,0.10127453281444476,0.0,0.0,other_or_none
improved_phaseww_vv_direct_lighter_both_rewrite,neutral_mixed,200,0.175,0.34272963320454186,0.395030584032601,0.16772963320454184,0.0,0.0,0.0,0.0,0.16772963320454184,0.0,0.0,other_or_none
improved_phaseww_vv_direct_lighter_both_rewrite,recovery_confirmed,44,0.04999999999999998,0.08320313433966793,0.12518103775385214,0.08320313433966793,0.0,0.0,0.0,0.0,0.03661222524875885,0.0,0.0,other_or_none
improved_phaseww_vv_direct_lighter_both_rewrite,recovery_fragile,49,0.09499999999999999,0.1738148919447522,0.25802707828621996,0.1738148919447522,0.0,0.0,0.0,0.0,0.07881489194475222,0.0,0.0,other_or_none
improved_phaseww_vv_direct_lighter_both_rewrite,stressed_panic,229,0.008733624454148475,0.5132031869514235,0.6106570578343476,0.504469562497275,0.0,0.0,0.5132031869514235,0.504469562497275,0.0,0.0,1.0,panic_guardrail
improved_phaseww_vv_shadow_polish,calm_trend,295,0.02711864406779661,0.04423619399598376,0.07766302312394543,0.017117549928187155,0.00013110925022105372,0.00013110925022105356,0.0,0.0,0.016986440677966102,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phaseww_vv_shadow_polish,neutral_healthy_proxy,293,0.123,0.2021020019931114,0.25519713749349954,0.09288698492826493,2.8401728534019087e-05,0.0,0.0,0.0,0.10077282632980313,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phaseww_vv_shadow_polish,neutral_mixed,200,0.175,0.34319963320454194,0.3954699372619207,0.16819963320454184,9.344659575476976e-05,9.344659575476976e-05,0.0,0.0,0.1681061866087871,0.0,0.0,lighter_both_regime_relief
improved_phaseww_vv_shadow_polish,recovery_confirmed,44,0.052000000000000005,0.0853140035556766,0.12717057430176856,0.0853140035556766,0.003060038117816736,6.400355567664908e-05,0.0,0.0,0.03679545454545452,0.0,0.0,lighter_both_regime_relief
improved_phaseww_vv_shadow_polish,recovery_fragile,49,0.09999999999999999,0.17691693276107867,0.2608249621806449,0.17691693276107867,0.0016965703386823763,0.0,0.0,0.0,0.07691693276107874,0.02040816326530612,0.0,lighter_both_regime_relief
improved_phaseww_vv_shadow_polish,stressed_panic,229,0.008733624454148475,0.5133734926282794,0.6108086704506532,0.5046398681741309,0.0003403937870604185,0.0003403937870604185,0.5133734926282794,0.5042994743870705,0.0,0.0,1.0,panic_guardrail
