,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2013-11-08,0.09249280507237609,0.12579667434089847,0.1855714721004252,0.12669822816693385,0.2759412051996388,0.1585917465023547,0.03490786861737294
2013-11-15,0.09249280507237609,0.12579667434089847,0.1855714721004252,0.12669822816693385,0.2759412051996388,0.1585917465023547,0.03490786861737294
2013-11-22,0.09249280507237609,0.12579667434089847,0.1855714721004252,0.12669822816693385,0.2759412051996388,0.1585917465023547,0.03490786861737294
2013-11-29,0.09187028713136601,0.12818672532683234,0.18560669502126204,0.13498272031756148,0.26954696986548016,0.15821773969208805,0.03158886264540994
2013-12-06,0.09187028713136601,0.12818672532683234,0.18560669502126204,0.13498272031756148,0.26954696986548016,0.15821773969208805,0.03158886264540994
2013-12-13,0.09187028713136601,0.12818672532683234,0.18560669502126204,0.13498272031756148,0.26954696986548016,0.15821773969208805,0.03158886264540994
2013-12-20,0.09187028713136601,0.12818672532683234,0.18560669502126204,0.13498272031756148,0.26954696986548016,0.15821773969208805,0.03158886264540994
2013-12-27,0.09063370487953665,0.12472839618283081,0.1890557939167179,0.13548689918680207,0.2678905679200126,0.15558491953717635,0.03661971837692368
2014-01-03,0.09063370487953665,0.12472839618283081,0.1890557939167179,0.13548689918680207,0.2678905679200126,0.15558491953717635,0.03661971837692368
2014-01-10,0.09063370487953665,0.12472839618283081,0.1890557939167179,0.13548689918680207,0.2678905679200126,0.15558491953717635,0.03661971837692368
2014-01-17,0.09063370487953665,0.12472839618283081,0.1890557939167179,0.13548689918680207,0.2678905679200126,0.15558491953717635,0.03661971837692368
2014-01-24,0.09063370487953665,0.12472839618283081,0.1890557939167179,0.13548689918680207,0.2678905679200126,0.15558491953717635,0.03661971837692368
2014-01-31,0.08709568169900121,0.12230042029632833,0.1853247396367672,0.1381081901988471,0.2770277836751067,0.14962270724752744,0.04052047724642194
2014-02-07,0.08709568169900121,0.12230042029632833,0.1853247396367672,0.1381081901988471,0.2770277836751067,0.14962270724752744,0.04052047724642194
2014-02-14,0.08709568169900121,0.12230042029632833,0.1853247396367672,0.1381081901988471,0.2770277836751067,0.14962270724752744,0.04052047724642194
2014-02-21,0.08709568169900121,0.12230042029632833,0.1853247396367672,0.1381081901988471,0.2770277836751067,0.14962270724752744,0.04052047724642194
2014-02-28,0.08411534714661952,0.12273198690048862,0.17686600648414608,0.1382504893229416,0.2820827255835488,0.14511021200652816,0.050843232555727313
2014-03-07,0.08411534714661952,0.12273198690048862,0.17686600648414608,0.1382504893229416,0.2820827255835488,0.14511021200652816,0.050843232555727313
2014-03-14,0.08411534714661952,0.12273198690048862,0.17686600648414608,0.1382504893229416,0.2820827255835488,0.14511021200652816,0.050843232555727313
2014-03-21,0.08411534714661952,0.12273198690048862,0.17686600648414608,0.1382504893229416,0.2820827255835488,0.14511021200652816,0.050843232555727313
2014-03-28,0.0819944266214465,0.11944906428160483,0.17428015731244897,0.13340078299624641,0.3012383496494213,0.14387306209419118,0.045764157044640874
2014-04-04,0.0819944266214465,0.11944906428160483,0.17428015731244897,0.13340078299624641,0.3012383496494213,0.14387306209419118,0.045764157044640874
2014-04-11,0.0819944266214465,0.11944906428160483,0.17428015731244897,0.13340078299624641,0.3012383496494213,0.14387306209419118,0.045764157044640874
2014-04-18,0.0819944266214465,0.11944906428160483,0.17428015731244897,0.13340078299624641,0.3012383496494213,0.14387306209419118,0.045764157044640874
2014-04-25,0.08003892053156143,0.12426531483992662,0.176805854154268,0.12265206666181824,0.31599741718482494,0.15159093565881943,0.028649490968781333
2014-05-02,0.08003892053156143,0.12426531483992662,0.176805854154268,0.12265206666181824,0.31599741718482494,0.15159093565881943,0.028649490968781333
2014-05-09,0.08003892053156143,0.12426531483992662,0.176805854154268,0.12265206666181824,0.31599741718482494,0.15159093565881943,0.028649490968781333
2014-05-16,0.08003892053156143,0.12426531483992662,0.176805854154268,0.12265206666181824,0.31599741718482494,0.15159093565881943,0.028649490968781333
2014-05-23,0.08003892053156143,0.12426531483992662,0.176805854154268,0.12265206666181824,0.31599741718482494,0.15159093565881943,0.028649490968781333
2014-05-30,0.08813494549071896,0.10301695074036968,0.1498662457424582,0.10815029586834511,0.3188669627662286,0.17286208803602948,0.059102511355849874
2014-06-06,0.08813494549071896,0.10301695074036968,0.1498662457424582,0.10815029586834511,0.3188669627662286,0.17286208803602948,0.059102511355849874
2014-06-13,0.08813494549071896,0.10301695074036968,0.1498662457424582,0.10815029586834511,0.3188669627662286,0.17286208803602948,0.059102511355849874
2014-06-20,0.08813494549071896,0.10301695074036968,0.1498662457424582,0.10815029586834511,0.3188669627662286,0.17286208803602948,0.059102511355849874
2014-06-27,0.10316809501965032,0.12761876280278178,0.15737791331400833,0.1129182072859845,0.30522336777585496,0.19369365380171996,2.220446049250313e-16
2014-07-04,0.10316809501965032,0.12761876280278178,0.15737791331400833,0.1129182072859845,0.30522336777585496,0.19369365380171996,2.220446049250313e-16
