,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,cash::BIL
2009-10-02,0.09816589540236861,0.3605055138269324,0.21533469373227787,0.04000000000000001,0.09599389703842115,0.19000000000000006,0.0
2009-10-09,0.08083855249683995,0.3538389239571649,0.18648933916383742,0.04,0.07532137999292639,0.26351180438923144,0.0
2009-10-16,0.04,0.4078658394516912,0.1920511237253184,0.04,0.13008303682299044,0.19,0.0
2009-10-23,0.04,0.35786369282468344,0.1517029197497699,0.1302166937127733,0.1302166937127733,0.19,0.0
2009-10-30,0.11404993452099908,0.45037348952488815,0.04,0.04,0.13614939580995528,0.2194271801441575,0.0
2009-11-06,0.11985117240757663,0.4082908752371296,0.10116609980965767,0.04022317824052776,0.14,0.19046867430510828,0.0
2009-11-13,0.14368072179344987,0.41713157320471556,0.04,0.04,0.11198486115074542,0.24720284385108904,0.0
2009-11-20,0.12848038847469956,0.3968008495165594,0.05977494781749866,0.04,0.13879312787472478,0.23615068631651737,0.0
2009-11-27,0.11271999032713105,0.4321881479858076,0.04000000000000001,0.04000000000000001,0.13895586208610433,0.23613599960095694,0.0
2009-12-04,0.18195841896297754,0.3470616429541099,0.06028735523338068,0.04,0.12263074627452523,0.2480618365750066,0.0
2009-12-11,0.20592510430826916,0.31763585468474376,0.0673060070607757,0.04,0.1169110009271277,0.25222203301908364,0.0
2009-12-18,0.22291587767641113,0.3571659080836883,0.04,0.06836768058582442,0.061675617634104854,0.24987491601997122,0.0
2009-12-25,0.1859265309029924,0.3836826299038109,0.04000000000000001,0.04000000000000001,0.08083462866387162,0.26955621052932505,0.0
2010-01-01,0.20100007825958768,0.3847626504633624,0.04,0.04,0.04,0.29423727127704985,0.0
2010-01-08,0.17775371062556047,0.38220715132399724,0.08179028657982075,0.039999999999999994,0.039999999999999994,0.2782488514706214,0.0
2010-01-15,0.1977738764910668,0.3024926344544373,0.06307131112110728,0.10657813508531384,0.04,0.29008404284807465,0.0
2010-01-22,0.21811345715140584,0.28447345837458027,0.05499455881300667,0.08092710991552665,0.04,0.3214914157454805,0.0
2010-01-29,0.21869335220417765,0.2856867891626983,0.048354985780197986,0.06450980269563722,0.04,0.34275507015728873,0.0
2010-02-05,0.20999486058959546,0.2550286474408451,0.1362842214302175,0.04,0.04,0.31869227053934185,0.0
2010-02-12,0.21553022746368622,0.27142137524192594,0.0862183637256425,0.11261527859956678,0.04,0.27421475496917863,0.0
2010-02-19,0.2284827266465723,0.26883642379026695,0.10309770459648464,0.047080350937532586,0.04000000000000001,0.31250279402914355,0.0
2010-02-26,0.22471914855811922,0.21000000000000002,0.14185606260928346,0.056295670329986655,0.04,0.32712911850261056,0.0
2010-03-05,0.24609579950804003,0.2924943130466763,0.04,0.08749091612605224,0.04,0.29391897131923134,0.0
2010-03-12,0.24870343788040844,0.21000000000000002,0.04,0.13556240776109893,0.07603190208239068,0.289702252276102,0.0
2010-03-19,0.24143516123381817,0.21000000000000002,0.04,0.13163339187079495,0.0905564593714582,0.2863749875239286,0.0
2010-03-26,0.23980227724697561,0.21000000000000002,0.04,0.13171395671122577,0.13171395671122577,0.2467698093305728,0.0
2010-04-02,0.22198067239963198,0.21000000000000002,0.04,0.11993641304274856,0.10690944019473995,0.3011734743628795,0.0
