,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2022-03-25,0.09159218742374872,0.03624946726037777,0.0483681346971723,0.031246719036142536,0.1451807526953112,0.04736273888724751,0.6
2022-04-01,0.09159218742374872,0.03624946726037777,0.0483681346971723,0.031246719036142536,0.1451807526953112,0.04736273888724751,0.6
2022-04-08,0.09159218742374872,0.03624946726037777,0.0483681346971723,0.031246719036142536,0.1451807526953112,0.04736273888724751,0.6
2022-04-15,0.09159218742374872,0.03624946726037777,0.0483681346971723,0.031246719036142536,0.1451807526953112,0.04736273888724751,0.6
2022-04-22,0.09159218742374872,0.03624946726037777,0.0483681346971723,0.031246719036142536,0.1451807526953112,0.04736273888724751,0.6
2022-04-29,0.09100399447650892,0.03514366042016415,0.04871633985106543,0.030345728708979683,0.1480571336777667,0.046733142865515144,0.5999999999999999
2022-05-06,0.09100399447650892,0.03514366042016415,0.04871633985106543,0.030345728708979683,0.1480571336777667,0.046733142865515144,0.5999999999999999
2022-05-13,0.09100399447650892,0.03514366042016415,0.04871633985106543,0.030345728708979683,0.1480571336777667,0.046733142865515144,0.5999999999999999
2022-05-20,0.09100399447650892,0.03514366042016415,0.04871633985106543,0.030345728708979683,0.1480571336777667,0.046733142865515144,0.5999999999999999
2022-05-27,0.08961976229108437,0.034717667369413084,0.049097164128745464,0.02999902980693511,0.15013768218542994,0.04642869421839205,0.6
2022-06-03,0.08961976229108437,0.034717667369413084,0.049097164128745464,0.02999902980693511,0.15013768218542994,0.04642869421839205,0.6
2022-06-10,0.08961976229108437,0.034717667369413084,0.049097164128745464,0.02999902980693511,0.15013768218542994,0.04642869421839205,0.6
2022-06-17,0.08961976229108437,0.034717667369413084,0.049097164128745464,0.02999902980693511,0.15013768218542994,0.04642869421839205,0.6
2022-06-24,0.0875458861094674,0.03460178551003263,0.04945976911258168,0.03013023743912374,0.1519325957988015,0.04632972602999304,0.6000000000000001
2022-07-01,0.0875458861094674,0.03460178551003263,0.04945976911258168,0.03013023743912374,0.1519325957988015,0.04632972602999304,0.6000000000000001
2022-07-08,0.0875458861094674,0.03460178551003263,0.04945976911258168,0.03013023743912374,0.1519325957988015,0.04632972602999304,0.6000000000000001
2022-07-15,0.0875458861094674,0.03460178551003263,0.04945976911258168,0.03013023743912374,0.1519325957988015,0.04632972602999304,0.6000000000000001
2022-07-22,0.0875458861094674,0.03460178551003263,0.04945976911258168,0.03013023743912374,0.1519325957988015,0.04632972602999304,0.6000000000000001
2022-07-29,0.08627377032562421,0.034306120288878916,0.04978085706467514,0.030413606031255404,0.1543725165922044,0.04485312969736192,0.6000000000000001
2022-08-05,0.08627377032562421,0.034306120288878916,0.04978085706467514,0.030413606031255404,0.1543725165922044,0.04485312969736192,0.6000000000000001
2022-08-12,0.08627377032562421,0.034306120288878916,0.04978085706467514,0.030413606031255404,0.1543725165922044,0.04485312969736192,0.6000000000000001
2022-08-19,0.08627377032562421,0.034306120288878916,0.04978085706467514,0.030413606031255404,0.1543725165922044,0.04485312969736192,0.6000000000000001
2022-08-26,0.08567256529741107,0.0339384609951816,0.050080428678747124,0.030931731280863236,0.15624911903253585,0.0431276947152611,0.6
2022-09-02,0.08567256529741107,0.0339384609951816,0.050080428678747124,0.030931731280863236,0.15624911903253585,0.0431276947152611,0.6
2022-09-09,0.08567256529741107,0.0339384609951816,0.050080428678747124,0.030931731280863236,0.15624911903253585,0.0431276947152611,0.6
2022-09-16,0.08567256529741107,0.0339384609951816,0.050080428678747124,0.030931731280863236,0.15624911903253585,0.0431276947152611,0.6
2022-09-23,0.08567256529741107,0.0339384609951816,0.050080428678747124,0.030931731280863236,0.15624911903253585,0.0431276947152611,0.6
2022-09-30,0.08552503988282771,0.03324401420142229,0.050243039251336045,0.031276761801920086,0.15779723820729807,0.04191390665519577,0.6
2022-10-07,0.08552503988282771,0.03324401420142229,0.050243039251336045,0.031276761801920086,0.15779723820729807,0.04191390665519577,0.6
2022-10-14,0.08552503988282771,0.03324401420142229,0.050243039251336045,0.031276761801920086,0.15779723820729807,0.04191390665519577,0.6
2022-10-21,0.08552503988282771,0.03324401420142229,0.050243039251336045,0.031276761801920086,0.15779723820729807,0.04191390665519577,0.6
2022-10-28,0.08568903334215996,0.03274960442670878,0.05023013694826496,0.03139569761866506,0.15880164195728952,0.04113388570691178,0.5999999999999999
2022-11-04,0.08568903334215996,0.03274960442670878,0.05023013694826496,0.03139569761866506,0.15880164195728952,0.04113388570691178,0.5999999999999999
2022-11-11,0.08568903334215996,0.03274960442670878,0.05023013694826496,0.03139569761866506,0.15880164195728952,0.04113388570691178,0.5999999999999999
2022-11-18,0.08568903334215996,0.03274960442670878,0.05023013694826496,0.03139569761866506,0.15880164195728952,0.04113388570691178,0.5999999999999999
2022-11-25,0.08610683151923076,0.03255121743394956,0.05042391799570417,0.03170596959120374,0.15837413810477474,0.04083792535513706,0.5999999999999999
2022-12-02,0.08610683151923076,0.03255121743394956,0.05042391799570417,0.03170596959120374,0.15837413810477474,0.04083792535513706,0.5999999999999999
2022-12-09,0.08610683151923076,0.03255121743394956,0.05042391799570417,0.03170596959120374,0.15837413810477474,0.04083792535513706,0.5999999999999999
2022-12-16,0.08610683151923076,0.03255121743394956,0.05042391799570417,0.03170596959120374,0.15837413810477474,0.04083792535513706,0.5999999999999999
2022-12-23,0.08610683151923076,0.03255121743394956,0.05042391799570417,0.03170596959120374,0.15837413810477474,0.04083792535513706,0.5999999999999999
2022-12-30,0.17300370403429455,0.06490741894227696,0.10113293640152127,0.06360465101040057,0.31598628076476176,0.08136500884674502,0.19999999999999984
2023-01-06,0.17300370403429455,0.06490741894227696,0.10113293640152127,0.06360465101040057,0.31598628076476176,0.08136500884674502,0.19999999999999984
2023-01-13,0.17300370403429455,0.06490741894227696,0.10113293640152127,0.06360465101040057,0.31598628076476176,0.08136500884674502,0.19999999999999984
2023-01-20,0.17300370403429455,0.06490741894227696,0.10113293640152127,0.06360465101040057,0.31598628076476176,0.08136500884674502,0.19999999999999984
2023-01-27,0.1912901671380021,0.09154424350692031,0.10684338713383573,0.13037127380561295,0.3229718859508208,0.08344707609290139,0.07353196637190673
2023-02-03,0.1912901671380021,0.09154424350692031,0.10684338713383573,0.13037127380561295,0.3229718859508208,0.08344707609290139,0.07353196637190673
2023-02-10,0.1912901671380021,0.09154424350692031,0.10684338713383573,0.13037127380561295,0.3229718859508208,0.08344707609290139,0.07353196637190673
2023-02-17,0.1912901671380021,0.09154424350692031,0.10684338713383573,0.13037127380561295,0.3229718859508208,0.08344707609290139,0.07353196637190673
