date,bucket,prod_share,partner_share,l1_distance_to_production,l1_distance_to_partner,l1_distance_to_u1a,bil_weight
2011-09-16,ambiguous_abstain,0.8,0.19999999999999996,0.1858383527347766,0.743353410939107,0.1719731920860892,0.593360144464818
2011-09-23,defense_production,0.95,0.050000000000000044,0.039782845864497506,0.7558740714254546,0.027994658370515884,0.6597484699557196
2011-09-30,defense_production,0.95,0.050000000000000044,0.0328570546842061,0.6242840389999159,0.023045880468837474,0.6490035002720529
2011-10-07,defense_production,0.95,0.050000000000000044,0.032805950563247414,0.623313060701702,0.023029308786995075,0.6490046302573728
2011-10-14,defense_production,0.95,0.050000000000000044,0.03297254367406628,0.62647832980726,0.02330062114489976,0.6488183301862958
2011-10-21,defense_production,0.95,0.050000000000000044,0.029247503546193716,0.5557025673776842,0.020469708979520333,0.650805902845178
2011-10-28,defense_production,0.95,0.050000000000000044,0.029031470546389306,0.5515979403813998,0.020267809051570867,0.6431685104232396
2011-11-04,defense_production,0.95,0.050000000000000044,0.02819254115656305,0.5356582819747017,0.01965524225124469,0.6436069374617571
2011-11-11,defense_production,0.95,0.050000000000000044,0.02878597704761247,0.5469335639046397,0.020092117916385537,0.6431953345616525
2011-11-18,defense_production,0.95,0.050000000000000044,0.04063735312093747,0.7721097092978141,0.028594363368730925,0.6371771859068655
2011-11-25,defense_production,0.95,0.050000000000000044,0.00811773967784447,0.15423705387903874,0.005653358190401148,0.24188616519574394
2011-12-02,ambiguous_abstain,0.8,0.19999999999999996,0.0368556612937225,0.1474226451748898,0.03420033934132183,0.23890675244654183
2011-12-09,defense_production,0.95,0.050000000000000044,0.013280210758323849,0.25232400440815345,0.009374951154372176,0.23912051892740704
2011-12-16,ambiguous_abstain,0.8,0.19999999999999996,0.031109414856693593,0.1244376594267739,0.02868779536409881,0.24256119012280766
2011-12-23,defense_production,0.95,0.050000000000000044,0.012219450655461862,0.2321695624537769,0.008683820099022875,0.24038632249840516
2011-12-30,defense_production,0.95,0.050000000000000044,0.016053719757211864,0.3050206753870255,0.011041908910292489,0.15624552185991056
2012-01-06,defense_production,0.95,0.050000000000000044,0.0149230716465985,0.28353836128537685,0.010277573692661402,0.15604333043200094
2012-01-13,defense_production,0.95,0.050000000000000044,0.01305419251568053,0.24802965779793346,0.008772251576539965,0.15581220559168618
2012-01-20,defense_production,0.95,0.050000000000000044,0.015768097111072913,0.29959384511038806,0.01107392880120711,0.15472108026759793
2012-01-27,recovery_trust,0.8,0.19999999999999996,0.10271472313503449,0.4108588925401385,0.09469237527303326,0.027764500004055517
2012-02-03,recovery_trust,0.8,0.19999999999999996,0.06940326447392957,0.27761305789571933,0.06409951938022004,0.03719767761062352
2012-02-10,recovery_trust,0.8,0.19999999999999996,0.08138542926002161,0.32554171704008794,0.050730859610813736,0.039105646464808484
2012-02-17,recovery_trust,0.8,0.19999999999999996,0.14312580821609022,0.5725032328643619,0.08927478638799309,0.03141636299389662
2012-02-24,recovery_trust,0.8,0.19999999999999996,0.094626731932078,0.3785069277283128,0.05941858970957229,0.06838466356781782
2012-03-02,defense_production,0.95,0.050000000000000044,0.027284487349036997,0.518405259631709,0.013897724892055718,0.049571497162253994
2012-03-09,defense_production,0.95,0.050000000000000044,0.023898251404233812,0.45406677668044665,0.011462349655283656,0.04989653448839963
2012-03-16,ambiguous_abstain,0.8,0.19999999999999996,0.11579392599922386,0.4631757039968968,0.07269802221600367,0.07059286608549249
2012-03-23,defense_production,0.95,0.050000000000000044,0.026876832153310527,0.5106598109129015,0.013550449108185508,0.04927811431708224
2012-03-30,ambiguous_abstain,0.8,0.19999999999999996,0.10432620549128346,0.4173048219651354,0.06487933529402247,0.054727522067604936
2012-04-06,ambiguous_abstain,0.8,0.19999999999999996,0.09890348730297391,0.3956139492118974,0.061416706553110476,0.05370899963485431
2012-04-13,ambiguous_abstain,0.8,0.19999999999999996,0.11038228782074024,0.4415291512829623,0.09080200522643704,0.05349309706489449
2012-04-20,ambiguous_abstain,0.8,0.19999999999999996,0.11788504902493817,0.4715401960997545,0.09622764725400548,0.05683252544884963
2012-04-27,defense_production,0.95,0.050000000000000044,0.025946763739833907,0.49298851105684405,0.01273287025862237,0.0991168330168333
2012-05-04,ambiguous_abstain,0.8,0.19999999999999996,0.10224106245642489,0.40896424982570123,0.08469108730222843,0.11960546486411415
2012-05-11,ambiguous_abstain,0.8,0.19999999999999996,0.12514598310319364,0.5005839324127753,0.10588898411119717,0.11978600323255414
2012-05-18,defense_production,0.95,0.050000000000000044,0.02809386110621011,0.5337833610179942,0.01298976100064016,0.09892710338012485
2012-05-25,defense_production,0.95,0.050000000000000044,0.023405970868493515,0.44471344650137945,0.016823001715238626,0.2427359299752462
2012-06-01,defense_production,0.95,0.050000000000000044,0.026176421102613034,0.4973520009496514,0.018720338057084687,0.23863191548207502
2012-06-08,defense_production,0.95,0.050000000000000044,0.03018834456412627,0.5735785467184059,0.021353246014089906,0.23731568441162323
2012-06-15,defense_production,0.95,0.050000000000000044,0.032147861882899885,0.6108093757750989,0.022772823196073808,0.23698339381997832
2012-06-22,defense_production,0.95,0.050000000000000044,0.02940252546014882,0.5586479837428273,0.020740041867087434,0.23721217121738744
2012-06-29,defense_production,0.95,0.050000000000000044,0.03165629680208763,0.6014696392396666,0.023089198598670455,0.04546382446816749
2012-07-06,defense_production,0.95,0.050000000000000044,0.027210029917268314,0.5169905684280995,0.01987096967621807,0.045353352540921786
2012-07-13,defense_production,0.95,0.050000000000000044,0.02941600532538766,0.5589041011823667,0.02076976839840513,0.045376639902898745
2012-07-20,defense_production,0.95,0.050000000000000044,0.02970050893311138,0.564309669729119,0.02164801767201387,0.045312021448635297
2012-07-27,calm_trust,0.8,0.19999999999999996,0.1365935265243657,0.5463741060974636,0.12714186407745942,0.010001279498978364
2012-08-03,defense_production,0.95,0.050000000000000044,0.03563748265964497,0.6771121705332582,0.02639518847559588,0.003331789145529509
2012-08-10,defense_production,0.95,0.050000000000000044,0.03895266630181432,0.7401006597344798,0.02880719183549544,0.0030515913185967447
2012-08-17,defense_production,0.95,0.050000000000000044,0.03639990533307075,0.6915982013283473,0.02608271209643653,0.0035673687659342
2012-08-24,defense_production,0.95,0.050000000000000044,0.029271448651748813,0.5561575243832296,0.020529017721018908,0.003971493360883889
2012-08-31,calm_trust,0.8,0.19999999999999996,0.14659207342361244,0.5863682936944503,0.13639339255359992,0.011668037692420113
