,model_confidence,model_uncertainty,spread_score,margin_confidence,agreement,signal_top_gap,risk_guard,cash_weight,mu_scale,lambda_turn,lambda_tail,gate_top_expert,gate_top_prob,gate_entropy,gate_prob_calm,gate_prob_recovery,gate_prob_defense
2015-11-20,0.46326641864649504,0.42244072784685144,0.5159745401847569,0.7797546293534363,1.0,0.2533333333333332,0.6964484868773149,0.14158354001518447,0.45643069363814426,1.119623859582608,1.6331838365471796,calm,0.4403084388698558,0.9262446669714062,0.4403084388698558,0.40328578752847977,0.15640577360166436
2015-11-27,0.19148669610794394,0.41996775862948527,0.19947218047096293,0.5041774047631007,0.3333333333333333,0.15999999999999992,0.33678979563877165,0.10457301244697938,0.288594291385439,1.2130698902064292,1.409601935367115,calm,0.5318968251059617,0.8073410718811161,0.5318968251059617,0.39905007293874983,0.06905310195528856
2015-12-04,0.15083315055997087,0.45493061864916046,0.4492696632265031,0.3855172262068995,0.3333333333333333,0.04000000000000009,0.3057545634087924,0.10575704321414844,0.2609854117674061,1.238580417312888,1.3987511777892498,calm,0.5269345612387317,0.8358738398569961,0.5269345612387317,0.38550861153379773,0.08755682722747055
2015-12-11,0.4121252909015813,0.3362999470959438,0.16854898732463425,0.5760057454841736,0.3333333333333333,0.5999999999999999,0.19538566543607955,0.06537772332556645,0.43458623768496013,1.1092432518474478,1.3018510998733959,calm,0.4646078410446432,0.9390726750481886,0.4646078410446432,0.35656343569594634,0.17882872325941046
2015-12-18,0.3914132039531332,0.42436305015774806,0.2957602477838439,0.7567343625514839,1.0,0.19999999999999984,0.887807627737863,0.16,0.4117961601003017,1.1451700004405423,1.7522878612353348,recovery,0.5051646875815081,0.9132065694304937,0.15830616236234485,0.5051646875815081,0.336529150056147
2015-12-25,0.4162679452311673,0.49524426062539934,0.31870516569766344,0.7469237407750776,1.0,0.33999999999999997,0.8224034825618214,0.16,0.41906409514019355,1.1596860032619616,1.728748781738425,recovery,0.570568330767141,0.89251873294933,0.2224877068520734,0.570568330767141,0.20694396238078558
2016-01-01,0.38015149040558055,0.37845340710027986,0.46602367846655174,0.4724989022692857,0.3333333333333333,0.48,0.4872212687052011,0.11204874380847711,0.4098036603191091,1.1340906552048762,1.492906004301292,recovery,0.45906322317289466,0.9588466280238217,0.32565526676130674,0.45906322317289466,0.21528151006579857
2016-01-08,0.2997958906064925,0.5582920156826507,1.0,0.41357169605290656,0.3333333333333333,0.23333333333333317,0.9372212687052011,0.16,0.3424719114609896,1.2206572990564857,1.8150672703610609,defense,0.652697581339868,0.7604136988108547,0.0818479703674646,0.26545444829266734,0.652697581339868
2016-01-15,0.3755813715865282,0.5074854771340441,1.0,0.42298850574712643,0.3333333333333333,0.3666666666666666,1.0,0.16,0.39308386574707044,1.177791640070344,1.8417965145121709,defense,0.5202329745072082,0.8732359395852597,0.11745160659697815,0.36231541889581365,0.5202329745072082
2016-01-22,0.23233386820526297,0.46422677676764196,0.7514640790093838,0.42298850574712643,0.3333333333333333,0.07999999999999996,1.0,0.16,0.31015697471622694,1.2133502344433733,1.8314144264242342,defense,0.6149139890857647,0.8205464213893973,0.11520543064321856,0.26988058027101675,0.6149139890857647
2016-01-29,0.2918820713479832,0.44502427575275383,0.36804445881615133,0.4402298850574712,0.3333333333333333,0.3999999999999999,1.0,0.16,0.34835900519901236,1.1864312212622186,1.826805826180661,defense,0.5914692223148154,0.8102428743428309,0.08875040639054355,0.31978037129464115,0.5914692223148154
2016-02-05,0.30930712179953174,0.46825394641698226,0.5061007215010705,0.4402298850574712,0.3333333333333333,0.3999999999999999,1.0,0.16,0.356825788213334,1.1879703782704254,1.8323809471400758,defense,0.6614287148029871,0.7543538021270128,0.08308427964161078,0.25548700555540205,0.6614287148029871
2016-02-12,0.275728559640292,0.4542322438741977,0.45323177392609665,0.5126436781609195,0.3333333333333333,0.2799999999999999,1.0,0.16,0.3375950495393742,1.1950387399172848,1.8290157385298076,defense,0.6609184051340606,0.7554563032765405,0.08373285790243512,0.25534873696350424,0.6609184051340606
2016-02-19,0.24726158652018465,0.468483739599443,0.4735878877440089,0.5126436781609195,0.3333333333333333,0.21333333333333337,1.0,0.16,0.31891588591670594,1.2095627744000583,1.8324360975038665,defense,0.7167051794570478,0.6922096624371264,0.0756885964849327,0.20760622405801948,0.7167051794570478
