name,state,n_weeks,ann_return,sharpe,avg_BIL,avg_SPY,avg_offense,avg_defense,avg_cash,bucket_offense,bucket_defense,bucket_composite,bucket_cash,ann_return_delta_vs_prod,sharpe_delta_vs_prod
improved_phase2b_combo_abc,recovery_fragile,49,0.06690655260773279,1.2827742936975264,0.2287865209713577,0.062063848067573854,0.4519672996314665,0.31924617939717537,0.2287865209713577,0.4528004287364051,0.13787432513833636,0.27470801973963593,0.1346172263856224,-0.0019235362969637765,-0.030445625530878928
improved_phase2b_combo_abc,stressed_panic,229,0.03599464638205391,0.5400597811738247,0.6075517876328324,0.027545691915702934,0.21398755415587595,0.17846065821129156,0.6075517876328324,0.2418442928848379,0.07612100785955561,0.172517080932012,0.5095176183235942,0.0005467846496039347,0.016319696821007867
improved_phasess_recovery_explicit_bucket,calm_trend,295,0.03857382393041955,0.4144217240888552,0.06776810586336007,0.09616840837856264,0.6951442712457351,0.23708762289090438,0.06776810586336007,0.4900369018512741,0.16746858215511587,0.30902008469106085,0.03347443130254905,-0.0006974869162998179,-0.010398849734706173
improved_phasess_recovery_explicit_bucket,neutral_healthy_proxy,293,0.0998997820396494,1.2557970105145755,0.2069003424353769,0.09030234104202868,0.5366309985228294,0.2564686590417934,0.2069003424353769,0.43887698121258345,0.1594789826077106,0.25280223437999516,0.1488418017997107,0.002146992238970108,0.0111616277140143
improved_phasess_recovery_explicit_bucket,neutral_mixed,200,0.12212947651913764,1.719074343777577,0.38527708952174466,0.06538896133821753,0.38449945919867673,0.2302234512795783,0.38527708952174466,0.3469137306410604,0.11369259069153267,0.20754532121108252,0.33184835745632424,-0.00015099999065688874,-0.012243217399989126
improved_phasess_recovery_explicit_bucket,recovery_confirmed,44,0.03283242090388918,0.4700758528259172,0.1079167457152713,0.07249129158879809,0.49017152505096884,0.4019117292337595,0.1079167457152713,0.4961445788239267,0.19615161296174755,0.24564820519896113,0.06205560301536424,0.004754577200657875,0.052220968903079534
improved_phasess_recovery_explicit_bucket,recovery_fragile,49,0.07604995258645433,1.4334285533900388,0.21797199658533783,0.06832281489549738,0.46498065075648204,0.31704735265817974,0.21797199658533783,0.4564824412769476,0.16699782210355305,0.25068915622265775,0.1258305803968414,0.007219863681757768,0.12020863416163352
improved_phasess_recovery_explicit_bucket,stressed_panic,229,0.03538180543224088,0.5192594924910409,0.607591188145647,0.027718266544321194,0.21437974285592812,0.17802906899842444,0.607591188145647,0.24066117121693978,0.07643307758929115,0.17357731862023307,0.5093284325735358,-6.605630020909553e-05,-0.004480591861775962
improved_phasett_recovery_two_stage_bucket,calm_trend,295,0.038551702956998966,0.414399386034796,0.06921311341100478,0.0960758072709892,0.6944401636798936,0.2363467229091011,0.06921311341100478,0.48985923165771894,0.16709387968901565,0.30790756950768094,0.035139319145584325,-0.0007196078897203986,-0.010421187788765385
improved_phasett_recovery_two_stage_bucket,neutral_healthy_proxy,293,0.09990297663124427,1.262031603769651,0.21381868699791529,0.08994258763478188,0.533080850008162,0.2531004629939222,0.21381868699791529,0.43775368449816293,0.15793992009629443,0.24730742662447117,0.15699896878107125,0.0021501868305649763,0.01739622096908988
