audit_type,item,category,average_weight,holding_frequency,max_weight,value
ticker,XLF,US sectors,0.005072095233609442,0.03614457831325301,0.16989999881546008,0.005072095233609442
ticker,TLT,Bonds,0.004545927007344833,0.03614457831325301,0.20163733381811638,0.004545927007344833
ticker,VNQ,Real estate,0.004491408229548888,0.06626506024096386,0.13004145194834923,0.004491408229548888
ticker,XLU,US sectors,0.003884782992049354,0.045180722891566265,0.1568357845921379,0.003884782992049354
ticker,IYR,Real estate,0.0033080127059592263,0.06626506024096386,0.13368635451374325,0.0033080127059592263
ticker,SCHH,Real estate,0.003282932926253791,0.06626506024096386,0.12920000216093605,0.003282932926253791
ticker,XLRE,US sectors,0.003197971222970671,0.05421686746987952,0.13477117207132988,0.003197971222970671
ticker,MTUM,Factors/styles,0.0030165932577398934,0.03313253012048193,0.12843670866493057,0.0030165932577398934
ticker,REET,Real estate,0.001915960628779563,0.0391566265060241,0.08605946306656087,0.001915960628779563
ticker,XLB,US sectors,0.0019030082965049834,0.015060240963855422,0.14604390103450102,0.0019030082965049834
ticker,VUG,Factors/styles,0.0017410102816722696,0.02108433734939759,0.13637892192222414,0.0017410102816722696
ticker,EWA,International equity,0.0016416651006771349,0.018072289156626505,0.12728129505725813,0.0016416651006771349
ticker,EWJ,International equity,0.0007270834215217535,0.009036144578313253,0.08671742055924386,0.0007270834215217535
ticker,IVW,Factors/styles,0.0003797659566230426,0.0030120481927710845,0.12608229759885015,0.0003797659566230426
ticker,XLI,US sectors,0.00032562923639482626,0.0030120481927710845,0.10810890648308231,0.00032562923639482626
ticker,SPLV,Factors/styles,7.236043783500515e-05,0.0030120481927710845,0.024023665361221712,7.236043783500515e-05
category,Bonds,Bonds,0.25605195110373036,0.6024096385542169,0.8238851411104569,0.25605195110373036
category,Commodities,Commodities,0.21118961241941336,0.9969879518072289,0.6510343034327019,0.21118961241941336
category,Credit,Credit,0.0,0.0,0.0,0.0
category,Currency/dollar,Currency/dollar,0.0,0.0,0.0,0.0
category,Factors/styles,Factors/styles,0.005209729933870211,0.05421686746987952,0.25052051040057943,0.005209729933870211
category,International equity,International equity,0.1959394072029541,0.9487951807228916,0.6253769991036615,0.1959394072029541
category,Real estate,Real estate,0.01299831449054147,0.09036144578313253,0.34381672988012485,0.01299831449054147
category,US broad equity,US broad equity,0.028737394833412082,0.1927710843373494,0.3409698067283483,0.028737394833412082
category,US sectors,US sectors,0.26284900488891366,0.9969879518072289,0.6451685796755089,0.26284900488891366
category,Volatility proxies,Volatility proxies,0.02401253693439367,0.6445783132530121,0.1042331333714433,0.02401253693439367
summary,average_SPY_weight,,,,,0.0
summary,average_QQQ_weight,,,,,0.005633418866719582
summary,average_tech_like_weight,,,,,0.0817357566870879
summary,average_sector_weight,,,,,0.26284900488891366
summary,average_bond_cash_weight,,,,,0.25605195110373036
summary,average_BIL_weight,,,,,0.25150602409638556
summary,average_top3_etf_exposure,,,,,0.5164976710900502
summary,max_single_etf_weight,,,,,0.75
