candidate,lookback,top_k,low_allocation,high_allocation,volatility_target,maximum_leverage,development_cagr,development_sharpe,development_max_drawdown,validation_cagr,validation_sharpe,validation_max_drawdown,locked_test_cagr,locked_test_sharpe,locked_test_max_drawdown,full_cagr,full_sharpe,full_max_drawdown
lb13__k1__a0.10-0.40__volnone__cap1.00,13,1,0.1,0.4,,1.0,0.14781693781914673,0.9843196575305402,-0.13078318150393586,0.06023311920876617,0.39262002730833584,-0.23550873080129153,0.9299647209677078,2.577935881191862,-0.11315750961504212,0.29646038491539595,1.3660108769661028,-0.24684321899959816
lb13__k1__a0.10-0.40__vol0.35__cap1.00,13,1,0.1,0.4,0.35,1.0,0.14781693781914673,0.9843196575305402,-0.13078318150393586,0.06023311920876617,0.39262002730833584,-0.23550873080129153,0.9266171604637092,2.573171545128301,-0.11469575477663863,0.29583800371824,1.3641898567386337,-0.24684321899959816
lb13__k1__a0.10-0.40__vol0.35__cap1.25,13,1,0.1,0.4,0.35,1.25,0.14564238312946265,0.8359272076166833,-0.16276737954053278,0.037645126583709,0.27459288255706876,-0.2934915068892888,1.1732299661790018,2.5757665631103817,-0.12588844218885964,0.3306525472176396,1.273704953684231,-0.3127460854967543
lb13__k1__a0.10-0.40__vol0.35__cap1.50,13,1,0.1,0.4,0.35,1.5,0.14217677230175974,0.7271841468997102,-0.19388151395897113,-0.02741538417455336,0.051144919113020756,-0.34823526585731757,1.3326006968850859,2.6016176152045216,-0.14518346669906745,0.3310660274535553,1.1594824793011007,-0.3745131162149197
lb13__k1__a0.10-0.40__vol0.50__cap1.00,13,1,0.1,0.4,0.5,1.0,0.14781693781914673,0.9843196575305402,-0.13078318150393586,0.06023311920876617,0.39262002730833584,-0.23550873080129153,0.9299647209677078,2.577935881191862,-0.11315750961504212,0.29646038491539595,1.3660108769661028,-0.24684321899959816
lb13__k1__a0.10-0.40__vol0.50__cap1.25,13,1,0.1,0.4,0.5,1.25,0.14564238312946265,0.8359272076166833,-0.16276737954053278,0.04770752535667855,0.31278509570961627,-0.2934915068892888,1.2036617762238682,2.5187656446585294,-0.1439976610847904,0.33935089782800243,1.2748131543249914,-0.3127460854967543
lb13__k1__a0.10-0.40__vol0.50__cap1.50,13,1,0.1,0.4,0.5,1.5,0.14217677230175974,0.7271841468997102,-0.19388151395897113,0.03249702255969522,0.25956180797713596,-0.34823526585731757,1.4856691860454467,2.4666152516774504,-0.17877270719842464,0.37725788549825623,1.2064671347812306,-0.3745131162149197
lb13__k1__a0.20-0.20__volnone__cap1.00,13,1,0.2,0.2,,1.0,0.16930169288519448,1.1060206023659198,-0.12219287407966795,0.17080181215727763,0.8940633124418937,-0.2197793232454649,0.9411032889699438,2.6353525086050498,-0.12065057222594444,0.34575318420141943,1.5637636571255014,-0.2227606668326082
lb13__k1__a0.20-0.20__vol0.35__cap1.00,13,1,0.2,0.2,0.35,1.0,0.16930169288519448,1.1060206023659198,-0.12219287407966795,0.17080181215727763,0.8940633124418937,-0.2197793232454649,0.9410554836836089,2.635259823148435,-0.12067222875057249,0.3457440168884667,1.5637319561518028,-0.2227606668326082
lb13__k1__a0.20-0.20__vol0.35__cap1.25,13,1,0.2,0.2,0.35,1.25,0.1724887192281035,0.9623348101734374,-0.15242585130195463,0.1785567497553444,0.790718989489846,-0.27408543589959344,1.1914604050792197,2.6153040909146266,-0.13954046678725218,0.3959152744381875,1.474598487202823,-0.2849128165297199
lb13__k1__a0.20-0.20__vol0.35__cap1.50,13,1,0.2,0.2,0.35,1.5,0.17434280803401458,0.8564290592851602,-0.18193772695082877,0.12208865246081779,0.5483913654473745,-0.3263406711196438,1.3573611240576882,2.642332178756012,-0.13957285813871778,0.4061567423917054,1.3618242265486775,-0.3436911456237587
lb13__k1__a0.20-0.20__vol0.50__cap1.00,13,1,0.2,0.2,0.5,1.0,0.16930169288519448,1.1060206023659198,-0.12219287407966795,0.17080181215727763,0.8940633124418937,-0.2197793232454649,0.9411032889699438,2.6353525086050498,-0.12065057222594444,0.34575318420141943,1.5637636571255014,-0.2227606668326082
lb13__k1__a0.20-0.20__vol0.50__cap1.25,13,1,0.2,0.2,0.5,1.25,0.1724887192281035,0.9623348101734374,-0.15242585130195463,0.1862419611178865,0.8135408957904083,-0.27408543589959344,1.2201872909250002,2.5752789934666014,-0.1529847785078069,0.40347360807053434,1.4732716901529703,-0.2849128165297199
lb13__k1__a0.20-0.20__vol0.50__cap1.50,13,1,0.2,0.2,0.5,1.5,0.17434280803401458,0.8564290592851602,-0.18193772695082877,0.19873134999766262,0.7598592846894181,-0.3263406711196438,1.5195711071042686,2.529697444483764,-0.18746137452223566,0.45869441295702784,1.4082412988550697,-0.3436911456237587
lb13__k1__a0.20-0.30__volnone__cap1.00,13,1,0.2,0.3,,1.0,0.15826874795128654,1.0603765270708663,-0.1233071037278275,0.1312357084079483,0.7361832715657602,-0.225848084366701,0.9102216006578616,2.5909144247656437,-0.12065057222594455,0.32150766429516175,1.4935618193643738,-0.22940364633541388
lb13__k1__a0.20-0.30__vol0.35__cap1.00,13,1,0.2,0.3,0.35,1.0,0.15826874795128654,1.0603765270708663,-0.1233071037278275,0.1312357084079483,0.7361832715657602,-0.225848084366701,0.9101745559224781,2.5908213705661645,-0.12067222875057249,0.3214986621434519,1.4935296553314048,-0.22940364633541388
lb13__k1__a0.20-0.30__vol0.35__cap1.25,13,1,0.2,0.3,0.35,1.25,0.15883687968691595,0.9128523696691488,-0.15371119704919012,0.13425691428194053,0.6452600226139745,-0.2809918106905348,1.148388542621329,2.569970430022423,-0.13954046678725218,0.36646860211068466,1.4055142749737866,-0.2923646441067663
lb13__k1__a0.20-0.30__vol0.35__cap1.50,13,1,0.2,0.3,0.35,1.5,0.158147782874563,0.804029623436397,-0.18335429848609064,0.0781317335590459,0.4117903262032256,-0.3331826653407246,1.3128909428134694,2.5979874178383446,-0.13957285813871767,0.3748361542277048,1.2955313443025052,-0.3516889539400869
lb13__k1__a0.20-0.30__vol0.50__cap1.00,13,1,0.2,0.3,0.5,1.0,0.15826874795128654,1.0603765270708663,-0.1233071037278275,0.1312357084079483,0.7361832715657602,-0.225848084366701,0.9102216006578616,2.5909144247656437,-0.12065057222594455,0.32150766429516175,1.4935618193643738,-0.22940364633541388
lb13__k1__a0.20-0.30__vol0.50__cap1.25,13,1,0.2,0.3,0.5,1.25,0.15883687968691595,0.9128523696691488,-0.15371119704919012,0.1367458660543941,0.6532812151549195,-0.2809918106905348,1.176550818459499,2.530412466368044,-0.15298477850780656,0.3722314956606054,1.4012930187945851,-0.2923646441067663
lb13__k1__a0.20-0.30__vol0.50__cap1.50,13,1,0.2,0.3,0.5,1.5,0.158147782874563,0.804029623436397,-0.18335429848609064,0.13944403834997554,0.5980131775476925,-0.3331826653407246,1.4608335196699893,2.4844954435105233,-0.18746137452223577,0.42017876081797834,1.334994699159816,-0.3516889539400869
lb13__k1__a0.20-0.40__volnone__cap1.00,13,1,0.2,0.4,,1.0,0.14717680671083633,1.0068208777077627,-0.12452729816702446,0.09198446015451012,0.5544694066910968,-0.23334666254424286,0.8793413062422193,2.536043912927944,-0.12065057222594444,0.2971872174976433,1.4073139598163704,-0.23650899123703661
lb13__k1__a0.20-0.40__vol0.35__cap1.00,13,1,0.2,0.4,0.35,1.0,0.14717680671083633,1.0068208777077627,-0.12452729816702446,0.09198446015451012,0.5544694066910968,-0.23334666254424286,0.8792950220234574,2.535950824138123,-0.12067222875057249,0.2971783810175812,1.4072815792895514,-0.23650899123703661
lb13__k1__a0.20-0.40__vol0.35__cap1.25,13,1,0.2,0.4,0.35,1.25,0.14508783308441076,0.85564026483464,-0.15515983396824662,0.08662187840250923,0.46723259202443,-0.29059859667507104,1.1053120907664185,2.513501537017752,-0.13954046678725185,0.33566265979872467,1.3176231815058683,-0.3004851508936107
lb13__k1__a0.20-0.40__vol0.35__cap1.50,13,1,0.2,0.4,0.35,1.5,0.14180553781440697,0.7441752813159682,-0.18500274904781389,0.02960756880067983,0.2463076006850206,-0.34456871192053906,1.2602563105002615,2.5366985738972083,-0.14518346669906723,0.3402817877836406,1.2076383961843447,-0.360576082497608
lb13__k1__a0.20-0.40__vol0.50__cap1.00,13,1,0.2,0.4,0.5,1.0,0.14717680671083633,1.0068208777077627,-0.12452729816702446,0.09198446015451012,0.5544694066910968,-0.23334666254424286,0.8793413062422193,2.536043912927944,-0.12065057222594444,0.2971872174976433,1.4073139598163704,-0.23650899123703661
lb13__k1__a0.20-0.40__vol0.50__cap1.25,13,1,0.2,0.4,0.5,1.25,0.14508783308441076,0.85564026483464,-0.15515983396824662,0.08772792198983881,0.47117858924093015,-0.29059859667507104,1.1329096964365983,2.4753417831491817,-0.15298477850780667,0.34085993687175264,1.313844868417044,-0.3004851508936107
lb13__k1__a0.20-0.40__vol0.50__cap1.50,13,1,0.2,0.4,0.5,1.5,0.14180553781440697,0.7441752813159682,-0.18500274904781389,0.08082339416678175,0.4156513776074859,-0.34456871192053906,1.4020767308534894,2.429233063996079,-0.18746137452223588,0.3814583233838409,1.246731682464202,-0.360576082497608
lb13__k2__a0.10-0.20__volnone__cap1.00,13,2,0.1,0.2,,1.0,0.17133164111868382,1.0947451372556052,-0.12789005560725442,0.1608373168315269,0.8354904753133444,-0.22683565170400355,0.9999228964603641,2.673540198130761,-0.11315750961504234,0.3547564274933377,1.5578777305313094,-0.22683565170400366
lb13__k2__a0.10-0.20__vol0.35__cap1.00,13,2,0.1,0.2,0.35,1.0,0.17133164111868382,1.0947451372556052,-0.12789005560725442,0.1608373168315269,0.8354904753133444,-0.22683565170400355,0.997373976141418,2.6699491209862596,-0.11428779861140692,0.35427862322131176,1.5565673001427782,-0.22683565170400366
lb13__k2__a0.10-0.20__vol0.35__cap1.25,13,2,0.1,0.2,0.35,1.25,0.17482780516173713,0.9532312790112374,-0.1593608914064656,0.1571368582184065,0.7077808515407958,-0.28239249295133617,1.2719457949507764,2.6722935370260448,-0.12697480369300507,0.4040261029861818,1.4681363422377518,-0.2823924929513365
lb13__k2__a0.10-0.20__vol0.35__cap1.50,13,2,0.1,0.2,0.35,1.5,0.17690692686850462,0.849380513979983,-0.19003937629340528,0.09977233335552538,0.47502664861402805,-0.33504825471179533,1.4143607410368464,2.67868341977667,-0.13649886839341252,0.40900912427708147,1.3468673133880789,-0.33504825471179533
lb13__k2__a0.10-0.20__vol0.50__cap1.00,13,2,0.1,0.2,0.5,1.0,0.17133164111868382,1.0947451372556052,-0.12789005560725442,0.1608373168315269,0.8354904753133444,-0.22683565170400355,0.9999228964603641,2.673540198130761,-0.11315750961504234,0.3547564274933377,1.5578777305313094,-0.22683565170400366
lb13__k2__a0.10-0.20__vol0.50__cap1.25,13,2,0.1,0.2,0.5,1.25,0.17482780516173713,0.9532312790112374,-0.1593608914064656,0.17316434818387183,0.756944277585484,-0.28239249295133617,1.3029064113950795,2.6152837733924925,-0.14399766108479017,0.4146647105218988,1.4695015505188203,-0.2823924929513365
lb13__k2__a0.10-0.20__vol0.50__cap1.50,13,2,0.1,0.2,0.5,1.5,0.17690692686850462,0.849380513979983,-0.19003937629340528,0.18227991358129314,0.7045801457669104,-0.33504825471179533,1.6211506538217395,2.5649728658857662,-0.17848991764170596,0.47053515454702843,1.403717806685351,-0.33504825471179533
lb13__k2__a0.10-0.30__volnone__cap1.00,13,2,0.1,0.3,,1.0,0.15753411266676487,1.036962257088508,-0.12831884282506012,0.12910461079949642,0.719726298471647,-0.24123508434780372,0.9850117039241109,2.641736292310365,-0.11315750961504223,0.3345458236267038,1.5034958831159166,-0.24123508434780394
lb13__k2__a0.10-0.30__vol0.35__cap1.00,13,2,0.1,0.3,0.35,1.0,0.15753411266676487,1.036962257088508,-0.12831884282506012,0.12910461079949642,0.719726298471647,-0.24123508434780372,0.9824817880586378,2.6381414372667686,-0.11428779861140681,0.3340751473613597,1.5021615140757112,-0.24123508434780394
lb13__k2__a0.10-0.30__vol0.35__cap1.25,13,2,0.1,0.3,0.35,1.25,0.15774581558052958,0.8909623260487539,-0.15980853538736417,0.12528248312641033,0.6092342352300931,-0.2990226870423134,1.2523078713812898,2.6419388213031723,-0.12697480369300496,0.380819760238587,1.417573590857521,-0.29902268704231305
lb13__k2__a0.10-0.30__vol0.35__cap1.50,13,2,0.1,0.3,0.35,1.5,0.15663261693427732,0.7837607110376612,-0.19047364988997206,0.0698664674332663,0.3840226890850342,-0.35345664708061597,1.3845354610452203,2.6415238244699193,-0.1455290497445747,0.3827286936145078,1.295344090631146,-0.35345664708061597
lb13__k2__a0.10-0.30__vol0.50__cap1.00,13,2,0.1,0.3,0.5,1.0,0.15753411266676487,1.036962257088508,-0.12831884282506012,0.12910461079949642,0.719726298471647,-0.24123508434780372,0.9850117039241109,2.641736292310365,-0.11315750961504223,0.3345458236267038,1.5034958831159166,-0.24123508434780394
lb13__k2__a0.10-0.30__vol0.50__cap1.25,13,2,0.1,0.3,0.5,1.25,0.15774581558052958,0.8909623260487539,-0.15980853538736417,0.1337703805954289,0.6379629846153995,-0.2990226870423134,1.2814348649641079,2.5835823114862704,-0.14399766108479006,0.38861921237280384,1.4136370187920972,-0.29902268704231305
lb13__k2__a0.10-0.30__vol0.50__cap1.50,13,2,0.1,0.3,0.5,1.5,0.15663261693427732,0.7837607110376612,-0.19047364988997206,0.1354655569201375,0.5834541087112336,-0.35345664708061597,1.5918114700946933,2.5332930099773057,-0.17848991764170574,0.4384609769452146,1.3467365271773748,-0.35345664708061597
lb13__k2__a0.10-0.40__volnone__cap1.00,13,2,0.1,0.4,,1.0,0.14370873462400113,0.9699907353506112,-0.12884672031742206,0.09699132211600392,0.5763528133494893,-0.25548678220995935,0.9699738609214232,2.606017471055574,-0.11315750961504223,0.31408172931981704,1.433302618933925,-0.25548678220995946
lb13__k2__a0.10-0.40__vol0.35__cap1.00,13,2,0.1,0.4,0.35,1.0,0.14370873462400113,0.9699907353506112,-0.12884672031742206,0.09699132211600392,0.5763528133494893,-0.25548678220995935,0.9674631109266196,2.6024205943162597,-0.11428779861140692,0.3136182704638053,1.431947555278998,-0.25548678220995946
lb13__k2__a0.10-0.40__vol0.35__cap1.25,13,2,0.1,0.4,0.35,1.25,0.14061414219424906,0.8196714743063616,-0.16040857867937597,0.08850163012771262,0.4743432239724648,-0.3154408979817913,1.2330405610451463,2.6084123994463244,-0.12927654001785327,0.35587660312835445,1.3485961780545648,-0.31544089798179087
lb13__k2__a0.10-0.40__vol0.35__cap1.50,13,2,0.1,0.4,0.35,1.5,0.13627780754558438,0.7093913678278772,-0.19112390577415994,0.03336802581309972,0.26128851433866446,-0.37158518167150223,1.3509808378810484,2.5971912341750794,-0.15469656030275258,0.353379998846566,1.2232257738555787,-0.3715851816715019
lb13__k2__a0.10-0.40__vol0.50__cap1.00,13,2,0.1,0.4,0.5,1.0,0.14370873462400113,0.9699907353506112,-0.12884672031742206,0.09699132211600392,0.5763528133494893,-0.25548678220995935,0.9699738609214232,2.606017471055574,-0.11315750961504223,0.31408172931981704,1.433302618933925,-0.25548678220995946
lb13__k2__a0.10-0.40__vol0.50__cap1.25,13,2,0.1,0.4,0.5,1.25,0.14061414219424906,0.8196714743063616,-0.16040857867937597,0.09376111253111152,0.49364076839913773,-0.3154408979817913,1.259733033373852,2.548055132444081,-0.14399766108479017,0.3621551268028156,1.3425586296871472,-0.31544089798179087
lb13__k2__a0.10-0.40__vol0.50__cap1.50,13,2,0.1,0.4,0.5,1.5,0.13627780754558438,0.7093913678278772,-0.19112390577415994,0.08773767819062273,0.43849940509890395,-0.37158518167150223,1.562090852168144,2.4978453083349392,-0.17848991764170585,0.40575260057067397,1.27500758655863,-0.3715851816715019
lb13__k2__a0.20-0.20__volnone__cap1.00,13,2,0.2,0.2,,1.0,0.17617264759984463,1.148898886126869,-0.12235802570015064,0.20259590429142071,1.0307961092084827,-0.21253911912836365,0.9183205603527094,2.611898946826472,-0.12065057222594466,0.35488565577496645,1.607034948630088,-0.21253911912836343
lb13__k2__a0.20-0.20__vol0.35__cap1.00,13,2,0.2,0.2,0.35,1.0,0.17617264759984463,1.148898886126869,-0.12235802570015064,0.20259590429142071,1.0307961092084827,-0.21253911912836365,0.9183205603527094,2.611898946826472,-0.12065057222594466,0.35488565577496645,1.607034948630088,-0.21253911912836343
lb13__k2__a0.20-0.20__vol0.35__cap1.25,13,2,0.2,0.2,0.35,1.25,0.18113759752627168,1.0063816480096366,-0.1526237200250784,0.2224975097664561,0.9389411581975982,-0.2654131569221171,1.1648278357386803,2.5867392497955435,-0.1424185548214859,0.4099820113791246,1.5206864710446226,-0.2654131569221173
lb13__k2__a0.20-0.20__vol0.35__cap1.50,13,2,0.2,0.2,0.35,1.5,0.18478204457187797,0.9010343951244443,-0.18216508217659855,0.17743268832672765,0.715425669013728,-0.3156999245582609,1.3293441205226597,2.613868123077846,-0.14247940448733376,0.42592990839124556,1.415255927400426,-0.315699924558261
lb13__k2__a0.20-0.20__vol0.50__cap1.00,13,2,0.2,0.2,0.5,1.0,0.17617264759984463,1.148898886126869,-0.12235802570015064,0.20259590429142071,1.0307961092084827,-0.21253911912836365,0.9183205603527094,2.611898946826472,-0.12065057222594466,0.35488565577496645,1.607034948630088,-0.21253911912836343
lb13__k2__a0.20-0.20__vol0.50__cap1.25,13,2,0.2,0.2,0.5,1.25,0.18113759752627168,1.0063816480096366,-0.1526237200250784,0.22667759482329553,0.9501238658183822,-0.2654131569221171,1.18810116621493,2.5512773264922757,-0.15298477850780667,0.41549432107025264,1.5163605308127768,-0.2654131569221173
lb13__k2__a0.20-0.20__vol0.50__cap1.50,13,2,0.2,0.2,0.5,1.5,0.18478204457187797,0.9010343951244443,-0.18216508217659855,0.24797897897894527,0.8963423702249814,-0.3156999245582609,1.4790739189574769,2.5064763485312245,-0.18664734003245664,0.47425159124070415,1.4516780622740268,-0.315699924558261
lb13__k2__a0.20-0.30__volnone__cap1.00,13,2,0.2,0.3,,1.0,0.16302708389397602,1.0951108120364956,-0.1227929181919275,0.170597059342958,0.9245498912399673,-0.22720225272147843,0.9054728138167867,2.5826663154738347,-0.12065057222594444,0.335595257657638,1.5558072870871102,-0.2272022527214782
lb13__k2__a0.20-0.30__vol0.35__cap1.00,13,2,0.2,0.3,0.35,1.0,0.16302708389397602,1.0951108120364956,-0.1227929181919275,0.170597059342958,0.9245498912399673,-0.22720225272147843,0.9054728138167867,2.5826663154738347,-0.12065057222594444,0.335595257657638,1.5558072870871102,-0.2272022527214782
lb13__k2__a0.20-0.30__vol0.35__cap1.25,13,2,0.2,0.3,0.35,1.25,0.16484836395619373,0.9481157507276752,-0.1530802147040321,0.18640994632035413,0.8398657179749076,-0.28243314946161846,1.1467034865256172,2.5565751884177583,-0.1424185548214859,0.38646686113502837,1.4700219475570047,-0.2824331494616178
lb13__k2__a0.20-0.30__vol0.35__cap1.50,13,2,0.2,0.3,0.35,1.5,0.16543022572416488,0.8393523838780103,-0.18261111945515207,0.1472391557813304,0.6366671630525976,-0.3346390555176454,1.3046178624802987,2.581502045249473,-0.14406214023675445,0.40119953893982263,1.368897239441667,-0.3346390555176453
lb13__k2__a0.20-0.30__vol0.50__cap1.00,13,2,0.2,0.3,0.5,1.0,0.16302708389397602,1.0951108120364956,-0.1227929181919275,0.170597059342958,0.9245498912399673,-0.22720225272147843,0.9054728138167867,2.5826663154738347,-0.12065057222594444,0.335595257657638,1.5558072870871102,-0.2272022527214782
lb13__k2__a0.20-0.30__vol0.50__cap1.25,13,2,0.2,0.3,0.5,1.25,0.16484836395619373,0.9481157507276752,-0.1530802147040321,0.1865953781664711,0.8404240561104668,-0.28243314946161846,1.169781968265196,2.522134268553093,-0.1529847785078069,0.39063382030678584,1.4635451088834546,-0.2824331494616178
lb13__k2__a0.20-0.30__vol0.50__cap1.50,13,2,0.2,0.3,0.5,1.5,0.16543022572416488,0.8393523838780103,-0.18261111945515207,0.19990786833553265,0.7843401660241329,-0.3346390555176454,1.4541660839492696,2.4773831864067355,-0.18664734003245642,0.44359171418628796,1.3977344450335536,-0.3346390555176453
lb13__k2__a0.20-0.40__volnone__cap1.00,13,2,0.2,0.4,,1.0,0.14983847299887532,1.031412500483222,-0.12332747657785148,0.13815577782260235,0.7832712220250433,-0.24171500772567467,0.8924825151706446,2.5492362837960068,-0.12065057222594444,0.31602471486517314,1.4870887288891466,-0.24171500772567467
lb13__k2__a0.20-0.40__vol0.35__cap1.00,13,2,0.2,0.4,0.35,1.0,0.14983847299887532,1.031412500483222,-0.12332747657785148,0.13815577782260235,0.7832712220250433,-0.24171500772567467,0.8924825151706446,2.5492362837960068,-0.12065057222594444,0.31602471486517314,1.4870887288891466,-0.24171500772567467
lb13__k2__a0.20-0.40__vol0.35__cap1.25,13,2,0.2,0.4,0.35,1.25,0.14848591975295689,0.8800661521882867,-0.1536902264949046,0.14528271916112745,0.6962776960281838,-0.2992363012210624,1.128325232609304,2.5220009232256904,-0.1424185548214858,0.36111111617549585,1.3990632352531442,-0.2992363012210625
lb13__k2__a0.20-0.40__vol0.35__cap1.50,13,2,0.2,0.4,0.35,1.5,0.14596435297395582,0.7681513981813523,-0.18327505942479472,0.10874541582939568,0.5146902055748321,-0.35329043674184935,1.2778016480861374,2.543833058188041,-0.1528963258909226,0.37317480885928744,1.2999397969632949,-0.35329043674184946
lb13__k2__a0.20-0.40__vol0.50__cap1.00,13,2,0.2,0.4,0.5,1.0,0.14983847299887532,1.031412500483222,-0.12332747657785148,0.13815577782260235,0.7832712220250433,-0.24171500772567467,0.8924825151706446,2.5492362837960068,-0.12065057222594444,0.31602471486517314,1.4870887288891466,-0.24171500772567467
lb13__k2__a0.20-0.40__vol0.50__cap1.25,13,2,0.2,0.4,0.5,1.25,0.14848591975295689,0.8800661521882867,-0.1536902264949046,0.14579422606318548,0.6981569584742956,-0.2992363012210624,1.151206135968787,2.488894941754019,-0.15298477850780667,0.3653114702191871,1.3938741536525048,-0.2992363012210625
lb13__k2__a0.20-0.40__vol0.50__cap1.50,13,2,0.2,0.4,0.5,1.5,0.14596435297395582,0.7681513981813523,-0.18327505942479472,0.15076346218275716,0.6414141161071312,-0.35329043674184935,1.4288353009648804,2.4442625030686425,-0.18664734003245675,0.4122321879691595,1.3274426561138608,-0.35329043674184946
lb13__k3__a0.10-0.20__volnone__cap1.00,13,3,0.1,0.2,,1.0,0.16857328398390203,1.084251606184189,-0.12455629500432497,0.18317320895895461,0.9451432355966397,-0.206804378476113,0.9954112534801149,2.694007572450798,-0.11315750961504245,0.3596333290214295,1.5928115654589015,-0.20680437847611333
lb13__k3__a0.10-0.20__vol0.35__cap1.00,13,3,0.1,0.2,0.35,1.0,0.16857328398390203,1.084251606184189,-0.12455629500432497,0.18317320895895461,0.9451432355966397,-0.206804378476113,0.9928680832920793,2.6904011763366626,-0.11428779861140692,0.3591538047321834,1.5914992403879737,-0.20680437847611333
