Date,control_weight,valuation_weight,gross_return,turnover,cost,net_return,wealth,drawdown
2023-05-19,1.0,0.0,0.0286604208297012,0.0,0.0,0.0286604208297012,1.180477496158866,0.0
2023-05-26,1.0,0.0,0.0158226905314413,0.0,0.0,0.0158226905314413,1.1991558262599185,0.0
2023-06-02,1.0,0.0,-0.0036863948411224,0.0,0.0,-0.0036863948411224,1.194735264408292,-0.003686394841122431
2023-06-09,1.0,0.0,0.0368814633677738,0.0,0.0,0.0368814633677738,1.238798849296754,0.0
2023-06-16,1.0,0.0,-0.0272432703726697,0.0,0.0,-0.0272432703726697,1.2050499173080105,-0.027243270372669715
2023-06-23,1.0,0.0,0.0298677996430154,0.0,0.0,0.0298677996430154,1.2410421067979984,0.0
2023-06-30,1.0,0.0,-0.0115357144270473,0.0,0.0,-0.0115357144270473,1.2267257994620355,-0.011535714427047372
2023-07-07,1.0,0.0,0.0316602837427493,0.0,0.0,0.0316602837427493,1.2655642863475545,0.0
2023-07-14,1.0,0.0,-0.0128946635261621,0.0,0.0,-0.0128946635261621,1.2492452607043754,-0.012894663526162087
2023-07-21,1.0,0.0,0.020798232778765,0.0,0.0,0.020798232778765,1.275227354434274,0.0
2023-07-28,1.0,0.0,-0.0286196078543311,0.0,0.0,-0.0286196078543311,1.238730847625249,-0.028619607854331153
2023-08-04,1.0,0.0,-0.0202513324165525,0.0,0.0,-0.0202513324165525,1.2136448974553522,-0.04829135507859417
2023-08-11,1.0,0.0,-0.0244285359383522,0.0,0.0,-0.0244285359383522,1.1839973294614665,-0.07154020391389715
2023-08-18,1.0,0.0,0.0203388905445378,0.0,0.0,0.0203388905445378,1.2080785215504084,-0.05265636174629795
2023-08-25,1.0,0.0,0.0415545734075875,0.0,0.0,0.0415545734075875,1.2582797091563047,-0.013289900988273429
2023-09-01,1.0,0.0,-0.0142128280865574,0.0,0.0,-0.0142128280865574,1.2403959959652626,-0.027313841996797206
2023-09-08,1.0,0.0,-0.0126492460713482,0.0,0.0,-0.0126492460713482,1.224705921786383,-0.03961758855957398
2023-09-15,1.0,0.0,-0.0227970784680985,0.0,0.0,-0.0227970784680985,1.1967862047870739,-0.061511501752563036
2023-09-22,1.0,0.0,0.0036682224872817,0.0,0.0,0.0036682224872817,1.2011762828559422,-0.058068917139236675
2023-09-29,1.0,0.0,0.0109877276277559,0.0,0.0,0.0109877276277559,1.2143744806848835,-0.04771923495664543
2023-10-06,1.0,0.0,0.0117402343297883,0.0,0.0,0.0117402343297883,1.228631521652239,-0.03653923562728645
2023-10-13,1.0,0.0,-0.0215916898422177,0.0,0.0,-0.0215916898422177,1.2021032909063518,-0.05734198162676807
2023-10-20,1.0,0.0,-0.0181190284667972,0.0,0.0,-0.0181190284667972,1.180322347158389,-0.07442202909612738
2023-10-27,1.0,0.0,0.0619057257234529,0.0,0.0,0.0619057257234529,1.2533910586468384,-0.01712345309368213
2023-11-03,1.0,0.0,0.0358498933335902,0.0,0.0,0.0358498933335902,1.2983249944046034,0.0
2023-11-10,1.0,0.0,0.018810299337189,0.0,0.0,0.018810299337189,1.3227468761863082,0.0
2023-11-17,1.0,0.0,0.0079296150408618,0.0,0.0,0.0079296150408618,1.3332357497109681,0.0
2023-11-24,1.0,0.0,0.0049200998356901,0.0,0.0,0.0049200998356901,1.3397954027040573,0.0
2023-12-01,1.0,0.0,0.0012839212348001,0.0,0.0,0.0012839212348001,1.3415155944718766,0.0
2023-12-08,1.0,0.0,0.0303656231136628,0.0,0.0,0.0303656231136628,1.3822515514147111,0.0
2023-12-15,1.0,0.0,0.0037727497442876,0.0,0.0,0.0037727497442876,1.3874664406018522,0.0
2023-12-22,1.0,0.0,0.0016952783828882,0.0,0.0,0.0016952783828882,1.3898185824655875,0.0
2023-12-29,1.0,0.0,-0.045476688199485,0.0,0.0,-0.045476688199485,1.3266142361369497,-0.04547668819948503
2024-01-05,1.0,0.0,0.031745276522904,0.0,0.0,0.031745276522904,1.3687279719023384,-0.015175081718819428
2024-01-12,1.0,0.0,0.0365930177317035,0.0,0.0,0.0365930177317035,1.4188138588480392,0.0
2024-01-19,1.0,0.0,0.0066572612658368,0.0,0.0,0.0066572612658368,1.4282592733939807,0.0
2024-01-26,1.0,0.0,-0.0023923176145298,0.0,0.0,-0.0023923176145298,1.4248424235761248,-0.0023923176145298486
2024-02-02,1.0,0.0,0.0214466622808819,0.0,0.0,0.0214466622808819,1.4554005378380352,0.0
2024-02-09,1.0,0.0,-0.0229417603654946,0.0,0.0,-0.0229417603654946,1.422011087463143,-0.022941760365494557
2024-02-16,1.0,0.0,0.0110783674744459,0.0,0.0,0.0110783674744459,1.4377646488427962,-0.01211755014288829
2024-02-23,1.0,0.0,0.0192315165553758,0.0,0.0,0.0192315165553758,1.4654150434897506,0.0
2024-03-01,1.0,0.0,-0.0061759862348518,0.0,0.0,-0.0061759862348518,1.456364660352813,-0.006175986234851827
2024-03-08,1.0,0.0,-0.012316305996412,0.0,0.0,-0.012316305996412,1.4384276275535473,-0.018416226894965804
2024-03-15,1.0,0.0,0.0229338488617671,0.0,0.0,0.0229338488617671,1.4714163093624506,0.0
2024-03-22,1.0,0.0,-0.0024224680720532,0.0,0.0,-0.0024224680720532,1.4678518503323217,-0.002422468072053263
2024-03-29,1.0,0.0,-0.0156962071282025,0.0,0.0,-0.0156962071282025,1.4448121436559902,-0.018080651639635348
2024-04-05,1.0,0.0,-0.0188474469218706,0.0,0.0,-0.0188474469218706,1.4175811234663598,-0.03658732443941515
2024-04-12,1.0,0.0,-0.0352882126636721,0.0,0.0,-0.0352882126636721,1.3675572193134717,-0.07058443581747431
2024-04-19,1.0,0.0,0.0309778576345709,0.0,0.0,0.0309778576345709,1.4099212121604943,-0.04179313278687358
2024-04-26,1.0,0.0,-8.023370364462767e-05,0.0,0.0,-8.023370364462767e-05,1.4098080889597955,-0.0418700132726878
2024-05-03,1.0,0.0,0.0225060859917691,0.0,0.0,0.0225060859917691,1.4415373510418164,-0.020306257400110272
2024-05-10,1.0,0.0,0.0271354538495287,0.0,0.0,0.0271354538495287,1.4806541213033835,0.0
2024-05-17,1.0,0.0,-0.0076320957179871,0.0,0.0,-0.0076320957179871,1.469353627324364,-0.007632095717987175
2024-05-24,1.0,0.0,0.0039385466276127,0.0,0.0,0.0039385466276127,1.4751407450980327,-0.003723608455226124
2024-05-31,1.0,0.0,-0.0050685179044981,0.0,0.0,-0.0050685179044981,1.4676639678198486,-0.008773253183599672
2024-06-07,1.0,0.0,0.015192165929531,0.0,0.0,0.015192165929531,1.4899609623477619,0.0
2024-06-14,1.0,0.0,-0.0010696756296556,0.0,0.0,-0.0010696756296556,1.4883671874172002,-0.001069675629655653
2024-06-21,1.0,0.0,-0.0021525468663794,0.0,0.0,-0.0021525468663794,1.4851634072919033,-0.0032199199691104186
2024-06-28,1.0,0.0,0.0259043278744703,0.0,0.0,0.0259043278744703,1.5236355671415585,0.0
2024-07-05,1.0,0.0,0.0034226599737143,0.0,0.0,0.0034226599737143,1.5288504536117415,0.0
2024-07-12,1.0,0.0,-0.0428077603144969,0.0,0.0,-0.0428077603144969,1.4634037898368202,-0.042807760314496957
2024-07-19,1.0,0.0,-0.0047195808951204,0.0,0.0,-0.0047195808951204,1.4564971372684596,-0.047325306521874055
2024-07-26,1.0,0.0,-0.0755641821488959,0.0,0.0,-0.0755641821488959,1.3464381222885602,-0.11931339058849888
2024-08-02,0.5,0.5,0.009615326397315301,0.5,0.0025,0.0071153263973153,1.3560184690024317,-0.11304701790879101
2024-08-09,0.5,0.5,0.0577983889581581,0.0,0.0,0.0577983889581581,1.4343941519082803,-0.06178256446228503
2024-08-16,1.0,0.0,0.0082885775597056,0.5,0.0025,0.005788577559705599,1.4426972537077893,-0.05635162006880712
2024-08-23,1.0,0.0,-0.0021690182440052,0.0,0.0,-0.0021690182440052,1.439568017043921,-0.05839841062080375
2024-08-30,0.5,0.5,-0.0630999174448886,0.5,0.0025,-0.0655999174448886,1.3451324739695378,-0.12016739715005487
2024-09-06,0.5,0.5,0.058611507515228256,0.0,0.0,0.058611507515228256,1.423972716076581,-0.06859908193597253
2024-09-13,0.5,0.5,0.01959274995873255,0.0,0.0,0.01959274995873255,1.4518722574507266,-0.05035037663701014
2024-09-20,0.5,0.5,0.009997974345629851,0.0,0.0,0.009997974345629851,1.4663880390338504,-0.0408558040652901
